Date,GITANJALI
2015-01-01,54.2
2015-01-02,54.75
2015-01-05,54.6
2015-01-06,52.8
2015-01-07,53.75
2015-01-08,53.95
2015-01-09,53.1
2015-01-12,54.05
2015-01-13,54.9
2015-01-14,53.25
2015-01-15,53.6
2015-01-16,53.2
2015-01-19,52.75
2015-01-20,52.3
2015-01-21,53.2
2015-01-22,52.05
2015-01-23,50.95
2015-01-27,50.3
2015-01-28,49.1
2015-01-29,47.9
2015-01-30,47.0
2015-02-02,47.15
2015-02-03,46.35
2015-02-04,46.55
2015-02-05,47.8
2015-02-06,48.35
2015-02-09,46.85
2015-02-10,46.3
2015-02-11,46.75
2015-02-12,48.25
2015-02-13,52.3
2015-02-16,53.1
2015-02-18,54.25
2015-02-19,55.65
2015-02-20,54.9
2015-02-23,53.0
2015-02-24,52.15
2015-02-25,51.95
2015-02-26,51.4
2015-02-27,53.3
2015-02-28,52.0
2015-03-02,50.5
2015-03-03,50.45
2015-03-04,49.4
2015-03-05,49.15
2015-03-09,48.5
2015-03-10,48.25
2015-03-11,47.6
2015-03-12,47.8
2015-03-13,46.75
2015-03-16,46.35
2015-03-17,46.65
2015-03-18,46.5
2015-03-19,46.8
2015-03-20,45.5
2015-03-23,44.55
2015-03-24,43.6
2015-03-25,41.95
2015-03-26,41.0
2015-03-27,39.65
2015-03-30,41.2
2015-03-31,41.1
2015-04-01,42.8
2015-04-06,43.0
2015-04-07,43.5
2015-04-08,45.45
2015-04-09,45.2
2015-04-10,46.6
2015-04-13,46.85
2015-04-15,46.65
2015-04-16,45.65
2015-04-17,44.8
2015-04-20,43.25
2015-04-21,43.65
2015-04-22,47.4
2015-04-23,45.35
2015-04-24,43.3
2015-04-27,42.2
2015-04-28,42.45
2015-04-29,42.55
2015-04-30,42.2
2015-05-04,42.95
2015-05-05,42.75
2015-05-06,41.75
2015-05-07,41.3
2015-05-08,41.25
2015-05-11,41.75
2015-05-12,41.1
2015-05-13,41.1
2015-05-14,41.6
2015-05-15,41.4
2015-05-18,42.3
2015-05-19,43.7
2015-05-20,43.15
2015-05-21,42.65
2015-05-22,43.1
2015-05-25,43.25
2015-05-26,43.35
2015-05-27,43.95
2015-05-28,44.35
2015-05-29,44.75
2015-06-01,43.6
2015-06-02,43.45
2015-06-03,40.15
2015-06-04,39.7
2015-06-05,40.1
2015-06-08,42.5
2015-06-09,40.85
2015-06-10,40.25
2015-06-11,40.5
2015-06-12,39.5
2015-06-15,38.8
2015-06-16,38.9
2015-06-17,38.85
2015-06-18,38.45
2015-06-19,37.5
2015-06-22,38.45
2015-06-23,38.6
2015-06-24,38.4
2015-06-25,38.95
2015-06-26,40.1
2015-06-29,39.25
2015-06-30,39.85
2015-07-01,40.0
2015-07-02,40.4
2015-07-03,39.9
2015-07-06,40.4
2015-07-07,40.35
2015-07-08,40.05
2015-07-09,39.95
2015-07-10,39.75
2015-07-13,40.0
2015-07-14,40.05
2015-07-15,39.3
2015-07-16,39.65
2015-07-17,39.7
2015-07-20,45.2
2015-07-21,45.2
2015-07-22,44.7
2015-07-23,44.6
2015-07-24,42.9
2015-07-27,41.3
2015-07-28,41.5
2015-07-29,41.25
2015-07-30,41.35
2015-07-31,41.5
2015-08-03,42.25
2015-08-04,42.7
2015-08-05,43.7
2015-08-06,43.3
2015-08-07,42.55
2015-08-10,42.3
2015-08-11,41.5
2015-08-12,40.7
2015-08-13,40.25
2015-08-14,40.8
2015-08-17,43.1
2015-08-18,43.3
2015-08-19,42.45
2015-08-20,40.95
2015-08-21,40.2
2015-08-24,36.15
2015-08-25,35.35
2015-08-26,36.05
2015-08-27,37.35
2015-08-28,37.7
2015-08-31,37.6
2015-09-01,36.2
2015-09-02,35.3
2015-09-03,35.35
2015-09-04,34.15
2015-09-07,33.45
2015-09-08,33.85
2015-09-09,37.8
2015-09-10,38.5
2015-09-11,37.9
2015-09-14,37.3
2015-09-15,36.65
2015-09-16,37.3
2015-09-18,37.85
2015-09-21,38.05
2015-09-22,37.25
2015-09-23,37.2
2015-09-24,36.6
2015-09-28,36.75
2015-09-29,35.65
2015-09-30,35.65
2015-10-01,35.4
2015-10-05,35.8
2015-10-06,36.2
2015-10-07,36.25
2015-10-08,36.75
2015-10-09,36.55
2015-10-12,36.4
2015-10-13,36.3
2015-10-14,36.4
2015-10-15,38.75
2015-10-16,40.3
2015-10-19,40.65
2015-10-20,39.2
2015-10-21,38.35
2015-10-23,37.8
2015-10-26,37.2
2015-10-27,37.1
2015-10-28,38.05
2015-10-29,37.5
2015-10-30,37.1
2015-11-02,37.25
2015-11-03,38.2
2015-11-04,38.8
2015-11-05,37.85
2015-11-06,37.05
2015-11-09,40.7
2015-11-10,39.9
2015-11-11,40.05
2015-11-13,38.65
2015-11-16,38.85
2015-11-17,38.9
2015-11-18,38.05
2015-11-19,38.15
2015-11-20,38.05
2015-11-23,38.0
2015-11-24,39.1
2015-11-26,39.6
2015-11-27,39.45
2015-11-30,39.65
2015-12-01,39.9
2015-12-02,39.4
2015-12-03,41.8
2015-12-04,40.85
2015-12-07,43.55
2015-12-08,42.15
2015-12-09,40.2
2015-12-10,40.35
2015-12-11,40.65
2015-12-14,40.65
2015-12-15,41.0
2015-12-16,41.5
2015-12-17,41.85
2015-12-18,41.1
2015-12-21,42.95
2015-12-22,42.1
2015-12-23,41.9
2015-12-24,41.55
2015-12-28,42.45
2015-12-29,41.5
2015-12-30,41.2
2015-12-31,41.4
