Date,BUTTERFLY
2015-01-01,220.9
2015-01-02,218.5
2015-01-05,221.4
2015-01-06,217.45
2015-01-07,208.8
2015-01-08,217.45
2015-01-09,229.75
2015-01-12,245.5
2015-01-13,240.8
2015-01-14,240.15
2015-01-15,240.95
2015-01-16,238.25
2015-01-19,237.3
2015-01-20,238.35
2015-01-21,242.25
2015-01-22,248.15
2015-01-23,245.4
2015-01-27,260.75
2015-01-28,260.2
2015-01-29,266.9
2015-01-30,263.75
2015-02-02,267.0
2015-02-03,261.55
2015-02-04,250.4
2015-02-05,257.8
2015-02-06,252.55
2015-02-09,244.6
2015-02-10,245.55
2015-02-11,243.05
2015-02-12,246.35
2015-02-13,249.85
2015-02-16,233.85
2015-02-18,229.15
2015-02-19,220.35
2015-02-20,218.2
2015-02-23,208.8
2015-02-24,208.2
2015-02-25,207.55
2015-02-26,206.0
2015-02-27,215.15
2015-02-28,214.85
2015-03-02,217.85
2015-03-03,219.65
2015-03-04,218.5
2015-03-05,213.2
2015-03-09,209.8
2015-03-10,208.3
2015-03-11,209.35
2015-03-12,207.1
2015-03-13,205.6
2015-03-16,205.4
2015-03-17,208.35
2015-03-18,204.85
2015-03-19,207.45
2015-03-20,200.1
2015-03-23,197.1
2015-03-24,195.3
2015-03-25,188.6
2015-03-26,177.9
2015-03-27,177.9
2015-03-30,187.65
2015-03-31,191.0
2015-04-01,192.35
2015-04-06,209.95
2015-04-07,219.75
2015-04-08,216.15
2015-04-09,218.85
2015-04-10,217.4
2015-04-13,217.4
2015-04-15,216.15
2015-04-16,200.4
2015-04-17,204.55
2015-04-20,198.45
2015-04-21,197.75
2015-04-22,193.65
2015-04-23,196.0
2015-04-24,192.05
2015-04-27,187.5
2015-04-28,186.45
2015-04-29,184.85
2015-04-30,179.25
2015-05-04,182.35
2015-05-05,180.2
2015-05-06,173.4
2015-05-07,169.1
2015-05-08,171.45
2015-05-11,170.15
2015-05-12,168.05
2015-05-13,175.0
2015-05-14,174.85
2015-05-15,171.75
2015-05-18,174.05
2015-05-19,172.4
2015-05-20,169.05
2015-05-21,169.6
2015-05-22,166.75
2015-05-25,169.4
2015-05-26,169.35
2015-05-27,158.45
2015-05-28,149.55
2015-05-29,151.75
2015-06-01,154.95
2015-06-02,150.05
2015-06-03,141.6
2015-06-04,144.85
2015-06-05,144.9
2015-06-08,138.25
2015-06-09,138.0
2015-06-10,143.35
2015-06-11,139.85
2015-06-12,143.0
2015-06-15,138.1
2015-06-16,137.1
2015-06-17,141.95
2015-06-18,141.45
2015-06-19,142.2
2015-06-22,143.8
2015-06-23,150.0
2015-06-24,148.7
2015-06-25,144.2
2015-06-26,148.55
2015-06-29,147.25
2015-06-30,149.0
2015-07-01,146.85
2015-07-02,161.25
2015-07-03,166.0
2015-07-06,159.05
2015-07-07,158.0
2015-07-08,153.25
2015-07-09,155.1
2015-07-10,158.55
2015-07-13,155.9
2015-07-14,152.6
2015-07-15,160.6
2015-07-16,169.75
2015-07-17,182.95
2015-07-20,189.3
2015-07-21,189.75
2015-07-22,190.2
2015-07-23,190.15
2015-07-24,187.6
2015-07-27,192.75
2015-07-28,188.7
2015-07-29,191.15
2015-07-30,196.3
2015-07-31,197.65
2015-08-03,191.55
2015-08-04,189.9
2015-08-05,188.1
2015-08-06,181.75
2015-08-07,177.7
2015-08-10,178.6
2015-08-11,169.0
2015-08-12,163.2
2015-08-13,165.4
2015-08-14,166.1
2015-08-17,168.5
2015-08-18,168.85
2015-08-19,175.55
2015-08-20,173.6
2015-08-21,169.85
2015-08-24,146.1
2015-08-25,146.95
2015-08-26,144.45
2015-08-27,151.25
2015-08-28,148.6
2015-08-31,156.75
2015-09-01,149.25
2015-09-02,144.4
2015-09-03,151.95
2015-09-04,145.0
2015-09-07,148.05
2015-09-08,148.9
2015-09-09,149.55
2015-09-10,147.5
2015-09-11,148.9
2015-09-14,151.35
2015-09-15,149.3
2015-09-16,148.8
2015-09-18,150.65
2015-09-21,152.15
2015-09-22,150.65
2015-09-23,149.05
2015-09-24,150.9
2015-09-28,152.45
2015-09-29,153.7
2015-09-30,155.0
2015-10-01,153.0
2015-10-05,153.5
2015-10-06,153.4
2015-10-07,154.75
2015-10-08,152.35
2015-10-09,156.95
2015-10-12,163.0
2015-10-13,164.2
2015-10-14,173.1
2015-10-15,172.2
2015-10-16,169.6
2015-10-19,163.4
2015-10-20,162.4
2015-10-21,158.55
2015-10-23,161.8
2015-10-26,165.4
2015-10-27,162.45
2015-10-28,159.95
2015-10-29,159.4
2015-10-30,156.7
2015-11-02,158.45
2015-11-03,157.75
2015-11-04,159.35
2015-11-05,156.6
2015-11-06,160.65
2015-11-09,160.05
2015-11-10,165.4
2015-11-11,176.4
2015-11-13,200.5
2015-11-16,197.55
2015-11-17,194.7
2015-11-18,185.2
2015-11-19,211.05
2015-11-20,213.15
2015-11-23,228.35
2015-11-24,236.2
2015-11-26,253.5
2015-11-27,245.55
2015-11-30,250.3
2015-12-01,258.35
2015-12-02,253.95
2015-12-03,243.55
2015-12-04,245.5
2015-12-07,249.0
2015-12-08,243.95
2015-12-09,234.0
2015-12-10,248.55
2015-12-11,241.55
2015-12-14,247.55
2015-12-15,253.6
2015-12-16,251.05
2015-12-17,249.15
2015-12-18,251.55
2015-12-21,249.05
2015-12-22,244.3
2015-12-23,244.05
2015-12-24,242.8
2015-12-28,242.8
2015-12-29,240.25
2015-12-30,240.7
2015-12-31,241.95
