Date,TECHM
2015-01-01,2594.55
2015-01-02,2607.25
2015-01-05,2563.75
2015-01-06,2536.25
2015-01-07,2524.4
2015-01-08,2566.65
2015-01-09,2680.35
2015-01-12,2754.0
2015-01-13,2761.1
2015-01-14,2791.55
2015-01-15,2781.8
2015-01-16,2816.95
2015-01-19,2800.25
2015-01-20,2801.8
2015-01-21,2796.5
2015-01-22,2758.1
2015-01-23,2780.75
2015-01-27,2816.65
2015-01-28,2873.35
2015-01-29,2904.4
2015-01-30,2868.5
2015-02-02,2895.05
2015-02-03,2919.15
2015-02-04,2852.25
2015-02-05,2867.75
2015-02-06,2860.35
2015-02-09,2820.45
2015-02-10,2762.5
2015-02-11,2841.75
2015-02-12,2909.3
2015-02-13,2886.55
2015-02-16,2899.55
2015-02-18,2892.25
2015-02-19,2830.15
2015-02-20,2810.2
2015-02-23,2778.75
2015-02-24,2791.3
2015-02-25,2762.55
2015-02-26,2748.1
2015-02-27,2835.75
2015-02-28,2863.3
2015-03-02,2860.05
2015-03-03,2908.5
2015-03-04,2879.5
2015-03-05,2878.15
2015-03-09,2811.35
2015-03-10,2839.8
2015-03-11,2921.65
2015-03-12,2857.0
2015-03-13,2818.4
2015-03-16,2827.95
2015-03-17,2862.9
2015-03-18,2800.5
2015-03-19,687.15
2015-03-20,678.3
2015-03-23,656.8
2015-03-24,659.65
2015-03-25,656.35
2015-03-26,651.15
2015-03-27,645.9
2015-03-30,626.95
2015-03-31,629.7
2015-04-01,632.7
2015-04-06,643.35
2015-04-07,652.85
2015-04-08,672.3
2015-04-09,670.4
2015-04-10,660.2
2015-04-13,664.4
2015-04-15,659.85
2015-04-16,656.05
2015-04-17,641.05
2015-04-20,632.3
2015-04-21,637.5
2015-04-22,629.8
2015-04-23,615.2
2015-04-24,587.5
2015-04-27,587.25
2015-04-28,608.6
2015-04-29,616.9
2015-04-30,621.35
2015-05-04,611.75
2015-05-05,609.95
2015-05-06,608.9
2015-05-07,614.25
2015-05-08,621.4
2015-05-11,631.3
2015-05-12,616.2
2015-05-13,616.35
2015-05-14,615.45
2015-05-15,618.35
2015-05-18,612.6
2015-05-19,619.25
2015-05-20,640.8
2015-05-21,655.6
2015-05-22,667.05
2015-05-25,648.45
2015-05-26,640.25
2015-05-27,549.1
2015-05-28,545.1
2015-05-29,554.4
2015-06-01,550.6
2015-06-02,549.4
2015-06-03,547.35
2015-06-04,557.25
2015-06-05,553.5
2015-06-08,550.55
2015-06-09,540.5
2015-06-10,556.3
2015-06-11,557.55
2015-06-12,551.45
2015-06-15,554.05
2015-06-16,551.45
2015-06-17,549.15
2015-06-18,541.2
2015-06-19,544.15
2015-06-22,551.45
2015-06-23,553.6
2015-06-24,545.3
2015-06-25,529.8
2015-06-26,521.8
2015-06-29,483.35
2015-06-30,477.8
2015-07-01,486.15
2015-07-02,479.3
2015-07-03,471.6
2015-07-06,464.55
2015-07-07,471.4
2015-07-08,470.3
2015-07-09,474.3
2015-07-10,474.0
2015-07-13,475.8
2015-07-14,476.9
2015-07-15,479.95
2015-07-16,491.8
2015-07-17,502.15
2015-07-20,500.8
2015-07-21,509.4
2015-07-22,510.15
2015-07-23,500.05
2015-07-24,511.05
2015-07-27,519.55
2015-07-28,523.55
2015-07-29,525.55
2015-07-30,524.35
2015-07-31,530.7
2015-08-03,523.6
2015-08-04,542.05
2015-08-05,550.6
2015-08-06,533.9
2015-08-07,535.15
2015-08-10,530.95
2015-08-11,540.65
2015-08-12,557.55
2015-08-13,551.3
2015-08-14,555.05
2015-08-17,551.9
2015-08-18,562.45
2015-08-19,560.3
2015-08-20,558.9
2015-08-21,563.05
2015-08-24,523.65
2015-08-25,528.0
2015-08-26,507.3
2015-08-27,519.55
2015-08-28,516.3
2015-08-31,515.0
2015-09-01,512.3
2015-09-02,536.0
2015-09-03,540.4
2015-09-04,529.3
2015-09-07,538.0
2015-09-08,537.2
2015-09-09,533.4
2015-09-10,533.8
2015-09-11,525.05
2015-09-14,525.8
2015-09-15,541.5
2015-09-16,544.15
2015-09-18,561.5
2015-09-21,567.5
2015-09-22,557.8
2015-09-23,556.1
2015-09-24,567.35
2015-09-28,573.4
2015-09-29,570.4
2015-09-30,557.35
2015-10-01,563.0
2015-10-05,569.9
2015-10-06,564.75
2015-10-07,566.3
2015-10-08,563.0
2015-10-09,561.2
2015-10-12,562.75
2015-10-13,561.0
2015-10-14,548.05
2015-10-15,545.3
2015-10-16,545.8
2015-10-19,541.6
2015-10-20,548.1
2015-10-21,539.45
2015-10-23,540.1
2015-10-26,542.65
2015-10-27,538.8
2015-10-28,549.55
2015-10-29,549.0
2015-10-30,539.15
2015-11-02,556.05
2015-11-03,556.75
2015-11-04,542.9
2015-11-05,534.95
2015-11-06,533.45
2015-11-09,532.4
2015-11-10,524.95
2015-11-11,525.55
2015-11-13,520.05
2015-11-16,515.95
2015-11-17,523.5
2015-11-18,516.7
2015-11-19,534.4
2015-11-20,534.9
2015-11-23,539.0
2015-11-24,537.55
2015-11-26,529.6
2015-11-27,534.3
2015-11-30,533.45
2015-12-01,542.15
2015-12-02,540.0
2015-12-03,542.6
2015-12-04,536.35
2015-12-07,544.65
2015-12-08,530.7
2015-12-09,527.35
2015-12-10,538.75
2015-12-11,536.95
2015-12-14,543.65
2015-12-15,519.95
2015-12-16,523.35
2015-12-17,530.0
2015-12-18,523.25
2015-12-21,521.85
2015-12-22,519.55
2015-12-23,518.05
2015-12-24,516.95
2015-12-28,518.8
2015-12-29,518.95
2015-12-30,525.15
2015-12-31,521.65
