Date,EMAMILTD
2015-01-01,793.4
2015-01-02,782.5
2015-01-05,779.25
2015-01-06,758.7
2015-01-07,762.85
2015-01-08,758.9
2015-01-09,767.55
2015-01-12,803.45
2015-01-13,856.5
2015-01-14,883.85
2015-01-15,867.1
2015-01-16,876.0
2015-01-19,873.15
2015-01-20,853.9
2015-01-21,859.85
2015-01-22,891.1
2015-01-23,898.15
2015-01-27,934.6
2015-01-28,929.2
2015-01-29,917.7
2015-01-30,919.75
2015-02-02,923.0
2015-02-03,940.6
2015-02-04,923.8
2015-02-05,918.1
2015-02-06,895.6
2015-02-09,935.65
2015-02-10,955.25
2015-02-11,997.55
2015-02-12,1002.1
2015-02-13,1016.8
2015-02-16,1028.4
2015-02-18,1020.0
2015-02-19,990.1
2015-02-20,970.55
2015-02-23,1003.1
2015-02-24,997.9
2015-02-25,986.7
2015-02-26,971.1
2015-02-27,959.25
2015-02-28,963.85
2015-03-02,964.5
2015-03-03,994.9
2015-03-04,1030.05
2015-03-05,1043.55
2015-03-09,1026.55
2015-03-10,1080.05
2015-03-11,1080.8
2015-03-12,1122.65
2015-03-13,1069.85
2015-03-16,1064.9
2015-03-17,1077.75
2015-03-18,1099.25
2015-03-19,1057.5
2015-03-20,1005.15
2015-03-23,991.85
2015-03-24,983.2
2015-03-25,1017.8
2015-03-26,1012.35
2015-03-27,1010.95
2015-03-30,998.65
2015-03-31,1001.2
2015-04-01,996.35
2015-04-06,1014.6
2015-04-07,1035.45
2015-04-08,1089.0
2015-04-09,1072.8
2015-04-10,1110.05
2015-04-13,1098.7
2015-04-15,1075.2
2015-04-16,1050.7
2015-04-17,1043.95
2015-04-20,1004.2
2015-04-21,1009.95
2015-04-22,1003.05
2015-04-23,993.25
2015-04-24,971.9
2015-04-27,941.15
2015-04-28,944.45
2015-04-29,937.4
2015-04-30,930.45
2015-05-04,906.9
2015-05-05,924.65
2015-05-06,911.5
2015-05-07,881.45
2015-05-08,905.8
2015-05-11,945.15
2015-05-12,928.85
2015-05-13,936.65
2015-05-14,1017.95
2015-05-15,1032.65
2015-05-18,1041.3
2015-05-19,1046.9
2015-05-20,1030.9
2015-05-21,1012.55
2015-05-22,1026.4
2015-05-25,1024.65
2015-05-26,1035.4
2015-05-27,1081.15
2015-05-28,1103.85
2015-05-29,1120.35
2015-06-01,1134.5
2015-06-02,1063.65
2015-06-03,1088.95
2015-06-04,1076.7
2015-06-05,1105.7
2015-06-08,1069.15
2015-06-09,1078.65
2015-06-10,1085.95
2015-06-11,1093.95
2015-06-12,1068.8
2015-06-15,1040.8
2015-06-16,1011.8
2015-06-17,1062.85
2015-06-18,1059.25
2015-06-19,1051.3
2015-06-22,1058.95
2015-06-23,1071.7
2015-06-24,1095.75
2015-06-25,1090.75
2015-06-26,1134.15
2015-06-29,1121.1
2015-06-30,1159.75
2015-07-01,1184.2
2015-07-02,1223.1
2015-07-03,1212.0
2015-07-06,1221.15
2015-07-07,1252.55
2015-07-08,1249.65
2015-07-09,1172.8
2015-07-10,1112.9
2015-07-13,1126.8
2015-07-14,1151.75
2015-07-15,1172.0
2015-07-16,1189.45
2015-07-17,1161.0
2015-07-20,1167.9
2015-07-21,1154.9
2015-07-22,1159.7
2015-07-23,1167.8
2015-07-24,1157.3
2015-07-27,1175.85
2015-07-28,1213.1
2015-07-29,1266.7
2015-07-30,1321.95
2015-07-31,1311.0
2015-08-03,1329.4
2015-08-04,1330.5
2015-08-05,1323.85
2015-08-06,1318.6
2015-08-07,1313.2
2015-08-10,1282.35
2015-08-11,1268.5
2015-08-12,1239.35
2015-08-13,1275.1
2015-08-14,1300.95
2015-08-17,1284.25
2015-08-18,1310.2
2015-08-19,1314.4
2015-08-20,1319.7
2015-08-21,1306.35
2015-08-24,1184.15
2015-08-25,1200.1
2015-08-26,1236.1
2015-08-27,1230.35
2015-08-28,1188.8
2015-08-31,1192.0
2015-09-01,1172.8
2015-09-02,1218.85
2015-09-03,1253.7
2015-09-04,1247.05
2015-09-07,1216.45
2015-09-08,1223.15
2015-09-09,1213.9
2015-09-10,1219.95
2015-09-11,1219.0
2015-09-14,1228.05
2015-09-15,1218.65
2015-09-16,1158.2
2015-09-18,1095.8
2015-09-21,1070.6
2015-09-22,1083.75
2015-09-23,1099.8
2015-09-24,1095.75
2015-09-28,1120.95
2015-09-29,1152.05
2015-09-30,1152.6
2015-10-01,1171.7
2015-10-05,1210.95
2015-10-06,1166.8
2015-10-07,1175.55
2015-10-08,1163.75
2015-10-09,1158.65
2015-10-12,1110.15
2015-10-13,1093.9
2015-10-14,1068.1
2015-10-15,1080.05
2015-10-16,1073.6
2015-10-19,1121.7
2015-10-20,1131.3
2015-10-21,1123.55
2015-10-23,1090.6
2015-10-26,1079.15
2015-10-27,1096.9
2015-10-28,1081.9
2015-10-29,1048.95
2015-10-30,1071.6
2015-11-02,1022.75
2015-11-03,1030.9
2015-11-04,1036.6
2015-11-05,1038.05
2015-11-06,1055.3
2015-11-09,1060.15
2015-11-10,1052.7
2015-11-11,1059.5
2015-11-13,1012.2
2015-11-16,992.55
2015-11-17,1000.3
2015-11-18,1000.5
2015-11-19,994.95
2015-11-20,1003.95
2015-11-23,981.75
2015-11-24,929.2
2015-11-26,931.5
2015-11-27,911.8
2015-11-30,928.15
2015-12-01,946.75
2015-12-02,964.7
2015-12-03,993.7
2015-12-04,1009.45
2015-12-07,1002.65
2015-12-08,996.9
2015-12-09,982.1
2015-12-10,983.85
2015-12-11,988.1
2015-12-14,1002.9
2015-12-15,1006.55
2015-12-16,997.95
2015-12-17,1001.3
2015-12-18,979.25
2015-12-21,984.65
2015-12-22,983.85
2015-12-23,986.45
2015-12-24,986.85
2015-12-28,979.9
2015-12-29,977.9
2015-12-30,997.5
2015-12-31,999.5
