Date,ARCHIES
2015-01-01,28.4
2015-01-02,28.7
2015-01-05,27.55
2015-01-06,26.6
2015-01-07,26.35
2015-01-08,26.65
2015-01-09,28.15
2015-01-12,27.9
2015-01-13,27.3
2015-01-14,27.1
2015-01-15,27.3
2015-01-16,26.5
2015-01-19,27.3
2015-01-20,27.25
2015-01-21,26.9
2015-01-22,26.75
2015-01-23,26.9
2015-01-27,26.6
2015-01-28,26.35
2015-01-29,26.0
2015-01-30,26.15
2015-02-02,27.3
2015-02-03,26.45
2015-02-04,27.3
2015-02-05,27.4
2015-02-06,28.65
2015-02-09,25.9
2015-02-10,25.8
2015-02-11,26.0
2015-02-12,26.2
2015-02-13,26.4
2015-02-16,26.05
2015-02-18,25.35
2015-02-19,24.75
2015-02-20,24.4
2015-02-23,24.1
2015-02-24,23.0
2015-02-25,22.75
2015-02-26,22.8
2015-02-27,22.7
2015-02-28,22.25
2015-03-02,22.75
2015-03-03,22.7
2015-03-04,22.5
2015-03-05,22.25
2015-03-09,21.5
2015-03-10,20.4
2015-03-11,21.05
2015-03-12,22.1
2015-03-13,20.95
2015-03-16,20.55
2015-03-17,20.1
2015-03-18,19.75
2015-03-19,20.25
2015-03-20,19.6
2015-03-23,19.25
2015-03-24,18.9
2015-03-25,18.35
2015-03-26,18.05
2015-03-27,17.55
2015-03-30,19.35
2015-03-31,19.0
2015-04-01,19.25
2015-04-06,20.05
2015-04-07,20.1
2015-04-08,21.85
2015-04-09,21.4
2015-04-10,21.3
2015-04-13,21.6
2015-04-15,21.15
2015-04-16,20.55
2015-04-17,20.45
2015-04-20,19.65
2015-04-21,19.35
2015-04-22,18.95
2015-04-23,18.9
2015-04-24,18.3
2015-04-27,18.35
2015-04-28,18.0
2015-04-29,17.95
2015-04-30,17.8
2015-05-04,18.2
2015-05-05,18.25
2015-05-06,17.85
2015-05-07,17.7
2015-05-08,17.85
2015-05-11,18.0
2015-05-12,18.1
2015-05-13,20.2
2015-05-14,20.55
2015-05-15,20.7
2015-05-18,21.6
2015-05-19,23.5
2015-05-20,22.75
2015-05-21,21.55
2015-05-22,20.65
2015-05-25,20.45
2015-05-26,20.45
2015-05-27,20.7
2015-05-28,20.2
2015-05-29,20.1
2015-06-01,19.65
2015-06-02,19.1
2015-06-03,18.25
2015-06-04,18.35
2015-06-05,18.55
2015-06-08,18.15
2015-06-09,17.95
2015-06-10,18.55
2015-06-11,18.2
2015-06-12,17.95
2015-06-15,18.45
2015-06-16,18.6
2015-06-17,18.6
2015-06-18,19.2
2015-06-19,18.95
2015-06-22,19.5
2015-06-23,19.7
2015-06-24,19.4
2015-06-25,19.05
2015-06-26,18.8
2015-06-29,18.25
2015-06-30,18.55
2015-07-01,19.3
2015-07-02,19.0
2015-07-03,20.45
2015-07-06,23.2
2015-07-07,24.8
2015-07-08,25.85
2015-07-09,30.1
2015-07-10,27.15
2015-07-13,27.65
2015-07-14,27.9
2015-07-15,26.1
2015-07-16,26.65
2015-07-17,26.25
2015-07-20,28.85
2015-07-21,28.8
2015-07-22,29.5
2015-07-23,29.2
2015-07-24,31.9
2015-07-27,31.7
2015-07-28,31.8
2015-07-29,32.3
2015-07-30,32.3
2015-07-31,30.05
2015-08-03,28.3
2015-08-04,28.95
2015-08-05,29.65
2015-08-06,29.25
2015-08-07,31.1
2015-08-10,32.1
2015-08-11,30.8
2015-08-12,29.55
2015-08-13,28.45
2015-08-14,29.35
2015-08-17,29.5
2015-08-18,29.45
2015-08-19,30.15
2015-08-20,30.8
2015-08-21,32.0
2015-08-24,26.0
2015-08-25,26.8
2015-08-26,26.85
2015-08-27,27.95
2015-08-28,28.35
2015-08-31,27.4
2015-09-01,26.7
2015-09-02,26.05
2015-09-03,26.65
2015-09-04,25.7
2015-09-07,24.8
2015-09-08,23.35
2015-09-09,24.45
2015-09-10,24.3
2015-09-11,24.3
2015-09-14,24.5
2015-09-15,24.95
2015-09-16,24.6
2015-09-18,24.6
2015-09-21,26.9
2015-09-22,27.5
2015-09-23,26.5
2015-09-24,26.35
2015-09-28,25.7
2015-09-29,25.35
2015-09-30,25.75
2015-10-01,25.75
2015-10-05,26.3
2015-10-06,26.75
2015-10-07,29.25
2015-10-08,30.5
2015-10-09,32.85
2015-10-12,31.25
2015-10-13,30.9
2015-10-14,30.8
2015-10-15,30.6
2015-10-16,30.6
2015-10-19,30.45
2015-10-20,30.4
2015-10-21,29.6
2015-10-23,30.0
2015-10-26,28.4
2015-10-27,28.25
2015-10-28,28.35
2015-10-29,29.3
2015-10-30,30.2
2015-11-02,29.65
2015-11-03,30.7
2015-11-04,30.45
2015-11-05,29.3
2015-11-06,28.7
2015-11-09,28.55
2015-11-10,26.75
2015-11-11,27.5
2015-11-13,27.0
2015-11-16,27.2
2015-11-17,27.95
2015-11-18,27.65
2015-11-19,27.55
2015-11-20,27.45
2015-11-23,27.6
2015-11-24,27.7
2015-11-26,28.3
2015-11-27,28.2
2015-11-30,28.5
2015-12-01,30.15
2015-12-02,31.0
2015-12-03,29.7
2015-12-04,29.45
2015-12-07,28.8
2015-12-08,28.45
2015-12-09,26.75
2015-12-10,27.15
2015-12-11,26.6
2015-12-14,26.7
2015-12-15,27.0
2015-12-16,26.8
2015-12-17,27.55
2015-12-18,28.75
2015-12-21,31.75
2015-12-22,30.5
2015-12-23,30.1
2015-12-24,30.15
2015-12-28,31.85
2015-12-29,32.35
2015-12-30,31.95
2015-12-31,31.3
