Date,UNITY
2015-01-01,23.8
2015-01-02,23.75
2015-01-05,23.85
2015-01-06,22.65
2015-01-07,22.3
2015-01-08,23.2
2015-01-09,22.6
2015-01-12,22.05
2015-01-13,22.45
2015-01-14,22.0
2015-01-15,23.45
2015-01-16,26.0
2015-01-19,25.65
2015-01-20,25.9
2015-01-21,24.8
2015-01-22,24.2
2015-01-23,23.85
2015-01-27,23.3
2015-01-28,22.75
2015-01-29,23.45
2015-01-30,23.95
2015-02-02,24.4
2015-02-03,23.7
2015-02-04,25.55
2015-02-05,23.3
2015-02-06,22.75
2015-02-09,21.8
2015-02-10,21.7
2015-02-11,21.85
2015-02-12,22.25
2015-02-13,21.85
2015-02-16,22.1
2015-02-18,22.8
2015-02-19,22.5
2015-02-20,23.05
2015-02-23,22.6
2015-02-24,21.9
2015-02-25,21.85
2015-02-26,21.7
2015-02-27,22.85
2015-02-28,22.6
2015-03-02,23.2
2015-03-03,26.05
2015-03-04,25.6
2015-03-05,24.85
2015-03-09,23.95
2015-03-10,23.4
2015-03-11,22.9
2015-03-12,22.95
2015-03-13,21.8
2015-03-16,21.35
2015-03-17,21.2
2015-03-18,20.5
2015-03-19,20.15
2015-03-20,18.8
2015-03-23,17.95
2015-03-24,18.05
2015-03-25,17.6
2015-03-26,17.25
2015-03-27,16.95
2015-03-30,17.0
2015-03-31,16.55
2015-04-01,17.4
2015-04-06,18.4
2015-04-07,18.85
2015-04-08,19.45
2015-04-09,19.35
2015-04-10,19.6
2015-04-13,20.3
2015-04-15,19.95
2015-04-16,19.1
2015-04-17,18.9
2015-04-20,18.0
2015-04-21,17.9
2015-04-22,17.9
2015-04-23,17.95
2015-04-24,17.5
2015-04-27,16.8
2015-04-28,17.05
2015-04-29,17.05
2015-04-30,17.05
2015-05-04,17.5
2015-05-05,17.35
2015-05-06,16.6
2015-05-07,16.05
2015-05-08,16.45
2015-05-11,16.5
2015-05-12,16.05
2015-05-13,16.15
2015-05-14,16.3
2015-05-15,16.2
2015-05-18,16.25
2015-05-19,16.2
2015-05-20,16.2
2015-05-21,15.95
2015-05-22,16.0
2015-05-25,16.05
2015-05-26,16.0
2015-05-27,16.5
2015-05-28,16.0
2015-05-29,15.6
2015-06-01,15.6
2015-06-02,15.0
2015-06-03,13.5
2015-06-04,13.25
2015-06-05,13.2
2015-06-08,13.2
2015-06-09,12.05
2015-06-10,12.05
2015-06-11,11.8
2015-06-12,11.25
2015-06-15,13.5
2015-06-16,13.75
2015-06-17,13.75
2015-06-18,13.6
2015-06-19,13.5
2015-06-22,14.05
2015-06-23,14.35
2015-06-24,13.95
2015-06-25,13.6
2015-06-26,13.3
2015-06-29,12.8
2015-06-30,13.35
2015-07-01,13.7
2015-07-02,13.3
2015-07-03,13.3
2015-07-06,13.6
2015-07-07,15.1
2015-07-08,14.85
2015-07-09,14.6
2015-07-10,14.3
2015-07-13,14.3
2015-07-14,14.4
2015-07-15,14.35
2015-07-16,14.25
2015-07-17,14.15
2015-07-20,14.0
2015-07-21,13.65
2015-07-22,13.65
2015-07-23,14.6
2015-07-24,14.0
2015-07-27,13.85
2015-07-28,13.85
2015-07-29,15.1
2015-07-30,15.4
2015-07-31,14.85
2015-08-03,14.8
2015-08-04,14.85
2015-08-05,15.3
2015-08-06,15.45
2015-08-07,14.95
2015-08-10,15.05
2015-08-11,15.05
2015-08-12,14.4
2015-08-13,13.9
2015-08-14,14.1
2015-08-17,13.9
2015-08-18,13.9
2015-08-19,13.45
2015-08-20,13.2
2015-08-21,12.75
2015-08-24,11.1
2015-08-25,10.9
2015-08-26,11.15
2015-08-27,11.7
2015-08-28,11.35
2015-08-31,11.55
2015-09-01,11.4
2015-09-02,11.15
2015-09-03,11.2
2015-09-04,10.8
2015-09-07,10.55
2015-09-08,10.5
2015-09-09,10.8
2015-09-10,10.65
2015-09-11,10.7
2015-09-14,10.9
2015-09-15,10.75
2015-09-16,10.85
2015-09-18,10.95
2015-09-21,11.2
2015-09-22,11.25
2015-09-23,11.9
2015-09-24,12.0
2015-09-28,12.2
2015-09-29,12.0
2015-09-30,12.65
2015-10-01,12.95
2015-10-05,12.9
2015-10-06,13.25
2015-10-07,13.35
2015-10-08,13.05
2015-10-09,13.0
2015-10-12,12.9
2015-10-13,13.05
2015-10-14,13.55
2015-10-15,13.45
2015-10-16,13.6
2015-10-19,13.65
2015-10-20,13.8
2015-10-21,13.7
2015-10-23,13.55
2015-10-26,13.2
2015-10-27,12.85
2015-10-28,12.65
2015-10-29,12.65
2015-10-30,12.4
2015-11-02,12.05
2015-11-03,12.05
2015-11-04,12.05
2015-11-05,11.75
2015-11-06,11.75
2015-11-09,11.7
2015-11-10,11.1
2015-11-11,11.7
2015-11-13,11.6
2015-11-16,11.75
2015-11-17,11.75
2015-11-18,12.1
2015-11-19,12.05
2015-11-20,11.75
2015-11-23,11.7
2015-11-24,12.05
2015-11-26,12.5
2015-11-27,13.55
2015-11-30,14.0
2015-12-01,14.45
2015-12-02,15.45
2015-12-03,15.9
2015-12-04,14.6
2015-12-07,14.6
2015-12-08,13.8
2015-12-09,13.05
2015-12-10,13.15
2015-12-11,13.05
2015-12-14,13.35
2015-12-15,13.85
2015-12-16,13.5
2015-12-17,14.15
2015-12-18,14.0
2015-12-21,14.1
2015-12-22,14.45
2015-12-23,14.6
2015-12-24,14.55
2015-12-28,14.5
2015-12-29,14.15
2015-12-30,15.45
2015-12-31,15.6
