Date,CENTURYPLY
2015-01-01,160.3
2015-01-02,162.1
2015-01-05,161.7
2015-01-06,157.9
2015-01-07,155.05
2015-01-08,164.9
2015-01-09,169.25
2015-01-12,170.45
2015-01-13,168.35
2015-01-14,165.95
2015-01-15,164.15
2015-01-16,164.95
2015-01-19,173.6
2015-01-20,172.85
2015-01-21,192.75
2015-01-22,185.45
2015-01-23,178.35
2015-01-27,177.4
2015-01-28,185.2
2015-01-29,188.85
2015-01-30,183.75
2015-02-02,184.05
2015-02-03,184.85
2015-02-04,183.45
2015-02-05,186.7
2015-02-06,184.05
2015-02-09,182.5
2015-02-10,185.75
2015-02-11,189.35
2015-02-12,196.45
2015-02-13,208.3
2015-02-16,208.85
2015-02-18,208.55
2015-02-19,208.35
2015-02-20,209.85
2015-02-23,202.65
2015-02-24,213.35
2015-02-25,223.4
2015-02-26,220.25
2015-02-27,226.8
2015-02-28,234.0
2015-03-02,248.7
2015-03-03,246.95
2015-03-04,240.75
2015-03-05,238.8
2015-03-09,244.15
2015-03-10,240.6
2015-03-11,235.95
2015-03-12,235.9
2015-03-13,226.35
2015-03-16,218.8
2015-03-17,225.45
2015-03-18,236.7
2015-03-19,241.35
2015-03-20,243.0
2015-03-23,247.15
2015-03-24,244.4
2015-03-25,240.0
2015-03-26,234.35
2015-03-27,229.1
2015-03-30,238.9
2015-03-31,233.65
2015-04-01,243.45
2015-04-06,246.25
2015-04-07,241.45
2015-04-08,239.4
2015-04-09,241.8
2015-04-10,238.7
2015-04-13,244.65
2015-04-15,242.7
2015-04-16,237.6
2015-04-17,239.3
2015-04-20,233.5
2015-04-21,228.4
2015-04-22,226.5
2015-04-23,228.6
2015-04-24,218.4
2015-04-27,204.6
2015-04-28,217.0
2015-04-29,209.15
2015-04-30,204.3
2015-05-04,209.75
2015-05-05,202.0
2015-05-06,184.55
2015-05-07,175.8
2015-05-08,176.25
2015-05-11,177.55
2015-05-12,172.4
2015-05-13,175.85
2015-05-14,172.75
2015-05-15,174.8
2015-05-18,193.1
2015-05-19,193.15
2015-05-20,198.7
2015-05-21,206.25
2015-05-22,210.8
2015-05-25,204.75
2015-05-26,204.75
2015-05-27,203.85
2015-05-28,202.05
2015-05-29,209.3
2015-06-01,207.55
2015-06-02,201.5
2015-06-03,191.45
2015-06-04,189.1
2015-06-05,194.85
2015-06-08,183.65
2015-06-09,180.75
2015-06-10,187.15
2015-06-11,176.15
2015-06-12,170.5
2015-06-15,177.05
2015-06-16,185.7
2015-06-17,182.5
2015-06-18,187.9
2015-06-19,202.6
2015-06-22,198.1
2015-06-23,195.85
2015-06-24,193.6
2015-06-25,192.5
2015-06-26,192.05
2015-06-29,184.7
2015-06-30,196.25
2015-07-01,196.1
2015-07-02,197.75
2015-07-03,195.2
2015-07-06,198.35
2015-07-07,196.75
2015-07-08,193.0
2015-07-09,196.55
2015-07-10,197.45
2015-07-13,198.9
2015-07-14,190.35
2015-07-15,191.65
2015-07-16,193.65
2015-07-17,193.0
2015-07-20,197.2
2015-07-21,196.15
2015-07-22,190.55
2015-07-23,188.55
2015-07-24,194.75
2015-07-27,194.0
2015-07-28,192.8
2015-07-29,206.05
2015-07-30,214.65
2015-07-31,208.55
2015-08-03,206.0
2015-08-04,207.6
2015-08-05,210.15
2015-08-06,202.45
2015-08-07,195.65
2015-08-10,194.65
2015-08-11,190.85
2015-08-12,187.1
2015-08-13,184.15
2015-08-14,185.95
2015-08-17,186.7
2015-08-18,194.85
2015-08-19,188.05
2015-08-20,181.7
2015-08-21,176.75
2015-08-24,155.35
2015-08-25,155.05
2015-08-26,156.65
2015-08-27,158.3
2015-08-28,157.15
2015-08-31,153.35
2015-09-01,147.75
2015-09-02,145.2
2015-09-03,144.6
2015-09-04,140.85
2015-09-07,143.55
2015-09-08,148.05
2015-09-09,152.45
2015-09-10,156.15
2015-09-11,159.4
2015-09-14,160.95
2015-09-15,159.6
2015-09-16,158.85
2015-09-18,161.6
2015-09-21,160.6
2015-09-22,155.3
2015-09-23,159.35
2015-09-24,158.7
2015-09-28,157.0
2015-09-29,156.4
2015-09-30,155.65
2015-10-01,156.7
2015-10-05,158.8
2015-10-06,170.55
2015-10-07,175.25
2015-10-08,174.55
2015-10-09,174.6
2015-10-12,171.9
2015-10-13,174.6
2015-10-14,183.7
2015-10-15,184.85
2015-10-16,184.4
2015-10-19,183.75
2015-10-20,182.35
2015-10-21,183.95
2015-10-23,182.25
2015-10-26,178.85
2015-10-27,179.45
2015-10-28,179.3
2015-10-29,171.8
2015-10-30,175.0
2015-11-02,181.2
2015-11-03,181.1
2015-11-04,179.65
2015-11-05,172.4
2015-11-06,175.45
2015-11-09,180.9
2015-11-10,175.15
2015-11-11,180.65
2015-11-13,175.65
2015-11-16,181.5
2015-11-17,178.25
2015-11-18,176.5
2015-11-19,178.05
2015-11-20,177.6
2015-11-23,181.45
2015-11-24,184.2
2015-11-26,183.55
2015-11-27,181.35
2015-11-30,192.1
2015-12-01,192.6
2015-12-02,193.35
2015-12-03,190.45
2015-12-04,189.85
2015-12-07,193.6
2015-12-08,188.15
2015-12-09,177.95
2015-12-10,176.7
2015-12-11,176.2
2015-12-14,176.3
2015-12-15,175.5
2015-12-16,173.1
2015-12-17,172.2
2015-12-18,169.15
2015-12-21,169.3
2015-12-22,166.65
2015-12-23,175.0
2015-12-24,176.15
2015-12-28,176.15
2015-12-29,174.1
2015-12-30,171.65
2015-12-31,169.5
