Date,POLYMED
2015-01-01,918.3
2015-01-02,904.2
2015-01-05,902.3
2015-01-06,910.8
2015-01-07,903.75
2015-01-08,908.4
2015-01-09,907.3
2015-01-12,904.4
2015-01-13,907.6
2015-01-14,911.0
2015-01-15,911.9
2015-01-16,912.6
2015-01-19,911.95
2015-01-20,917.6
2015-01-21,961.95
2015-01-22,967.0
2015-01-23,991.5
2015-01-27,1008.9
2015-01-28,1008.55
2015-01-29,998.8
2015-01-30,999.15
2015-02-02,505.35
2015-02-03,513.7
2015-02-04,523.9
2015-02-05,491.65
2015-02-06,488.6
2015-02-09,501.25
2015-02-10,505.15
2015-02-11,494.8
2015-02-12,500.0
2015-02-13,499.7
2015-02-16,489.3
2015-02-18,491.95
2015-02-19,489.25
2015-02-20,490.8
2015-02-23,500.05
2015-02-24,498.45
2015-02-25,499.75
2015-02-26,487.75
2015-02-27,493.15
2015-02-28,499.2
2015-03-02,498.65
2015-03-03,499.7
2015-03-04,500.0
2015-03-05,496.15
2015-03-09,500.3
2015-03-10,499.0
2015-03-11,504.55
2015-03-12,503.4
2015-03-13,505.35
2015-03-16,499.1
2015-03-17,500.15
2015-03-18,501.95
2015-03-19,498.35
2015-03-20,499.9
2015-03-23,500.55
2015-03-24,500.0
2015-03-25,494.65
2015-03-26,497.05
2015-03-27,499.55
2015-03-30,503.2
2015-03-31,504.8
2015-04-01,506.45
2015-04-06,506.65
2015-04-07,507.55
2015-04-08,507.0
2015-04-09,510.0
2015-04-10,511.5
2015-04-13,524.95
2015-04-15,537.55
2015-04-16,535.85
2015-04-17,539.55
2015-04-20,535.0
2015-04-21,532.6
2015-04-22,534.45
2015-04-23,540.7
2015-04-24,541.0
2015-04-27,518.3
2015-04-28,522.3
2015-04-29,528.9
2015-04-30,533.9
2015-05-04,563.2
2015-05-05,529.65
2015-05-06,522.4
2015-05-07,512.7
2015-05-08,525.75
2015-05-11,535.7
2015-05-12,506.05
2015-05-13,487.65
2015-05-14,505.3
2015-05-15,509.2
2015-05-18,499.85
2015-05-19,510.15
2015-05-20,504.65
2015-05-21,497.8
2015-05-22,493.95
2015-05-25,490.3
2015-05-26,490.65
2015-05-27,489.85
2015-05-28,488.85
2015-05-29,475.8
2015-06-01,480.7
2015-06-02,487.6
2015-06-03,475.65
2015-06-04,489.1
2015-06-05,488.6
2015-06-08,482.75
2015-06-09,488.1
2015-06-10,487.2
2015-06-11,488.05
2015-06-12,488.0
2015-06-15,489.05
2015-06-16,492.9
2015-06-17,495.2
2015-06-18,496.45
2015-06-19,499.2
2015-06-22,499.95
2015-06-23,498.35
2015-06-24,500.05
2015-06-25,473.95
2015-06-26,459.45
2015-06-29,460.1
2015-06-30,460.15
2015-07-01,455.4
2015-07-02,448.85
2015-07-03,453.45
2015-07-06,456.6
2015-07-07,449.75
2015-07-08,451.25
2015-07-09,442.05
2015-07-10,423.2
2015-07-13,441.45
2015-07-14,442.5
2015-07-15,447.8
2015-07-16,441.1
2015-07-17,463.5
2015-07-20,469.15
2015-07-21,460.6
2015-07-22,463.95
2015-07-23,454.25
2015-07-24,449.25
2015-07-27,462.85
2015-07-28,453.05
2015-07-29,449.7
2015-07-30,452.85
2015-07-31,467.4
2015-08-03,424.7
2015-08-04,439.15
2015-08-05,443.35
2015-08-06,437.2
2015-08-07,453.4
2015-08-10,468.3
2015-08-11,453.55
2015-08-12,437.4
2015-08-13,439.85
2015-08-14,445.55
2015-08-17,454.2
2015-08-18,456.9
2015-08-19,455.0
2015-08-20,443.7
2015-08-21,434.6
2015-08-24,422.15
2015-08-25,411.75
2015-08-26,404.8
2015-08-27,410.1
2015-08-28,404.5
2015-08-31,397.45
2015-09-01,387.15
2015-09-02,380.2
2015-09-03,380.5
2015-09-04,376.5
2015-09-07,365.2
2015-09-08,363.5
2015-09-09,362.3
2015-09-10,364.3
2015-09-11,375.45
2015-09-14,365.95
2015-09-15,361.65
2015-09-16,362.55
2015-09-18,365.1
2015-09-21,363.6
2015-09-22,361.5
2015-09-23,363.4
2015-09-24,374.75
2015-09-28,386.5
2015-09-29,390.4
2015-09-30,384.5
2015-10-01,382.9
2015-10-05,389.8
2015-10-06,395.85
2015-10-07,396.2
2015-10-08,392.75
2015-10-09,394.9
2015-10-12,396.65
2015-10-13,391.75
2015-10-14,386.95
2015-10-15,390.8
2015-10-16,387.4
2015-10-19,399.1
2015-10-20,394.6
2015-10-21,397.3
2015-10-23,408.2
2015-10-26,394.7
2015-10-27,395.25
2015-10-28,384.45
2015-10-29,369.3
2015-10-30,342.55
2015-11-02,341.2
2015-11-03,342.15
2015-11-04,330.0
2015-11-05,333.35
2015-11-06,333.5
2015-11-09,330.95
2015-11-10,326.1
2015-11-11,330.2
2015-11-13,328.95
2015-11-16,329.85
2015-11-17,335.2
2015-11-18,326.05
2015-11-19,325.05
2015-11-20,325.45
2015-11-23,326.6
2015-11-24,325.0
2015-11-26,325.1
2015-11-27,325.0
2015-11-30,327.4
2015-12-01,325.8
2015-12-02,326.8
2015-12-03,325.7
2015-12-04,325.1
2015-12-07,326.5
2015-12-08,328.45
2015-12-09,326.05
2015-12-10,325.1
2015-12-11,325.5
2015-12-14,331.25
2015-12-15,325.85
2015-12-16,391.0
2015-12-17,412.05
2015-12-18,389.6
2015-12-21,404.05
2015-12-22,396.65
2015-12-23,432.65
2015-12-24,424.8
2015-12-28,408.5
2015-12-29,404.15
2015-12-30,398.75
2015-12-31,398.8
