Date,JAIBALAJI
2015-01-01,15.45
2015-01-02,15.45
2015-01-05,16.35
2015-01-06,15.05
2015-01-07,15.05
2015-01-08,15.1
2015-01-09,14.55
2015-01-12,14.6
2015-01-13,15.0
2015-01-14,14.5
2015-01-15,15.55
2015-01-16,15.1
2015-01-19,15.45
2015-01-20,15.35
2015-01-21,15.6
2015-01-22,15.4
2015-01-23,15.05
2015-01-27,14.8
2015-01-28,14.45
2015-01-29,14.6
2015-01-30,15.15
2015-02-02,16.9
2015-02-03,15.55
2015-02-04,16.15
2015-02-05,15.05
2015-02-06,15.45
2015-02-09,14.75
2015-02-10,14.55
2015-02-11,15.05
2015-02-12,14.6
2015-02-13,15.0
2015-02-16,14.7
2015-02-18,14.5
2015-02-19,14.9
2015-02-20,15.1
2015-02-23,15.0
2015-02-24,14.4
2015-02-25,14.2
2015-02-26,13.95
2015-02-27,14.5
2015-02-28,14.1
2015-03-02,13.75
2015-03-03,13.7
2015-03-04,13.7
2015-03-05,13.25
2015-03-09,13.6
2015-03-10,13.1
2015-03-11,12.3
2015-03-12,11.95
2015-03-13,12.3
2015-03-16,11.55
2015-03-17,11.0
2015-03-18,10.6
2015-03-19,10.7
2015-03-20,11.05
2015-03-23,10.5
2015-03-24,11.0
2015-03-25,11.1
2015-03-26,11.0
2015-03-27,11.0
2015-03-30,11.45
2015-03-31,11.0
2015-04-01,12.4
2015-04-06,12.2
2015-04-07,12.6
2015-04-08,12.55
2015-04-09,12.6
2015-04-10,13.7
2015-04-13,13.8
2015-04-15,13.8
2015-04-16,14.1
2015-04-17,14.2
2015-04-20,13.9
2015-04-21,14.1
2015-04-22,14.4
2015-04-23,14.5
2015-04-24,14.05
2015-04-27,13.5
2015-04-28,13.0
2015-04-29,13.6
2015-04-30,13.5
2015-05-04,13.15
2015-05-05,13.05
2015-05-06,13.25
2015-05-07,12.8
2015-05-08,12.25
2015-05-11,12.9
2015-05-12,12.35
2015-05-13,12.7
2015-05-14,12.6
2015-05-15,12.3
2015-05-18,11.9
2015-05-19,11.75
2015-05-20,11.7
2015-05-21,11.9
2015-05-22,11.4
2015-05-25,11.4
2015-05-26,11.65
2015-05-27,11.3
2015-05-28,11.1
2015-05-29,11.3
2015-06-01,10.95
2015-06-02,10.4
2015-06-03,9.6
2015-06-04,9.75
2015-06-05,9.5
2015-06-08,9.75
2015-06-09,8.8
2015-06-10,8.25
2015-06-11,8.55
2015-06-12,9.0
2015-06-15,8.95
2015-06-16,8.25
2015-06-17,9.9
2015-06-18,11.85
2015-06-19,12.6
2015-06-22,12.2
2015-06-23,11.25
2015-06-24,10.45
2015-06-25,10.2
2015-06-26,11.25
2015-06-29,10.7
2015-06-30,10.8
2015-07-01,10.9
2015-07-02,10.7
2015-07-03,10.3
2015-07-06,10.6
2015-07-07,10.65
2015-07-08,10.35
2015-07-09,10.1
2015-07-10,10.25
2015-07-13,10.6
2015-07-14,10.25
2015-07-15,10.0
2015-07-16,10.1
2015-07-17,10.05
2015-07-20,9.85
2015-07-21,9.75
2015-07-22,9.45
2015-07-23,9.5
2015-07-24,9.65
2015-07-27,9.25
2015-07-28,9.15
2015-07-29,9.45
2015-07-30,9.5
2015-07-31,9.85
2015-08-03,10.0
2015-08-04,10.2
2015-08-05,10.35
2015-08-06,10.1
2015-08-07,9.3
2015-08-10,9.4
2015-08-11,9.6
2015-08-12,9.25
2015-08-13,8.95
2015-08-14,9.1
2015-08-17,9.5
2015-08-18,9.1
2015-08-19,9.0
2015-08-20,9.4
2015-08-21,8.95
2015-08-24,7.95
2015-08-25,8.55
2015-08-26,9.05
2015-08-27,8.95
2015-08-28,8.4
2015-08-31,8.75
2015-09-01,7.95
2015-09-02,8.45
2015-09-03,8.05
2015-09-04,7.7
2015-09-07,8.15
2015-09-08,8.15
2015-09-09,8.0
2015-09-10,8.25
2015-09-11,8.3
2015-09-14,8.3
2015-09-15,8.15
2015-09-16,8.05
2015-09-18,8.4
2015-09-21,8.1
2015-09-22,8.0
2015-09-23,7.8
2015-09-24,8.0
2015-09-28,7.7
2015-09-29,8.0
2015-09-30,8.0
2015-10-01,7.6
2015-10-05,8.0
2015-10-06,7.8
2015-10-07,8.1
2015-10-08,8.25
2015-10-09,8.95
2015-10-12,8.95
2015-10-13,9.35
2015-10-14,9.35
2015-10-15,9.2
2015-10-16,9.25
2015-10-19,9.25
2015-10-20,8.7
2015-10-21,9.2
2015-10-23,8.85
2015-10-26,8.65
2015-10-27,8.65
2015-10-28,8.5
2015-10-29,8.0
2015-10-30,7.8
2015-11-02,7.65
2015-11-03,7.7
2015-11-04,7.35
2015-11-05,6.85
2015-11-06,6.55
2015-11-09,6.0
2015-11-10,5.95
2015-11-11,6.3
2015-11-13,6.4
2015-11-16,6.5
2015-11-17,6.45
2015-11-18,6.0
2015-11-19,6.0
2015-11-20,6.15
2015-11-23,5.95
2015-11-24,5.75
2015-11-26,5.45
2015-11-27,5.2
2015-11-30,4.95
2015-12-01,4.9
2015-12-02,5.2
2015-12-03,5.55
2015-12-04,5.4
2015-12-07,6.45
2015-12-08,7.7
2015-12-09,7.0
2015-12-10,7.05
2015-12-11,6.6
2015-12-14,6.6
2015-12-15,6.75
2015-12-16,6.95
2015-12-17,6.95
2015-12-18,6.8
2015-12-21,7.45
2015-12-22,7.1
2015-12-23,7.2
2015-12-24,7.45
2015-12-28,7.4
2015-12-29,7.7
2015-12-30,7.4
2015-12-31,7.45
