Date,PFC
2015-01-01,305.85
2015-01-02,306.8
2015-01-05,304.45
2015-01-06,287.75
2015-01-07,277.6
2015-01-08,279.5
2015-01-09,280.7
2015-01-12,283.45
2015-01-13,275.3
2015-01-14,280.1
2015-01-15,291.5
2015-01-16,290.7
2015-01-19,293.0
2015-01-20,289.8
2015-01-21,286.4
2015-01-22,279.5
2015-01-23,281.5
2015-01-27,282.75
2015-01-28,292.65
2015-01-29,296.0
2015-01-30,298.45
2015-02-02,309.85
2015-02-03,286.95
2015-02-04,281.2
2015-02-05,279.5
2015-02-06,283.25
2015-02-09,277.15
2015-02-10,284.6
2015-02-11,281.05
2015-02-12,282.35
2015-02-13,274.7
2015-02-16,281.7
2015-02-18,275.15
2015-02-19,275.75
2015-02-20,278.3
2015-02-23,273.0
2015-02-24,270.3
2015-02-25,273.0
2015-02-26,279.0
2015-02-27,293.65
2015-02-28,293.1
2015-03-02,308.7
2015-03-03,306.15
2015-03-04,292.5
2015-03-05,294.9
2015-03-09,289.6
2015-03-10,285.3
2015-03-11,287.25
2015-03-12,289.45
2015-03-13,272.35
2015-03-16,271.2
2015-03-17,278.7
2015-03-18,283.4
2015-03-19,280.6
2015-03-20,275.0
2015-03-23,275.95
2015-03-24,279.05
2015-03-25,280.4
2015-03-26,270.55
2015-03-27,264.3
2015-03-30,271.35
2015-03-31,273.05
2015-04-01,282.65
2015-04-06,278.1
2015-04-07,273.25
2015-04-08,277.95
2015-04-09,287.6
2015-04-10,287.6
2015-04-13,286.6
2015-04-15,279.65
2015-04-16,275.3
2015-04-17,278.4
2015-04-20,275.95
2015-04-21,275.7
2015-04-22,276.3
2015-04-23,276.2
2015-04-24,272.95
2015-04-27,271.25
2015-04-28,270.8
2015-04-29,263.6
2015-04-30,265.65
2015-05-04,274.75
2015-05-05,276.25
2015-05-06,270.95
2015-05-07,252.6
2015-05-08,256.45
2015-05-11,264.8
2015-05-12,260.8
2015-05-13,265.1
2015-05-14,270.35
2015-05-15,269.8
2015-05-18,272.95
2015-05-19,270.6
2015-05-20,273.05
2015-05-21,272.75
2015-05-22,277.85
2015-05-25,281.05
2015-05-26,276.25
2015-05-27,277.25
2015-05-28,280.4
2015-05-29,272.6
2015-06-01,270.05
2015-06-02,267.75
2015-06-03,260.85
2015-06-04,255.75
2015-06-05,263.25
2015-06-08,260.4
2015-06-09,261.15
2015-06-10,264.65
2015-06-11,258.0
2015-06-12,258.95
2015-06-15,261.55
2015-06-16,264.15
2015-06-17,266.85
2015-06-18,260.95
2015-06-19,266.2
2015-06-22,271.2
2015-06-23,277.6
2015-06-24,275.75
2015-06-25,272.8
2015-06-26,267.5
2015-06-29,258.4
2015-06-30,256.0
2015-07-01,259.25
2015-07-02,257.3
2015-07-03,261.3
2015-07-06,261.45
2015-07-07,257.9
2015-07-08,255.35
2015-07-09,257.05
2015-07-10,257.75
2015-07-13,262.1
2015-07-14,261.05
2015-07-15,259.3
2015-07-16,269.1
2015-07-17,266.05
2015-07-20,267.15
2015-07-21,257.5
2015-07-22,263.35
2015-07-23,260.1
2015-07-24,259.55
2015-07-27,254.25
2015-07-28,245.65
2015-07-29,243.75
2015-07-30,243.25
2015-07-31,246.15
2015-08-03,246.2
2015-08-04,250.4
2015-08-05,248.5
2015-08-06,249.05
2015-08-07,251.0
2015-08-10,246.35
2015-08-11,247.45
2015-08-12,238.5
2015-08-13,239.6
2015-08-14,243.15
2015-08-17,240.35
2015-08-18,239.8
2015-08-19,234.9
2015-08-20,231.4
2015-08-21,227.85
2015-08-24,195.1
2015-08-25,213.35
2015-08-26,211.4
2015-08-27,219.2
2015-08-28,219.8
2015-08-31,224.15
2015-09-01,223.0
2015-09-02,217.7
2015-09-03,220.0
2015-09-04,205.5
2015-09-07,208.45
2015-09-08,212.2
2015-09-09,222.5
2015-09-10,221.25
2015-09-11,219.2
2015-09-14,220.15
2015-09-15,220.95
2015-09-16,226.65
2015-09-18,230.5
2015-09-21,244.1
2015-09-22,238.25
2015-09-23,234.8
2015-09-24,236.0
2015-09-28,229.35
2015-09-29,227.5
2015-09-30,230.1
2015-10-01,226.35
2015-10-05,251.25
2015-10-06,244.65
2015-10-07,238.3
2015-10-08,235.2
2015-10-09,233.95
2015-10-12,239.25
2015-10-13,244.0
2015-10-14,238.55
2015-10-15,242.0
2015-10-16,241.75
2015-10-19,243.85
2015-10-20,245.2
2015-10-21,247.3
2015-10-23,248.8
2015-10-26,242.8
2015-10-27,245.45
2015-10-28,243.5
2015-10-29,236.5
2015-10-30,239.8
2015-11-02,242.8
2015-11-03,249.65
2015-11-04,252.7
2015-11-05,251.85
2015-11-06,232.1
2015-11-09,225.55
2015-11-10,225.45
2015-11-11,228.1
2015-11-13,225.25
2015-11-16,222.15
2015-11-17,218.85
2015-11-18,210.65
2015-11-19,213.55
2015-11-20,213.3
2015-11-23,209.35
2015-11-24,208.1
2015-11-26,208.3
2015-11-27,210.7
2015-11-30,213.3
2015-12-01,213.35
2015-12-02,213.0
2015-12-03,213.65
2015-12-04,209.25
2015-12-07,207.2
2015-12-08,200.6
2015-12-09,204.4
2015-12-10,198.6
2015-12-11,201.1
2015-12-14,206.95
2015-12-15,206.75
2015-12-16,206.8
2015-12-17,215.7
2015-12-18,212.9
2015-12-21,218.2
2015-12-22,216.2
2015-12-23,208.0
2015-12-24,204.8
2015-12-28,202.85
2015-12-29,203.75
2015-12-30,203.45
2015-12-31,201.4
