Date,BLUEDART
2015-01-01,6475.45
2015-01-02,6510.6
2015-01-05,6631.3
2015-01-06,6514.65
2015-01-07,6562.45
2015-01-08,6673.0
2015-01-09,6825.45
2015-01-12,7058.4
2015-01-13,7087.4
2015-01-14,7407.8
2015-01-15,7370.5
2015-01-16,7413.75
2015-01-19,7474.85
2015-01-20,7598.05
2015-01-21,7515.3
2015-01-22,7404.05
2015-01-23,7393.05
2015-01-27,7321.55
2015-01-28,7276.2
2015-01-29,6975.95
2015-01-30,6842.35
2015-02-02,6774.35
2015-02-03,6939.75
2015-02-04,6914.8
2015-02-05,6876.4
2015-02-06,6669.85
2015-02-09,6780.15
2015-02-10,6792.15
2015-02-11,6794.95
2015-02-12,6789.75
2015-02-13,6800.15
2015-02-16,6797.55
2015-02-18,6918.25
2015-02-19,7094.1
2015-02-20,6995.75
2015-02-23,6916.3
2015-02-24,6816.25
2015-02-25,6929.1
2015-02-26,7018.0
2015-02-27,7116.35
2015-02-28,7120.4
2015-03-02,7107.05
2015-03-03,7276.85
2015-03-04,7139.2
2015-03-05,7070.2
2015-03-09,7031.85
2015-03-10,7173.1
2015-03-11,7372.15
2015-03-12,7400.25
2015-03-13,7420.1
2015-03-16,7403.05
2015-03-17,7403.7
2015-03-18,7400.05
2015-03-19,7307.9
2015-03-20,7237.5
2015-03-23,7556.1
2015-03-24,7380.65
2015-03-25,7173.65
2015-03-26,7015.85
2015-03-27,7032.0
2015-03-30,7148.7
2015-03-31,7299.35
2015-04-01,7285.55
2015-04-06,7245.65
2015-04-07,7218.05
2015-04-08,7187.9
2015-04-09,7184.7
2015-04-10,7135.3
2015-04-13,6903.75
2015-04-15,6697.35
2015-04-16,6468.75
2015-04-17,6203.0
2015-04-20,6137.65
2015-04-21,5970.45
2015-04-22,5843.85
2015-04-23,6048.45
2015-04-24,6044.65
2015-04-27,5768.55
2015-04-28,5806.8
2015-04-29,5606.8
2015-04-30,5756.9
2015-05-04,5885.45
2015-05-05,5847.25
2015-05-06,5861.9
2015-05-07,5543.2
2015-05-08,5788.95
2015-05-11,6312.45
2015-05-12,6324.65
2015-05-13,6394.35
2015-05-14,6730.05
2015-05-15,6903.05
2015-05-18,6771.4
2015-05-19,6691.0
2015-05-20,6592.1
2015-05-21,6579.25
2015-05-22,6807.75
2015-05-25,6683.6
2015-05-26,6356.55
2015-05-27,6209.0
2015-05-28,6140.7
2015-05-29,6332.8
2015-06-01,6139.3
2015-06-02,6088.95
2015-06-03,5929.8
2015-06-04,5897.7
2015-06-05,5897.4
2015-06-08,5993.8
2015-06-09,6066.15
2015-06-10,6091.95
2015-06-11,6067.4
2015-06-12,6035.35
2015-06-15,5917.75
2015-06-16,5828.9
2015-06-17,5741.95
2015-06-18,5880.15
2015-06-19,5985.85
2015-06-22,6074.85
2015-06-23,6073.75
2015-06-24,5966.55
2015-06-25,6089.45
2015-06-26,6100.45
2015-06-29,6056.2
2015-06-30,6187.9
2015-07-01,6330.9
2015-07-02,6423.55
2015-07-03,6291.65
2015-07-06,6266.25
2015-07-07,6185.0
2015-07-08,6215.7
2015-07-09,6138.7
2015-07-10,6153.3
2015-07-13,6229.3
