Date,SUVEN
2015-01-01,211.95
2015-01-02,212.8
2015-01-05,213.65
2015-01-06,210.85
2015-01-07,209.5
2015-01-08,211.1
2015-01-09,212.35
2015-01-12,210.25
2015-01-13,207.25
2015-01-14,201.55
2015-01-15,206.0
2015-01-16,206.05
2015-01-19,207.2
2015-01-20,220.55
2015-01-21,215.0
2015-01-22,219.1
2015-01-23,214.25
2015-01-27,216.1
2015-01-28,214.5
2015-01-29,216.2
2015-01-30,221.85
2015-02-02,263.1
2015-02-03,248.5
2015-02-04,245.95
2015-02-05,242.35
2015-02-06,238.6
2015-02-09,232.5
2015-02-10,225.35
2015-02-11,223.6
2015-02-12,234.7
2015-02-13,237.6
2015-02-16,242.35
2015-02-18,242.45
2015-02-19,238.0
2015-02-20,232.95
2015-02-23,229.15
2015-02-24,230.35
2015-02-25,225.8
2015-02-26,222.25
2015-02-27,224.7
2015-02-28,224.05
2015-03-02,231.1
2015-03-03,234.75
2015-03-04,229.85
2015-03-05,233.95
2015-03-09,233.85
2015-03-10,246.25
2015-03-11,243.7
2015-03-12,261.05
2015-03-13,248.35
2015-03-16,294.85
2015-03-17,301.75
2015-03-18,307.15
2015-03-19,300.0
2015-03-20,284.4
2015-03-23,278.95
2015-03-24,296.9
2015-03-25,297.15
2015-03-26,286.2
2015-03-27,285.5
2015-03-30,289.8
2015-03-31,287.05
2015-04-01,288.85
2015-04-06,301.15
2015-04-07,316.5
2015-04-08,325.6
2015-04-09,323.05
2015-04-10,318.55
2015-04-13,327.9
2015-04-15,329.3
2015-04-16,324.8
2015-04-17,318.55
2015-04-20,301.9
2015-04-21,297.95
2015-04-22,300.9
2015-04-23,300.2
2015-04-24,297.05
2015-04-27,277.25
2015-04-28,276.95
2015-04-29,281.3
2015-04-30,280.8
2015-05-04,291.2
2015-05-05,292.2
2015-05-06,281.5
2015-05-07,274.15
2015-05-08,282.5
2015-05-11,291.05
2015-05-12,283.3
2015-05-13,295.05
2015-05-14,302.55
2015-05-15,303.7
2015-05-18,308.55
2015-05-19,315.4
2015-05-20,314.7
2015-05-21,310.45
2015-05-22,312.1
2015-05-25,299.7
2015-05-26,286.2
2015-05-27,267.75
2015-05-28,275.3
2015-05-29,280.45
2015-06-01,274.55
2015-06-02,268.8
2015-06-03,255.0
2015-06-04,245.7
2015-06-05,247.8
2015-06-08,237.6
2015-06-09,236.9
2015-06-10,241.2
2015-06-11,232.15
2015-06-12,230.75
2015-06-15,243.15
2015-06-16,245.35
2015-06-17,249.35
2015-06-18,249.6
2015-06-19,250.3
2015-06-22,252.85
2015-06-23,245.85
2015-06-24,244.0
2015-06-25,240.1
2015-06-26,235.15
2015-06-29,226.35
2015-06-30,233.5
2015-07-01,237.55
2015-07-02,233.7
2015-07-03,235.05
2015-07-06,240.1
2015-07-07,240.4
2015-07-08,235.15
2015-07-09,234.25
2015-07-10,235.05
2015-07-13,252.6
2015-07-14,261.45
2015-07-15,263.75
2015-07-16,265.35
2015-07-17,268.05
2015-07-20,275.15
2015-07-21,264.3
2015-07-22,264.05
2015-07-23,261.95
2015-07-24,250.65
2015-07-27,243.7
2015-07-28,241.75
2015-07-29,255.3
2015-07-30,264.2
2015-07-31,260.5
2015-08-03,256.7
2015-08-04,254.8
2015-08-05,253.5
2015-08-06,256.15
2015-08-07,268.85
2015-08-10,265.55
2015-08-11,261.05
2015-08-12,256.5
2015-08-13,249.0
2015-08-14,255.2
2015-08-17,247.15
2015-08-18,249.3
2015-08-19,249.6
2015-08-20,244.4
2015-08-21,241.25
2015-08-24,218.85
2015-08-25,221.55
2015-08-26,214.85
2015-08-27,217.0
2015-08-28,219.25
2015-08-31,218.4
2015-09-01,213.15
2015-09-02,215.25
2015-09-03,217.9
2015-09-04,211.5
2015-09-07,203.35
2015-09-08,202.05
2015-09-09,207.05
2015-09-10,230.8
2015-09-11,232.1
2015-09-14,229.2
2015-09-15,232.8
2015-09-16,242.35
2015-09-18,248.35
2015-09-21,261.65
2015-09-22,257.15
2015-09-23,260.75
2015-09-24,257.6
2015-09-28,254.2
2015-09-29,254.65
2015-09-30,266.7
2015-10-01,286.1
2015-10-05,294.75
2015-10-06,294.9
2015-10-07,292.5
2015-10-08,281.85
2015-10-09,281.45
2015-10-12,279.25
2015-10-13,289.35
2015-10-14,288.0
2015-10-15,282.05
2015-10-16,284.15
2015-10-19,285.0
2015-10-20,282.35
2015-10-21,281.95
2015-10-23,287.4
2015-10-26,286.4
2015-10-27,285.2
2015-10-28,280.85
2015-10-29,278.05
2015-10-30,271.05
2015-11-02,270.2
2015-11-03,274.55
2015-11-04,274.95
2015-11-05,265.8
2015-11-06,262.0
2015-11-09,264.75
2015-11-10,269.0
2015-11-11,274.9
2015-11-13,267.2
2015-11-16,267.5
2015-11-17,265.4
2015-11-18,260.4
2015-11-19,259.25
2015-11-20,261.65
2015-11-23,262.6
2015-11-24,261.3
2015-11-26,269.65
2015-11-27,266.85
2015-11-30,264.45
2015-12-01,263.4
2015-12-02,265.75
2015-12-03,262.55
2015-12-04,261.15
2015-12-07,264.4
2015-12-08,259.0
2015-12-09,248.8
2015-12-10,250.45
2015-12-11,255.05
2015-12-14,252.95
2015-12-15,252.9
2015-12-16,251.8
2015-12-17,253.7
2015-12-18,255.75
2015-12-21,257.9
2015-12-22,255.75
2015-12-23,265.2
2015-12-24,267.5
2015-12-28,262.0
2015-12-29,268.8
2015-12-30,267.25
2015-12-31,265.75
