Date,KNRCON
2015-01-01,334.05
2015-01-02,357.7
2015-01-05,361.25
2015-01-06,349.85
2015-01-07,344.55
2015-01-08,367.85
2015-01-09,355.75
2015-01-12,358.25
2015-01-13,355.6
2015-01-14,354.45
2015-01-15,362.6
2015-01-16,352.25
2015-01-19,349.35
2015-01-20,359.95
2015-01-21,389.3
2015-01-22,376.3
2015-01-23,376.25
2015-01-27,384.95
2015-01-28,379.8
2015-01-29,397.65
2015-01-30,394.9
2015-02-02,402.55
2015-02-03,402.25
2015-02-04,390.05
2015-02-05,387.6
2015-02-06,372.35
2015-02-09,357.3
2015-02-10,364.2
2015-02-11,382.05
2015-02-12,378.6
2015-02-13,378.95
2015-02-16,378.75
2015-02-18,381.1
2015-02-19,377.0
2015-02-20,376.15
2015-02-23,369.95
2015-02-24,376.25
2015-02-25,367.45
2015-02-26,359.65
2015-02-27,383.5
2015-02-28,388.5
2015-03-02,430.5
2015-03-03,441.65
2015-03-04,433.15
2015-03-05,437.15
2015-03-09,441.2
2015-03-10,459.8
2015-03-11,459.2
2015-03-12,461.8
2015-03-13,453.1
2015-03-16,439.1
2015-03-17,428.45
2015-03-18,417.3
2015-03-19,415.25
2015-03-20,408.75
2015-03-23,412.4
2015-03-24,403.5
2015-03-25,394.4
2015-03-26,397.65
2015-03-27,393.6
2015-03-30,427.9
2015-03-31,424.8
2015-04-01,427.1
2015-04-06,430.95
2015-04-07,432.6
2015-04-08,444.45
2015-04-09,437.55
2015-04-10,447.5
2015-04-13,440.95
2015-04-15,461.6
2015-04-16,449.35
2015-04-17,442.85
2015-04-20,443.5
2015-04-21,454.0
2015-04-22,455.6
2015-04-23,480.6
2015-04-24,481.35
2015-04-27,458.0
2015-04-28,467.15
2015-04-29,482.85
2015-04-30,474.1
2015-05-04,490.15
2015-05-05,485.0
2015-05-06,464.45
2015-05-07,446.65
2015-05-08,452.05
2015-05-11,460.75
2015-05-12,454.2
2015-05-13,479.25
2015-05-14,483.65
2015-05-15,513.65
2015-05-18,525.15
2015-05-19,542.65
2015-05-20,538.1
2015-05-21,531.65
2015-05-22,526.0
2015-05-25,533.75
2015-05-26,531.6
2015-05-27,494.05
2015-05-28,497.05
2015-05-29,521.05
2015-06-01,520.85
2015-06-02,500.9
2015-06-03,508.9
2015-06-04,509.0
2015-06-05,520.6
2015-06-08,510.25
2015-06-09,512.55
2015-06-10,517.35
2015-06-11,508.5
2015-06-12,517.05
2015-06-15,507.3
2015-06-16,503.25
2015-06-17,506.75
2015-06-18,535.9
2015-06-19,533.05
2015-06-22,537.25
2015-06-23,526.55
2015-06-24,522.95
2015-06-25,526.5
2015-06-26,525.35
2015-06-29,515.05
2015-06-30,524.5
2015-07-01,526.8
2015-07-02,543.6
2015-07-03,559.7
2015-07-06,572.85
2015-07-07,582.2
2015-07-08,575.75
2015-07-09,589.45
2015-07-10,592.6
2015-07-13,592.2
2015-07-14,616.05
2015-07-15,611.25
2015-07-16,603.75
2015-07-17,597.8
2015-07-20,602.7
2015-07-21,576.9
2015-07-22,575.3
2015-07-23,576.6
2015-07-24,587.75
2015-07-27,584.9
2015-07-28,586.25
2015-07-29,586.35
2015-07-30,584.45
2015-07-31,574.15
2015-08-03,565.75
2015-08-04,564.35
2015-08-05,570.85
2015-08-06,571.45
2015-08-07,572.2
2015-08-10,561.55
2015-08-11,549.0
2015-08-12,526.0
2015-08-13,522.9
2015-08-14,528.2
2015-08-17,515.25
2015-08-18,578.4
2015-08-19,561.7
2015-08-20,556.1
2015-08-21,553.65
2015-08-24,503.5
2015-08-25,526.2
2015-08-26,524.55
2015-08-27,547.8
2015-08-28,572.75
2015-08-31,571.8
2015-09-01,557.4
2015-09-02,552.4
2015-09-03,556.7
2015-09-04,536.6
2015-09-07,521.05
2015-09-08,510.6
2015-09-09,525.1
2015-09-10,508.3
2015-09-11,513.8
2015-09-14,524.55
2015-09-15,514.75
2015-09-16,515.85
2015-09-18,530.15
2015-09-21,532.65
2015-09-22,547.05
2015-09-23,562.75
2015-09-24,547.6
2015-09-28,541.75
2015-09-29,553.45
2015-09-30,560.9
2015-10-01,562.5
2015-10-05,582.75
2015-10-06,598.45
2015-10-07,603.85
2015-10-08,589.55
2015-10-09,580.9
2015-10-12,571.05
2015-10-13,571.9
2015-10-14,572.15
2015-10-15,592.2
2015-10-16,604.25
2015-10-19,611.1
2015-10-20,611.35
2015-10-21,592.05
2015-10-23,590.8
2015-10-26,600.15
2015-10-27,586.1
2015-10-28,586.7
2015-10-29,585.25
2015-10-30,584.35
2015-11-02,577.5
2015-11-03,594.95
2015-11-04,585.0
2015-11-05,574.2
2015-11-06,563.6
2015-11-09,551.9
2015-11-10,557.0
2015-11-11,568.0
2015-11-13,581.5
2015-11-16,603.3
2015-11-17,593.15
2015-11-18,597.75
2015-11-19,615.7
2015-11-20,609.4
2015-11-23,619.15
2015-11-24,626.8
2015-11-26,622.35
2015-11-27,622.2
2015-11-30,605.7
2015-12-01,605.25
2015-12-02,614.7
2015-12-03,617.9
2015-12-04,614.3
2015-12-07,614.65
2015-12-08,607.05
2015-12-09,581.55
2015-12-10,599.95
2015-12-11,590.25
2015-12-14,592.2
2015-12-15,572.75
2015-12-16,564.0
2015-12-17,565.15
2015-12-18,567.0
2015-12-21,569.25
2015-12-22,585.85
2015-12-23,591.4
2015-12-24,581.8
2015-12-28,575.65
2015-12-29,570.8
2015-12-30,585.25
2015-12-31,568.5
