Date,NELCO
2015-01-01,89.2
2015-01-02,87.25
2015-01-05,87.1
2015-01-06,82.15
2015-01-07,85.8
2015-01-08,86.85
2015-01-09,86.25
2015-01-12,93.1
2015-01-13,88.85
2015-01-14,87.85
2015-01-15,88.1
2015-01-16,90.0
2015-01-19,90.95
2015-01-20,91.0
2015-01-21,88.05
2015-01-22,88.25
2015-01-23,94.75
2015-01-27,92.3
2015-01-28,88.8
2015-01-29,89.45
2015-01-30,85.2
2015-02-02,86.8
2015-02-03,85.65
2015-02-04,84.75
2015-02-05,81.6
2015-02-06,78.9
2015-02-09,77.85
2015-02-10,75.8
2015-02-11,79.2
2015-02-12,82.25
2015-02-13,80.25
2015-02-16,79.15
2015-02-18,87.65
2015-02-19,86.15
2015-02-20,92.8
2015-02-23,89.0
2015-02-24,88.3
2015-02-25,87.85
2015-02-26,86.4
2015-02-27,98.2
2015-02-28,91.85
2015-03-02,88.9
2015-03-03,93.85
2015-03-04,87.35
2015-03-05,88.1
2015-03-09,85.8
2015-03-10,84.4
2015-03-11,82.8
2015-03-12,82.85
2015-03-13,79.75
2015-03-16,78.7
2015-03-17,79.45
2015-03-18,78.15
2015-03-19,78.15
2015-03-20,71.75
2015-03-23,69.45
2015-03-24,70.15
2015-03-25,69.7
2015-03-26,67.2
2015-03-27,64.3
2015-03-30,68.7
2015-03-31,68.9
2015-04-01,73.6
2015-04-06,77.1
2015-04-07,76.4
2015-04-08,86.05
2015-04-09,87.15
2015-04-10,84.8
2015-04-13,85.1
2015-04-15,83.3
2015-04-16,79.55
2015-04-17,78.75
2015-04-20,76.55
2015-04-21,74.1
2015-04-22,74.55
2015-04-23,74.75
2015-04-24,72.95
2015-04-27,67.45
2015-04-28,69.05
2015-04-29,69.6
2015-04-30,71.3
2015-05-04,73.5
2015-05-05,72.05
2015-05-06,68.35
2015-05-07,66.55
2015-05-08,68.75
2015-05-11,69.4
2015-05-12,67.3
2015-05-13,68.35
2015-05-14,67.75
2015-05-15,68.45
2015-05-18,75.8
2015-05-19,76.9
2015-05-20,75.15
2015-05-21,74.35
2015-05-22,73.3
2015-05-25,71.9
2015-05-26,70.0
2015-05-27,69.65
2015-05-28,68.9
2015-05-29,70.7
2015-06-01,70.85
2015-06-02,68.3
2015-06-03,64.5
2015-06-04,65.05
2015-06-05,65.95
2015-06-08,63.9
2015-06-09,62.95
2015-06-10,63.8
2015-06-11,61.25
2015-06-12,60.35
2015-06-15,60.1
2015-06-16,63.45
2015-06-17,66.35
2015-06-18,66.4
2015-06-19,67.0
2015-06-22,67.75
2015-06-23,71.2
2015-06-24,68.9
2015-06-25,68.6
2015-06-26,70.05
2015-06-29,76.85
2015-06-30,73.9
2015-07-01,73.8
2015-07-02,74.9
2015-07-03,73.75
2015-07-06,73.15
2015-07-07,72.8
2015-07-08,72.25
2015-07-09,78.2
2015-07-10,79.35
2015-07-13,78.5
2015-07-14,77.9
2015-07-15,79.15
2015-07-16,78.55
2015-07-17,78.75
2015-07-20,78.0
2015-07-21,75.9
2015-07-22,76.45
2015-07-23,77.55
2015-07-24,75.65
2015-07-27,73.6
2015-07-28,73.75
2015-07-29,74.05
2015-07-30,73.75
2015-07-31,73.85
2015-08-03,74.2
2015-08-04,74.95
2015-08-05,76.1
2015-08-06,79.55
2015-08-07,78.1
2015-08-10,76.1
2015-08-11,73.95
2015-08-12,71.45
2015-08-13,69.0
2015-08-14,70.8
2015-08-17,70.65
2015-08-18,71.6
2015-08-19,71.0
2015-08-20,69.15
2015-08-21,67.05
2015-08-24,60.3
2015-08-25,58.1
2015-08-26,57.4
2015-08-27,60.35
2015-08-28,59.2
2015-08-31,60.35
2015-09-01,58.8
2015-09-02,58.2
2015-09-03,59.7
2015-09-04,56.7
2015-09-07,54.9
2015-09-08,56.6
2015-09-09,57.8
2015-09-10,56.5
2015-09-11,56.5
2015-09-14,56.8
2015-09-15,56.85
2015-09-16,56.55
2015-09-18,57.35
2015-09-21,61.8
2015-09-22,66.75
2015-09-23,66.3
2015-09-24,64.9
2015-09-28,63.05
2015-09-29,64.0
2015-09-30,62.75
2015-10-01,63.4
2015-10-05,65.9
2015-10-06,64.75
2015-10-07,64.95
2015-10-08,66.4
2015-10-09,66.2
2015-10-12,66.8
2015-10-13,66.9
2015-10-14,67.1
2015-10-15,69.25
2015-10-16,68.65
2015-10-19,67.15
2015-10-20,66.3
2015-10-21,71.35
2015-10-23,69.9
2015-10-26,67.45
2015-10-27,67.9
2015-10-28,66.7
2015-10-29,69.55
2015-10-30,68.0
2015-11-02,67.6
2015-11-03,69.95
2015-11-04,70.65
2015-11-05,67.6
2015-11-06,66.4
2015-11-09,68.85
2015-11-10,68.45
2015-11-11,70.9
2015-11-13,72.75
2015-11-16,74.65
2015-11-17,75.1
2015-11-18,74.8
2015-11-19,76.9
2015-11-20,80.2
2015-11-23,93.7
2015-11-24,92.35
2015-11-26,100.7
2015-11-27,113.75
2015-11-30,112.7
2015-12-01,118.6
2015-12-02,113.4
2015-12-03,107.8
2015-12-04,108.7
2015-12-07,105.3
2015-12-08,102.05
2015-12-09,92.35
2015-12-10,101.55
2015-12-11,100.45
2015-12-14,101.25
2015-12-15,102.45
2015-12-16,104.75
2015-12-17,106.5
2015-12-18,106.05
2015-12-21,107.35
2015-12-22,109.45
2015-12-23,112.85
2015-12-24,124.1
2015-12-28,118.1
2015-12-29,114.25
2015-12-30,121.45
2015-12-31,124.35
