Date,TCIDEVELOP
2015-01-01,306.0
2015-01-02,293.3
2015-01-05,294.5
2015-01-06,283.65
2015-01-07,299.5
2015-01-08,311.25
2015-01-09,309.8
2015-01-12,301.85
2015-01-13,315.0
2015-01-14,316.55
2015-01-15,305.0
2015-01-16,304.4
2015-01-19,304.4
2015-01-20,294.05
2015-01-21,307.7
2015-01-22,297.45
2015-01-23,299.75
2015-01-27,300.0
2015-01-28,296.5
2015-01-29,292.6
2015-01-30,292.6
2015-02-02,292.6
2015-02-03,299.0
2015-02-04,293.45
2015-02-05,292.0
2015-02-06,281.0
2015-02-09,285.95
2015-02-10,274.85
2015-02-11,280.55
2015-02-12,277.1
2015-02-13,278.4
2015-02-16,268.4
2015-02-18,285.0
2015-02-19,288.05
2015-02-20,276.15
2015-02-23,286.0
2015-02-24,282.0
2015-02-25,291.45
2015-02-26,287.05
2015-02-27,283.15
2015-02-28,281.3
2015-03-02,282.25
2015-03-03,284.9
2015-03-04,280.0
2015-03-05,283.95
2015-03-09,285.0
2015-03-10,292.75
2015-03-11,285.5
2015-03-12,284.15
2015-03-13,293.95
2015-03-16,288.0
2015-03-17,297.0
2015-03-18,289.95
2015-03-19,284.6
2015-03-20,282.0
2015-03-23,294.0
2015-03-24,284.0
2015-03-25,285.6
2015-03-26,280.2
2015-03-27,285.4
2015-03-30,291.35
2015-03-31,287.85
2015-04-01,292.0
2015-04-06,300.65
2015-04-07,296.25
2015-04-08,290.0
2015-04-09,287.95
2015-04-10,294.55
2015-04-13,288.95
2015-04-15,294.9
2015-04-16,296.0
2015-04-17,299.8
2015-04-20,290.0
2015-04-21,290.4
2015-04-22,298.5
2015-04-23,293.45
2015-04-24,304.0
2015-04-27,298.75
2015-04-28,300.0
2015-04-29,293.25
2015-04-30,301.2
2015-05-04,300.75
2015-05-05,292.1
2015-05-06,297.95
2015-05-07,290.4
2015-05-08,292.15
2015-05-11,293.95
2015-05-12,284.0
2015-05-13,290.95
2015-05-14,283.5
2015-05-15,288.6
2015-05-18,295.3
2015-05-19,304.0
2015-05-22,287.0
2015-05-25,281.15
2015-05-26,292.8
2015-05-27,282.1
2015-05-28,279.8
2015-05-29,283.8
2015-06-01,281.0
2015-06-02,289.75
2015-06-03,284.0
2015-06-04,275.85
2015-06-05,274.5
2015-06-08,259.45
2015-06-09,270.0
2015-06-10,269.0
2015-06-11,253.0
2015-06-12,269.9
2015-06-15,259.5
2015-06-16,261.0
2015-06-17,255.5
2015-06-18,253.0
2015-06-19,253.8
2015-06-22,276.0
2015-06-23,274.4
2015-06-24,265.5
2015-06-25,267.05
2015-06-26,264.2
2015-06-29,277.45
2015-06-30,264.0
2015-07-01,270.3
2015-07-02,275.4
2015-07-03,293.95
2015-07-06,299.9
2015-07-07,297.75
2015-07-08,307.3
2015-07-09,314.3
2015-07-10,310.65
2015-07-13,339.85
2015-07-14,325.15
2015-07-15,329.95
2015-07-16,318.75
2015-07-17,324.0
2015-07-20,312.55
2015-07-21,309.55
2015-07-23,371.45
2015-07-24,384.95
2015-07-27,360.45
2015-07-28,359.45
2015-07-29,350.65
2015-07-30,347.0
2015-07-31,353.35
2015-08-03,344.45
2015-08-04,333.85
2015-08-05,332.95
2015-08-06,322.0
2015-08-07,313.25
2015-08-10,308.55
2015-08-11,297.95
2015-08-12,276.65
2015-08-13,278.05
2015-08-14,284.65
2015-08-17,281.1
2015-08-18,293.0
2015-08-19,286.9
2015-08-20,288.15
2015-08-21,319.6
2015-08-24,280.55
2015-08-25,279.45
2015-08-26,266.75
2015-08-27,317.4
2015-08-28,311.05
2015-08-31,299.95
2015-09-01,282.2
2015-09-02,289.55
2015-09-03,281.7
2015-09-04,268.0
2015-09-07,259.4
2015-09-08,263.25
2015-09-09,266.65
2015-09-10,267.45
2015-09-11,260.75
2015-09-14,261.05
2015-09-15,265.25
2015-09-16,263.5
2015-09-18,270.05
2015-09-21,272.3
2015-09-22,271.2
2015-09-23,269.0
2015-09-24,269.6
2015-09-28,270.35
2015-09-29,269.95
2015-09-30,272.35
2015-10-01,270.15
2015-10-05,270.9
2015-10-06,272.0
2015-10-07,272.3
2015-10-08,273.2
2015-10-09,291.6
2015-10-12,293.75
2015-10-13,293.0
2015-10-14,276.4
2015-10-15,310.1
2015-10-16,307.1
2015-10-19,319.85
2015-10-20,303.05
2015-10-21,307.65
2015-10-23,313.9
2015-10-26,302.4
2015-10-27,296.35
2015-10-28,297.0
2015-10-29,287.3
2015-10-30,278.95
2015-11-02,278.0
2015-11-03,280.15
2015-11-04,279.1
2015-11-05,276.2
2015-11-06,273.0
2015-11-09,278.4
2015-11-10,277.6
2015-11-11,275.3
2015-11-13,277.55
2015-11-16,280.3
2015-11-17,277.1
2015-11-18,275.1
2015-11-19,277.0
2015-11-20,299.8
2015-11-23,283.05
2015-11-24,282.0
2015-11-26,297.9
2015-11-27,287.45
2015-11-30,287.55
2015-12-01,286.6
2015-12-02,287.7
2015-12-03,283.7
2015-12-04,284.1
2015-12-07,309.55
2015-12-08,309.6
2015-12-09,288.9
2015-12-10,289.0
2015-12-11,296.9
2015-12-14,301.0
2015-12-16,297.0
2015-12-17,299.7
2015-12-18,310.5
2015-12-22,304.0
2015-12-23,299.05
2015-12-24,297.15
2015-12-28,297.0
2015-12-29,303.2
2015-12-30,307.0
2015-12-31,304.8
