Date,SUMEETINDS
2015-01-01,14.85
2015-01-02,14.95
2015-01-05,15.0
2015-01-06,14.15
2015-01-07,13.9
2015-01-08,14.35
2015-01-09,14.45
2015-01-12,14.1
2015-01-13,13.75
2015-01-14,13.8
2015-01-15,14.05
2015-01-16,13.8
2015-01-19,13.8
2015-01-20,14.0
2015-01-21,13.9
2015-01-22,13.75
2015-01-23,13.65
2015-01-27,13.65
2015-01-28,13.6
2015-01-29,13.55
2015-01-30,13.7
2015-02-02,13.35
2015-02-03,13.7
2015-02-04,13.75
2015-02-05,13.9
2015-02-06,14.0
2015-02-09,15.95
2015-02-10,16.85
2015-02-11,16.6
2015-02-12,17.25
2015-02-13,16.6
2015-02-16,16.8
2015-02-18,16.8
2015-02-19,17.05
2015-02-20,16.4
2015-02-23,18.5
2015-02-24,20.95
2015-02-25,19.85
2015-02-26,20.2
2015-02-27,16.35
2015-02-28,15.9
2015-03-02,15.9
2015-03-03,14.5
2015-03-04,13.55
2015-03-05,14.35
2015-03-09,14.15
2015-03-10,14.0
2015-03-11,13.75
2015-03-12,13.75
2015-03-13,13.55
2015-03-16,13.25
2015-03-17,12.95
2015-03-18,12.8
2015-03-19,12.9
2015-03-20,12.45
2015-03-23,13.6
2015-03-24,12.25
2015-03-25,11.65
2015-03-26,11.6
2015-03-27,11.15
2015-03-30,11.35
2015-03-31,11.45
2015-04-01,11.95
2015-04-06,12.55
2015-04-07,12.9
2015-04-08,13.35
2015-04-09,13.0
2015-04-10,13.25
2015-04-13,13.4
2015-04-15,13.85
2015-04-16,14.1
2015-04-17,14.75
2015-04-20,14.45
2015-04-21,14.2
2015-04-22,14.3
2015-04-23,14.8
2015-04-24,14.45
2015-04-27,13.4
2015-04-28,13.4
2015-04-29,13.35
2015-04-30,13.25
2015-05-04,13.55
2015-05-05,13.4
2015-05-06,12.6
2015-05-07,12.25
2015-05-08,12.5
2015-05-11,13.0
2015-05-12,12.5
2015-05-13,12.6
2015-05-14,12.55
2015-05-15,12.7
2015-05-18,12.75
2015-05-19,13.8
2015-05-20,14.35
2015-05-21,13.85
2015-05-22,13.6
2015-05-25,13.6
2015-05-26,13.35
2015-05-27,13.15
2015-05-28,13.2
2015-05-29,13.45
2015-06-01,12.8
2015-06-02,12.2
2015-06-03,11.85
2015-06-04,11.7
2015-06-05,11.9
2015-06-08,11.95
2015-06-09,11.8
2015-06-10,11.75
2015-06-11,11.45
2015-06-12,11.3
2015-06-15,10.9
2015-06-16,10.95
2015-06-17,11.3
2015-06-18,11.55
2015-06-19,11.45
2015-06-22,11.35
2015-06-23,11.6
2015-06-24,12.1
2015-06-25,11.95
2015-06-26,11.85
2015-06-29,12.45
2015-06-30,13.15
2015-07-01,13.6
2015-07-02,13.9
2015-07-03,16.45
2015-07-06,17.75
2015-07-07,17.0
2015-07-08,15.3
2015-07-09,13.8
2015-07-10,13.15
2015-07-13,12.55
2015-07-14,13.0
2015-07-15,13.35
2015-07-16,13.6
2015-07-17,13.7
2015-07-20,13.5
2015-07-21,12.85
2015-07-22,12.25
2015-07-23,12.25
2015-07-24,12.45
2015-07-27,12.25
2015-07-28,11.65
2015-07-29,11.15
2015-07-30,11.7
2015-07-31,11.15
2015-08-03,11.3
2015-08-04,11.55
2015-08-05,11.1
2015-08-06,11.3
2015-08-07,11.55
2015-08-10,11.65
2015-08-11,11.45
2015-08-12,11.15
2015-08-13,11.0
2015-08-14,11.1
2015-08-17,11.05
2015-08-18,11.25
2015-08-19,11.1
2015-08-20,11.0
2015-08-21,10.4
2015-08-24,9.45
2015-08-25,9.4
2015-08-26,9.45
2015-08-27,9.75
2015-08-28,9.85
2015-08-31,9.7
2015-09-01,9.55
2015-09-02,9.55
2015-09-03,9.7
2015-09-04,9.5
2015-09-07,9.3
2015-09-08,9.3
2015-09-09,9.45
2015-09-10,9.4
2015-09-11,9.45
2015-09-14,9.55
2015-09-15,9.9
2015-09-16,9.85
2015-09-18,9.95
2015-09-21,11.4
2015-09-22,10.95
2015-09-23,11.6
2015-09-24,11.25
2015-09-28,10.95
2015-09-29,10.8
2015-09-30,10.95
2015-10-01,10.8
2015-10-05,10.9
2015-10-06,10.9
2015-10-07,11.05
2015-10-08,11.0
2015-10-09,11.15
2015-10-12,10.8
2015-10-13,10.8
2015-10-14,10.8
2015-10-15,10.85
2015-10-16,10.7
2015-10-19,10.5
2015-10-20,10.5
2015-10-21,10.65
2015-10-23,10.3
2015-10-26,10.3
2015-10-27,10.25
2015-10-28,10.25
2015-10-29,10.4
2015-10-30,10.35
2015-11-02,10.25
2015-11-03,10.15
2015-11-04,10.3
2015-11-05,10.1
2015-11-06,9.95
2015-11-09,10.05
2015-11-10,10.2
2015-11-11,10.35
2015-11-13,10.55
2015-11-16,10.6
2015-11-17,10.85
2015-11-18,10.7
2015-11-19,10.9
2015-11-20,10.9
2015-11-23,12.3
2015-11-24,12.25
2015-11-26,11.65
2015-11-27,11.6
2015-11-30,11.25
2015-12-01,11.55
2015-12-02,11.5
2015-12-03,11.4
2015-12-04,11.5
2015-12-07,11.55
2015-12-08,11.25
2015-12-09,10.9
2015-12-10,10.95
2015-12-11,10.85
2015-12-14,10.7
2015-12-15,10.65
2015-12-16,10.8
2015-12-17,10.9
2015-12-18,11.1
2015-12-21,11.15
2015-12-22,11.95
2015-12-23,11.65
2015-12-24,12.25
2015-12-28,13.15
2015-12-29,14.65
2015-12-30,14.1
2015-12-31,13.95
