Date,MANGCHEFER
2015-01-01,89.95
2015-01-02,89.95
2015-01-05,89.65
2015-01-06,89.05
2015-01-07,89.95
2015-01-08,90.1
2015-01-09,90.5
2015-01-12,90.5
2015-01-13,90.1
2015-01-14,90.45
2015-01-15,90.45
2015-01-16,90.45
2015-01-19,89.95
2015-01-20,90.35
2015-01-21,90.7
2015-01-22,90.7
2015-01-23,91.0
2015-01-27,90.3
2015-01-28,90.3
2015-01-29,90.3
2015-01-30,90.3
2015-02-02,89.8
2015-02-03,89.85
2015-02-04,89.35
2015-02-05,88.5
2015-02-06,88.2
2015-02-09,88.35
2015-02-10,87.55
2015-02-11,87.9
2015-02-12,87.9
2015-02-13,87.95
2015-02-16,87.9
2015-02-18,88.15
2015-02-19,88.15
2015-02-20,88.1
2015-02-23,88.1
2015-02-24,87.4
2015-02-25,87.3
2015-02-26,87.5
2015-02-27,87.35
2015-02-28,87.65
2015-03-02,87.65
2015-03-03,86.8
2015-03-04,85.65
2015-03-05,86.3
2015-03-09,85.1
2015-03-10,86.1
2015-03-11,86.35
2015-03-12,85.5
2015-03-13,86.3
2015-03-16,86.3
2015-03-17,86.3
2015-03-18,86.2
2015-03-19,86.25
2015-03-20,86.0
2015-03-23,86.15
2015-03-24,86.1
2015-03-25,86.15
2015-03-26,85.85
2015-03-27,86.9
2015-03-30,87.45
2015-03-31,88.4
2015-04-01,89.15
2015-04-06,88.3
2015-04-07,89.7
2015-04-08,88.1
2015-04-09,88.45
2015-04-10,88.45
2015-04-13,87.7
2015-04-15,87.15
2015-04-16,87.4
2015-04-17,87.55
2015-04-20,87.2
2015-04-21,86.95
2015-04-22,86.55
2015-04-23,86.65
2015-04-24,86.8
2015-04-27,86.95
2015-04-28,87.5
2015-04-29,87.0
2015-04-30,86.1
2015-05-04,86.5
2015-05-05,81.2
2015-05-06,79.7
2015-05-07,70.05
2015-05-08,70.6
2015-05-11,74.5
2015-05-12,73.7
2015-05-13,70.75
2015-05-14,77.2
2015-05-15,70.3
2015-05-18,65.95
2015-05-19,62.25
2015-05-20,61.75
2015-05-21,59.95
2015-05-22,59.9
2015-05-25,58.85
2015-05-26,58.9
2015-05-27,58.5
2015-05-28,58.5
2015-05-29,57.7
2015-06-01,57.5
2015-06-02,55.25
2015-06-03,54.6
2015-06-04,54.65
2015-06-05,54.55
2015-06-08,52.4
2015-06-09,52.25
2015-06-10,56.5
2015-06-11,56.2
2015-06-12,56.8
2015-06-15,57.75
2015-06-16,57.75
2015-06-17,58.5
2015-06-18,60.35
2015-06-19,60.25
2015-06-22,58.9
2015-06-23,59.95
2015-06-24,59.85
2015-06-25,59.9
2015-06-26,59.95
2015-06-29,65.55
2015-06-30,69.8
2015-07-01,70.8
2015-07-02,71.95
2015-07-03,70.65
2015-07-06,68.15
2015-07-07,70.9
2015-07-08,70.45
2015-07-09,70.0
2015-07-10,69.45
2015-07-13,68.55
2015-07-14,67.95
2015-07-15,67.35
2015-07-16,66.4
2015-07-17,63.95
2015-07-20,63.15
2015-07-21,62.75
2015-07-22,62.65
2015-07-23,62.4
2015-07-24,62.0
2015-07-27,61.05
2015-07-28,60.65
2015-07-29,61.3
2015-07-30,61.6
2015-07-31,61.95
2015-08-03,61.2
2015-08-04,59.85
2015-08-05,61.0
2015-08-06,60.2
2015-08-07,59.55
2015-08-10,59.0
2015-08-11,58.9
2015-08-12,57.6
2015-08-13,55.55
2015-08-14,54.5
2015-08-17,56.4
2015-08-18,55.15
2015-08-19,55.35
2015-08-20,53.9
2015-08-21,52.05
2015-08-24,48.5
2015-08-25,49.6
2015-08-26,49.15
2015-08-27,49.3
2015-08-28,49.0
2015-08-31,48.45
2015-09-01,46.55
2015-09-02,45.7
2015-09-03,44.9
2015-09-04,44.35
2015-09-07,43.3
2015-09-08,43.25
2015-09-09,43.55
2015-09-10,43.4
2015-09-11,42.55
2015-09-14,43.0
2015-09-15,42.95
2015-09-16,43.15
2015-09-18,42.75
2015-09-21,43.05
2015-09-22,42.6
2015-09-23,42.55
2015-09-24,42.35
2015-09-28,42.15
2015-09-29,42.9
2015-09-30,42.9
2015-10-01,43.15
2015-10-05,43.25
2015-10-06,42.7
2015-10-07,42.8
2015-10-08,43.05
2015-10-09,43.25
2015-10-12,43.45
2015-10-13,43.65
2015-10-14,44.05
2015-10-15,44.7
2015-10-16,45.0
2015-10-19,43.6
2015-10-20,43.65
2015-10-21,43.5
2015-10-23,43.2
2015-10-26,43.0
2015-10-27,43.1
2015-10-28,43.2
2015-10-29,43.15
2015-10-30,42.65
2015-11-02,42.2
2015-11-03,42.5
2015-11-04,42.25
2015-11-05,41.2
2015-11-06,41.3
2015-11-09,41.5
2015-11-10,40.7
2015-11-11,41.5
2015-11-13,40.95
2015-11-16,41.7
2015-11-17,40.35
2015-11-18,40.65
2015-11-19,40.4
2015-11-20,40.5
2015-11-23,40.4
2015-11-24,41.35
2015-11-26,41.75
2015-11-27,42.9
2015-11-30,44.0
2015-12-01,44.35
2015-12-02,44.7
2015-12-03,44.25
2015-12-04,43.85
2015-12-07,43.55
2015-12-08,42.8
2015-12-09,41.4
2015-12-10,41.95
2015-12-11,41.8
2015-12-14,41.65
2015-12-15,41.25
2015-12-16,41.05
2015-12-17,41.2
2015-12-18,41.15
2015-12-21,41.85
2015-12-22,41.1
2015-12-23,41.4
2015-12-24,48.3
2015-12-28,48.05
2015-12-29,46.8
2015-12-30,46.95
2015-12-31,47.0
