Date,GILLANDERS
2015-01-01,65.1
2015-01-02,67.35
2015-01-05,68.5
2015-01-06,66.0
2015-01-07,64.65
2015-01-08,65.1
2015-01-09,66.3
2015-01-12,67.85
2015-01-13,67.7
2015-01-14,65.75
2015-01-15,66.7
2015-01-16,65.95
2015-01-19,64.75
2015-01-20,65.25
2015-01-21,65.15
2015-01-22,64.25
2015-01-23,63.15
2015-01-27,64.45
2015-01-28,63.95
2015-01-29,63.7
2015-01-30,63.75
2015-02-02,63.15
2015-02-03,65.7
2015-02-04,65.65
2015-02-05,64.85
2015-02-06,63.25
2015-02-09,63.1
2015-02-10,62.25
2015-02-11,62.6
2015-02-12,62.65
2015-02-13,65.3
2015-02-16,61.7
2015-02-18,61.9
2015-02-19,61.15
2015-02-20,62.15
2015-02-23,61.5
2015-02-24,61.9
2015-02-25,61.55
2015-02-26,60.1
2015-02-27,60.15
2015-02-28,60.35
2015-03-02,60.85
2015-03-03,58.8
2015-03-04,59.0
2015-03-05,58.7
2015-03-09,57.25
2015-03-10,58.0
2015-03-11,57.55
2015-03-12,57.8
2015-03-13,57.4
2015-03-16,54.35
2015-03-17,54.15
2015-03-18,53.1
2015-03-19,53.8
2015-03-20,52.4
2015-03-23,51.35
2015-03-24,50.65
2015-03-25,51.0
2015-03-26,51.65
2015-03-27,50.35
2015-03-30,51.25
2015-03-31,52.75
2015-04-01,58.85
2015-04-06,58.05
2015-04-07,59.2
2015-04-08,58.95
2015-04-09,60.05
2015-04-10,60.55
2015-04-13,60.45
2015-04-15,61.35
2015-04-16,61.7
2015-04-17,61.45
2015-04-20,59.1
2015-04-21,59.15
2015-04-22,59.0
2015-04-23,60.0
2015-04-24,59.0
2015-04-27,57.15
2015-04-28,56.7
2015-04-29,57.1
2015-04-30,57.25
2015-05-04,58.65
2015-05-05,59.5
2015-05-06,59.5
2015-05-07,57.8
2015-05-08,57.6
2015-05-11,57.0
2015-05-12,56.05
2015-05-13,56.25
2015-05-14,56.75
2015-05-15,56.95
2015-05-18,57.95
2015-05-19,59.45
2015-05-20,58.0
2015-05-21,57.55
2015-05-22,57.75
2015-05-25,57.75
2015-05-26,58.5
2015-05-27,56.85
2015-05-28,58.0
2015-05-29,56.3
2015-06-01,51.85
2015-06-02,51.55
2015-06-03,50.0
2015-06-04,49.6
2015-06-05,49.9
2015-06-08,49.8
2015-06-09,48.4
2015-06-10,48.15
2015-06-11,48.0
2015-06-12,47.4
2015-06-15,49.95
2015-06-16,47.55
2015-06-17,47.55
2015-06-18,47.7
2015-06-19,47.8
2015-06-22,49.2
2015-06-23,47.7
2015-06-24,49.55
2015-06-25,49.25
2015-06-26,47.3
2015-06-29,47.45
2015-06-30,49.2
2015-07-01,53.05
2015-07-02,53.05
2015-07-03,52.4
2015-07-06,51.45
2015-07-07,55.3
2015-07-08,53.35
2015-07-09,58.3
2015-07-10,58.5
2015-07-13,57.35
2015-07-14,58.0
2015-07-15,59.7
2015-07-16,61.45
2015-07-17,60.0
2015-07-20,59.8
2015-07-21,59.15
2015-07-22,60.1
2015-07-23,71.5
2015-07-24,67.85
2015-07-27,65.0
2015-07-28,64.45
2015-07-29,64.3
2015-07-30,64.25
2015-07-31,69.95
2015-08-03,71.4
2015-08-04,68.5
2015-08-05,68.7
2015-08-06,64.55
2015-08-07,66.3
2015-08-10,65.6
2015-08-11,64.45
2015-08-12,63.2
2015-08-13,62.9
2015-08-14,60.1
2015-08-17,59.4
2015-08-18,60.8
2015-08-19,60.9
2015-08-20,58.95
2015-08-21,56.15
2015-08-24,47.85
2015-08-25,50.55
2015-08-26,52.5
2015-08-27,51.25
2015-08-28,53.0
2015-08-31,53.65
2015-09-01,52.5
2015-09-02,52.25
2015-09-03,53.5
2015-09-04,52.5
2015-09-07,50.35
2015-09-08,53.05
2015-09-09,53.6
2015-09-10,54.4
2015-09-11,53.35
2015-09-14,55.95
2015-09-15,52.85
2015-09-16,54.0
2015-09-18,53.0
2015-09-21,51.8
2015-09-22,52.1
2015-09-23,55.0
2015-09-24,55.15
2015-09-28,54.0
2015-09-29,56.4
2015-09-30,53.75
2015-10-01,54.95
2015-10-05,56.05
2015-10-06,57.0
2015-10-07,55.8
2015-10-08,58.95
2015-10-09,57.65
2015-10-12,55.7
2015-10-13,56.05
2015-10-14,55.3
2015-10-15,56.0
2015-10-16,57.75
2015-10-19,57.5
2015-10-20,56.85
2015-10-21,56.0
2015-10-23,54.5
2015-10-26,55.3
2015-10-27,54.5
2015-10-28,54.5
2015-10-29,55.6
2015-10-30,56.0
2015-11-02,54.65
2015-11-03,55.15
2015-11-04,55.25
2015-11-05,54.55
2015-11-06,54.95
2015-11-09,54.4
2015-11-10,53.4
2015-11-11,54.9
2015-11-13,54.0
2015-11-16,57.6
2015-11-17,62.1
2015-11-18,59.55
2015-11-19,59.7
2015-11-20,62.15
2015-11-23,63.45
2015-11-24,63.75
2015-11-26,63.35
2015-11-27,64.0
2015-11-30,64.8
2015-12-01,62.9
2015-12-02,63.0
2015-12-03,62.85
2015-12-04,62.05
2015-12-07,62.15
2015-12-08,64.4
2015-12-09,61.5
2015-12-10,62.25
2015-12-11,62.15
2015-12-14,61.5
2015-12-15,63.3
2015-12-16,62.65
2015-12-17,63.55
2015-12-18,62.7
2015-12-21,67.2
2015-12-22,66.8
2015-12-23,67.75
2015-12-24,67.65
2015-12-28,68.6
2015-12-29,75.75
2015-12-30,72.9
2015-12-31,71.3
