Date,MURUDCERA
2015-01-01,22.05
2015-01-02,22.2
2015-01-05,22.25
2015-01-06,20.7
2015-01-07,20.45
2015-01-08,21.3
2015-01-09,20.85
2015-01-12,21.3
2015-01-13,21.3
2015-01-14,21.15
2015-01-15,21.4
2015-01-16,21.6
2015-01-19,21.0
2015-01-20,21.05
2015-01-21,21.3
2015-01-22,21.3
2015-01-23,20.8
2015-01-27,21.5
2015-01-28,20.9
2015-01-29,21.5
2015-01-30,21.3
2015-02-02,21.5
2015-02-03,20.2
2015-02-04,20.5
2015-02-05,20.35
2015-02-06,19.5
2015-02-09,19.7
2015-02-10,19.15
2015-02-11,22.15
2015-02-12,21.8
2015-02-13,20.4
2015-02-16,20.55
2015-02-18,21.0
2015-02-19,20.5
2015-02-20,21.7
2015-02-23,20.9
2015-02-24,20.5
2015-02-25,20.85
2015-02-26,21.15
2015-02-27,21.4
2015-02-28,20.75
2015-03-02,21.25
2015-03-03,25.5
2015-03-04,24.35
2015-03-05,25.55
2015-03-09,27.0
2015-03-10,28.45
2015-03-11,27.5
2015-03-12,27.6
2015-03-13,25.75
2015-03-16,24.7
2015-03-17,25.1
2015-03-18,24.75
2015-03-19,24.5
2015-03-20,24.35
2015-03-23,22.75
2015-03-24,22.25
2015-03-25,22.25
2015-03-26,21.2
2015-03-27,20.75
2015-03-30,22.1
2015-03-31,22.4
2015-04-01,22.45
2015-04-06,25.55
2015-04-07,24.05
2015-04-08,24.65
2015-04-09,24.3
2015-04-10,24.3
2015-04-13,23.8
2015-04-15,23.75
2015-04-16,23.9
2015-04-17,23.45
2015-04-20,22.5
2015-04-21,22.9
2015-04-22,22.95
2015-04-23,22.5
2015-04-24,22.4
2015-04-27,21.35
2015-04-28,21.3
2015-04-29,21.75
2015-04-30,21.5
2015-05-04,21.4
2015-05-05,21.95
2015-05-06,21.2
2015-05-07,21.1
2015-05-08,20.9
2015-05-11,21.5
2015-05-12,20.95
2015-05-13,21.2
2015-05-14,20.95
2015-05-15,21.05
2015-05-18,20.9
2015-05-19,20.75
2015-05-20,20.95
2015-05-21,20.85
2015-05-22,20.9
2015-05-25,20.85
2015-05-26,20.55
2015-05-27,21.15
2015-05-28,21.1
2015-05-29,22.4
2015-06-01,21.5
2015-06-02,20.55
2015-06-03,20.5
2015-06-04,19.75
2015-06-05,19.95
2015-06-08,19.9
2015-06-09,19.45
2015-06-10,19.45
2015-06-11,19.0
2015-06-12,19.15
2015-06-15,19.05
2015-06-16,18.8
2015-06-17,19.25
2015-06-18,19.25
2015-06-19,19.25
2015-06-22,19.8
2015-06-23,19.75
2015-06-24,19.9
2015-06-25,19.8
2015-06-26,19.9
2015-06-29,19.25
2015-06-30,19.85
2015-07-01,20.95
2015-07-02,20.6
2015-07-03,20.45
2015-07-06,20.2
2015-07-07,21.5
2015-07-08,21.15
2015-07-09,20.7
2015-07-10,21.15
2015-07-13,20.8
2015-07-14,20.95
2015-07-15,22.55
2015-07-16,23.5
2015-07-17,23.7
2015-07-20,23.05
2015-07-21,21.65
2015-07-22,22.1
2015-07-23,22.1
2015-07-24,23.4
2015-07-27,22.45
2015-07-28,22.7
2015-07-29,23.05
2015-07-30,23.1
2015-07-31,21.75
2015-08-03,21.6
2015-08-04,21.95
2015-08-05,26.3
2015-08-06,24.65
2015-08-07,24.35
2015-08-10,24.3
2015-08-11,24.9
2015-08-12,23.2
2015-08-13,23.05
2015-08-14,22.25
2015-08-17,23.2
2015-08-18,22.65
2015-08-19,22.9
2015-08-20,22.3
2015-08-21,21.75
2015-08-24,19.15
2015-08-25,19.2
2015-08-26,19.1
2015-08-27,19.25
2015-08-28,19.4
2015-08-31,19.6
2015-09-01,19.65
2015-09-02,19.55
2015-09-03,19.85
2015-09-04,19.15
2015-09-07,18.95
2015-09-08,19.15
2015-09-09,19.6
2015-09-10,19.05
2015-09-11,19.05
2015-09-14,19.05
2015-09-15,19.35
2015-09-16,19.1
2015-09-18,19.35
2015-09-21,19.05
2015-09-22,19.1
2015-09-23,19.35
2015-09-24,19.25
2015-09-28,18.95
2015-09-29,19.1
2015-09-30,19.9
2015-10-01,19.75
2015-10-05,19.55
2015-10-06,19.6
2015-10-07,20.0
2015-10-08,19.75
2015-10-09,20.05
2015-10-12,20.25
2015-10-13,20.25
2015-10-14,20.5
2015-10-15,22.15
2015-10-16,21.2
2015-10-19,21.5
2015-10-20,21.95
2015-10-21,22.2
2015-10-23,23.05
2015-10-26,23.05
2015-10-27,21.8
2015-10-28,21.9
2015-10-29,23.0
2015-10-30,22.55
2015-11-02,22.35
2015-11-03,21.9
2015-11-04,21.85
2015-11-05,21.8
2015-11-06,21.95
2015-11-09,21.55
2015-11-10,20.95
2015-11-11,21.65
2015-11-13,21.25
2015-11-16,21.55
2015-11-17,21.4
2015-11-18,21.05
2015-11-19,21.65
2015-11-20,22.35
2015-11-23,22.0
2015-11-24,23.0
2015-11-26,23.8
2015-11-27,23.95
2015-11-30,24.65
2015-12-01,24.7
2015-12-02,24.9
2015-12-03,23.95
2015-12-04,23.9
2015-12-07,24.9
2015-12-08,24.2
2015-12-09,22.7
2015-12-10,23.8
2015-12-11,23.75
2015-12-14,23.85
2015-12-15,24.15
2015-12-16,24.0
2015-12-17,24.6
2015-12-18,24.05
2015-12-21,24.1
2015-12-22,24.1
2015-12-23,25.0
2015-12-24,24.95
2015-12-28,26.05
2015-12-29,25.25
2015-12-30,27.9
2015-12-31,28.15
