Date,TVSELECT
2015-01-01,42.1
2015-01-02,43.65
2015-01-05,43.05
2015-01-06,40.55
2015-01-07,39.4
2015-01-08,40.6
2015-01-09,41.3
2015-01-12,40.9
2015-01-13,41.45
2015-01-14,40.5
2015-01-15,40.4
2015-01-16,40.4
2015-01-19,40.9
2015-01-20,41.05
2015-01-21,40.85
2015-01-22,40.25
2015-01-23,40.4
2015-01-27,40.75
2015-01-28,39.85
2015-01-29,40.05
2015-01-30,40.6
2015-02-02,40.3
2015-02-03,39.35
2015-02-04,39.25
2015-02-05,39.65
2015-02-06,37.5
2015-02-09,36.2
2015-02-10,35.95
2015-02-11,35.05
2015-02-12,35.75
2015-02-13,36.7
2015-02-16,36.1
2015-02-18,37.3
2015-02-19,37.1
2015-02-20,36.7
2015-02-23,37.35
2015-02-24,36.95
2015-02-25,36.25
2015-02-26,36.3
2015-02-27,37.5
2015-02-28,37.1
2015-03-02,36.75
2015-03-03,36.55
2015-03-04,35.9
2015-03-05,35.3
2015-03-09,34.8
2015-03-10,34.9
2015-03-11,34.5
2015-03-12,33.75
2015-03-13,32.8
2015-03-16,32.15
2015-03-17,31.65
2015-03-18,33.0
2015-03-19,34.2
2015-03-20,32.9
2015-03-23,30.4
2015-03-24,32.0
2015-03-25,31.95
2015-03-26,32.0
2015-03-27,33.55
2015-03-30,34.15
2015-03-31,34.45
2015-04-01,35.9
2015-04-06,43.05
2015-04-07,46.05
2015-04-08,45.55
2015-04-09,43.7
2015-04-10,43.6
2015-04-13,44.1
2015-04-15,46.05
2015-04-16,45.15
2015-04-17,43.85
2015-04-20,42.15
2015-04-21,43.2
2015-04-22,42.3
2015-04-23,42.0
2015-04-24,39.2
2015-04-27,38.95
2015-04-28,39.25
2015-04-29,40.05
2015-04-30,39.75
2015-05-04,41.7
2015-05-05,41.45
2015-05-06,38.75
2015-05-07,35.75
2015-05-08,41.95
2015-05-11,40.65
2015-05-12,41.65
2015-05-13,42.8
2015-05-14,41.75
2015-05-15,45.4
2015-05-18,49.5
2015-05-19,47.95
2015-05-20,47.35
2015-05-21,47.55
2015-05-22,47.65
2015-05-25,45.4
2015-05-26,44.9
2015-05-27,44.65
2015-05-28,44.15
2015-05-29,46.25
2015-06-01,44.6
2015-06-02,43.75
2015-06-03,42.1
2015-06-04,42.05
2015-06-05,42.2
2015-06-08,41.1
2015-06-09,40.9
2015-06-10,41.55
2015-06-11,40.45
2015-06-12,39.95
2015-06-15,39.9
2015-06-16,40.05
2015-06-17,41.0
2015-06-18,40.85
2015-06-19,40.25
2015-06-22,40.25
2015-06-23,40.75
2015-06-24,41.95
2015-06-25,42.15
2015-06-26,41.6
2015-06-29,41.6
2015-06-30,41.85
2015-07-01,41.85
2015-07-02,46.2
2015-07-03,43.9
2015-07-06,44.05
2015-07-07,48.05
2015-07-08,51.95
2015-07-09,54.55
2015-07-10,51.3
2015-07-13,61.55
2015-07-14,66.7
2015-07-15,63.75
2015-07-16,70.1
2015-07-17,69.3
2015-07-20,70.55
2015-07-21,68.85
2015-07-22,68.65
2015-07-23,67.8
2015-07-24,65.9
2015-07-27,65.55
2015-07-28,67.35
2015-07-29,69.05
2015-07-30,69.05
2015-07-31,66.85
2015-08-03,68.35
2015-08-04,70.8
2015-08-05,70.15
2015-08-06,76.85
2015-08-07,81.3
2015-08-10,80.7
2015-08-11,96.8
2015-08-12,116.15
2015-08-13,116.6
2015-08-14,113.55
2015-08-17,124.9
2015-08-18,137.35
2015-08-19,139.5
2015-08-20,127.1
2015-08-21,122.05
2015-08-24,109.85
2015-08-25,100.55
2015-08-26,95.55
2015-08-27,100.3
2015-08-28,104.8
2015-08-31,102.4
2015-09-01,97.8
2015-09-02,102.65
2015-09-03,107.75
2015-09-04,113.1
2015-09-07,108.1
2015-09-08,105.1
2015-09-09,110.35
2015-09-10,109.8
2015-09-11,108.2
2015-09-14,111.15
2015-09-15,107.25
2015-09-16,104.7
2015-09-18,109.55
2015-09-21,114.6
2015-09-22,109.5
2015-09-23,109.95
2015-09-24,108.15
2015-09-28,107.1
2015-09-29,103.9
2015-09-30,101.7
2015-10-01,99.6
2015-10-05,95.2
2015-10-06,85.7
2015-10-07,83.7
2015-10-08,92.05
2015-10-09,93.15
2015-10-12,90.95
2015-10-13,91.15
2015-10-14,90.5
2015-10-15,89.0
2015-10-16,88.65
2015-10-19,89.15
2015-10-20,91.9
2015-10-21,90.15
2015-10-23,88.2
2015-10-26,88.9
2015-10-27,94.2
2015-10-28,92.8
2015-10-29,90.65
2015-10-30,91.05
2015-11-02,89.05
2015-11-03,90.75
2015-11-04,90.25
2015-11-05,94.05
2015-11-06,92.35
2015-11-09,101.3
2015-11-10,103.0
2015-11-11,105.15
2015-11-13,103.8
2015-11-16,100.35
2015-11-17,100.05
2015-11-18,100.25
2015-11-19,100.5
2015-11-20,101.15
2015-11-23,103.85
2015-11-24,101.4
2015-11-26,102.75
2015-11-27,101.55
2015-11-30,102.05
2015-12-01,122.45
2015-12-02,127.05
2015-12-03,125.4
2015-12-04,122.65
2015-12-07,143.7
2015-12-08,135.6
2015-12-09,132.35
2015-12-10,128.05
2015-12-11,128.9
2015-12-14,124.85
2015-12-15,124.4
2015-12-16,123.9
2015-12-17,124.85
2015-12-18,124.8
2015-12-21,125.4
2015-12-22,131.45
2015-12-23,130.45
2015-12-24,138.65
2015-12-28,134.6
2015-12-29,134.85
2015-12-30,131.25
2015-12-31,131.45
