Date,UTTAMSTL
2015-01-01,66.2
2015-01-02,66.05
2015-01-05,65.55
2015-01-06,63.4
2015-01-07,63.0
2015-01-08,64.05
2015-01-09,63.65
2015-01-12,63.7
2015-01-13,63.85
2015-01-14,63.1
2015-01-15,63.55
2015-01-16,63.0
2015-01-19,63.15
2015-01-20,71.05
2015-01-21,71.3
2015-01-22,68.5
2015-01-23,67.9
2015-01-27,66.0
2015-01-28,65.3
2015-01-29,64.6
2015-01-30,64.95
2015-02-02,64.8
2015-02-03,65.7
2015-02-04,64.55
2015-02-05,64.55
2015-02-06,63.5
2015-02-09,60.65
2015-02-10,60.4
2015-02-11,61.7
2015-02-12,62.35
2015-02-13,62.25
2015-02-16,62.45
2015-02-18,62.9
2015-02-19,65.35
2015-02-20,63.75
2015-02-23,63.4
2015-02-24,62.4
2015-02-25,62.05
2015-02-26,61.95
2015-02-27,63.05
2015-02-28,63.3
2015-03-02,62.8
2015-03-03,63.6
2015-03-04,61.4
2015-03-05,61.25
2015-03-09,59.5
2015-03-10,59.7
2015-03-11,63.1
2015-03-12,65.0
2015-03-13,61.75
2015-03-16,58.1
2015-03-17,56.7
2015-03-18,56.6
2015-03-19,55.85
2015-03-20,53.6
2015-03-23,50.5
2015-03-24,47.65
2015-03-25,45.6
2015-03-26,46.1
2015-03-27,41.7
2015-03-30,44.25
2015-03-31,45.7
2015-04-01,48.8
2015-04-06,50.6
2015-04-07,51.85
2015-04-08,51.15
2015-04-09,50.8
2015-04-10,52.75
2015-04-13,53.55
2015-04-15,52.35
2015-04-16,50.75
2015-04-17,50.65
2015-04-20,50.85
2015-04-21,49.85
2015-04-22,49.55
2015-04-23,52.9
2015-04-24,52.45
2015-04-27,49.0
2015-04-28,49.1
2015-04-29,49.05
2015-04-30,48.45
2015-05-04,49.55
2015-05-05,50.85
2015-05-06,47.95
2015-05-07,46.4
2015-05-08,47.1
2015-05-11,48.8
2015-05-12,47.25
2015-05-13,47.4
2015-05-14,47.85
2015-05-15,48.35
2015-05-18,48.3
2015-05-19,49.6
2015-05-20,48.4
2015-05-21,54.1
2015-05-22,52.65
2015-05-25,50.7
2015-05-26,49.05
2015-05-27,48.35
2015-05-28,47.8
2015-05-29,47.85
2015-06-01,46.15
2015-06-02,43.85
2015-06-03,41.6
2015-06-04,42.95
2015-06-05,43.95
2015-06-08,45.25
2015-06-09,43.55
2015-06-10,43.6
2015-06-11,42.75
2015-06-12,38.2
2015-06-15,35.3
2015-06-16,33.25
2015-06-17,34.8
2015-06-18,35.25
2015-06-19,34.2
2015-06-22,34.5
2015-06-23,35.0
2015-06-24,34.6
2015-06-25,34.5
2015-06-26,34.4
2015-06-29,33.2
2015-06-30,34.1
2015-07-01,35.3
2015-07-02,35.2
2015-07-03,34.9
2015-07-06,35.25
2015-07-07,35.35
2015-07-08,36.9
2015-07-09,36.8
2015-07-10,36.85
2015-07-13,36.5
2015-07-14,36.5
2015-07-15,36.65
2015-07-16,37.0
2015-07-17,37.7
2015-07-20,36.95
2015-07-21,35.9
2015-07-22,36.5
2015-07-23,36.5
2015-07-24,36.5
2015-07-27,35.25
2015-07-28,35.15
2015-07-29,35.35
2015-07-30,34.95
2015-07-31,34.4
2015-08-03,37.45
2015-08-04,38.25
2015-08-05,38.7
2015-08-06,38.15
2015-08-07,37.8
2015-08-10,37.75
2015-08-11,40.75
2015-08-12,41.45
2015-08-13,40.95
2015-08-14,39.65
2015-08-17,38.85
2015-08-18,38.85
2015-08-19,38.65
2015-08-20,37.2
2015-08-21,35.8
2015-08-24,32.1
2015-08-25,32.75
2015-08-26,32.4
2015-08-27,33.6
2015-08-28,34.2
2015-08-31,33.85
2015-09-01,32.05
2015-09-02,31.8
2015-09-03,33.15
2015-09-04,32.05
2015-09-07,31.6
2015-09-08,32.3
2015-09-09,33.25
2015-09-10,33.95
2015-09-11,33.4
2015-09-14,34.95
2015-09-15,34.4
2015-09-16,34.05
2015-09-18,33.9
2015-09-21,33.95
2015-09-22,33.2
2015-09-23,33.0
2015-09-24,33.3
2015-09-28,33.0
2015-09-29,32.45
2015-09-30,33.15
2015-10-01,33.15
2015-10-05,39.75
2015-10-06,36.65
2015-10-07,36.75
2015-10-08,35.85
2015-10-09,35.6
2015-10-12,36.65
2015-10-13,35.95
2015-10-14,35.85
2015-10-15,35.95
2015-10-16,36.2
2015-10-19,35.8
2015-10-20,35.75
2015-10-21,34.9
2015-10-23,34.45
2015-10-26,33.65
2015-10-27,32.8
2015-10-28,32.9
2015-10-29,30.85
2015-10-30,29.9
2015-11-02,28.6
2015-11-03,29.8
2015-11-04,29.55
2015-11-05,28.4
2015-11-06,28.25
2015-11-09,28.2
2015-11-10,28.1
2015-11-11,28.65
2015-11-13,29.45
2015-11-16,28.75
2015-11-17,29.0
2015-11-18,28.45
2015-11-19,30.55
2015-11-20,30.5
2015-11-23,29.6
2015-11-24,30.15
2015-11-26,30.55
2015-11-27,30.9
2015-11-30,30.95
2015-12-01,31.9
2015-12-02,32.5
2015-12-03,32.0
2015-12-04,32.45
2015-12-07,32.4
2015-12-08,31.0
2015-12-09,29.6
2015-12-10,33.15
2015-12-11,34.0
2015-12-14,33.05
2015-12-15,32.3
2015-12-16,31.9
2015-12-17,33.1
2015-12-18,32.3
2015-12-21,32.85
2015-12-22,34.3
2015-12-23,33.9
2015-12-24,34.65
2015-12-28,34.95
2015-12-29,34.3
2015-12-30,34.35
2015-12-31,34.4
