Date,TDPOWERSYS
2015-01-01,449.75
2015-01-02,452.75
2015-01-05,459.2
2015-01-06,442.4
2015-01-07,449.5
2015-01-08,446.15
2015-01-09,429.4
2015-01-12,426.65
2015-01-13,423.5
2015-01-14,418.2
2015-01-15,424.8
2015-01-16,419.95
2015-01-19,421.15
2015-01-20,416.9
2015-01-21,404.35
2015-01-22,409.65
2015-01-23,401.9
2015-01-27,400.7
2015-01-28,395.65
2015-01-29,385.55
2015-01-30,383.5
2015-02-02,395.85
2015-02-03,400.3
2015-02-04,404.15
2015-02-05,394.8
2015-02-06,398.85
2015-02-09,391.25
2015-02-10,382.85
2015-02-11,407.95
2015-02-12,381.65
2015-02-13,400.15
2015-02-16,402.8
2015-02-18,401.9
2015-02-19,385.0
2015-02-20,381.8
2015-02-23,374.9
2015-02-24,367.55
2015-02-25,369.4
2015-02-26,363.9
2015-02-27,370.5
2015-02-28,368.4
2015-03-02,370.65
2015-03-03,385.3
2015-03-04,377.05
2015-03-05,371.35
2015-03-09,365.75
2015-03-10,364.35
2015-03-11,361.65
2015-03-12,365.7
2015-03-13,363.9
2015-03-16,363.0
2015-03-17,349.95
2015-03-18,343.15
2015-03-19,335.3
2015-03-20,327.65
2015-03-23,301.5
2015-03-24,320.05
2015-03-25,333.85
2015-03-26,327.0
2015-03-27,335.1
2015-03-30,342.35
2015-03-31,359.2
2015-04-01,369.3
2015-04-06,355.5
2015-04-07,357.0
2015-04-08,357.3
2015-04-09,366.85
2015-04-10,371.05
2015-04-13,388.35
2015-04-15,382.65
2015-04-16,377.35
2015-04-17,368.1
2015-04-20,360.75
2015-04-21,361.2
2015-04-22,357.5
2015-04-23,356.55
2015-04-24,341.2
2015-04-27,330.35
2015-04-28,337.85
2015-04-29,344.25
2015-04-30,327.95
2015-05-04,335.75
2015-05-05,333.0
2015-05-06,330.9
2015-05-07,321.45
2015-05-08,327.6
2015-05-11,338.25
2015-05-12,326.05
2015-05-13,326.3
2015-05-14,318.45
2015-05-15,321.75
2015-05-18,327.75
2015-05-19,322.95
2015-05-20,335.45
2015-05-21,313.65
2015-05-22,309.35
2015-05-25,312.05
2015-05-26,313.0
2015-05-27,313.85
2015-05-28,311.1
2015-05-29,314.8
2015-06-01,311.6
2015-06-02,308.2
2015-06-03,296.6
2015-06-04,291.2
2015-06-05,295.1
2015-06-08,292.0
2015-06-09,291.75
2015-06-10,281.25
2015-06-11,275.95
2015-06-12,274.5
2015-06-15,276.55
2015-06-16,283.9
2015-06-17,296.35
2015-06-18,313.75
2015-06-19,314.1
2015-06-22,317.2
2015-06-23,309.25
2015-06-24,315.05
2015-06-25,316.5
2015-06-26,315.0
2015-06-29,317.75
2015-06-30,308.25
2015-07-01,312.2
2015-07-02,317.85
2015-07-03,322.45
2015-07-06,327.35
2015-07-07,326.75
2015-07-08,309.65
2015-07-09,313.05
2015-07-10,314.2
2015-07-13,313.25
2015-07-14,314.05
2015-07-15,305.55
2015-07-16,304.7
2015-07-17,303.3
2015-07-20,307.85
2015-07-21,303.4
2015-07-22,304.9
2015-07-23,309.2
2015-07-24,300.7
2015-07-27,292.8
2015-07-28,300.0
2015-07-29,299.05
2015-07-30,303.8
2015-07-31,296.95
2015-08-03,298.9
2015-08-04,304.8
2015-08-05,302.65
2015-08-06,304.95
2015-08-07,287.7
2015-08-10,291.4
2015-08-11,285.1
2015-08-12,273.1
2015-08-13,282.05
2015-08-14,278.1
2015-08-17,279.7
2015-08-18,281.35
2015-08-19,279.6
2015-08-20,280.2
2015-08-21,280.75
2015-08-24,279.2
2015-08-25,271.15
2015-08-26,277.9
2015-08-27,286.45
2015-08-28,286.7
2015-08-31,292.75
2015-09-01,280.95
2015-09-02,291.65
2015-09-03,296.2
2015-09-04,284.55
2015-09-07,277.3
2015-09-08,280.05
2015-09-09,282.15
2015-09-10,285.4
2015-09-11,286.85
2015-09-14,285.6
2015-09-15,298.6
2015-09-16,301.85
2015-09-18,287.45
2015-09-21,309.85
2015-09-22,298.4
2015-09-23,302.2
2015-09-24,302.75
2015-09-28,292.85
2015-09-29,298.65
2015-09-30,300.85
2015-10-01,291.9
2015-10-05,291.85
2015-10-06,291.1
2015-10-07,288.65
2015-10-08,292.7
2015-10-09,298.25
2015-10-12,294.75
2015-10-13,295.45
2015-10-14,300.05
2015-10-15,297.3
2015-10-16,292.35
2015-10-19,286.6
2015-10-20,293.7
2015-10-21,288.2
2015-10-23,285.8
2015-10-26,282.2
2015-10-27,278.45
2015-10-28,276.55
2015-10-29,271.6
2015-10-30,265.2
2015-11-02,257.75
2015-11-03,260.0
2015-11-04,261.0
2015-11-05,258.65
2015-11-06,259.85
2015-11-09,260.0
2015-11-10,260.55
2015-11-11,268.3
2015-11-13,282.85
2015-11-16,284.3
2015-11-17,273.9
2015-11-18,279.7
2015-11-19,284.75
2015-11-20,283.65
2015-11-23,289.2
2015-11-24,281.15
2015-11-26,282.1
2015-11-27,281.65
2015-11-30,279.9
2015-12-01,282.35
2015-12-02,296.7
2015-12-03,294.45
2015-12-04,289.5
2015-12-07,286.2
2015-12-08,278.05
2015-12-09,271.7
2015-12-10,270.7
2015-12-11,272.25
2015-12-14,271.25
2015-12-15,273.85
2015-12-16,280.1
2015-12-17,301.0
2015-12-18,316.5
2015-12-21,321.35
2015-12-22,318.05
2015-12-23,314.4
2015-12-24,319.0
2015-12-28,314.4
2015-12-29,309.2
2015-12-30,305.15
2015-12-31,305.9
