Date,ALEMBICLTD
2015-01-01,43.9
2015-01-02,44.25
2015-01-05,45.2
2015-01-06,42.55
2015-01-07,43.3
2015-01-08,44.0
2015-01-09,46.2
2015-01-12,46.55
2015-01-13,46.6
2015-01-14,45.4
2015-01-15,45.6
2015-01-16,45.3
2015-01-19,47.5
2015-01-20,52.6
2015-01-21,51.3
2015-01-22,46.15
2015-01-23,43.75
2015-01-27,44.2
2015-01-28,43.65
2015-01-29,44.75
2015-01-30,44.0
2015-02-02,43.9
2015-02-03,43.75
2015-02-04,43.45
2015-02-05,41.75
2015-02-06,40.95
2015-02-09,39.05
2015-02-10,40.0
2015-02-11,40.4
2015-02-12,41.65
2015-02-13,41.45
2015-02-16,41.2
2015-02-18,42.3
2015-02-19,41.25
2015-02-20,41.15
2015-02-23,41.45
2015-02-24,40.25
2015-02-25,37.8
2015-02-26,37.5
2015-02-27,38.95
2015-02-28,38.55
2015-03-02,38.2
2015-03-03,43.55
2015-03-04,41.45
2015-03-05,41.7
2015-03-09,41.5
2015-03-10,40.9
2015-03-11,40.6
2015-03-12,41.05
2015-03-13,38.8
2015-03-16,37.55
2015-03-17,38.55
2015-03-18,38.75
2015-03-19,37.7
2015-03-20,35.7
2015-03-23,33.45
2015-03-24,33.85
2015-03-25,33.95
2015-03-26,33.4
2015-03-27,33.4
2015-03-30,34.75
2015-03-31,34.6
2015-04-01,36.45
2015-04-06,38.25
2015-04-07,40.05
2015-04-08,40.35
2015-04-09,39.35
2015-04-10,39.15
2015-04-13,39.7
2015-04-15,40.15
2015-04-16,39.1
2015-04-17,38.6
2015-04-20,37.25
2015-04-21,37.2
2015-04-22,37.95
2015-04-23,37.45
2015-04-24,36.0
2015-04-27,34.25
2015-04-28,35.2
2015-04-29,36.7
2015-04-30,36.6
2015-05-04,37.65
2015-05-05,37.3
2015-05-06,35.9
2015-05-07,34.9
2015-05-08,35.5
2015-05-11,36.15
2015-05-12,34.55
2015-05-13,34.85
2015-05-14,34.8
2015-05-15,34.65
2015-05-18,35.55
2015-05-19,35.75
2015-05-20,35.65
2015-05-21,35.85
2015-05-22,35.4
2015-05-25,34.9
2015-05-26,34.75
2015-05-27,34.75
2015-05-28,34.4
2015-05-29,34.6
2015-06-01,34.35
2015-06-02,33.35
2015-06-03,30.35
2015-06-04,30.4
2015-06-05,32.15
2015-06-08,31.5
2015-06-09,30.6
2015-06-10,32.05
2015-06-11,31.25
2015-06-12,31.2
2015-06-15,31.3
2015-06-16,31.5
2015-06-17,32.0
2015-06-18,35.8
2015-06-19,39.45
2015-06-22,41.4
2015-06-23,39.8
2015-06-24,40.2
2015-06-25,39.55
2015-06-26,39.45
2015-06-29,37.4
2015-06-30,38.15
2015-07-01,38.8
2015-07-02,39.2
2015-07-03,38.55
2015-07-06,40.85
2015-07-07,41.05
2015-07-08,40.4
2015-07-09,42.8
2015-07-10,45.95
2015-07-13,48.1
2015-07-14,45.3
2015-07-15,46.15
2015-07-16,45.45
2015-07-17,45.65
2015-07-20,44.85
2015-07-21,43.6
2015-07-22,47.1
2015-07-23,46.7
2015-07-24,45.35
2015-07-27,43.6
2015-07-28,46.05
2015-07-29,45.9
2015-07-30,50.9
2015-07-31,49.5
2015-08-03,49.85
2015-08-04,48.6
2015-08-05,49.1
2015-08-06,50.15
2015-08-07,48.95
2015-08-10,47.05
2015-08-11,46.25
2015-08-12,43.9
2015-08-13,41.3
2015-08-14,45.8
2015-08-17,47.4
2015-08-18,46.7
2015-08-19,46.7
2015-08-20,43.75
2015-08-21,43.85
2015-08-24,38.5
2015-08-25,39.85
2015-08-26,39.15
2015-08-27,40.9
2015-08-28,40.55
2015-08-31,40.6
2015-09-01,39.4
2015-09-02,39.15
2015-09-03,39.5
2015-09-04,38.15
2015-09-07,36.55
2015-09-08,36.7
2015-09-09,37.7
2015-09-10,37.2
2015-09-11,37.4
2015-09-14,38.0
2015-09-15,38.45
2015-09-16,38.35
2015-09-18,38.7
2015-09-21,39.35
2015-09-22,39.6
2015-09-23,40.4
2015-09-24,40.5
2015-09-28,39.7
2015-09-29,39.25
2015-09-30,39.55
2015-10-01,42.5
2015-10-05,44.15
2015-10-06,43.65
2015-10-07,42.95
2015-10-08,42.3
2015-10-09,42.65
2015-10-12,42.95
2015-10-13,43.05
2015-10-14,45.65
2015-10-15,46.05
2015-10-16,45.3
2015-10-19,45.2
2015-10-20,45.5
2015-10-21,44.6
2015-10-23,43.85
2015-10-26,42.75
2015-10-27,44.05
2015-10-28,44.45
2015-10-29,44.15
2015-10-30,42.9
2015-11-02,41.75
2015-11-03,45.35
2015-11-04,43.45
2015-11-05,42.15
2015-11-06,41.85
2015-11-09,42.25
2015-11-10,41.5
2015-11-11,42.35
2015-11-13,41.7
2015-11-16,41.75
2015-11-17,43.0
2015-11-18,41.95
2015-11-19,42.15
2015-11-20,42.25
2015-11-23,42.65
2015-11-24,44.2
2015-11-26,45.05
2015-11-27,44.95
2015-11-30,45.95
2015-12-01,45.6
2015-12-02,45.35
2015-12-03,46.2
2015-12-04,45.45
2015-12-07,45.1
2015-12-08,43.8
2015-12-09,41.8
2015-12-10,42.85
2015-12-11,41.95
2015-12-14,41.95
2015-12-15,42.9
2015-12-16,42.4
2015-12-17,43.75
2015-12-18,43.1
2015-12-21,43.25
2015-12-22,46.65
2015-12-23,48.85
2015-12-24,51.0
2015-12-28,49.85
2015-12-29,48.55
2015-12-30,48.5
2015-12-31,47.75
