Date,INDIACEM
2015-01-01,85.65
2015-01-02,86.4
2015-01-05,87.2
2015-01-06,82.4
2015-01-07,84.3
2015-01-08,86.15
2015-01-09,83.7
2015-01-12,86.7
2015-01-13,89.7
2015-01-14,88.85
2015-01-15,97.0
2015-01-16,102.1
2015-01-19,99.6
2015-01-20,101.75
2015-01-21,102.55
2015-01-22,110.85
2015-01-23,107.8
2015-01-27,109.85
2015-01-28,109.7
2015-01-29,112.0
2015-01-30,107.5
2015-02-02,108.95
2015-02-03,104.7
2015-02-04,104.25
2015-02-05,96.25
2015-02-06,101.25
2015-02-09,98.0
2015-02-10,91.2
2015-02-11,95.15
2015-02-12,106.8
2015-02-13,102.0
2015-02-16,102.6
2015-02-18,104.6
2015-02-19,102.75
2015-02-20,102.2
2015-02-23,98.95
2015-02-24,100.6
2015-02-25,98.65
2015-02-26,97.3
2015-02-27,100.4
2015-02-28,99.75
2015-03-02,107.7
2015-03-03,107.2
2015-03-04,103.6
2015-03-05,102.25
2015-03-09,98.45
2015-03-10,99.15
2015-03-11,98.75
2015-03-12,99.4
2015-03-13,96.05
2015-03-16,94.05
2015-03-17,93.85
2015-03-18,94.6
2015-03-19,95.0
2015-03-20,92.2
2015-03-23,91.8
2015-03-24,92.0
2015-03-25,91.9
2015-03-26,87.75
2015-03-27,84.2
2015-03-30,89.2
2015-03-31,86.15
2015-04-01,89.05
2015-04-06,91.4
2015-04-07,96.0
2015-04-08,100.55
2015-04-09,107.25
2015-04-10,108.15
2015-04-13,108.3
2015-04-15,104.8
2015-04-16,103.25
2015-04-17,100.1
2015-04-20,99.55
2015-04-21,100.55
2015-04-22,98.7
2015-04-23,98.8
2015-04-24,96.25
2015-04-27,88.0
2015-04-28,90.9
2015-04-29,89.85
2015-04-30,90.85
2015-05-04,94.2
2015-05-05,92.55
2015-05-06,88.15
2015-05-07,87.6
2015-05-08,91.05
2015-05-11,92.7
2015-05-12,86.85
2015-05-13,89.35
2015-05-14,90.6
2015-05-15,90.85
2015-05-18,91.75
2015-05-19,92.05
2015-05-20,92.4
2015-05-21,89.95
2015-05-22,88.65
2015-05-25,89.9
2015-05-26,88.85
2015-05-27,90.45
2015-05-28,92.4
2015-05-29,91.75
2015-06-01,91.05
2015-06-02,86.2
2015-06-03,83.15
2015-06-04,82.35
2015-06-05,82.2
2015-06-08,77.85
2015-06-09,79.0
2015-06-10,79.75
2015-06-11,75.3
2015-06-12,76.6
2015-06-15,75.3
2015-06-16,77.85
2015-06-17,81.0
2015-06-18,81.4
2015-06-19,82.55
2015-06-22,84.0
2015-06-23,85.3
2015-06-24,84.4
2015-06-25,86.65
2015-06-26,94.35
2015-06-29,92.45
2015-06-30,94.25
2015-07-01,95.7
2015-07-02,97.3
2015-07-03,95.3
2015-07-06,97.9
2015-07-07,97.15
2015-07-08,93.1
2015-07-09,94.9
2015-07-10,94.75
2015-07-13,94.25
2015-07-14,90.7
2015-07-15,88.95
2015-07-16,88.05
2015-07-17,87.75
2015-07-20,87.4
2015-07-21,83.9
2015-07-22,85.05
2015-07-23,85.85
2015-07-24,84.55
2015-07-27,82.95
2015-07-28,82.7
2015-07-29,83.9
2015-07-30,86.3
2015-07-31,92.6
2015-08-03,91.75
2015-08-04,91.45
2015-08-05,92.45
2015-08-06,88.3
2015-08-07,87.75
2015-08-10,86.05
2015-08-11,83.6
2015-08-12,83.25
2015-08-13,81.3
2015-08-14,83.9
2015-08-17,82.8
2015-08-18,83.75
2015-08-19,84.35
2015-08-20,83.35
2015-08-21,82.2
2015-08-24,66.95
2015-08-25,69.3
2015-08-26,70.25
2015-08-27,72.6
2015-08-28,74.35
2015-08-31,72.55
2015-09-01,69.35
2015-09-02,70.65
2015-09-03,74.0
2015-09-04,69.8
2015-09-07,68.4
2015-09-08,69.75
2015-09-09,71.65
2015-09-10,71.45
2015-09-11,71.7
2015-09-14,73.0
2015-09-15,71.85
2015-09-16,72.2
2015-09-18,74.25
2015-09-21,76.95
2015-09-22,74.2
2015-09-23,75.2
2015-09-24,73.95
2015-09-28,76.9
2015-09-29,77.3
2015-09-30,78.1
2015-10-01,82.45
2015-10-05,85.4
2015-10-06,85.05
2015-10-07,80.25
2015-10-08,78.65
2015-10-09,77.45
2015-10-12,77.8
2015-10-13,78.45
2015-10-14,81.0
2015-10-15,84.1
2015-10-16,83.5
2015-10-19,83.75
2015-10-20,83.35
2015-10-21,82.35
2015-10-23,80.95
2015-10-26,79.3
2015-10-27,80.65
2015-10-28,78.5
2015-10-29,80.9
2015-10-30,78.45
2015-11-02,83.55
2015-11-03,82.3
2015-11-04,81.7
2015-11-05,78.15
2015-11-06,78.65
2015-11-09,79.65
2015-11-10,77.05
2015-11-11,78.55
2015-11-13,76.95
2015-11-16,79.0
2015-11-17,81.85
2015-11-18,78.9
2015-11-19,81.0
2015-11-20,81.75
2015-11-23,80.85
2015-11-24,84.25
2015-11-26,88.5
2015-11-27,86.9
2015-11-30,88.95
2015-12-01,90.6
2015-12-02,88.35
2015-12-03,88.25
2015-12-04,85.9
2015-12-07,85.45
2015-12-08,82.5
2015-12-09,79.6
2015-12-10,81.95
2015-12-11,80.95
2015-12-14,84.05
2015-12-15,85.35
2015-12-16,84.45
2015-12-17,87.4
2015-12-18,88.7
2015-12-21,88.0
2015-12-22,85.3
2015-12-23,85.6
2015-12-24,85.15
2015-12-28,87.35
2015-12-29,90.65
2015-12-30,90.85
2015-12-31,96.85
