Date,WEIZMANIND
2015-01-01,11.7
2015-01-02,12.5
2015-01-05,11.95
2015-01-06,11.6
2015-01-07,12.55
2015-01-08,12.35
2015-01-09,11.85
2015-01-12,12.15
2015-01-13,11.65
2015-01-14,11.65
2015-01-15,11.5
2015-01-16,11.85
2015-01-19,11.65
2015-01-20,11.55
2015-01-21,11.7
2015-01-22,12.7
2015-01-23,11.9
2015-01-27,11.75
2015-01-28,12.35
2015-01-29,12.35
2015-01-30,12.9
2015-02-02,12.35
2015-02-03,12.45
2015-02-04,13.55
2015-02-05,14.85
2015-02-06,14.0
2015-02-09,13.65
2015-02-10,13.55
2015-02-11,15.05
2015-02-12,14.45
2015-02-13,15.2
2015-02-16,15.65
2015-02-18,15.0
2015-02-19,15.65
2015-02-20,15.35
2015-02-23,14.95
2015-02-24,14.8
2015-02-25,15.0
2015-02-26,14.15
2015-02-27,14.55
2015-02-28,15.0
2015-03-02,14.25
2015-03-03,13.55
2015-03-04,13.35
2015-03-05,13.4
2015-03-09,14.0
2015-03-10,13.8
2015-03-11,13.35
2015-03-12,13.25
2015-03-13,13.25
2015-03-16,13.45
2015-03-17,13.5
2015-03-18,12.9
2015-03-19,12.7
2015-03-20,12.4
2015-03-23,12.4
2015-03-24,12.0
2015-03-25,12.45
2015-03-26,11.5
2015-03-27,11.5
2015-03-30,11.55
2015-03-31,11.5
2015-04-01,11.85
2015-04-06,12.0
2015-04-07,12.0
2015-04-08,11.8
2015-04-09,11.7
2015-04-10,13.4
2015-04-13,13.5
2015-04-15,12.65
2015-04-16,13.05
2015-04-17,13.85
2015-04-20,12.7
2015-04-21,12.85
2015-04-22,13.3
2015-04-23,12.75
2015-04-24,12.75
2015-04-27,12.1
2015-04-28,13.55
2015-04-29,12.5
2015-04-30,13.75
2015-05-04,13.0
2015-05-05,12.8
2015-05-06,12.0
2015-05-07,12.05
2015-05-08,13.0
2015-05-11,13.0
2015-05-12,12.4
2015-05-13,12.5
2015-05-14,14.25
2015-05-15,14.45
2015-05-18,15.05
2015-05-19,14.3
2015-05-20,13.85
2015-05-21,14.6
2015-05-22,14.4
2015-05-25,14.05
2015-05-26,14.1
2015-05-27,13.85
2015-05-28,15.2
2015-05-29,13.85
2015-06-01,13.65
2015-06-02,12.8
2015-06-03,12.3
2015-06-04,13.6
2015-06-05,12.75
2015-06-08,13.0
2015-06-09,13.4
2015-06-10,12.85
2015-06-11,13.0
2015-06-12,13.4
2015-06-15,13.0
2015-06-17,14.0
2015-06-18,14.0
2015-06-19,13.35
2015-06-22,13.3
2015-06-23,14.5
2015-06-24,13.7
2015-06-25,14.4
2015-06-26,14.35
2015-06-29,14.0
2015-06-30,14.7
2015-07-01,14.5
2015-07-02,14.55
2015-07-03,13.95
2015-07-06,13.55
2015-07-07,14.5
2015-07-08,14.5
2015-07-09,13.4
2015-07-10,14.25
2015-07-13,14.05
2015-07-14,14.45
2015-07-15,14.3
2015-07-16,14.95
2015-07-17,14.9
2015-07-20,15.1
2015-07-21,16.0
2015-07-22,15.55
2015-07-23,15.3
2015-07-24,15.55
2015-07-27,15.0
2015-07-28,15.45
2015-07-29,15.25
2015-07-30,15.65
2015-07-31,16.3
2015-08-03,16.1
2015-08-04,16.65
2015-08-05,17.6
2015-08-06,17.75
2015-08-07,17.95
2015-08-10,17.6
2015-08-11,17.25
2015-08-12,17.25
2015-08-13,15.45
2015-08-14,15.8
2015-08-17,16.5
2015-08-18,16.7
2015-08-19,16.25
2015-08-20,16.65
2015-08-21,16.05
2015-08-24,14.05
2015-08-25,14.3
2015-08-26,14.25
2015-08-27,14.5
2015-08-28,15.4
2015-08-31,14.5
2015-09-01,14.0
2015-09-02,13.45
2015-09-03,13.75
2015-09-04,13.15
2015-09-07,13.65
2015-09-08,14.0
2015-09-09,14.6
2015-09-10,14.35
2015-09-14,14.05
2015-09-15,14.45
2015-09-16,14.0
2015-09-18,14.35
2015-09-22,14.15
2015-09-23,14.45
2015-09-24,14.2
2015-09-28,14.0
2015-09-29,14.0
2015-09-30,14.45
2015-10-01,15.0
2015-10-05,15.3
2015-10-06,14.5
2015-10-07,15.4
2015-10-08,15.65
2015-10-09,16.9
2015-10-12,17.0
2015-10-13,17.0
2015-10-14,15.5
2015-10-15,16.0
2015-10-16,16.0
2015-10-19,15.9
2015-10-20,16.6
2015-10-21,16.2
2015-10-23,16.1
2015-10-26,16.0
2015-10-28,16.0
2015-10-29,15.75
2015-10-30,16.25
2015-11-02,16.65
2015-11-03,16.0
2015-11-04,15.9
2015-11-05,14.9
2015-11-06,15.0
2015-11-09,15.0
2015-11-10,14.75
2015-11-13,16.0
2015-11-16,16.8
2015-11-18,16.8
2015-11-19,15.5
2015-11-23,16.0
2015-11-24,16.95
2015-11-26,16.6
2015-11-27,17.5
2015-11-30,17.0
2015-12-01,17.15
2015-12-02,17.05
2015-12-03,18.55
2015-12-04,19.5
2015-12-07,20.4
2015-12-08,20.1
2015-12-09,18.6
2015-12-10,18.45
2015-12-11,18.5
2015-12-14,18.0
2015-12-15,18.5
2015-12-16,19.1
2015-12-17,19.65
2015-12-18,19.25
2015-12-21,20.85
2015-12-22,21.0
2015-12-23,20.8
2015-12-24,20.9
2015-12-28,21.4
2015-12-29,22.45
2015-12-30,26.7
2015-12-31,27.55
