Date,GOLDSHARE
2015-01-01,2447.65
2015-01-02,2444.15
2015-01-05,2453.8
2015-01-06,2493.3
2015-01-07,2495.05
2015-01-08,2460.7
2015-01-09,2448.3
2015-01-12,2475.2
2015-01-13,2488.25
2015-01-14,2483.6
2015-01-15,2474.0
2015-01-16,2516.5
2015-01-19,2540.4
2015-01-20,2572.3
2015-01-21,2570.45
2015-01-22,2555.05
2015-01-23,2564.0
2015-01-27,2546.35
2015-01-28,2559.1
2015-01-29,2547.55
2015-01-30,2554.05
2015-02-02,2557.5
2015-02-03,2561.15
2015-02-04,2531.85
2015-02-05,2541.65
2015-02-06,2541.8
2015-02-09,2503.05
2015-02-10,2499.35
2015-02-11,2501.95
2015-02-12,2489.55
2015-02-13,2495.7
2015-02-16,2505.2
2015-02-18,2475.4
2015-02-19,2464.85
2015-02-20,2459.1
2015-02-23,2441.9
2015-02-24,2432.2
2015-02-25,2444.15
2015-02-26,2427.4
2015-02-27,2420.45
2015-02-28,2424.1
2015-03-02,2442.35
2015-03-03,2422.25
2015-03-04,2420.35
2015-03-05,2424.7
2015-03-09,2404.75
2015-03-10,2386.5
2015-03-11,2363.85
2015-03-12,2371.65
2015-03-13,2373.65
2015-03-16,2382.9
2015-03-17,2364.7
2015-03-18,2361.15
2015-03-19,2372.55
2015-03-20,2372.8
2015-03-23,2384.1
2015-03-24,2396.6
2015-03-25,2403.4
2015-03-26,2460.1
2015-03-27,2424.15
2015-03-30,2409.05
2015-03-31,2406.4
2015-04-01,2402.8
2015-04-06,2459.95
2015-04-07,2446.55
2015-04-08,2454.25
2015-04-09,2414.95
2015-04-10,2438.4
2015-04-13,2429.15
2015-04-15,2422.25
2015-04-16,2435.85
2015-04-17,2433.65
2015-04-20,2457.25
2015-04-21,2478.7
2015-04-22,2454.6
2015-04-23,2434.25
2015-04-24,2445.75
2015-04-27,2438.25
2015-04-28,2460.55
2015-04-29,2452.65
2015-04-30,2468.35
2015-05-04,2450.2
2015-05-05,2441.4
2015-05-06,2450.15
2015-05-07,2450.25
2015-05-08,2454.15
2015-05-11,2432.45
2015-05-12,2450.75
2015-05-13,2445.05
2015-05-14,2482.15
2015-05-15,2484.8
2015-05-18,2494.3
2015-05-19,2488.45
2015-05-20,2479.5
2015-05-21,2493.8
2015-05-22,2472.5
2015-05-25,2470.25
2015-05-26,2468.75
2015-05-27,2470.1
2015-05-28,2464.75
2015-05-29,2470.25
2015-06-01,2472.25
2015-06-02,2473.85
2015-06-03,2463.05
2015-06-04,2459.65
2015-06-05,2439.15
2015-06-08,2434.95
2015-06-09,2448.25
2015-06-10,2448.75
2015-06-11,2427.15
2015-06-12,2437.2
2015-06-15,2428.8
2015-06-16,2441.9
2015-06-17,2436.1
2015-06-18,2448.05
2015-06-19,2433.2
2015-06-22,2420.8
2015-06-23,2407.4
2015-06-24,2391.85
2015-06-25,2389.85
2015-06-26,2384.45
2015-06-29,2408.55
2015-06-30,2410.15
2015-07-01,2406.8
2015-07-02,2390.85
2015-07-03,2391.85
2015-07-06,2392.55
2015-07-07,2390.6
2015-07-08,2375.5
2015-07-09,2405.7
2015-07-10,2394.85
2015-07-13,2380.15
2015-07-14,2376.7
2015-07-15,2369.05
2015-07-16,2362.75
2015-07-17,2356.15
2015-07-20,2329.4
2015-07-21,2329.95
2015-07-22,2309.1
2015-07-23,2308.9
2015-07-24,2297.7
2015-07-27,2290.35
2015-07-28,2283.05
2015-07-29,2277.85
2015-07-30,2278.4
2015-07-31,2267.95
2015-08-03,2270.95
2015-08-04,2262.05
2015-08-05,2250.7
2015-08-06,2245.3
2015-08-07,2256.05
2015-08-10,2266.8
2015-08-11,2288.25
2015-08-12,2310.8
2015-08-13,2317.9
2015-08-14,2320.4
2015-08-17,2328.15
2015-08-18,2336.45
2015-08-19,2327.5
2015-08-20,2362.05
2015-08-21,2385.7
2015-08-24,2359.4
2015-08-25,2289.95
2015-08-26,2291.85
2015-08-27,2273.55
2015-08-28,2390.75
2015-08-31,2408.0
2015-09-01,2430.4
2015-09-02,2424.6
2015-09-03,2405.45
2015-09-04,2398.3
2015-09-07,2401.6
2015-09-08,2402.85
2015-09-09,2396.6
2015-09-10,2343.95
2015-09-11,2373.85
2015-09-14,2364.55
2015-09-15,2365.3
2015-09-16,2366.95
2015-09-18,2397.6
2015-09-21,2388.6
2015-09-22,2392.7
2015-09-23,2374.0
2015-09-24,2400.85
2015-09-28,2405.15
2015-09-29,2386.2
2015-09-30,2383.45
2015-10-01,2366.55
2015-10-05,2383.95
2015-10-06,2395.25
2015-10-07,2413.15
2015-10-08,2392.85
2015-10-09,2390.65
2015-10-12,2439.4
2015-10-13,2406.25
2015-10-14,2434.5
2015-10-15,2442.65
2015-10-16,2442.95
2015-10-19,2421.1
2015-10-20,2436.65
2015-10-21,2444.1
2015-10-23,2424.6
2015-10-26,2404.6
2015-10-27,2407.5
2015-10-28,2436.0
2015-10-29,2426.2
2015-10-30,2437.1
2015-11-02,2402.75
2015-11-03,2389.9
2015-11-04,2372.5
2015-11-05,2371.8
2015-11-06,2355.7
2015-11-09,2377.05
2015-11-10,2334.65
2015-11-11,2333.7
2015-11-13,2303.75
2015-11-16,2315.2
2015-11-17,2290.3
2015-11-18,2296.55
2015-11-19,2301.4
2015-11-20,2324.5
2015-11-23,2303.7
2015-11-24,2311.25
2015-11-26,2298.4
2015-11-27,2305.05
2015-11-30,2287.4
2015-12-01,2302.2
2015-12-02,2294.75
2015-12-03,2282.75
2015-12-04,2291.35
2015-12-07,2317.95
2015-12-08,2304.5
2015-12-09,2315.6
2015-12-10,2307.7
2015-12-11,2299.9
