Date,PTC
2015-01-01,95.0
2015-01-02,95.95
2015-01-05,96.1
2015-01-06,92.25
2015-01-07,91.3
2015-01-08,93.85
2015-01-09,93.9
2015-01-12,93.95
2015-01-13,92.25
2015-01-14,91.4
2015-01-15,93.65
2015-01-16,94.8
2015-01-19,93.8
2015-01-20,93.45
2015-01-21,92.5
2015-01-22,92.4
2015-01-23,94.5
2015-01-27,99.1
2015-01-28,97.9
2015-01-29,99.3
2015-01-30,99.9
2015-02-02,100.1
2015-02-03,97.8
2015-02-04,96.8
2015-02-05,93.85
2015-02-06,88.85
2015-02-09,82.65
2015-02-10,83.1
2015-02-11,84.65
2015-02-12,84.45
2015-02-13,83.75
2015-02-16,84.55
2015-02-18,86.85
2015-02-19,86.95
2015-02-20,86.15
2015-02-23,87.35
2015-02-24,85.55
2015-02-25,87.2
2015-02-26,86.2
2015-02-27,88.4
2015-02-28,86.95
2015-03-02,88.45
2015-03-03,89.45
2015-03-04,85.8
2015-03-05,85.8
2015-03-09,84.2
2015-03-10,82.95
2015-03-11,81.25
2015-03-12,82.8
2015-03-13,79.8
2015-03-16,79.7
2015-03-17,81.1
2015-03-18,81.55
2015-03-19,81.1
2015-03-20,78.95
2015-03-23,76.75
2015-03-24,76.0
2015-03-25,75.15
2015-03-26,74.2
2015-03-27,73.7
2015-03-30,79.15
2015-03-31,80.9
2015-04-01,79.45
2015-04-06,78.7
2015-04-07,78.7
2015-04-08,78.95
2015-04-09,78.2
2015-04-10,78.95
2015-04-13,80.75
2015-04-15,80.1
2015-04-16,78.9
2015-04-17,78.35
2015-04-20,74.35
2015-04-21,74.3
2015-04-22,75.25
2015-04-23,74.8
2015-04-24,74.1
2015-04-27,71.45
2015-04-28,72.55
2015-04-29,71.65
2015-04-30,72.35
2015-05-04,72.6
2015-05-05,71.8
2015-05-06,68.95
2015-05-07,67.15
2015-05-08,68.4
2015-05-11,68.55
2015-05-12,66.05
2015-05-13,66.65
2015-05-14,67.6
2015-05-15,67.5
2015-05-18,67.2
2015-05-19,68.8
2015-05-20,68.8
2015-05-21,67.95
2015-05-22,67.75
2015-05-25,68.4
2015-05-26,66.95
2015-05-27,67.15
2015-05-28,67.95
2015-05-29,68.95
2015-06-01,69.2
2015-06-02,66.8
2015-06-03,63.45
2015-06-04,62.3
2015-06-05,63.85
2015-06-08,62.1
2015-06-09,60.3
2015-06-10,60.7
2015-06-11,59.95
2015-06-12,60.45
2015-06-15,61.35
2015-06-16,63.3
2015-06-17,63.2
2015-06-18,66.05
2015-06-19,66.05
2015-06-22,66.25
2015-06-23,65.4
2015-06-24,66.6
2015-06-25,68.5
2015-06-26,69.4
2015-06-29,66.8
2015-06-30,68.7
2015-07-01,70.75
2015-07-02,69.95
2015-07-03,70.55
2015-07-06,71.4
2015-07-07,72.55
2015-07-08,70.15
2015-07-09,70.45
2015-07-10,70.8
2015-07-13,72.55
2015-07-14,71.75
2015-07-15,71.5
2015-07-16,71.95
2015-07-17,72.4
2015-07-20,71.1
2015-07-21,69.55
2015-07-22,71.4
2015-07-23,71.55
2015-07-24,70.95
2015-07-27,68.4
2015-07-28,68.3
2015-07-29,66.5
2015-07-30,68.45
2015-07-31,69.05
2015-08-03,72.4
2015-08-04,72.45
2015-08-05,72.5
2015-08-06,70.8
2015-08-07,70.55
2015-08-10,70.2
2015-08-11,67.85
2015-08-12,66.2
2015-08-13,66.4
2015-08-14,68.25
2015-08-17,68.2
2015-08-18,67.45
2015-08-19,67.65
2015-08-20,64.35
2015-08-21,62.0
2015-08-24,54.3
2015-08-25,52.0
2015-08-26,55.3
2015-08-27,57.1
2015-08-28,57.2
2015-08-31,59.95
2015-09-01,57.2
2015-09-02,57.4
2015-09-03,58.0
2015-09-04,55.95
2015-09-07,58.15
2015-09-08,58.9
2015-09-09,59.25
2015-09-10,59.3
2015-09-11,58.35
2015-09-14,59.4
2015-09-15,58.4
2015-09-16,55.9
2015-09-18,58.3
2015-09-21,61.85
2015-09-22,60.2
2015-09-23,58.4
2015-09-24,55.95
2015-09-28,59.95
2015-09-29,59.45
2015-09-30,59.55
2015-10-01,59.75
2015-10-05,61.9
2015-10-06,62.9
2015-10-07,63.55
2015-10-08,64.6
2015-10-09,65.0
2015-10-12,66.25
2015-10-13,67.4
2015-10-14,67.2
2015-10-15,66.1
2015-10-16,67.2
2015-10-19,66.95
2015-10-20,67.8
2015-10-21,67.4
2015-10-23,66.3
2015-10-26,66.1
2015-10-27,64.95
2015-10-28,64.2
2015-10-29,63.45
2015-10-30,64.75
2015-11-02,64.8
2015-11-03,64.4
2015-11-04,65.3
2015-11-05,62.45
2015-11-06,64.45
2015-11-09,64.35
2015-11-10,62.25
2015-11-11,62.75
2015-11-13,61.8
2015-11-16,62.9
2015-11-17,64.15
2015-11-18,63.8
2015-11-19,64.85
2015-11-20,64.85
2015-11-23,64.25
2015-11-24,65.1
2015-11-26,67.15
2015-11-27,66.2
2015-11-30,65.5
2015-12-01,65.8
2015-12-02,65.25
2015-12-03,65.05
2015-12-04,63.05
2015-12-07,63.05
2015-12-08,60.3
2015-12-09,60.05
2015-12-10,60.35
2015-12-11,59.05
2015-12-14,58.75
2015-12-15,58.9
2015-12-16,59.3
2015-12-17,61.6
2015-12-18,62.45
2015-12-21,64.35
2015-12-22,63.15
2015-12-23,64.55
2015-12-24,65.25
2015-12-28,65.3
2015-12-29,64.6
2015-12-30,66.0
2015-12-31,66.85
