Date,PILITA
2015-01-01,24.0
2015-01-02,24.7
2015-01-05,26.85
2015-01-06,24.45
2015-01-07,23.35
2015-01-08,23.3
2015-01-09,23.1
2015-01-12,21.35
2015-01-13,20.7
2015-01-14,19.9
2015-01-15,20.25
2015-01-16,21.85
2015-01-19,22.75
2015-01-20,23.4
2015-01-21,22.65
2015-01-22,21.5
2015-01-23,19.95
2015-01-27,19.7
2015-01-28,19.35
2015-01-29,17.55
2015-01-30,17.4
2015-02-02,18.9
2015-02-03,19.45
2015-02-04,19.3
2015-02-05,18.95
2015-02-06,18.1
2015-02-09,17.75
2015-02-10,17.15
2015-02-11,17.85
2015-02-12,18.1
2015-02-13,17.6
2015-02-16,17.45
2015-02-18,17.45
2015-02-19,16.75
2015-02-20,16.85
2015-02-23,16.4
2015-02-24,17.5
2015-02-25,17.25
2015-02-26,17.15
2015-02-27,16.75
2015-02-28,16.95
2015-03-02,16.45
2015-03-03,17.2
2015-03-04,16.65
2015-03-05,16.25
2015-03-09,15.4
2015-03-10,15.6
2015-03-11,15.05
2015-03-12,15.2
2015-03-13,15.5
2015-03-16,14.3
2015-03-17,14.1
2015-03-18,13.2
2015-03-19,12.8
2015-03-20,12.35
2015-03-23,13.0
2015-03-24,13.35
2015-03-25,13.95
2015-03-26,13.6
2015-03-27,13.8
2015-03-30,14.25
2015-03-31,13.75
2015-04-01,14.2
2015-04-06,14.95
2015-04-07,14.95
2015-04-08,14.95
2015-04-09,14.7
2015-04-10,14.9
2015-04-13,15.5
2015-04-15,16.25
2015-04-16,15.95
2015-04-17,16.1
2015-04-20,15.3
2015-04-21,15.5
2015-04-22,15.35
2015-04-23,15.35
2015-04-24,14.2
2015-04-27,14.6
2015-04-28,14.75
2015-04-29,15.05
2015-04-30,14.6
2015-05-04,15.65
2015-05-05,17.65
2015-05-06,16.9
2015-05-07,17.3
2015-05-08,17.0
2015-05-11,18.55
2015-05-12,18.0
2015-05-13,19.15
2015-05-14,19.2
2015-05-15,21.0
2015-05-18,23.8
2015-05-19,22.55
2015-05-20,22.25
2015-05-21,22.8
2015-05-22,22.8
2015-05-25,23.15
2015-05-26,23.1
2015-05-27,22.2
2015-05-28,21.6
2015-05-29,22.7
2015-06-01,21.3
2015-06-02,19.85
2015-06-03,18.15
2015-06-04,17.95
2015-06-05,17.8
2015-06-08,17.2
2015-06-09,17.15
2015-06-10,17.3
2015-06-11,16.95
2015-06-12,16.3
2015-06-15,16.8
2015-06-16,16.55
2015-06-17,16.85
2015-06-18,17.2
2015-06-19,17.05
2015-06-22,16.5
2015-06-23,16.8
2015-06-24,16.4
2015-06-25,16.75
2015-06-26,16.15
2015-06-29,15.7
2015-06-30,15.65
2015-07-01,15.55
2015-07-02,16.35
2015-07-03,16.9
2015-07-06,17.2
2015-07-07,17.1
2015-07-08,17.3
2015-07-09,17.45
2015-07-10,18.05
2015-07-13,18.3
2015-07-14,18.9
2015-07-15,18.0
2015-07-16,17.65
2015-07-17,17.65
2015-07-20,17.8
2015-07-21,17.6
2015-07-22,17.5
2015-07-23,17.9
2015-07-24,17.85
2015-07-27,17.3
2015-07-28,17.25
2015-07-29,16.7
2015-07-30,16.95
2015-07-31,16.9
2015-08-03,16.65
2015-08-04,16.3
2015-08-05,17.25
2015-08-06,17.7
2015-08-07,18.45
2015-08-10,19.6
2015-08-11,18.8
2015-08-12,18.25
2015-08-13,18.25
2015-08-14,19.5
2015-08-17,20.55
2015-08-18,20.55
2015-08-19,20.85
2015-08-20,20.9
2015-08-21,20.65
2015-08-24,16.85
2015-08-25,16.6
2015-08-26,16.95
2015-08-27,17.3
2015-08-28,17.1
2015-08-31,18.1
2015-09-01,17.75
2015-09-02,16.9
2015-09-03,17.1
2015-09-04,16.35
2015-09-07,14.65
2015-09-08,14.9
2015-09-09,15.35
2015-09-10,15.15
2015-09-11,15.2
2015-09-14,15.45
2015-09-15,14.8
2015-09-16,14.75
2015-09-18,14.9
2015-09-21,15.4
2015-09-22,15.75
2015-09-23,15.95
2015-09-24,15.1
2015-09-28,15.25
2015-09-29,15.35
2015-09-30,15.0
2015-10-01,15.1
2015-10-05,15.75
2015-10-06,15.1
2015-10-07,15.0
2015-10-08,15.45
2015-10-09,16.9
2015-10-12,17.25
2015-10-13,17.2
2015-10-14,17.1
2015-10-15,17.25
2015-10-16,17.65
2015-10-19,17.6
2015-10-20,17.2
2015-10-21,17.45
2015-10-23,17.2
2015-10-26,17.1
2015-10-27,16.25
2015-10-28,16.7
2015-10-29,16.0
2015-10-30,16.0
2015-11-02,16.7
2015-11-03,15.8
2015-11-04,15.75
2015-11-05,16.0
2015-11-06,15.75
2015-11-09,15.5
2015-11-10,15.35
2015-11-11,15.8
2015-11-13,15.85
2015-11-16,14.85
2015-11-17,14.4
2015-11-18,14.1
2015-11-19,14.5
2015-11-20,14.45
2015-11-23,14.45
2015-11-24,14.85
2015-11-26,15.25
2015-11-27,16.1
2015-11-30,16.55
2015-12-01,16.75
2015-12-02,16.95
2015-12-03,17.25
2015-12-04,17.0
2015-12-07,16.45
2015-12-08,16.15
2015-12-09,15.9
2015-12-10,15.7
2015-12-11,15.15
2015-12-14,15.3
2015-12-15,15.65
2015-12-16,14.75
2015-12-17,14.6
2015-12-18,14.2
2015-12-21,14.9
2015-12-22,14.45
2015-12-23,15.05
2015-12-24,14.9
2015-12-28,14.85
2015-12-29,14.3
2015-12-30,14.45
2015-12-31,17.3
