Date,EMCO
2015-01-01,40.7
2015-01-02,40.45
2015-01-05,40.25
2015-01-06,38.35
2015-01-07,38.85
2015-01-08,40.25
2015-01-09,39.3
2015-01-12,39.5
2015-01-13,38.85
2015-01-14,37.85
2015-01-15,38.5
2015-01-16,38.45
2015-01-19,39.15
2015-01-20,44.1
2015-01-21,42.05
2015-01-22,39.95
2015-01-23,42.55
2015-01-27,42.0
2015-01-28,40.3
2015-01-29,40.1
2015-01-30,40.0
2015-02-02,39.85
2015-02-03,39.25
2015-02-04,39.8
2015-02-05,39.45
2015-02-06,38.25
2015-02-09,37.7
2015-02-10,38.2
2015-02-11,37.65
2015-02-12,37.85
2015-02-13,38.3
2015-02-16,37.4
2015-02-18,37.8
2015-02-19,37.9
2015-02-20,38.65
2015-02-23,38.45
2015-02-24,38.1
2015-02-25,39.6
2015-02-26,38.2
2015-02-27,38.55
2015-02-28,38.55
2015-03-02,39.15
2015-03-03,39.15
2015-03-04,38.9
2015-03-05,38.8
2015-03-09,37.5
2015-03-10,37.25
2015-03-11,37.0
2015-03-12,36.95
2015-03-13,35.85
2015-03-16,35.3
2015-03-17,35.7
2015-03-18,35.75
2015-03-19,37.6
2015-03-20,35.85
2015-03-23,34.65
2015-03-24,34.05
2015-03-25,32.1
2015-03-26,31.0
2015-03-27,30.85
2015-03-30,32.15
2015-03-31,33.3
2015-04-01,34.55
2015-04-06,34.25
2015-04-07,34.65
2015-04-08,35.9
2015-04-09,35.05
2015-04-10,36.65
2015-04-13,37.1
2015-04-15,36.55
2015-04-16,36.0
2015-04-17,35.0
2015-04-20,33.8
2015-04-21,33.4
2015-04-22,33.9
2015-04-23,33.55
2015-04-24,32.85
2015-04-27,31.3
2015-04-28,30.2
2015-04-29,30.7
2015-04-30,31.05
2015-05-04,32.15
2015-05-05,31.75
2015-05-06,30.1
2015-05-07,28.9
2015-05-08,29.8
2015-05-11,30.35
2015-05-12,29.3
2015-05-13,29.7
2015-05-14,29.85
2015-05-15,29.55
2015-05-18,31.75
2015-05-19,30.9
2015-05-20,30.0
2015-05-21,31.0
2015-05-22,30.45
2015-05-25,30.6
2015-05-26,30.85
2015-05-27,31.65
2015-05-28,32.05
2015-05-29,30.7
2015-06-01,29.8
2015-06-02,29.25
2015-06-03,27.2
2015-06-04,26.75
2015-06-05,27.4
2015-06-08,27.05
2015-06-09,26.8
2015-06-10,26.95
2015-06-11,26.45
2015-06-12,26.8
2015-06-15,25.95
2015-06-16,26.4
2015-06-17,26.1
2015-06-18,26.05
2015-06-19,28.1
2015-06-22,28.95
2015-06-23,27.7
2015-06-24,27.7
2015-06-25,27.55
2015-06-26,28.35
2015-06-29,27.7
2015-06-30,28.85
2015-07-01,28.95
2015-07-02,28.5
2015-07-03,28.65
2015-07-06,29.15
2015-07-07,30.2
2015-07-08,29.45
2015-07-09,29.55
2015-07-10,29.7
2015-07-13,29.6
2015-07-14,31.4
2015-07-15,33.55
2015-07-16,34.05
2015-07-17,32.85
2015-07-20,32.6
2015-07-21,31.55
2015-07-22,31.95
2015-07-23,31.5
2015-07-24,31.95
2015-07-27,30.6
2015-07-28,30.5
2015-07-29,30.05
2015-07-30,30.4
2015-07-31,30.95
2015-08-03,31.65
2015-08-04,31.15
2015-08-05,33.55
2015-08-06,32.6
2015-08-07,31.15
2015-08-10,31.15
2015-08-11,30.5
2015-08-12,29.4
2015-08-13,27.6
2015-08-14,27.75
2015-08-17,27.5
2015-08-18,27.9
2015-08-19,27.25
2015-08-20,27.4
2015-08-21,26.5
2015-08-24,24.05
2015-08-25,22.4
2015-08-26,22.9
2015-08-27,23.35
2015-08-28,22.75
2015-08-31,22.65
2015-09-01,21.85
2015-09-02,21.9
2015-09-03,22.1
2015-09-04,21.35
2015-09-07,20.4
2015-09-08,20.85
2015-09-09,21.6
2015-09-10,21.25
2015-09-11,21.9
2015-09-14,22.8
2015-09-15,22.5
2015-09-16,22.5
2015-09-18,21.75
2015-09-21,23.15
2015-09-22,22.25
2015-09-23,22.35
2015-09-24,22.7
2015-09-28,22.35
2015-09-29,22.4
2015-09-30,22.05
2015-10-01,23.95
2015-10-05,25.9
2015-10-06,26.35
2015-10-07,25.9
2015-10-08,24.9
2015-10-09,25.05
2015-10-12,25.15
2015-10-13,25.2
2015-10-14,25.85
2015-10-15,26.05
2015-10-16,26.1
2015-10-19,25.85
2015-10-20,27.6
2015-10-21,27.55
2015-10-23,27.3
2015-10-26,26.85
2015-10-27,26.35
2015-10-28,26.3
2015-10-29,25.0
2015-10-30,23.8
2015-11-02,23.5
2015-11-03,24.0
2015-11-04,23.3
2015-11-05,23.8
2015-11-06,23.2
2015-11-09,22.9
2015-11-10,22.85
2015-11-11,23.45
2015-11-13,23.5
2015-11-16,25.45
2015-11-17,29.7
2015-11-18,28.15
2015-11-19,27.35
2015-11-20,27.45
2015-11-23,28.0
2015-11-24,28.15
2015-11-26,29.5
2015-11-27,29.8
2015-11-30,30.1
2015-12-01,31.75
2015-12-02,31.25
2015-12-03,31.05
2015-12-04,31.9
2015-12-07,34.5
2015-12-08,32.05
2015-12-09,29.05
2015-12-10,30.0
2015-12-11,30.35
2015-12-14,30.45
2015-12-15,31.45
2015-12-16,31.05
2015-12-17,31.15
2015-12-18,31.25
2015-12-21,31.8
2015-12-22,31.25
2015-12-23,31.1
2015-12-24,35.25
2015-12-28,35.1
2015-12-29,33.9
2015-12-30,33.85
2015-12-31,34.5
