Date,PANAMAPET
2015-01-01,59.0
2015-01-02,60.15
2015-01-05,59.6
2015-01-06,59.8
2015-01-07,56.2
2015-01-08,57.8
2015-01-09,56.8
2015-01-12,56.55
2015-01-13,55.2
2015-01-14,53.8
2015-01-15,56.7
2015-01-16,54.9
2015-01-19,58.25
2015-01-20,57.9
2015-01-21,56.65
2015-01-22,58.65
2015-01-23,58.0
2015-01-27,59.35
2015-01-28,60.5
2015-01-29,59.75
2015-01-30,59.8
2015-02-02,59.6
2015-02-03,60.4
2015-02-04,59.25
2015-02-05,60.15
2015-02-06,60.25
2015-02-09,60.85
2015-02-10,60.1
2015-02-11,60.55
2015-02-12,59.9
2015-02-13,56.75
2015-02-16,56.0
2015-02-18,56.45
2015-02-19,56.2
2015-02-20,57.3
2015-02-23,58.2
2015-02-24,58.0
2015-02-25,59.25
2015-02-26,59.1
2015-02-27,58.15
2015-02-28,58.85
2015-03-02,58.15
2015-03-03,58.55
2015-03-04,57.5
2015-03-05,59.6
2015-03-09,59.55
2015-03-10,60.25
2015-03-11,58.95
2015-03-12,59.15
2015-03-13,58.45
2015-03-16,57.1
2015-03-17,56.2
2015-03-18,60.1
2015-03-19,57.75
2015-03-20,59.3
2015-03-23,60.75
2015-03-24,60.7
2015-03-25,61.0
2015-03-26,59.45
2015-03-27,60.0
2015-03-30,60.25
2015-03-31,59.05
2015-04-01,60.6
2015-04-06,59.55
2015-04-07,59.5
2015-04-08,59.55
2015-04-09,59.8
2015-04-10,59.9
2015-04-13,59.0
2015-04-15,56.5
2015-04-16,58.65
2015-04-17,56.8
2015-04-20,56.2
2015-04-21,54.5
2015-04-22,55.85
2015-04-23,54.95
2015-04-24,54.7
2015-04-27,55.25
2015-04-28,57.0
2015-04-29,57.4
2015-04-30,56.8
2015-05-04,57.6
2015-05-05,57.45
2015-05-06,56.25
2015-05-07,54.0
2015-05-08,55.0
2015-05-11,57.0
2015-05-12,54.95
2015-05-13,55.6
2015-05-14,56.15
2015-05-15,56.15
2015-05-19,55.1
2015-05-20,55.9
2015-05-21,55.05
2015-05-25,56.0
2015-05-26,55.95
2015-05-27,56.9
2015-05-28,55.5
2015-05-29,60.0
2015-06-01,59.7
2015-06-02,59.35
2015-06-03,56.55
2015-06-04,55.5
2015-06-05,55.25
2015-06-08,53.85
2015-06-09,57.3
2015-06-10,56.15
2015-06-11,57.95
2015-06-12,54.75
2015-06-16,55.55
2015-06-17,54.1
2015-06-18,55.0
2015-06-19,54.8
2015-06-22,55.0
2015-06-23,57.4
2015-06-24,57.25
2015-06-25,56.95
2015-06-26,57.85
2015-06-29,55.35
2015-06-30,57.5
2015-07-01,60.05
2015-07-02,62.5
2015-07-03,61.25
2015-07-06,62.5
2015-07-07,63.0
2015-07-08,62.05
2015-07-09,63.2
2015-07-10,64.3
2015-07-13,67.85
2015-07-14,66.9
2015-07-15,68.65
2015-07-16,69.05
2015-07-17,68.7
2015-07-20,68.0
2015-07-21,64.1
2015-07-22,69.85
2015-07-23,77.25
2015-07-24,74.65
2015-07-27,72.6
2015-07-28,76.35
2015-07-29,76.4
2015-07-30,72.6
2015-07-31,73.5
2015-08-03,78.7
2015-08-04,79.0
2015-08-05,80.4
2015-08-06,80.05
2015-08-07,79.45
2015-08-10,79.85
2015-08-11,68.7
2015-08-12,71.3
2015-08-13,73.5
2015-08-14,76.0
2015-08-17,78.2
2015-08-18,77.6
2015-08-19,78.35
2015-08-20,77.9
2015-08-21,76.2
2015-08-24,67.5
2015-08-25,70.8
2015-08-26,68.65
2015-08-27,71.8
2015-08-28,72.55
2015-08-31,69.4
2015-09-01,72.95
2015-09-02,73.15
2015-09-03,74.0
2015-09-04,69.5
2015-09-07,71.8
2015-09-08,66.6
2015-09-09,66.95
2015-09-10,64.5
2015-09-11,64.15
2015-09-14,63.95
2015-09-15,61.85
2015-09-16,63.45
2015-09-18,60.95
2015-09-21,63.2
2015-09-22,60.7
2015-09-23,62.85
2015-09-24,61.9
2015-09-28,60.85
2015-09-29,61.75
2015-09-30,62.5
2015-10-01,63.55
2015-10-05,63.4
2015-10-06,64.55
2015-10-07,64.5
2015-10-08,65.0
2015-10-09,63.0
2015-10-12,63.0
2015-10-13,61.85
2015-10-14,63.1
2015-10-15,64.0
2015-10-16,63.2
2015-10-19,66.15
2015-10-20,66.8
2015-10-21,65.0
2015-10-23,65.1
2015-10-26,64.3
2015-10-27,65.1
2015-10-28,64.4
2015-10-29,67.85
2015-10-30,66.1
2015-11-02,62.45
2015-11-03,63.4
2015-11-04,62.4
2015-11-05,63.65
2015-11-06,63.05
2015-11-09,63.0
2015-11-10,63.45
2015-11-11,64.0
2015-11-13,62.55
2015-11-16,63.4
2015-11-17,65.4
2015-11-18,64.35
2015-11-19,63.6
2015-11-20,64.95
2015-11-23,64.2
2015-11-24,64.05
2015-11-26,64.95
2015-11-27,64.0
2015-11-30,64.0
2015-12-01,66.2
2015-12-02,68.1
2015-12-03,66.2
2015-12-04,65.35
2015-12-07,70.25
2015-12-08,70.35
2015-12-09,67.45
2015-12-10,68.15
2015-12-11,67.2
2015-12-14,67.8
2015-12-15,71.8
2015-12-16,68.95
2015-12-17,71.45
2015-12-18,70.2
2015-12-21,72.85
2015-12-22,75.45
2015-12-23,74.05
2015-12-24,73.85
2015-12-28,74.1
2015-12-29,73.55
2015-12-30,75.9
2015-12-31,74.75
