Date,RKDL
2015-01-01,6.05
2015-01-02,6.25
2015-01-05,6.25
2015-01-06,6.05
2015-01-07,6.1
2015-01-08,6.2
2015-01-09,6.35
2015-01-12,6.0
2015-01-13,6.05
2015-01-14,5.9
2015-01-15,5.95
2015-01-16,5.95
2015-01-19,6.2
2015-01-20,6.65
2015-01-21,6.55
2015-01-22,6.25
2015-01-23,6.15
2015-01-27,6.0
2015-01-28,5.7
2015-01-29,6.0
2015-01-30,5.75
2015-02-02,5.95
2015-02-03,5.9
2015-02-04,6.05
2015-02-05,5.75
2015-02-06,5.5
2015-02-09,5.3
2015-02-10,5.1
2015-02-11,5.4
2015-02-12,5.2
2015-02-13,5.05
2015-02-16,4.95
2015-02-18,5.1
2015-02-19,5.25
2015-02-20,5.7
2015-02-23,5.15
2015-02-24,5.1
2015-02-25,5.05
2015-02-26,4.8
2015-02-27,5.05
2015-02-28,5.05
2015-03-02,5.15
2015-03-03,5.1
2015-03-04,5.25
2015-03-05,5.1
2015-03-09,5.0
2015-03-10,4.45
2015-03-11,4.55
2015-03-12,4.55
2015-03-13,4.45
2015-03-16,4.5
2015-03-17,4.65
2015-03-18,4.4
2015-03-19,4.55
2015-03-20,4.45
2015-03-23,4.05
2015-03-24,4.2
2015-03-25,4.5
2015-03-26,4.0
2015-03-27,3.85
2015-03-30,4.35
2015-03-31,4.2
2015-04-01,4.15
2015-04-06,4.45
2015-04-07,4.45
2015-04-08,4.25
2015-04-09,4.25
2015-04-10,5.05
2015-04-13,5.15
2015-04-15,5.4
2015-04-16,5.35
2015-04-17,5.3
2015-04-20,5.1
2015-04-21,4.85
2015-04-22,5.2
2015-04-23,5.25
2015-04-24,5.05
2015-04-27,5.2
2015-04-28,5.3
2015-04-29,4.8
2015-04-30,5.0
2015-05-04,5.0
2015-05-05,4.75
2015-05-06,4.55
2015-05-07,4.75
2015-05-08,4.55
2015-05-11,4.5
2015-05-12,4.4
2015-05-13,4.65
2015-05-14,4.5
2015-05-15,4.6
2015-05-18,4.55
2015-05-19,4.75
2015-05-20,4.85
2015-05-21,4.8
2015-05-22,4.75
2015-05-25,4.9
2015-05-26,4.95
2015-05-27,4.9
2015-05-28,4.85
2015-05-29,4.45
2015-06-01,4.55
2015-06-02,4.5
2015-06-03,4.25
2015-06-04,4.45
2015-06-05,4.45
2015-06-08,4.45
2015-06-09,4.3
2015-06-10,4.3
2015-06-11,4.4
2015-06-12,4.4
2015-06-15,4.05
2015-06-16,4.05
2015-06-17,4.4
2015-06-18,4.05
2015-06-19,4.05
2015-06-22,4.3
2015-06-23,4.25
2015-06-24,4.25
2015-06-25,4.4
2015-06-26,4.25
2015-06-29,4.25
2015-06-30,4.45
2015-07-01,4.7
2015-07-02,4.65
2015-07-03,4.4
2015-07-06,4.25
2015-07-07,4.05
2015-07-08,4.85
2015-07-09,5.8
2015-07-10,6.95
2015-07-13,7.6
2015-07-14,7.4
2015-07-15,6.7
2015-07-16,6.05
2015-07-17,6.65
2015-07-20,7.1
2015-07-21,6.65
2015-07-22,6.55
2015-07-23,6.35
2015-07-24,6.05
2015-07-27,6.15
2015-07-28,6.2
2015-07-29,6.15
2015-07-30,6.45
2015-07-31,6.1
2015-08-03,6.25
2015-08-04,6.4
2015-08-05,6.4
2015-08-06,6.15
2015-08-07,6.6
2015-08-10,7.05
2015-08-11,7.0
2015-08-12,6.2
2015-08-13,6.45
2015-08-14,6.3
2015-08-17,6.45
2015-08-18,6.5
2015-08-19,6.8
2015-08-20,6.25
2015-08-21,6.25
2015-08-24,5.95
2015-08-25,5.5
2015-08-26,5.3
2015-08-27,5.6
2015-08-28,5.65
2015-08-31,5.75
2015-09-01,5.05
2015-09-02,5.55
2015-09-03,6.15
2015-09-04,5.6
2015-09-07,5.1
2015-09-08,5.1
2015-09-09,5.8
2015-09-10,5.6
2015-09-11,5.4
2015-09-14,5.5
2015-09-15,5.4
2015-09-16,5.2
2015-09-18,5.4
2015-09-21,5.4
2015-09-22,5.55
2015-09-23,5.25
2015-09-24,5.25
2015-09-28,5.45
2015-09-29,5.15
2015-09-30,5.3
2015-10-01,5.2
2015-10-05,5.25
2015-10-06,5.4
2015-10-07,5.35
2015-10-08,5.25
2015-10-09,5.35
2015-10-12,5.45
2015-10-13,5.3
2015-10-14,5.3
2015-10-15,5.4
2015-10-16,5.25
2015-10-19,5.35
2015-10-20,5.45
2015-10-21,5.4
2015-10-23,5.25
2015-10-26,5.3
2015-10-27,5.3
2015-10-28,5.2
2015-10-29,5.1
2015-10-30,5.25
2015-11-02,5.3
2015-11-03,5.35
2015-11-04,6.4
2015-11-05,7.65
2015-11-06,7.8
2015-11-09,8.55
2015-11-10,9.4
2015-11-11,10.3
2015-11-13,10.8
2015-11-16,10.3
2015-11-17,9.8
2015-11-18,9.35
2015-11-19,8.9
2015-11-20,8.5
2015-11-23,8.1
2015-11-24,8.0
2015-11-26,8.4
2015-11-27,8.65
2015-11-30,8.4
2015-12-01,8.0
2015-12-02,7.65
2015-12-03,7.7
2015-12-04,8.05
2015-12-07,8.45
2015-12-08,8.85
2015-12-09,8.45
2015-12-10,8.2
2015-12-11,7.95
2015-12-14,7.95
2015-12-15,8.3
2015-12-16,8.7
2015-12-17,8.6
2015-12-18,8.8
2015-12-21,8.9
2015-12-22,8.8
2015-12-23,8.65
2015-12-24,8.5
2015-12-28,8.9
2015-12-29,9.1
2015-12-30,9.5
2015-12-31,9.95
