Date,GAMMNINFRA
2015-01-01,16.2
2015-01-02,16.1
2015-01-05,15.5
2015-01-06,14.85
2015-01-07,14.75
2015-01-08,14.9
2015-01-09,14.9
2015-01-12,14.65
2015-01-13,14.65
2015-01-14,14.5
2015-01-15,15.2
2015-01-16,15.15
2015-01-19,14.9
2015-01-20,14.85
2015-01-21,15.15
2015-01-22,15.55
2015-01-23,15.2
2015-01-27,15.25
2015-01-28,15.4
2015-01-29,15.55
2015-01-30,16.3
2015-02-02,16.15
2015-02-03,15.6
2015-02-04,15.5
2015-02-05,15.0
2015-02-06,14.55
2015-02-09,14.25
2015-02-10,14.3
2015-02-11,14.85
2015-02-12,15.15
2015-02-13,14.95
2015-02-16,16.1
2015-02-18,16.4
2015-02-19,16.15
2015-02-20,16.2
2015-02-23,16.6
2015-02-24,16.55
2015-02-25,15.9
2015-02-26,16.5
2015-02-27,16.8
2015-02-28,16.35
2015-03-02,16.65
2015-03-03,16.35
2015-03-04,15.85
2015-03-05,15.7
2015-03-09,14.95
2015-03-10,14.85
2015-03-11,14.5
2015-03-12,14.7
2015-03-13,14.35
2015-03-16,13.95
2015-03-17,13.85
2015-03-18,14.0
2015-03-19,14.0
2015-03-20,13.65
2015-03-23,13.35
2015-03-24,13.0
2015-03-25,13.05
2015-03-26,13.3
2015-03-27,13.25
2015-03-30,13.6
2015-03-31,13.55
2015-04-01,13.75
2015-04-06,13.75
2015-04-07,13.65
2015-04-08,14.05
2015-04-09,13.65
2015-04-10,14.1
2015-04-13,14.35
2015-04-15,15.05
2015-04-16,15.25
2015-04-17,14.65
2015-04-20,13.8
2015-04-21,13.85
2015-04-22,13.8
2015-04-23,14.0
2015-04-24,13.55
2015-04-27,13.0
2015-04-28,13.05
2015-04-29,12.95
2015-04-30,12.95
2015-05-04,12.6
2015-05-05,12.85
2015-05-06,12.45
2015-05-07,12.05
2015-05-08,12.0
2015-05-11,12.05
2015-05-12,11.35
2015-05-13,11.15
2015-05-14,10.8
2015-05-15,11.1
2015-05-18,12.65
2015-05-19,11.7
2015-05-20,11.65
2015-05-21,11.4
2015-05-22,11.35
2015-05-25,11.2
2015-05-26,11.4
2015-05-27,11.15
2015-05-28,12.65
2015-05-29,12.15
2015-06-01,11.9
2015-06-02,11.45
2015-06-03,10.7
2015-06-04,10.55
2015-06-05,10.45
2015-06-08,10.15
2015-06-09,10.0
2015-06-10,10.05
2015-06-11,9.4
2015-06-12,9.3
2015-06-15,9.6
2015-06-16,9.85
2015-06-17,9.95
2015-06-18,10.25
2015-06-19,11.0
2015-06-22,11.25
2015-06-23,11.3
2015-06-24,11.05
2015-06-25,11.3
2015-06-26,11.05
2015-06-29,10.7
2015-06-30,12.8
2015-07-01,12.8
2015-07-02,12.4
2015-07-03,12.15
2015-07-06,12.4
2015-07-07,12.45
2015-07-08,11.9
2015-07-09,11.65
2015-07-10,11.7
2015-07-13,12.4
2015-07-14,12.2
2015-07-15,11.95
2015-07-16,11.75
2015-07-17,11.75
2015-07-20,12.0
2015-07-21,12.05
2015-07-22,12.1
2015-07-23,11.65
2015-07-24,11.6
2015-07-27,11.2
2015-07-28,11.05
2015-07-29,12.1
2015-07-30,11.85
2015-07-31,11.65
2015-08-03,11.85
2015-08-04,12.0
2015-08-05,12.6
2015-08-06,13.3
2015-08-07,13.0
2015-08-10,12.75
2015-08-11,12.2
2015-08-12,11.9
2015-08-13,11.8
2015-08-14,12.35
2015-08-17,11.85
2015-08-18,12.1
2015-08-19,11.8
2015-08-20,11.4
2015-08-21,10.75
2015-08-24,9.85
2015-08-25,10.05
2015-08-26,10.4
2015-08-27,11.4
2015-08-28,11.3
2015-08-31,11.05
2015-09-01,10.45
2015-09-02,10.1
2015-09-03,10.1
2015-09-04,9.65
2015-09-07,9.2
2015-09-08,9.05
2015-09-09,8.9
2015-09-10,8.9
2015-09-11,9.05
2015-09-14,9.05
2015-09-15,8.75
2015-09-16,8.8
2015-09-18,8.9
2015-09-21,8.7
2015-09-22,8.4
2015-09-23,8.3
2015-09-24,8.55
2015-09-28,8.4
2015-09-29,8.35
2015-09-30,8.25
2015-10-01,8.1
2015-10-05,8.1
2015-10-06,8.0
2015-10-07,8.15
2015-10-08,8.2
2015-10-09,8.2
2015-10-12,8.1
2015-10-13,8.05
2015-10-14,8.0
2015-10-15,7.95
2015-10-16,8.0
2015-10-19,8.0
2015-10-20,7.95
2015-10-21,8.0
2015-10-23,7.95
2015-10-26,7.7
2015-10-27,7.6
2015-10-28,7.5
2015-10-29,7.5
2015-10-30,7.45
2015-11-02,7.4
2015-11-03,7.25
2015-11-04,7.15
2015-11-05,6.95
2015-11-06,6.85
2015-11-09,7.0
2015-11-10,7.15
2015-11-11,7.45
2015-11-13,7.3
2015-11-16,7.3
2015-11-17,7.35
2015-11-18,7.4
2015-11-19,7.6
2015-11-20,7.35
2015-11-23,7.1
2015-11-24,7.3
2015-11-26,7.3
2015-11-27,7.15
2015-11-30,7.3
2015-12-01,7.3
2015-12-02,7.15
2015-12-03,7.1
2015-12-04,7.1
2015-12-07,7.1
2015-12-08,7.0
2015-12-09,6.65
2015-12-10,6.85
2015-12-11,6.7
2015-12-14,6.6
2015-12-15,6.6
2015-12-16,6.6
2015-12-17,6.65
2015-12-18,6.65
2015-12-21,6.9
2015-12-22,6.65
2015-12-23,6.9
2015-12-24,7.0
2015-12-28,6.9
2015-12-29,6.65
2015-12-30,6.6
2015-12-31,6.7
