Date,PAISALO
2015-01-01,252.35
2015-01-02,248.7
2015-01-05,250.4
2015-01-06,245.1
2015-01-07,242.45
2015-01-08,241.95
2015-01-09,242.4
2015-01-12,260.95
2015-01-13,260.25
2015-01-14,256.9
2015-01-15,259.75
2015-01-16,257.1
2015-01-19,262.0
2015-01-20,314.4
2015-01-21,284.8
2015-01-22,281.75
2015-01-23,279.25
2015-01-27,275.1
2015-01-28,276.6
2015-01-29,269.8
2015-01-30,275.4
2015-02-02,270.25
2015-02-03,269.1
2015-02-04,268.0
2015-02-05,268.45
2015-02-06,266.9
2015-02-09,266.85
2015-02-10,266.1
2015-02-11,269.45
2015-02-12,268.0
2015-02-13,266.65
2015-02-16,266.15
2015-02-18,266.15
2015-02-19,273.0
2015-02-20,275.85
2015-02-23,275.4
2015-02-24,275.45
2015-02-25,275.1
2015-02-26,281.7
2015-02-27,279.0
2015-02-28,278.65
2015-03-02,275.15
2015-03-03,275.8
2015-03-04,277.1
2015-03-05,277.15
2015-03-09,274.15
2015-03-10,274.5
2015-03-11,274.45
2015-03-12,274.2
2015-03-13,275.0
2015-03-16,276.75
2015-03-17,275.65
2015-03-18,296.85
2015-03-19,316.7
2015-03-20,309.85
2015-03-23,308.55
2015-03-24,311.85
2015-03-25,336.15
2015-03-26,331.2
2015-03-27,329.35
2015-03-30,342.55
2015-03-31,353.1
2015-04-01,344.9
2015-04-06,352.05
2015-04-07,380.05
2015-04-08,376.8
2015-04-09,369.1
2015-04-10,372.7
2015-04-13,369.05
2015-04-15,353.65
2015-04-16,340.4
2015-04-17,341.15
2015-04-20,327.85
2015-04-21,339.1
2015-04-22,352.0
2015-04-23,337.15
2015-04-24,306.75
2015-04-27,292.25
2015-04-28,297.15
2015-04-29,299.6
2015-04-30,293.35
2015-05-04,294.75
2015-05-05,291.35
2015-05-06,285.15
2015-05-07,268.2
2015-05-08,274.5
2015-05-11,288.3
2015-05-12,275.45
2015-05-13,279.6
2015-05-14,279.5
2015-05-15,281.4
2015-05-18,285.2
2015-05-19,295.0
2015-05-20,289.9
2015-05-21,287.55
2015-05-22,288.6
2015-05-25,293.4
2015-05-26,288.6
2015-05-27,284.6
2015-05-28,285.9
2015-05-29,284.25
2015-06-01,280.0
2015-06-02,275.65
2015-06-03,252.35
2015-06-04,236.0
2015-06-05,233.8
2015-06-08,232.05
2015-06-09,223.7
2015-06-10,210.1
2015-06-11,204.9
2015-06-12,197.75
2015-06-15,222.95
2015-06-16,265.55
2015-06-17,318.2
2015-06-18,350.0
2015-06-19,368.6
2015-06-22,344.25
2015-06-23,337.65
2015-06-24,325.0
2015-06-25,330.0
2015-06-26,316.2
2015-06-29,291.95
2015-06-30,292.65
2015-07-01,298.2
2015-07-02,293.2
2015-07-03,298.3
2015-07-06,292.75
2015-07-07,296.9
2015-07-08,293.35
2015-07-09,288.85
2015-07-10,284.4
2015-07-13,288.8
2015-07-14,304.95
2015-07-15,315.75
2015-07-16,320.65
2015-07-17,318.45
2015-07-20,307.35
2015-07-21,309.35
2015-07-22,300.5
2015-07-23,301.6
2015-07-24,299.1
2015-07-27,295.65
2015-07-28,287.15
2015-07-29,287.0
2015-07-30,284.85
2015-07-31,289.85
2015-08-03,291.25
2015-08-04,293.0
2015-08-05,286.85
2015-08-06,284.05
2015-08-07,280.65
2015-08-10,283.45
2015-08-11,276.25
2015-08-12,275.15
2015-08-13,271.2
2015-08-14,273.7
2015-08-17,270.8
2015-08-18,273.0
2015-08-19,274.65
2015-08-20,275.9
2015-08-21,265.1
2015-08-24,254.3
2015-08-25,265.0
2015-08-26,266.7
2015-08-27,272.0
2015-08-28,274.75
2015-08-31,268.3
2015-09-01,268.95
2015-09-02,272.7
2015-09-03,274.5
2015-09-04,272.15
2015-09-07,272.0
2015-09-08,273.35
2015-09-09,272.95
2015-09-10,271.1
2015-09-11,274.1
2015-09-14,277.65
2015-09-15,275.05
2015-09-16,274.85
2015-09-18,253.35
2015-09-21,253.9
2015-09-22,255.65
2015-09-23,253.65
2015-09-24,249.6
2015-09-28,250.6
2015-09-29,245.45
2015-09-30,248.8
2015-10-01,250.9
2015-10-05,253.05
2015-10-06,255.4
2015-10-07,254.25
2015-10-08,257.25
2015-10-09,257.2
2015-10-12,258.95
2015-10-13,253.4
2015-10-14,254.5
2015-10-15,254.25
2015-10-16,259.5
2015-10-19,258.65
2015-10-20,260.95
2015-10-21,260.6
2015-10-23,262.35
2015-10-26,262.15
2015-10-27,261.5
2015-10-28,261.3
2015-10-29,263.8
2015-10-30,264.8
2015-11-02,265.35
2015-11-03,265.25
2015-11-04,266.55
2015-11-05,270.0
2015-11-06,273.0
2015-11-09,272.75
2015-11-10,275.4
2015-11-11,275.1
2015-11-13,275.7
2015-11-16,275.3
2015-11-17,277.4
2015-11-18,277.35
2015-11-19,276.3
2015-11-20,276.1
2015-11-23,272.3
2015-11-24,272.3
2015-11-26,269.15
2015-11-27,275.6
2015-11-30,274.1
2015-12-01,274.45
2015-12-02,274.4
2015-12-03,273.6
2015-12-04,273.15
2015-12-07,275.3
2015-12-08,272.95
2015-12-09,271.2
2015-12-10,273.5
2015-12-11,274.8
2015-12-14,271.25
2015-12-15,272.35
2015-12-16,271.85
2015-12-17,273.25
2015-12-18,272.9
2015-12-21,271.0
2015-12-22,272.15
2015-12-23,273.1
2015-12-24,275.05
2015-12-28,275.0
2015-12-29,274.9
2015-12-30,275.5
2015-12-31,272.75
