Date,MANINDS
2015-01-01,62.35
2015-01-02,63.75
2015-01-05,65.55
2015-01-06,62.75
2015-01-07,60.1
2015-01-08,60.7
2015-01-09,59.6
2015-01-12,59.3
2015-01-13,59.65
2015-01-14,59.2
2015-01-15,59.3
2015-01-16,58.75
2015-01-19,59.0
2015-01-20,59.5
2015-01-21,59.55
2015-01-22,59.25
2015-01-23,57.8
2015-01-27,56.8
2015-01-28,56.7
2015-01-29,59.75
2015-01-30,58.65
2015-02-02,60.1
2015-02-03,58.65
2015-02-04,56.15
2015-02-05,57.1
2015-02-06,57.4
2015-02-09,56.1
2015-02-10,58.8
2015-02-11,59.2
2015-02-12,59.25
2015-02-13,59.1
2015-02-16,57.95
2015-02-18,57.9
2015-02-19,57.1
2015-02-20,57.6
2015-02-23,56.3
2015-02-24,55.7
2015-02-25,55.9
2015-02-26,54.15
2015-02-27,56.95
2015-02-28,56.05
2015-03-02,58.3
2015-03-03,58.5
2015-03-04,57.85
2015-03-05,56.95
2015-03-09,56.4
2015-03-10,56.3
2015-03-11,54.4
2015-03-12,54.35
2015-03-13,46.9
2015-03-16,45.9
2015-03-17,46.4
2015-03-18,45.65
2015-03-19,46.45
2015-03-20,46.95
2015-03-23,47.85
2015-03-24,47.0
2015-03-25,46.5
2015-03-26,45.55
2015-03-27,44.95
2015-03-30,45.7
2015-03-31,44.45
2015-04-01,47.95
2015-04-06,48.2
2015-04-07,56.8
2015-04-08,55.65
2015-04-09,56.95
2015-04-10,56.5
2015-04-13,56.0
2015-04-15,57.0
2015-04-16,55.8
2015-04-17,56.05
2015-04-20,58.4
2015-04-21,58.8
2015-04-22,58.2
2015-04-23,61.0
2015-04-24,57.65
2015-04-27,56.9
2015-04-28,61.6
2015-04-29,66.3
2015-04-30,68.75
2015-05-04,66.45
2015-05-05,67.25
2015-05-06,62.4
2015-05-07,61.75
2015-05-08,62.05
2015-05-11,63.5
2015-05-12,60.15
2015-05-13,60.4
2015-05-14,69.4
2015-05-15,70.0
2015-05-18,70.65
2015-05-19,67.85
2015-05-20,66.95
2015-05-21,66.1
2015-05-22,65.05
2015-05-25,65.75
2015-05-26,68.15
2015-05-27,67.6
2015-05-28,67.5
2015-05-29,71.0
2015-06-01,74.7
2015-06-02,75.8
2015-06-03,71.7
2015-06-04,72.15
2015-06-05,79.1
2015-06-08,76.4
2015-06-09,75.0
2015-06-10,76.95
2015-06-11,72.5
2015-06-12,73.45
2015-06-15,73.25
2015-06-16,72.25
2015-06-17,72.0
2015-06-18,73.4
2015-06-19,72.85
2015-06-22,73.1
2015-06-23,87.7
2015-06-24,87.55
2015-06-25,90.75
2015-06-26,91.45
2015-06-29,87.7
2015-06-30,88.1
2015-07-01,90.95
2015-07-02,91.7
2015-07-03,88.7
2015-07-06,92.6
2015-07-07,95.2
2015-07-08,110.45
2015-07-09,111.55
2015-07-10,119.4
2015-07-13,116.05
2015-07-14,123.45
2015-07-15,121.4
2015-07-16,119.15
2015-07-17,117.85
2015-07-20,113.1
2015-07-21,104.8
2015-07-22,115.25
2015-07-23,112.6
2015-07-24,113.5
2015-07-27,112.1
2015-07-28,113.5
2015-07-29,113.8
2015-07-30,113.6
2015-07-31,113.75
2015-08-03,113.25
2015-08-04,111.65
2015-08-05,115.7
2015-08-06,117.3
2015-08-07,119.1
2015-08-10,118.05
2015-08-11,113.8
2015-08-12,105.7
2015-08-13,104.55
2015-08-14,110.4
2015-08-17,119.3
2015-08-18,117.8
2015-08-19,126.0
2015-08-20,116.95
2015-08-21,114.7
2015-08-24,92.5
2015-08-25,92.1
2015-08-26,91.1
2015-08-27,103.9
2015-08-28,99.85
2015-08-31,100.15
2015-09-01,97.7
2015-09-02,99.55
2015-09-03,101.25
2015-09-04,94.75
2015-09-07,89.7
2015-09-08,92.05
2015-09-09,93.95
2015-09-10,90.65
2015-09-11,95.2
2015-09-14,100.8
2015-09-15,99.95
2015-09-16,99.6
2015-09-18,102.6
2015-09-21,106.7
2015-09-22,101.95
2015-09-23,101.5
2015-09-24,103.05
2015-09-28,102.9
2015-09-29,102.15
2015-09-30,103.05
2015-10-01,102.25
2015-10-05,103.45
2015-10-06,105.3
2015-10-07,104.2
2015-10-08,109.85
2015-10-09,104.75
2015-10-12,104.35
2015-10-13,103.35
2015-10-14,102.45
2015-10-15,101.15
2015-10-16,102.05
2015-10-19,100.15
2015-10-20,99.0
2015-10-21,96.2
2015-10-23,96.85
2015-10-26,93.1
2015-10-27,94.6
2015-10-28,93.85
2015-10-29,97.65
2015-10-30,97.65
2015-11-02,95.35
2015-11-03,95.25
2015-11-04,94.3
2015-11-05,93.05
2015-11-06,92.35
2015-11-09,95.2
2015-11-10,97.85
2015-11-11,98.7
2015-11-13,95.3
2015-11-16,95.0
2015-11-17,95.75
2015-11-18,91.95
2015-11-19,91.65
2015-11-20,93.15
2015-11-23,91.5
2015-11-24,93.85
2015-11-26,96.45
2015-11-27,99.55
2015-11-30,99.15
2015-12-01,99.65
2015-12-02,99.6
2015-12-03,99.25
2015-12-04,98.45
2015-12-07,98.2
2015-12-08,95.35
2015-12-09,90.3
2015-12-10,91.9
2015-12-11,91.05
2015-12-14,90.95
2015-12-15,89.15
2015-12-16,89.15
2015-12-17,91.6
2015-12-18,92.45
2015-12-21,91.75
2015-12-22,92.5
2015-12-23,92.25
2015-12-24,91.55
2015-12-28,93.9
2015-12-29,92.3
2015-12-30,98.45
2015-12-31,96.5
