Date,KOHINOOR
2015-01-01,43.15
2015-01-02,43.95
2015-01-05,44.25
2015-01-06,41.95
2015-01-07,41.65
2015-01-08,42.3
2015-01-09,42.1
2015-01-12,41.9
2015-01-13,42.0
2015-01-14,41.95
2015-01-15,41.7
2015-01-16,41.2
2015-01-19,44.4
2015-01-20,43.35
2015-01-21,49.55
2015-01-22,54.85
2015-01-23,50.65
2015-01-27,48.4
2015-01-28,46.0
2015-01-29,47.3
2015-01-30,46.15
2015-02-02,46.25
2015-02-03,50.05
2015-02-04,48.8
2015-02-05,48.35
2015-02-06,47.2
2015-02-09,45.65
2015-02-10,44.55
2015-02-11,44.7
2015-02-12,44.8
2015-02-13,44.7
2015-02-16,44.95
2015-02-18,45.0
2015-02-19,44.55
2015-02-20,44.6
2015-02-23,44.35
2015-02-24,44.0
2015-02-25,44.05
2015-02-26,44.0
2015-02-27,44.5
2015-02-28,43.6
2015-03-02,43.65
2015-03-03,43.25
2015-03-04,42.85
2015-03-05,42.55
2015-03-09,42.35
2015-03-10,41.95
2015-03-11,44.0
2015-03-12,43.45
2015-03-13,45.0
2015-03-16,45.45
2015-03-17,48.45
2015-03-18,49.55
2015-03-19,47.75
2015-03-20,47.65
2015-03-23,48.25
2015-03-24,49.55
2015-03-25,50.7
2015-03-26,51.2
2015-03-27,50.2
2015-03-30,51.3
2015-03-31,53.15
2015-04-01,55.15
2015-04-06,54.9
2015-04-07,61.5
2015-04-08,62.8
2015-04-09,59.3
2015-04-10,58.6
2015-04-13,56.15
2015-04-15,54.9
2015-04-16,53.15
2015-04-17,52.4
2015-04-20,50.6
2015-04-21,50.85
2015-04-22,50.15
2015-04-23,50.6
2015-04-24,49.35
2015-04-27,46.7
2015-04-28,47.15
2015-04-29,46.85
2015-04-30,46.3
2015-05-04,48.75
2015-05-05,50.1
2015-05-06,48.4
2015-05-07,48.1
2015-05-08,48.25
2015-05-11,48.35
2015-05-12,47.9
2015-05-13,48.3
2015-05-14,48.95
2015-05-15,49.35
2015-05-18,49.4
2015-05-19,49.4
2015-05-20,54.35
2015-05-21,52.6
2015-05-22,51.8
2015-05-25,52.5
2015-05-26,52.3
2015-05-27,52.5
2015-05-28,51.3
2015-05-29,44.9
2015-06-01,42.85
2015-06-02,43.5
2015-06-03,41.6
2015-06-04,40.75
2015-06-05,42.65
2015-06-08,42.9
2015-06-09,42.1
2015-06-10,43.0
2015-06-11,41.9
2015-06-12,41.65
2015-06-15,41.65
2015-06-16,41.95
2015-06-17,45.15
2015-06-18,43.7
2015-06-19,43.75
2015-06-22,44.95
2015-06-23,44.35
2015-06-24,44.15
2015-06-25,43.4
2015-06-26,42.95
2015-06-29,41.6
2015-06-30,42.3
2015-07-01,43.0
2015-07-02,43.65
2015-07-03,43.25
2015-07-06,43.35
2015-07-07,43.5
2015-07-08,42.8
2015-07-09,43.1
2015-07-10,44.1
2015-07-13,44.85
2015-07-14,46.6
2015-07-15,47.4
2015-07-16,46.45
2015-07-17,45.6
2015-07-20,45.3
2015-07-21,44.45
2015-07-22,45.0
2015-07-23,45.05
2015-07-24,44.55
2015-07-27,43.85
2015-07-28,44.35
2015-07-29,44.2
2015-07-30,46.95
2015-07-31,47.55
2015-08-03,47.9
2015-08-04,47.75
2015-08-05,47.7
2015-08-06,46.75
2015-08-07,46.2
2015-08-10,46.75
2015-08-11,46.05
2015-08-12,44.1
2015-08-13,45.0
2015-08-14,47.2
2015-08-17,47.6
2015-08-18,47.0
2015-08-19,46.4
2015-08-20,44.15
2015-08-21,42.75
2015-08-24,38.75
2015-08-25,38.25
2015-08-26,38.05
2015-08-27,39.45
2015-08-28,39.7
2015-08-31,39.75
2015-09-01,38.75
2015-09-02,38.3
2015-09-03,38.65
2015-09-04,38.25
2015-09-07,36.85
2015-09-08,36.85
2015-09-09,37.7
2015-09-10,37.85
2015-09-11,38.1
2015-09-14,37.0
2015-09-15,37.8
2015-09-16,38.35
2015-09-18,38.65
2015-09-21,40.05
2015-09-22,39.1
2015-09-23,41.3
2015-09-24,43.95
2015-09-28,41.6
2015-09-29,40.55
2015-09-30,40.9
2015-10-01,40.45
2015-10-05,40.35
2015-10-06,40.7
2015-10-07,43.8
2015-10-08,45.35
2015-10-09,46.25
2015-10-12,44.9
2015-10-13,45.45
2015-10-14,44.25
2015-10-15,45.15
2015-10-16,44.9
2015-10-19,44.85
2015-10-20,46.0
2015-10-21,49.5
2015-10-23,48.75
2015-10-26,48.5
2015-10-27,47.25
2015-10-28,46.45
2015-10-29,45.85
2015-10-30,44.5
2015-11-02,43.45
2015-11-03,51.25
2015-11-04,48.25
2015-11-05,47.25
2015-11-06,46.05
2015-11-09,44.6
2015-11-10,44.45
2015-11-11,45.1
2015-11-13,45.6
2015-11-16,51.75
2015-11-17,52.45
2015-11-18,52.45
2015-11-19,54.2
2015-11-20,52.55
2015-11-23,52.4
2015-11-24,55.2
2015-11-26,54.4
2015-11-27,53.3
2015-11-30,52.4
2015-12-01,56.8
2015-12-02,56.4
2015-12-03,54.75
2015-12-04,56.1
2015-12-07,56.2
2015-12-08,53.6
2015-12-09,51.25
2015-12-10,52.0
2015-12-11,51.25
2015-12-14,51.35
2015-12-15,51.65
2015-12-16,51.45
2015-12-17,54.05
2015-12-18,55.2
2015-12-21,55.25
2015-12-22,54.35
2015-12-23,53.75
2015-12-24,53.3
2015-12-28,52.5
2015-12-29,51.85
2015-12-30,52.45
2015-12-31,52.3
