Date,PRECWIRE
2015-01-01,134.0
2015-01-02,142.9
2015-01-05,142.2
2015-01-06,138.1
2015-01-07,134.85
2015-01-08,137.0
2015-01-09,135.8
2015-01-12,149.25
2015-01-13,149.8
2015-01-14,153.65
2015-01-15,150.05
2015-01-16,148.8
2015-01-19,148.55
2015-01-20,149.55
2015-01-21,148.2
2015-01-22,163.95
2015-01-23,157.7
2015-01-27,158.05
2015-01-28,155.0
2015-01-29,153.95
2015-01-30,151.5
2015-02-02,155.1
2015-02-03,150.45
2015-02-04,150.7
2015-02-05,148.1
2015-02-06,146.2
2015-02-09,145.85
2015-02-10,145.35
2015-02-11,136.05
2015-02-12,137.6
2015-02-13,136.1
2015-02-16,136.45
2015-02-18,135.75
2015-02-19,136.95
2015-02-20,136.8
2015-02-23,135.3
2015-02-24,132.05
2015-02-25,131.3
2015-02-26,129.3
2015-02-27,129.45
2015-02-28,130.0
2015-03-02,130.95
2015-03-03,132.55
2015-03-04,132.35
2015-03-05,130.85
2015-03-09,127.95
2015-03-10,125.85
2015-03-11,126.05
2015-03-12,131.0
2015-03-13,129.9
2015-03-16,130.0
2015-03-17,126.95
2015-03-18,125.75
2015-03-19,126.55
2015-03-20,121.2
2015-03-23,115.35
2015-03-24,118.65
2015-03-25,117.8
2015-03-26,117.6
2015-03-27,116.45
2015-03-30,123.45
2015-03-31,125.7
2015-04-01,126.3
2015-04-06,128.55
2015-04-07,123.0
2015-04-08,123.35
2015-04-09,121.3
2015-04-10,135.7
2015-04-13,131.65
2015-04-15,132.05
2015-04-16,129.85
2015-04-17,130.45
2015-04-20,129.85
2015-04-21,130.15
2015-04-22,129.65
2015-04-23,129.85
2015-04-24,126.9
2015-04-27,124.6
2015-04-28,123.7
2015-04-29,124.35
2015-04-30,122.9
2015-05-04,125.2
2015-05-05,125.8
2015-05-06,120.55
2015-05-07,116.25
2015-05-08,121.8
2015-05-11,124.85
2015-05-12,122.0
2015-05-13,122.2
2015-05-14,122.35
2015-05-15,124.35
2015-05-18,125.35
2015-05-19,124.6
2015-05-20,126.85
2015-05-21,127.5
2015-05-22,127.1
2015-05-25,128.45
2015-05-26,125.2
2015-05-27,125.8
2015-05-28,124.8
2015-05-29,126.45
2015-06-01,117.8
2015-06-02,116.7
2015-06-03,115.9
2015-06-04,115.35
2015-06-05,113.65
2015-06-08,112.9
2015-06-09,114.3
2015-06-10,113.9
2015-06-11,112.45
2015-06-12,113.6
2015-06-15,112.35
2015-06-16,114.55
2015-06-17,114.5
2015-06-18,116.85
2015-06-19,118.4
2015-06-22,118.8
2015-06-23,118.1
2015-06-24,119.25
2015-06-25,117.95
2015-06-26,117.85
2015-06-29,115.15
2015-06-30,118.1
2015-07-01,120.1
2015-07-02,116.75
2015-07-03,121.75
2015-07-06,119.7
2015-07-07,123.35
2015-07-08,121.35
2015-07-09,118.9
2015-07-10,122.4
2015-07-13,123.95
2015-07-14,128.1
2015-07-15,127.35
2015-07-16,126.75
2015-07-17,125.75
2015-07-20,127.25
2015-07-21,126.5
2015-07-22,128.15
2015-07-23,133.45
2015-07-24,139.65
2015-07-27,139.85
2015-07-28,137.95
2015-07-29,137.95
2015-07-30,139.1
2015-07-31,139.3
2015-08-03,144.5
2015-08-04,148.6
2015-08-05,143.35
2015-08-06,143.95
2015-08-07,138.25
2015-08-10,137.25
2015-08-11,140.85
2015-08-12,138.65
2015-08-13,135.95
2015-08-14,139.15
2015-08-17,141.8
2015-08-18,146.85
2015-08-19,145.85
2015-08-20,143.85
2015-08-21,143.15
2015-08-24,129.45
2015-08-25,129.6
2015-08-26,134.6
2015-08-27,132.85
2015-08-28,135.0
2015-08-31,135.05
2015-09-01,129.9
2015-09-02,130.65
2015-09-03,133.6
2015-09-04,129.0
2015-09-07,124.45
2015-09-08,119.9
2015-09-09,123.0
2015-09-10,123.25
2015-09-11,125.15
2015-09-14,124.4
2015-09-15,125.75
2015-09-16,125.95
2015-09-18,126.4
2015-09-21,126.5
2015-09-22,126.65
2015-09-23,126.45
2015-09-24,132.4
2015-09-28,132.6
2015-09-29,130.7
2015-09-30,131.15
2015-10-01,130.2
2015-10-05,131.7
2015-10-06,132.05
2015-10-07,134.9
2015-10-08,132.65
2015-10-09,134.4
2015-10-12,133.4
2015-10-13,131.0
2015-10-14,131.35
2015-10-15,130.9
2015-10-16,130.75
2015-10-19,132.1
2015-10-20,131.25
2015-10-21,131.75
2015-10-23,132.0
2015-10-26,133.95
2015-10-27,136.3
2015-10-28,140.1
2015-10-29,141.95
2015-10-30,139.25
2015-11-02,139.05
2015-11-03,139.9
2015-11-04,146.75
2015-11-05,142.7
2015-11-06,138.0
2015-11-09,139.15
2015-11-10,139.1
2015-11-11,143.35
2015-11-13,146.5
2015-11-16,157.05
2015-11-17,159.15
2015-11-18,153.45
2015-11-19,163.4
2015-11-20,165.6
2015-11-23,168.95
2015-11-24,166.1
2015-11-26,163.6
2015-11-27,165.9
2015-11-30,166.25
2015-12-01,177.65
2015-12-02,171.6
2015-12-03,169.4
2015-12-04,163.7
2015-12-07,166.1
2015-12-08,159.1
2015-12-09,149.85
2015-12-10,156.35
2015-12-11,154.25
2015-12-14,155.85
2015-12-15,164.45
2015-12-16,159.4
2015-12-17,163.25
2015-12-18,166.05
2015-12-21,172.1
2015-12-22,165.3
2015-12-23,167.2
2015-12-24,165.55
2015-12-28,163.75
2015-12-29,167.65
2015-12-30,169.9
2015-12-31,172.7
