Date,TV18BRDCST
2015-01-01,31.15
2015-01-02,30.7
2015-01-05,31.0
2015-01-06,29.3
2015-01-07,29.15
2015-01-08,29.8
2015-01-09,29.3
2015-01-12,29.2
2015-01-13,29.3
2015-01-14,29.2
2015-01-15,29.05
2015-01-16,31.45
2015-01-19,33.1
2015-01-20,33.85
2015-01-21,35.25
2015-01-22,34.65
2015-01-23,35.2
2015-01-27,35.25
2015-01-28,35.3
2015-01-29,35.35
2015-01-30,35.05
2015-02-02,35.3
2015-02-03,34.6
2015-02-04,33.65
2015-02-05,32.5
2015-02-06,32.55
2015-02-09,33.7
2015-02-10,33.2
2015-02-11,32.9
2015-02-12,33.1
2015-02-13,35.0
2015-02-16,35.15
2015-02-18,34.9
2015-02-19,34.5
2015-02-20,34.2
2015-02-23,34.1
2015-02-24,34.8
2015-02-25,34.2
2015-02-26,34.35
2015-02-27,34.1
2015-02-28,33.3
2015-03-02,34.05
2015-03-03,34.0
2015-03-04,32.95
2015-03-05,33.85
2015-03-09,32.4
2015-03-10,32.2
2015-03-11,31.55
2015-03-12,33.2
2015-03-13,31.35
2015-03-16,30.45
2015-03-17,30.35
2015-03-18,31.5
2015-03-19,30.85
2015-03-20,29.95
2015-03-23,29.6
2015-03-24,29.65
2015-03-25,29.75
2015-03-26,29.2
2015-03-27,29.3
2015-03-30,30.25
2015-03-31,30.3
2015-04-01,30.3
2015-04-06,30.65
2015-04-07,31.75
2015-04-08,32.35
2015-04-09,33.35
2015-04-10,36.1
2015-04-13,36.55
2015-04-15,39.7
2015-04-16,39.0
2015-04-17,37.65
2015-04-20,37.4
2015-04-21,37.0
2015-04-22,37.15
2015-04-23,36.9
2015-04-24,35.5
2015-04-27,34.45
2015-04-28,35.2
2015-04-29,34.5
2015-04-30,34.9
2015-05-04,34.0
2015-05-05,33.9
2015-05-06,32.75
2015-05-07,32.55
2015-05-08,33.9
2015-05-11,33.45
2015-05-12,32.2
2015-05-13,32.4
2015-05-14,33.2
2015-05-15,33.45
2015-05-18,33.95
2015-05-19,34.15
2015-05-20,33.8
2015-05-21,33.65
2015-05-22,33.2
2015-05-25,32.75
2015-05-26,32.7
2015-05-27,32.2
2015-05-28,32.0
2015-05-29,32.05
2015-06-01,33.6
2015-06-02,32.8
2015-06-03,31.95
2015-06-04,32.35
2015-06-05,33.4
2015-06-08,33.0
2015-06-09,32.65
2015-06-10,32.65
2015-06-11,32.55
2015-06-12,32.9
2015-06-15,34.55
2015-06-16,34.75
2015-06-17,34.35
2015-06-18,35.3
2015-06-19,35.95
2015-06-22,36.0
2015-06-23,36.0
2015-06-24,35.05
2015-06-25,35.5
2015-06-26,37.65
2015-06-29,36.45
2015-06-30,36.9
2015-07-01,36.5
2015-07-02,38.6
2015-07-03,37.8
2015-07-06,41.1
2015-07-07,41.95
2015-07-08,39.6
2015-07-09,39.1
2015-07-10,39.4
2015-07-13,40.7
2015-07-14,39.9
2015-07-15,39.7
2015-07-16,39.75
2015-07-17,40.2
2015-07-20,42.3
2015-07-21,42.2
2015-07-22,37.05
2015-07-23,34.05
2015-07-24,33.8
2015-07-27,34.95
2015-07-28,35.3
2015-07-29,36.45
2015-07-30,36.15
2015-07-31,37.05
2015-08-03,37.25
2015-08-04,36.3
2015-08-05,36.15
2015-08-06,36.05
2015-08-07,36.1
2015-08-10,36.2
2015-08-11,34.9
2015-08-12,34.7
2015-08-13,34.1
2015-08-14,34.75
2015-08-17,35.0
2015-08-18,34.9
2015-08-19,35.45
2015-08-20,34.4
2015-08-21,33.95
2015-08-24,31.25
2015-08-25,30.1
2015-08-26,31.0
2015-08-27,33.0
2015-08-28,31.7
2015-08-31,32.15
2015-09-01,30.05
2015-09-02,30.05
2015-09-03,30.4
2015-09-04,29.9
2015-09-07,29.1
2015-09-08,30.15
2015-09-09,31.0
2015-09-10,31.1
2015-09-11,31.6
2015-09-14,30.95
2015-09-15,31.75
2015-09-16,31.55
2015-09-18,31.55
2015-09-21,32.75
2015-09-22,31.75
2015-09-23,32.75
2015-09-24,34.85
2015-09-28,33.55
2015-09-29,33.2
2015-09-30,35.25
2015-10-01,34.8
2015-10-05,35.35
2015-10-06,33.9
2015-10-07,34.65
2015-10-08,34.45
2015-10-09,34.2
2015-10-12,34.4
2015-10-13,34.55
2015-10-14,33.5
2015-10-15,32.75
2015-10-16,32.8
2015-10-19,34.0
2015-10-20,33.25
2015-10-21,33.2
2015-10-23,32.8
2015-10-26,32.05
2015-10-27,32.35
2015-10-28,32.65
2015-10-29,32.25
2015-10-30,32.1
2015-11-02,31.95
2015-11-03,32.3
2015-11-04,32.45
2015-11-05,32.05
2015-11-06,31.65
2015-11-09,31.7
2015-11-10,31.0
2015-11-11,31.9
2015-11-13,31.85
2015-11-16,32.95
2015-11-17,33.7
2015-11-18,33.15
2015-11-19,34.1
2015-11-20,33.7
2015-11-23,33.7
2015-11-24,33.6
2015-11-26,33.6
2015-11-27,33.7
2015-11-30,35.7
2015-12-01,36.35
2015-12-02,35.6
2015-12-03,39.05
2015-12-04,37.45
2015-12-07,37.0
2015-12-08,36.7
2015-12-09,35.8
2015-12-10,36.8
2015-12-11,37.35
2015-12-14,38.85
2015-12-15,39.6
2015-12-16,38.9
2015-12-17,42.15
2015-12-18,42.8
2015-12-21,45.75
2015-12-22,45.6
2015-12-23,46.75
2015-12-24,48.3
2015-12-28,47.7
2015-12-29,48.05
2015-12-30,47.7
2015-12-31,47.3
