Date,AMTEKAUTO
2015-01-01,180.3
2015-01-02,180.85
2015-01-05,183.7
2015-01-06,172.25
2015-01-07,171.65
2015-01-08,176.7
2015-01-09,175.9
2015-01-12,177.0
2015-01-13,175.9
2015-01-14,173.8
2015-01-15,179.35
2015-01-16,178.55
2015-01-19,180.2
2015-01-20,180.6
2015-01-21,180.25
2015-01-22,178.9
2015-01-23,177.55
2015-01-27,176.2
2015-01-28,172.4
2015-01-29,170.65
2015-01-30,173.8
2015-02-02,175.7
2015-02-03,174.1
2015-02-04,174.8
2015-02-05,166.75
2015-02-06,157.95
2015-02-09,150.15
2015-02-10,150.75
2015-02-11,155.3
2015-02-12,157.3
2015-02-13,166.15
2015-02-16,163.95
2015-02-18,164.75
2015-02-19,165.25
2015-02-20,165.6
2015-02-23,161.9
2015-02-24,160.6
2015-02-25,159.8
2015-02-26,153.0
2015-02-27,155.7
2015-02-28,153.8
2015-03-02,156.75
2015-03-03,159.75
2015-03-04,155.9
2015-03-05,154.35
2015-03-09,154.25
2015-03-10,152.25
2015-03-11,153.0
2015-03-12,154.45
2015-03-13,148.95
2015-03-16,148.85
2015-03-17,152.7
2015-03-18,150.65
2015-03-19,147.85
2015-03-20,144.05
2015-03-23,133.65
2015-03-24,132.45
2015-03-25,133.7
2015-03-26,143.1
2015-03-27,141.1
2015-03-30,143.45
2015-03-31,145.25
2015-04-01,147.45
2015-04-06,146.75
2015-04-07,150.5
2015-04-08,159.3
2015-04-09,162.55
2015-04-10,163.6
2015-04-13,171.35
2015-04-15,169.65
2015-04-16,169.95
2015-04-17,168.1
2015-04-20,162.7
2015-04-21,163.7
2015-04-22,162.95
2015-04-23,161.35
2015-04-24,158.3
2015-04-27,152.65
2015-04-28,157.2
2015-04-29,155.35
2015-04-30,158.8
2015-05-04,158.25
2015-05-05,158.8
2015-05-06,147.25
2015-05-07,142.0
2015-05-08,153.65
2015-05-11,153.4
2015-05-12,146.65
2015-05-13,148.7
2015-05-14,148.7
2015-05-15,148.7
2015-05-18,149.55
2015-05-19,149.7
2015-05-20,151.65
2015-05-21,159.8
2015-05-22,159.8
2015-05-25,160.4
2015-05-26,152.6
2015-05-27,148.0
2015-05-28,156.25
2015-05-29,161.4
2015-06-01,159.9
2015-06-02,153.75
2015-06-03,147.8
2015-06-04,144.85
2015-06-05,148.4
2015-06-08,143.35
2015-06-09,141.55
2015-06-10,142.45
2015-06-11,140.65
2015-06-12,147.65
2015-06-15,153.15
2015-06-16,153.45
2015-06-17,152.65
2015-06-18,133.6
2015-06-19,142.45
2015-06-22,142.65
2015-06-23,141.85
2015-06-24,145.85
2015-06-25,155.2
2015-06-26,157.85
2015-06-29,154.9
2015-06-30,159.2
2015-07-01,158.55
2015-07-02,160.55
2015-07-03,163.3
2015-07-06,162.3
2015-07-07,158.75
2015-07-08,153.65
2015-07-09,155.05
2015-07-10,155.2
2015-07-13,157.65
2015-07-14,154.65
2015-07-15,168.65
2015-07-16,168.4
2015-07-17,170.05
2015-07-20,169.25
2015-07-21,168.6
2015-07-22,168.8
2015-07-23,169.7
2015-07-24,168.35
2015-07-27,163.95
2015-07-28,162.6
2015-07-29,161.9
2015-07-30,160.4
2015-07-31,169.7
2015-08-03,171.1
2015-08-04,169.5
2015-08-05,167.85
2015-08-06,165.15
2015-08-07,166.15
2015-08-10,165.2
2015-08-11,155.4
2015-08-12,152.0
2015-08-13,144.9
2015-08-14,150.15
2015-08-17,133.25
2015-08-18,128.45
2015-08-19,89.15
2015-08-20,63.55
2015-08-21,64.35
2015-08-24,48.0
2015-08-25,51.9
2015-08-26,50.1
2015-08-27,53.4
2015-08-28,53.3
2015-08-31,51.4
2015-09-01,48.3
2015-09-02,48.45
2015-09-03,31.5
2015-09-04,32.8
2015-09-07,29.0
2015-09-08,27.3
2015-09-09,30.5
2015-09-10,30.5
2015-09-11,46.95
2015-09-14,52.8
2015-09-15,52.4
2015-09-16,49.85
2015-09-18,48.35
2015-09-21,51.85
2015-09-22,45.85
2015-09-23,44.45
2015-09-24,45.2
2015-09-28,44.85
2015-09-29,44.5
2015-09-30,43.9
2015-10-01,42.5
2015-10-05,41.8
2015-10-06,46.25
2015-10-07,45.75
2015-10-08,44.6
2015-10-09,43.35
2015-10-12,43.85
2015-10-13,43.8
2015-10-14,43.8
2015-10-15,43.75
2015-10-16,42.9
2015-10-19,46.65
2015-10-20,44.35
2015-10-21,43.75
2015-10-23,43.1
2015-10-26,42.7
2015-10-27,42.25
2015-10-28,41.3
2015-10-29,39.55
2015-10-30,39.95
2015-11-02,38.7
2015-11-03,44.2
2015-11-04,44.2
2015-11-05,42.45
2015-11-06,41.4
2015-11-09,42.3
2015-11-10,41.5
2015-11-11,43.8
2015-11-13,42.75
2015-11-16,42.35
2015-11-17,42.3
2015-11-18,43.1
2015-11-19,44.8
2015-11-20,44.65
2015-11-23,44.1
2015-11-24,43.1
2015-11-26,43.25
2015-11-27,42.75
2015-11-30,41.0
2015-12-01,42.15
2015-12-02,43.4
2015-12-03,47.55
2015-12-04,45.7
2015-12-07,46.45
2015-12-08,51.55
2015-12-09,49.0
2015-12-10,50.35
2015-12-11,49.45
2015-12-14,49.65
2015-12-15,48.4
2015-12-16,47.65
2015-12-17,50.9
2015-12-18,50.0
2015-12-21,49.9
2015-12-22,50.4
2015-12-23,50.65
2015-12-24,52.75
2015-12-28,51.9
2015-12-29,51.25
2015-12-30,50.0
2015-12-31,49.55
