Date,SAKHTISUG
2015-01-01,16.6
2015-01-02,16.65
2015-01-05,16.35
2015-01-06,16.65
2015-01-07,16.6
2015-01-08,16.55
2015-01-09,16.6
2015-01-12,16.85
2015-01-13,16.95
2015-01-14,16.75
2015-01-15,16.75
2015-01-16,16.65
2015-01-19,16.45
2015-01-20,16.65
2015-01-21,17.05
2015-01-22,16.45
2015-01-23,16.25
2015-01-27,17.15
2015-01-28,16.35
2015-01-29,16.15
2015-01-30,16.0
2015-02-02,16.1
2015-02-03,15.85
2015-02-04,15.9
2015-02-05,15.75
2015-02-06,15.25
2015-02-09,15.05
2015-02-10,15.0
2015-02-11,15.15
2015-02-12,15.4
2015-02-13,15.35
2015-02-16,15.55
2015-02-18,16.5
2015-02-19,16.65
2015-02-20,17.0
2015-02-23,16.35
2015-02-24,16.0
2015-02-25,15.8
2015-02-26,15.75
2015-02-27,15.9
2015-02-28,15.55
2015-03-02,15.65
2015-03-03,15.85
2015-03-04,15.45
2015-03-05,15.5
2015-03-09,15.4
2015-03-10,15.15
2015-03-11,15.05
2015-03-12,15.0
2015-03-13,14.85
2015-03-16,14.05
2015-03-17,14.25
2015-03-18,14.2
2015-03-19,13.9
2015-03-20,13.55
2015-03-23,13.05
2015-03-24,12.55
2015-03-25,12.95
2015-03-26,13.15
2015-03-27,13.0
2015-03-30,13.2
2015-03-31,13.05
2015-04-01,13.6
2015-04-06,13.95
2015-04-07,13.65
2015-04-08,14.2
2015-04-09,13.95
2015-04-10,14.15
2015-04-13,13.85
2015-04-15,14.0
2015-04-16,14.05
2015-04-17,13.95
2015-04-20,13.8
2015-04-21,13.9
2015-04-22,13.65
2015-04-23,13.7
2015-04-24,12.95
2015-04-27,13.3
2015-04-28,14.05
2015-04-29,14.25
2015-04-30,14.0
2015-05-04,14.05
2015-05-05,13.85
2015-05-06,13.55
2015-05-07,13.05
2015-05-08,13.15
2015-05-11,13.3
2015-05-12,12.75
2015-05-13,12.8
2015-05-14,13.05
2015-05-15,13.0
2015-05-18,13.0
2015-05-19,12.75
2015-05-20,12.95
2015-05-21,13.05
2015-05-22,12.95
2015-05-25,12.75
2015-05-26,12.8
2015-05-27,12.75
2015-05-28,15.3
2015-05-29,14.9
2015-06-01,15.0
2015-06-02,14.5
2015-06-03,13.95
2015-06-04,13.95
2015-06-05,14.3
2015-06-08,13.85
2015-06-09,13.5
2015-06-10,15.25
2015-06-11,14.5
2015-06-12,14.3
2015-06-15,14.7
2015-06-16,14.75
2015-06-17,14.45
2015-06-18,14.05
2015-06-19,14.35
2015-06-22,14.3
2015-06-23,14.75
2015-06-24,14.75
2015-06-25,14.55
2015-06-26,14.7
2015-06-29,14.45
2015-06-30,14.7
2015-07-01,14.85
2015-07-02,14.65
2015-07-03,14.85
2015-07-06,15.35
2015-07-07,16.2
2015-07-08,16.0
2015-07-09,17.0
2015-07-10,16.4
2015-07-13,16.6
2015-07-14,16.75
2015-07-15,16.95
2015-07-16,16.5
2015-07-17,16.35
2015-07-20,16.5
2015-07-21,15.9
2015-07-22,15.95
2015-07-23,16.15
2015-07-24,15.9
2015-07-27,15.65
2015-07-28,15.8
2015-07-29,15.75
2015-07-30,15.85
2015-07-31,15.95
2015-08-03,16.2
2015-08-04,15.8
2015-08-05,17.4
2015-08-06,17.2
2015-08-07,17.3
2015-08-10,17.0
2015-08-11,16.05
2015-08-12,15.9
2015-08-13,16.7
2015-08-14,16.5
2015-08-17,16.8
2015-08-18,16.85
2015-08-19,16.5
2015-08-20,16.05
2015-08-21,16.0
2015-08-24,14.8
2015-08-25,14.9
2015-08-26,14.6
2015-08-27,14.5
2015-08-28,14.65
2015-08-31,14.7
2015-09-01,14.25
2015-09-02,15.25
2015-09-03,14.95
2015-09-04,14.25
2015-09-07,14.45
2015-09-08,14.8
2015-09-09,14.45
2015-09-10,14.45
2015-09-11,14.6
2015-09-14,14.55
2015-09-15,14.4
2015-09-16,14.3
2015-09-18,14.7
2015-09-21,14.5
2015-09-22,14.5
2015-09-23,14.4
2015-09-24,14.4
2015-09-28,14.7
2015-09-29,14.6
2015-09-30,15.1
2015-10-01,15.05
2015-10-05,15.4
2015-10-06,18.45
2015-10-07,19.65
2015-10-08,19.35
2015-10-09,20.5
2015-10-12,19.75
2015-10-13,22.35
2015-10-14,21.95
2015-10-15,23.25
2015-10-16,25.1
2015-10-19,25.4
2015-10-20,25.6
2015-10-21,25.8
2015-10-23,26.15
2015-10-26,24.2
2015-10-27,24.2
2015-10-28,23.1
2015-10-29,23.95
2015-10-30,23.0
2015-11-02,22.95
2015-11-03,23.7
2015-11-04,23.4
2015-11-05,22.6
2015-11-06,22.15
2015-11-09,23.6
2015-11-10,22.9
2015-11-11,23.45
2015-11-13,27.05
2015-11-16,32.45
2015-11-17,33.5
2015-11-18,33.3
2015-11-19,30.65
2015-11-20,30.2
2015-11-23,30.3
2015-11-24,31.4
2015-11-26,30.7
2015-11-27,29.85
2015-11-30,29.65
2015-12-01,29.4
2015-12-02,30.45
2015-12-03,31.0
2015-12-04,32.85
2015-12-07,33.3
2015-12-08,32.6
2015-12-09,29.6
2015-12-10,30.05
2015-12-11,29.45
2015-12-14,30.0
2015-12-15,33.0
2015-12-16,32.55
2015-12-17,32.65
2015-12-18,32.2
2015-12-21,32.0
2015-12-22,32.7
2015-12-23,32.2
2015-12-24,31.4
2015-12-28,31.55
2015-12-29,31.35
2015-12-30,31.55
2015-12-31,31.85
