Date,BLUESTARCO
2015-01-01,332.2
2015-01-02,330.85
2015-01-05,328.0
2015-01-06,321.7
2015-01-07,321.85
2015-01-08,326.25
2015-01-09,325.45
2015-01-12,326.1
2015-01-13,323.65
2015-01-14,325.15
2015-01-15,340.6
2015-01-16,354.45
2015-01-19,359.15
2015-01-20,359.45
2015-01-21,345.55
2015-01-22,341.3
2015-01-23,337.75
2015-01-27,330.8
2015-01-28,335.65
2015-01-29,330.75
2015-01-30,335.9
2015-02-02,336.15
2015-02-03,343.95
2015-02-04,342.1
2015-02-05,340.55
2015-02-06,335.0
2015-02-09,314.3
2015-02-10,322.15
2015-02-11,320.0
2015-02-12,320.7
2015-02-13,324.6
2015-02-16,329.8
2015-02-18,329.35
2015-02-19,325.95
2015-02-20,318.65
2015-02-23,312.15
2015-02-24,304.35
2015-02-25,308.0
2015-02-26,309.6
2015-02-27,320.2
2015-02-28,316.25
2015-03-02,312.7
2015-03-03,308.75
2015-03-04,313.65
2015-03-05,315.0
2015-03-09,314.45
2015-03-10,325.85
2015-03-11,321.1
2015-03-12,329.1
2015-03-13,324.45
2015-03-16,321.8
2015-03-17,318.8
2015-03-18,311.15
2015-03-19,306.8
2015-03-20,300.7
2015-03-23,299.1
2015-03-24,299.35
2015-03-25,311.05
2015-03-26,305.95
2015-03-27,310.3
2015-03-30,309.5
2015-03-31,307.7
2015-04-01,311.35
2015-04-06,314.9
2015-04-07,311.05
2015-04-08,322.25
2015-04-09,320.0
2015-04-10,317.0
2015-04-13,319.95
2015-04-15,323.8
2015-04-16,330.3
2015-04-17,333.55
2015-04-20,324.05
2015-04-21,320.85
2015-04-22,323.95
2015-04-23,320.1
2015-04-24,311.0
2015-04-27,303.4
2015-04-28,303.15
2015-04-29,307.4
2015-04-30,306.45
2015-05-04,306.45
2015-05-05,307.3
2015-05-06,301.25
2015-05-07,312.05
2015-05-08,315.85
2015-05-11,321.75
2015-05-12,320.1
2015-05-13,324.2
2015-05-14,322.85
2015-05-15,322.8
2015-05-18,331.85
2015-05-19,333.1
2015-05-20,340.05
2015-05-21,339.25
2015-05-22,345.5
2015-05-25,353.1
2015-05-26,349.2
2015-05-27,335.4
2015-05-28,345.65
2015-05-29,359.15
2015-06-01,348.95
2015-06-02,341.15
2015-06-03,329.6
2015-06-04,325.65
2015-06-05,320.7
2015-06-08,320.35
2015-06-09,321.75
2015-06-10,329.8
2015-06-11,329.45
2015-06-12,327.85
2015-06-15,325.45
2015-06-16,332.85
2015-06-17,341.75
2015-06-18,352.15
2015-06-19,346.25
2015-06-22,350.5
2015-06-23,354.65
2015-06-24,347.85
2015-06-25,345.1
2015-06-26,344.35
2015-06-29,335.25
2015-06-30,330.95
2015-07-01,331.35
2015-07-02,333.95
2015-07-03,339.25
2015-07-06,335.3
2015-07-07,332.2
2015-07-08,330.2
2015-07-09,329.8
2015-07-10,323.95
2015-07-13,326.1
2015-07-14,326.0
2015-07-15,323.75
2015-07-16,330.1
2015-07-17,328.1
2015-07-20,330.6
2015-07-21,331.55
2015-07-22,334.05
2015-07-23,334.65
2015-07-24,334.15
2015-07-27,331.4
2015-07-28,335.35
2015-07-29,341.45
2015-07-30,372.0
2015-07-31,375.45
2015-08-03,372.95
2015-08-04,371.45
2015-08-05,374.2
2015-08-06,369.55
2015-08-07,377.45
2015-08-10,373.8
2015-08-11,372.15
2015-08-12,367.3
2015-08-13,371.1
2015-08-14,372.25
2015-08-17,361.5
2015-08-18,354.95
2015-08-19,370.1
2015-08-20,360.45
2015-08-21,356.95
2015-08-24,344.3
2015-08-25,350.15
2015-08-26,350.3
2015-08-27,352.3
2015-08-28,349.9
2015-08-31,352.0
2015-09-01,341.3
2015-09-02,341.95
2015-09-03,347.1
2015-09-04,343.2
2015-09-07,340.6
2015-09-08,337.7
2015-09-09,344.8
2015-09-10,337.7
2015-09-11,340.0
2015-09-14,341.05
2015-09-15,340.45
2015-09-16,337.85
2015-09-18,339.7
2015-09-21,337.95
2015-09-22,333.35
2015-09-23,332.5
2015-09-24,332.35
2015-09-28,332.7
2015-09-29,332.65
2015-09-30,353.1
2015-10-01,341.0
2015-10-05,340.6
2015-10-06,343.55
2015-10-07,341.95
2015-10-08,344.4
2015-10-09,343.0
2015-10-12,339.15
2015-10-13,356.2
2015-10-14,360.75
2015-10-15,362.2
2015-10-16,354.95
2015-10-19,349.1
2015-10-20,358.85
2015-10-21,356.15
2015-10-23,355.55
2015-10-26,361.2
2015-10-27,370.7
2015-10-28,376.4
2015-10-29,380.0
2015-10-30,389.45
2015-11-02,381.55
2015-11-03,371.05
2015-11-04,365.85
2015-11-05,358.6
2015-11-06,353.5
2015-11-09,352.2
2015-11-10,351.65
2015-11-11,352.5
2015-11-13,350.55
2015-11-16,353.8
2015-11-17,351.2
2015-11-18,355.1
2015-11-19,360.4
2015-11-20,362.3
2015-11-23,357.05
2015-11-24,356.2
2015-11-26,358.0
2015-11-27,359.6
2015-11-30,355.8
2015-12-01,357.2
2015-12-02,354.25
2015-12-03,355.75
2015-12-04,354.7
2015-12-07,354.95
2015-12-08,355.1
2015-12-09,355.1
2015-12-10,355.65
2015-12-11,355.35
2015-12-14,355.15
2015-12-15,373.55
2015-12-16,373.25
2015-12-17,371.9
2015-12-18,370.2
2015-12-21,381.1
2015-12-22,372.85
2015-12-23,376.4
2015-12-24,380.45
2015-12-28,390.2
2015-12-29,379.2
2015-12-30,385.15
2015-12-31,393.8
