Date,GLENMARK
2015-01-01,775.5
2015-01-02,767.85
2015-01-05,751.4
2015-01-06,721.75
2015-01-07,719.65
2015-01-08,740.8
2015-01-09,735.4
2015-01-12,727.05
2015-01-13,728.8
2015-01-14,718.9
2015-01-15,714.9
2015-01-16,722.2
2015-01-19,738.05
2015-01-20,733.15
2015-01-21,737.35
2015-01-22,744.4
2015-01-23,724.25
2015-01-27,734.9
2015-01-28,728.3
2015-01-29,719.05
2015-01-30,719.15
2015-02-02,716.35
2015-02-03,706.4
2015-02-04,730.05
2015-02-05,742.1
2015-02-06,740.2
2015-02-09,732.25
2015-02-10,747.2
2015-02-11,748.9
2015-02-12,747.15
2015-02-13,766.4
2015-02-16,770.5
2015-02-18,780.5
2015-02-19,772.15
2015-02-20,788.45
2015-02-23,792.7
2015-02-24,808.2
2015-02-25,790.2
2015-02-26,770.25
2015-02-27,779.45
2015-02-28,789.9
2015-03-02,786.85
2015-03-03,799.35
2015-03-04,799.05
2015-03-05,833.0
2015-03-09,842.35
2015-03-10,848.35
2015-03-11,831.1
2015-03-12,836.3
2015-03-13,840.3
2015-03-16,814.4
2015-03-17,808.45
2015-03-18,823.5
2015-03-19,851.5
2015-03-20,831.35
2015-03-23,793.4
2015-03-24,809.5
2015-03-25,804.65
2015-03-26,792.4
2015-03-27,771.75
2015-03-30,784.0
2015-03-31,786.15
2015-04-01,788.3
2015-04-06,846.5
2015-04-07,844.2
2015-04-08,881.75
2015-04-09,864.8
2015-04-10,871.35
2015-04-13,917.7
2015-04-15,907.0
2015-04-16,877.75
2015-04-17,865.15
2015-04-20,901.2
2015-04-21,886.65
2015-04-22,898.05
2015-04-23,892.65
2015-04-24,896.4
2015-04-27,868.95
2015-04-28,861.0
2015-04-29,860.25
2015-04-30,890.3
2015-05-04,906.6
2015-05-05,897.5
2015-05-06,847.9
2015-05-07,825.9
2015-05-08,835.8
2015-05-11,868.5
2015-05-12,869.1
2015-05-13,889.0
2015-05-14,913.65
2015-05-15,898.2
2015-05-18,906.7
2015-05-19,899.6
2015-05-20,907.0
2015-05-21,895.95
2015-05-22,885.35
2015-05-25,872.05
2015-05-26,865.95
2015-05-27,862.1
2015-05-28,857.45
2015-05-29,875.3
2015-06-01,866.05
2015-06-02,861.2
2015-06-03,853.8
2015-06-04,834.6
2015-06-05,845.15
