Date,KAVVERITEL
2015-01-01,14.8
2015-01-02,15.4
2015-01-05,15.05
2015-01-06,14.95
2015-01-07,14.95
2015-01-08,14.3
2015-01-09,14.25
2015-01-12,14.25
2015-01-13,13.7
2015-01-14,14.45
2015-01-15,14.85
2015-01-16,14.2
2015-01-19,14.6
2015-01-20,14.55
2015-01-21,14.6
2015-01-22,14.4
2015-01-23,14.35
2015-01-27,13.9
2015-01-28,14.6
2015-01-29,15.25
2015-01-30,14.55
2015-02-02,14.2
2015-02-03,14.65
2015-02-04,14.25
2015-02-05,14.35
2015-02-06,14.45
2015-02-09,13.5
2015-02-10,13.6
2015-02-11,14.15
2015-02-12,14.85
2015-02-13,13.9
2015-02-16,13.75
2015-02-18,13.75
2015-02-19,14.65
2015-02-20,14.05
2015-02-23,13.7
2015-02-24,13.6
2015-02-25,13.25
2015-02-26,13.25
2015-02-27,13.35
2015-02-28,13.8
2015-03-02,13.8
2015-03-03,13.4
2015-03-04,13.05
2015-03-05,13.0
2015-03-09,12.9
2015-03-10,12.55
2015-03-11,13.8
2015-03-12,13.25
2015-03-13,14.0
2015-03-16,13.9
2015-03-17,13.55
2015-03-18,12.6
2015-03-19,12.75
2015-03-20,13.9
2015-03-23,13.05
2015-03-24,14.1
2015-03-25,13.0
2015-03-26,13.05
2015-03-27,13.5
2015-03-30,13.9
2015-03-31,13.05
2015-04-01,14.0
2015-04-06,13.2
2015-04-07,14.0
2015-04-08,13.5
2015-04-09,13.9
2015-04-10,14.45
2015-04-13,14.7
2015-04-15,14.85
2015-04-16,15.2
2015-04-17,15.5
2015-04-20,13.95
2015-04-21,14.35
2015-04-22,14.75
2015-04-23,14.0
2015-04-24,13.95
2015-04-27,13.05
2015-04-28,14.0
2015-04-29,13.4
2015-04-30,14.0
2015-05-04,13.1
2015-05-05,13.05
2015-05-06,12.7
2015-05-07,12.1
2015-05-08,12.5
2015-05-11,13.0
2015-05-12,12.75
2015-05-13,13.4
2015-05-14,12.3
2015-05-15,13.05
2015-05-18,12.95
2015-05-19,12.85
2015-05-20,12.85
2015-05-21,13.3
2015-05-22,12.9
2015-05-25,12.9
2015-05-26,12.9
2015-05-27,12.4
2015-05-28,12.95
2015-05-29,12.9
2015-06-01,12.3
2015-06-02,12.7
2015-06-03,11.9
2015-06-04,11.8
2015-06-05,11.9
2015-06-08,11.25
2015-06-09,10.4
2015-06-10,10.25
2015-06-11,10.1
2015-06-12,9.1
2015-06-15,9.3
2015-06-16,9.85
2015-06-17,9.5
2015-06-18,10.0
2015-06-19,10.2
2015-06-22,10.5
2015-06-23,10.5
2015-06-24,10.3
2015-06-25,9.9
2015-06-26,11.85
2015-06-29,14.2
2015-06-30,15.6
2015-07-01,15.3
2015-07-02,16.8
2015-07-03,17.35
2015-07-06,16.55
2015-07-07,15.95
2015-07-08,17.5
2015-07-09,17.55
2015-07-10,17.65
2015-07-13,17.6
2015-07-14,16.55
2015-07-15,16.1
2015-07-16,16.65
2015-07-17,16.95
2015-07-20,16.25
2015-07-21,15.85
2015-07-22,15.75
2015-07-23,15.9
2015-07-24,17.45
2015-07-27,19.15
2015-07-28,21.05
2015-07-29,22.1
2015-07-30,21.0
2015-07-31,20.0
2015-08-03,19.8
2015-08-04,19.35
2015-08-05,19.1
2015-08-06,18.55
2015-08-07,19.4
2015-08-10,18.7
2015-08-11,18.1
2015-08-12,19.0
2015-08-13,18.8
2015-08-14,18.5
2015-08-17,17.8
2015-08-18,17.85
2015-08-19,17.9
2015-08-20,17.25
2015-08-21,16.65
2015-08-24,16.05
2015-08-25,16.05
2015-08-26,16.2
2015-08-27,15.65
2015-08-28,14.95
2015-08-31,15.65
2015-09-01,15.35
2015-09-02,15.6
2015-09-03,15.8
2015-09-04,14.3
2015-09-07,14.5
2015-09-08,14.4
2015-09-09,15.6
2015-09-10,14.25
2015-09-11,15.45
2015-09-14,15.0
2015-09-15,14.2
2015-09-16,14.9
2015-09-18,14.2
2015-09-21,14.05
2015-09-22,13.75
2015-09-23,13.6
2015-09-24,13.45
2015-09-28,14.0
2015-09-29,13.75
2015-09-30,14.6
2015-10-01,14.1
2015-10-05,16.25
2015-10-06,15.75
2015-10-07,15.85
2015-10-08,15.8
2015-10-09,17.7
2015-10-12,16.45
2015-10-13,16.6
2015-10-14,17.35
2015-10-15,16.5
2015-10-16,16.95
2015-10-19,17.2
2015-10-20,16.05
2015-10-21,15.75
2015-10-23,15.8
2015-10-26,15.5
2015-10-27,15.15
2015-10-28,15.3
2015-10-29,15.85
2015-10-30,15.1
2015-11-02,14.8
2015-11-03,15.25
2015-11-04,15.75
2015-11-05,15.0
2015-11-06,14.5
2015-11-09,15.45
2015-11-10,15.65
2015-11-13,14.6
2015-11-16,15.0
2015-11-17,14.55
2015-11-18,14.35
2015-11-19,15.4
2015-11-20,15.4
2015-11-23,15.4
2015-11-24,15.7
2015-11-26,15.95
2015-11-27,15.55
2015-11-30,15.5
2015-12-01,16.3
2015-12-02,15.9
2015-12-03,15.65
2015-12-04,15.4
2015-12-07,15.35
2015-12-08,15.25
2015-12-09,15.05
2015-12-10,15.0
2015-12-11,16.0
2015-12-14,16.0
2015-12-15,15.5
2015-12-16,15.6
2015-12-17,16.25
2015-12-18,15.3
2015-12-21,15.45
2015-12-22,15.7
2015-12-23,15.35
2015-12-24,15.5
2015-12-28,16.15
2015-12-29,19.35
2015-12-30,23.2
2015-12-31,24.0
