Date,3MINDIA
2015-01-01,6504.6
2015-01-02,6493.45
2015-01-05,6484.4
2015-01-06,6333.0
2015-01-07,6294.9
2015-01-08,6494.85
2015-01-09,6438.05
2015-01-12,6409.25
2015-01-13,6433.05
2015-01-14,6610.45
2015-01-15,6570.05
2015-01-16,6565.95
2015-01-19,6644.45
2015-01-20,6862.5
2015-01-21,6861.9
2015-01-22,6879.6
2015-01-23,6821.15
2015-01-27,7031.45
2015-01-28,6935.95
2015-01-29,6951.45
2015-01-30,6812.7
2015-02-02,6913.9
2015-02-03,6924.25
2015-02-04,6936.1
2015-02-05,6785.1
2015-02-06,6749.25
2015-02-09,6583.25
2015-02-10,6663.6
2015-02-11,6905.45
2015-02-12,7023.95
2015-02-13,7100.5
2015-02-16,7191.4
2015-02-18,7809.75
2015-02-19,8068.3
2015-02-20,8205.3
2015-02-23,8088.4
2015-02-24,7890.4
2015-02-25,7783.1
2015-02-26,7723.7
2015-02-27,7796.45
2015-02-28,7840.45
2015-03-02,7815.55
2015-03-03,7784.05
2015-03-04,7859.4
2015-03-05,8098.7
2015-03-09,7902.9
2015-03-10,7868.55
2015-03-11,7938.9
2015-03-12,8027.85
2015-03-13,7976.4
2015-03-16,8026.4
2015-03-17,7941.55
2015-03-18,8047.8
2015-03-19,7919.25
2015-03-20,7713.25
2015-03-23,7899.9
2015-03-24,7809.0
2015-03-25,7708.5
2015-03-26,7882.5
2015-03-27,7731.75
2015-03-30,8034.2
2015-03-31,7935.3
2015-04-01,7879.6
2015-04-06,8144.4
2015-04-07,8609.9
2015-04-08,9298.75
2015-04-09,9297.8
2015-04-10,9273.1
2015-04-13,9061.0
2015-04-15,8824.05
2015-04-16,8680.85
2015-04-17,8772.5
2015-04-20,8551.9
2015-04-21,8304.9
2015-04-22,8534.85
2015-04-23,8449.05
2015-04-24,8169.55
2015-04-27,7702.3
2015-04-28,7951.3
2015-04-29,7964.75
2015-04-30,7958.75
2015-05-04,7979.85
2015-05-05,8006.85
2015-05-06,7716.5
2015-05-07,7615.95
2015-05-08,7754.0
2015-05-11,7991.85
2015-05-12,7823.05
2015-05-13,7749.1
2015-05-14,7921.05
2015-05-15,8111.75
2015-05-18,8269.2
2015-05-19,8088.4
2015-05-20,8122.2
2015-05-21,8093.85
2015-05-22,8210.25
2015-05-25,8114.45
2015-05-26,8028.45
2015-05-27,7998.05
2015-05-28,8040.6
2015-05-29,7986.05
2015-06-01,8908.5
2015-06-02,8690.7
2015-06-03,8619.65
2015-06-04,8612.65
2015-06-05,8481.25
2015-06-08,8469.95
2015-06-09,8304.3
2015-06-10,8485.6
2015-06-11,8319.75
2015-06-12,8204.65
2015-06-15,8304.75
2015-06-16,8232.15
2015-06-17,8197.45
2015-06-18,8280.7
2015-06-19,8277.15
2015-06-22,8420.3
2015-06-23,8522.0
2015-06-24,8407.95
2015-06-25,8309.75
2015-06-26,8298.85
2015-06-29,8276.5
2015-06-30,8331.3
2015-07-01,8301.0
2015-07-02,8199.65
2015-07-03,8200.35
2015-07-06,8298.5
2015-07-07,8225.9
2015-07-08,8215.35
2015-07-09,8154.45
2015-07-10,8099.65
2015-07-13,8187.65
2015-07-14,8194.15
2015-07-15,8200.85
2015-07-16,8192.4
2015-07-17,8280.45
2015-07-20,8262.65
2015-07-21,8275.45
2015-07-22,8257.45
2015-07-23,8260.25
2015-07-24,8306.8
2015-07-27,8221.2
2015-07-28,8226.45
2015-07-29,8254.35
2015-07-30,8411.35
2015-07-31,8688.05
2015-08-03,9094.7
2015-08-04,9412.2
2015-08-05,9962.8
2015-08-06,10476.4
2015-08-07,10374.95
2015-08-10,10510.6
2015-08-11,10547.65
2015-08-12,10074.7
2015-08-13,9955.3
2015-08-14,9996.05
2015-08-17,10399.75
2015-08-18,10832.25
2015-08-19,11641.4
2015-08-20,12236.65
2015-08-21,11931.3
2015-08-24,10835.45
2015-08-25,10608.4
2015-08-26,10318.0
2015-08-27,10784.4
2015-08-28,11034.8
2015-08-31,10788.95
2015-09-01,10280.55
2015-09-02,10861.95
2015-09-03,11044.5
2015-09-04,10483.45
2015-09-07,10317.6
2015-09-08,10975.0
2015-09-09,11038.4
2015-09-10,10834.8
2015-09-11,10918.55
2015-09-14,10973.45
2015-09-15,11075.95
2015-09-16,10957.15
2015-09-18,10926.85
2015-09-21,10970.5
2015-09-22,10790.7
2015-09-23,10860.3
2015-09-24,10879.05
2015-09-28,10940.5
2015-09-29,10930.9
2015-09-30,10948.0
2015-10-01,10869.55
2015-10-05,10971.3
2015-10-06,11017.8
2015-10-07,11713.8
2015-10-08,11734.1
2015-10-09,11655.15
2015-10-12,11506.3
2015-10-13,11508.05
2015-10-14,11423.15
2015-10-15,11483.05
2015-10-16,11335.0
2015-10-19,11348.0
2015-10-20,11428.55
2015-10-21,11555.3
2015-10-23,12186.35
2015-10-26,12320.05
2015-10-27,12115.4
2015-10-28,11840.1
2015-10-29,11806.75
2015-10-30,11675.1
2015-11-02,11883.0
2015-11-03,11673.5
2015-11-04,11702.65
2015-11-05,11381.25
2015-11-06,11322.8
2015-11-09,11631.55
2015-11-10,11559.15
2015-11-11,11731.65
2015-11-13,11450.2
2015-11-16,11219.4
2015-11-17,11532.95
2015-11-18,11580.5
2015-11-19,11567.6
2015-11-20,11434.9
2015-11-23,11400.25
2015-11-24,11398.95
2015-11-26,11467.15
2015-11-27,11526.95
2015-11-30,11451.85
2015-12-01,11406.0
2015-12-02,11305.85
2015-12-03,11279.8
2015-12-04,11174.25
2015-12-07,11191.15
2015-12-08,11007.95
2015-12-09,10623.0
2015-12-10,10805.0
2015-12-11,10688.45
2015-12-14,10609.6
2015-12-15,10789.4
2015-12-16,10645.0
2015-12-17,10803.4
2015-12-18,10708.0
2015-12-21,10521.7
2015-12-22,10582.2
2015-12-23,10698.05
2015-12-24,10616.85
2015-12-28,10595.6
2015-12-29,11215.1
2015-12-30,11250.95
2015-12-31,11397.55
