Date,CIMMCO
2015-01-01,76.8
2015-01-02,80.6
2015-01-05,76.6
2015-01-06,73.15
2015-01-07,71.8
2015-01-08,74.0
2015-01-09,73.5
2015-01-12,74.0
2015-01-13,73.55
2015-01-14,76.8
2015-01-15,74.4
2015-01-16,74.15
2015-01-19,74.35
2015-01-20,72.65
2015-01-21,72.95
2015-01-22,76.2
2015-01-23,73.5
2015-01-27,72.65
2015-01-28,72.05
2015-01-29,73.1
2015-01-30,69.7
2015-02-02,73.15
2015-02-03,76.65
2015-02-04,77.7
2015-02-05,76.9
2015-02-06,73.45
2015-02-09,73.2
2015-02-10,68.75
2015-02-11,71.45
2015-02-12,69.95
2015-02-13,68.25
2015-02-16,71.6
2015-02-18,70.1
2015-02-19,69.25
2015-02-20,76.15
2015-02-23,83.75
2015-02-24,78.05
2015-02-25,76.35
2015-02-26,70.7
2015-02-27,77.75
2015-02-28,85.5
2015-03-02,94.05
2015-03-03,93.05
2015-03-04,91.15
2015-03-05,88.5
2015-03-09,92.8
2015-03-10,97.3
2015-03-11,102.15
2015-03-12,107.25
2015-03-13,112.6
2015-03-16,118.2
2015-03-17,112.3
2015-03-18,106.7
2015-03-19,110.4
2015-03-20,104.9
2015-03-23,99.7
2015-03-24,94.75
2015-03-25,90.05
2015-03-26,85.55
2015-03-27,81.3
2015-03-30,85.35
2015-03-31,89.6
2015-04-01,94.05
2015-04-06,98.75
2015-04-07,98.8
2015-04-08,98.4
2015-04-09,98.2
2015-04-10,100.35
2015-04-13,104.2
2015-04-15,100.0
2015-04-16,96.15
2015-04-17,93.65
2015-04-20,102.5
2015-04-21,97.2
2015-04-22,106.9
2015-04-23,117.55
2015-04-24,107.45
2015-04-27,99.8
2015-04-28,99.9
2015-04-29,99.8
2015-04-30,103.35
2015-05-04,124.0
2015-05-05,122.05
2015-05-06,106.45
2015-05-07,110.45
2015-05-08,107.95
2015-05-11,107.0
2015-05-12,100.95
2015-05-13,98.9
2015-05-14,97.35
2015-05-15,104.0
2015-05-18,104.15
2015-05-19,103.1
2015-05-20,103.15
2015-05-21,100.3
2015-05-22,100.85
2015-05-25,99.05
2015-05-26,94.4
2015-05-27,95.9
2015-05-28,95.5
2015-05-29,94.6
2015-06-01,93.8
2015-06-02,91.05
2015-06-03,78.3
2015-06-04,82.4
2015-06-05,88.75
2015-06-08,83.55
2015-06-09,85.5
2015-06-10,88.35
2015-06-11,85.25
2015-06-12,82.3
2015-06-15,81.7
2015-06-16,86.3
2015-06-17,88.65
2015-06-18,87.7
2015-06-19,86.85
2015-06-22,90.7
2015-06-23,92.2
2015-06-24,92.8
2015-06-25,90.8
2015-06-26,90.05
2015-06-29,87.1
2015-06-30,87.8
2015-07-01,89.05
2015-07-02,88.5
2015-07-03,89.15
2015-07-06,90.35
2015-07-07,94.25
2015-07-08,95.45
2015-07-09,93.95
2015-07-10,94.45
2015-07-13,97.85
2015-07-14,95.05
2015-07-15,98.0
2015-07-16,97.3
2015-07-17,101.65
2015-07-20,97.15
2015-07-21,93.15
2015-07-22,93.1
2015-07-23,91.5
2015-07-24,89.2
2015-07-27,91.2
2015-07-28,90.05
2015-07-29,90.9
2015-07-30,90.6
2015-07-31,89.65
2015-08-03,89.45
2015-08-04,90.1
2015-08-05,89.0
2015-08-06,87.35
2015-08-07,86.2
2015-08-10,86.55
2015-08-11,85.3
2015-08-12,82.5
2015-08-13,83.0
2015-08-14,85.2
2015-08-17,84.65
2015-08-18,84.05
2015-08-19,88.6
2015-08-20,85.5
2015-08-21,84.1
2015-08-24,71.8
2015-08-25,68.8
2015-08-26,63.15
2015-08-27,73.4
2015-08-28,73.6
2015-08-31,73.45
2015-09-01,69.45
2015-09-02,67.4
2015-09-03,69.6
2015-09-04,66.7
2015-09-07,63.9
2015-09-08,64.65
2015-09-09,66.95
2015-09-10,64.45
2015-09-11,67.65
2015-09-14,66.7
2015-09-15,67.1
2015-09-16,66.35
2015-09-18,67.25
2015-09-21,71.3
2015-09-22,68.05
2015-09-23,68.65
2015-09-24,67.55
2015-09-28,64.05
2015-09-29,64.95
2015-09-30,65.6
2015-10-01,66.55
2015-10-05,67.25
2015-10-06,70.6
2015-10-07,73.1
2015-10-08,73.65
2015-10-09,72.9
2015-10-12,71.8
2015-10-13,72.9
2015-10-14,73.8
2015-10-15,72.8
2015-10-16,73.7
2015-10-19,72.8
2015-10-20,77.15
2015-10-21,77.5
2015-10-23,75.45
2015-10-26,75.55
2015-10-27,75.0
2015-10-28,74.35
2015-10-29,73.15
2015-10-30,70.1
2015-11-02,71.45
2015-11-03,69.3
2015-11-04,69.55
2015-11-05,66.25
2015-11-06,67.7
2015-11-09,69.55
2015-11-10,69.05
2015-11-11,70.95
2015-11-13,69.25
2015-11-16,68.8
2015-11-17,68.0
2015-11-18,69.3
2015-11-19,77.25
2015-11-20,75.45
2015-11-23,76.1
2015-11-24,75.1
2015-11-26,75.95
2015-11-27,74.95
2015-11-30,83.25
2015-12-01,85.85
2015-12-02,81.95
2015-12-03,80.85
2015-12-04,82.3
2015-12-07,83.6
2015-12-08,81.4
2015-12-09,74.6
2015-12-10,78.75
2015-12-11,83.85
2015-12-14,82.75
2015-12-15,81.3
2015-12-16,80.7
2015-12-17,81.25
2015-12-18,82.7
2015-12-21,81.15
2015-12-22,80.6
2015-12-23,80.4
2015-12-24,90.1
2015-12-28,91.05
2015-12-29,88.4
2015-12-30,86.8
2015-12-31,87.15
