Date,MIC
2015-01-01,8.1
2015-01-02,8.5
2015-01-05,8.85
2015-01-06,9.25
2015-01-07,9.7
2015-01-08,10.15
2015-01-09,10.65
2015-01-12,10.15
2015-01-13,9.8
2015-01-14,10.25
2015-01-15,9.75
2015-01-16,9.3
2015-01-19,9.4
2015-01-20,9.4
2015-01-21,9.0
2015-01-22,8.95
2015-01-23,8.7
2015-01-27,8.9
2015-01-28,8.5
2015-01-29,8.1
2015-01-30,8.0
2015-02-02,8.4
2015-02-03,8.8
2015-02-04,9.2
2015-02-05,9.2
2015-02-06,9.2
2015-02-09,9.1
2015-02-10,9.05
2015-02-11,9.3
2015-02-12,9.2
2015-02-13,9.35
2015-02-16,9.35
2015-02-18,9.15
2015-02-19,9.1
2015-02-20,9.2
2015-02-23,9.0
2015-02-24,9.0
2015-02-25,8.8
2015-02-26,8.9
2015-02-27,8.95
2015-02-28,8.75
2015-03-02,8.65
2015-03-03,8.6
2015-03-04,8.2
2015-03-05,7.95
2015-03-09,7.5
2015-03-10,8.65
2015-03-11,8.45
2015-03-12,9.25
2015-03-13,9.05
2015-03-16,8.95
2015-03-17,8.55
2015-03-18,8.8
2015-03-19,8.35
2015-03-20,7.95
2015-03-23,7.9
2015-03-24,7.65
2015-03-25,7.7
2015-03-26,7.8
2015-03-27,7.6
2015-03-30,7.85
2015-03-31,7.65
2015-04-01,9.05
2015-04-06,8.7
2015-04-07,8.6
2015-04-08,9.2
2015-04-09,9.55
2015-04-10,10.15
2015-04-13,11.5
2015-04-15,11.15
2015-04-16,10.6
2015-04-17,10.35
2015-04-20,11.15
2015-04-21,13.35
2015-04-22,12.75
2015-04-23,12.15
2015-04-24,12.55
2015-04-27,12.1
2015-04-28,11.9
2015-04-29,12.0
2015-04-30,11.95
2015-05-04,12.15
2015-05-05,12.6
2015-05-06,12.05
2015-05-07,11.55
2015-05-08,11.8
2015-05-11,12.2
2015-05-12,12.25
2015-05-13,12.4
2015-05-14,12.45
2015-05-15,12.65
2015-05-18,13.15
2015-05-19,12.75
2015-05-20,12.9
2015-05-21,12.75
2015-05-22,12.6
2015-05-25,12.2
2015-05-26,12.05
2015-05-27,12.0
2015-05-28,12.15
2015-05-29,12.2
2015-06-01,12.5
2015-06-02,12.35
2015-06-03,11.45
2015-06-04,10.85
2015-06-05,11.05
2015-06-08,12.35
2015-06-09,11.8
2015-06-10,12.2
2015-06-11,12.1
2015-06-12,12.2
2015-06-15,12.4
2015-06-16,12.2
2015-06-17,12.75
2015-06-18,13.2
2015-06-19,13.2
2015-06-22,14.85
2015-06-23,15.2
2015-06-24,16.2
2015-06-25,17.4
2015-06-26,17.0
2015-06-29,18.0
2015-06-30,20.2
2015-07-01,22.2
2015-07-02,21.7
2015-07-03,21.5
2015-07-06,23.65
2015-07-07,26.0
2015-07-08,27.3
2015-07-09,28.6
2015-07-10,27.2
2015-07-13,25.85
2015-07-14,24.6
2015-07-15,23.4
2015-07-16,22.35
2015-07-17,22.9
2015-07-20,24.0
2015-07-21,25.1
2015-07-22,25.55
2015-07-23,24.3
2015-07-24,23.15
2015-07-27,24.3
2015-07-28,25.5
2015-07-29,26.75
2015-07-30,28.05
2015-07-31,28.45
2015-08-03,27.1
2015-08-04,26.35
2015-08-05,27.45
2015-08-06,26.55
2015-08-07,26.65
2015-08-10,26.55
2015-08-11,25.95
2015-08-12,25.25
2015-08-13,23.95
2015-08-14,26.3
2015-08-17,27.6
2015-08-18,27.2
2015-08-19,26.45
2015-08-20,26.6
2015-08-21,27.8
2015-08-24,25.05
2015-08-25,22.55
2015-08-26,21.05
2015-08-27,23.15
2015-08-28,24.25
2015-08-31,25.45
2015-09-01,23.95
2015-09-02,23.35
2015-09-03,23.85
2015-09-04,22.9
2015-09-07,22.1
2015-09-08,22.15
2015-09-09,22.8
2015-09-10,23.65
2015-09-11,23.0
2015-09-14,22.85
2015-09-15,22.65
2015-09-16,22.35
2015-09-18,22.55
2015-09-21,22.7
2015-09-22,21.45
2015-09-23,21.25
2015-09-24,21.65
2015-09-28,20.95
2015-09-29,19.9
2015-09-30,19.85
2015-10-01,18.0
2015-10-05,16.2
2015-10-06,19.4
2015-10-07,21.45
2015-10-08,20.65
2015-10-09,20.9
2015-10-12,20.35
2015-10-13,19.6
2015-10-14,20.35
2015-10-15,19.95
2015-10-16,19.3
2015-10-19,20.15
2015-10-20,20.15
2015-10-21,20.05
2015-10-23,19.9
2015-10-26,20.05
2015-10-27,19.9
2015-10-28,19.75
2015-10-29,19.7
2015-10-30,19.8
2015-11-02,19.8
2015-11-03,20.75
2015-11-04,23.25
2015-11-05,22.55
2015-11-06,22.4
2015-11-09,23.5
2015-11-10,24.2
2015-11-11,24.75
2015-11-13,23.85
2015-11-16,23.9
2015-11-17,23.9
2015-11-18,23.05
2015-11-19,23.35
2015-11-20,23.3
2015-11-23,22.85
2015-11-24,22.4
2015-11-26,23.0
2015-11-27,23.05
2015-11-30,22.35
2015-12-01,22.6
2015-12-02,23.8
2015-12-03,23.55
2015-12-04,22.75
2015-12-07,22.6
2015-12-08,21.9
2015-12-09,20.7
2015-12-10,23.9
2015-12-11,22.65
2015-12-14,22.55
2015-12-15,22.35
2015-12-16,23.2
2015-12-17,23.45
2015-12-18,23.25
2015-12-21,22.95
2015-12-22,23.3
2015-12-23,23.45
2015-12-24,23.45
2015-12-28,25.9
2015-12-29,24.25
2015-12-30,24.15
2015-12-31,23.95
