Date,RAMCOSYS
2015-01-01,466.7
2015-01-02,459.35
2015-01-05,455.0
2015-01-06,444.0
2015-01-07,437.9
2015-01-08,440.5
2015-01-09,439.0
2015-01-12,441.95
2015-01-13,443.65
2015-01-14,435.4
2015-01-15,455.45
2015-01-16,451.85
2015-01-19,451.15
2015-01-20,449.95
2015-01-21,436.6
2015-01-22,436.8
2015-01-23,430.8
2015-01-27,455.35
2015-01-28,446.25
2015-01-29,446.25
2015-01-30,444.5
2015-02-02,445.55
2015-02-03,467.25
2015-02-04,462.0
2015-02-05,529.0
2015-02-06,519.9
2015-02-09,487.3
2015-02-10,509.75
2015-02-11,524.8
2015-02-12,539.55
2015-02-13,560.35
2015-02-16,555.15
2015-02-18,601.45
2015-02-19,616.95
2015-02-20,617.8
2015-02-23,606.0
2015-02-24,582.4
2015-02-25,610.4
2015-02-26,601.2
2015-02-27,632.35
2015-02-28,618.1
2015-03-02,627.95
2015-03-03,684.3
2015-03-04,664.45
2015-03-05,695.8
2015-03-09,683.15
2015-03-10,673.3
2015-03-11,667.3
2015-03-12,675.3
2015-03-13,654.05
2015-03-16,642.6
2015-03-17,666.2
2015-03-18,700.95
2015-03-19,716.4
2015-03-20,678.6
2015-03-23,655.2
2015-03-24,656.35
2015-03-25,664.15
2015-03-26,643.35
2015-03-27,634.75
2015-03-30,668.1
2015-03-31,644.45
2015-04-01,647.6
2015-04-06,639.15
2015-04-07,639.25
2015-04-08,649.35
2015-04-09,655.6
2015-04-10,664.5
2015-04-13,691.9
2015-04-15,697.1
2015-04-16,695.05
2015-04-17,680.0
2015-04-20,663.0
2015-04-21,633.75
2015-04-22,628.45
2015-04-23,702.7
2015-04-24,647.8
2015-04-27,620.8
2015-04-28,623.2
2015-04-29,625.55
2015-04-30,623.7
2015-05-04,623.2
2015-05-05,645.45
2015-05-06,604.05
2015-05-07,592.75
2015-05-08,612.1
2015-05-11,616.2
2015-05-12,600.95
2015-05-13,602.25
2015-05-14,613.0
2015-05-15,624.15
2015-05-18,634.25
2015-05-19,638.5
2015-05-20,640.9
2015-05-21,642.25
2015-05-22,636.95
2015-05-25,630.3
2015-05-26,633.6
2015-05-27,641.4
2015-05-28,641.05
2015-05-29,665.65
2015-06-01,675.05
2015-06-02,673.6
2015-06-03,652.4
2015-06-04,627.6
2015-06-05,627.1
2015-06-08,631.85
2015-06-09,621.8
2015-06-10,630.3
2015-06-11,629.3
2015-06-12,622.45
2015-06-15,627.1
2015-06-16,626.35
2015-06-17,630.05
2015-06-18,661.65
2015-06-19,666.85
2015-06-22,701.15
2015-06-23,701.45
2015-06-24,735.7
2015-06-25,730.9
2015-06-26,720.6
2015-06-29,701.4
2015-06-30,792.25
2015-07-01,781.55
2015-07-02,937.85
2015-07-03,926.15
2015-07-06,966.95
2015-07-07,936.85
2015-07-08,895.3
2015-07-09,882.4
2015-07-10,878.65
2015-07-13,874.85
2015-07-14,921.65
2015-07-15,939.15
2015-07-16,956.7
2015-07-17,921.35
2015-07-20,949.95
2015-07-21,957.8
2015-07-22,997.8
2015-07-23,974.75
2015-07-24,1005.0
2015-07-27,982.7
2015-07-28,991.55
2015-07-29,973.6
2015-07-30,975.5
2015-07-31,952.9
2015-08-03,988.35
2015-08-04,1065.3
2015-08-05,1043.1
2015-08-06,968.2
2015-08-07,970.3
2015-08-10,971.4
2015-08-11,955.7
2015-08-12,925.65
2015-08-13,903.95
2015-08-14,898.5
2015-08-17,914.25
2015-08-18,942.75
2015-08-19,957.3
2015-08-20,909.9
2015-08-21,930.2
2015-08-24,771.55
2015-08-25,715.4
2015-08-26,782.1
2015-08-27,807.55
2015-08-28,761.65
2015-08-31,772.65
2015-09-01,746.8
2015-09-02,723.7
2015-09-03,754.35
2015-09-04,726.8
2015-09-07,676.5
2015-09-08,698.3
2015-09-09,719.1
2015-09-10,726.95
2015-09-11,726.3
2015-09-14,735.3
2015-09-15,717.8
2015-09-16,715.0
2015-09-18,742.3
2015-09-21,741.1
2015-09-22,755.1
2015-09-23,752.65
2015-09-24,752.45
2015-09-28,748.9
2015-09-29,738.85
2015-09-30,755.9
2015-10-01,754.6
2015-10-05,768.05
2015-10-06,728.8
2015-10-07,757.7
2015-10-08,752.45
2015-10-09,778.5
2015-10-12,811.4
2015-10-13,791.85
2015-10-14,788.9
2015-10-15,779.35
2015-10-16,781.75
2015-10-19,798.25
2015-10-20,819.9
2015-10-21,806.2
2015-10-23,793.9
2015-10-26,777.9
2015-10-27,776.8
2015-10-28,772.8
2015-10-29,776.1
2015-10-30,757.2
2015-11-02,754.2
2015-11-03,784.85
2015-11-04,767.8
2015-11-05,765.4
2015-11-06,759.55
2015-11-09,799.95
2015-11-10,771.15
2015-11-11,782.9
2015-11-13,765.7
2015-11-16,760.25
2015-11-17,745.55
2015-11-18,753.1
2015-11-19,767.4
2015-11-20,797.0
2015-11-23,791.9
2015-11-24,798.55
2015-11-26,789.3
2015-11-27,773.5
2015-11-30,781.4
2015-12-01,782.0
2015-12-02,788.55
2015-12-03,825.55
2015-12-04,795.65
2015-12-07,778.25
2015-12-08,766.6
2015-12-09,769.5
2015-12-10,792.8
2015-12-11,768.55
2015-12-14,755.05
2015-12-15,764.65
2015-12-16,762.85
2015-12-17,785.2
2015-12-18,784.95
2015-12-21,774.05
2015-12-22,764.7
2015-12-23,764.5
2015-12-24,782.2
2015-12-28,792.35
2015-12-29,818.65
2015-12-30,793.7
2015-12-31,795.05
