Date,SUZLON
2015-01-01,14.55
2015-01-02,14.85
2015-01-05,14.85
2015-01-06,14.1
2015-01-07,15.4
2015-01-08,15.25
2015-01-09,14.75
2015-01-12,15.7
2015-01-13,15.2
2015-01-14,14.95
2015-01-15,15.0
2015-01-16,16.1
2015-01-19,17.5
2015-01-20,17.65
2015-01-21,17.2
2015-01-22,16.0
2015-01-23,14.85
2015-01-27,15.25
2015-01-28,16.15
2015-01-29,16.5
2015-01-30,16.2
2015-02-02,16.65
2015-02-03,17.1
2015-02-04,17.5
2015-02-05,17.05
2015-02-06,16.7
2015-02-09,17.55
2015-02-10,17.55
2015-02-11,17.75
2015-02-12,19.2
2015-02-13,19.2
2015-02-16,23.0
2015-02-18,26.75
2015-02-19,25.0
2015-02-20,25.55
2015-02-23,25.25
2015-02-24,26.25
2015-02-25,26.05
2015-02-26,25.75
2015-02-27,27.8
2015-02-28,27.25
2015-03-02,27.45
2015-03-03,26.95
2015-03-04,25.25
2015-03-05,26.45
2015-03-09,26.95
2015-03-10,26.65
2015-03-11,25.45
2015-03-12,27.05
2015-03-13,26.25
2015-03-16,26.0
2015-03-17,26.6
2015-03-18,29.5
2015-03-19,28.65
2015-03-20,27.0
2015-03-23,27.3
2015-03-24,26.95
2015-03-25,26.6
2015-03-26,26.3
2015-03-27,26.75
2015-03-30,27.6
2015-03-31,27.35
2015-04-01,26.45
2015-04-06,27.6
2015-04-07,29.4
2015-04-08,28.45
2015-04-09,29.15
2015-04-10,28.25
2015-04-13,28.2
2015-04-15,28.3
2015-04-16,27.85
2015-04-17,27.65
2015-04-20,26.4
2015-04-21,26.0
2015-04-22,25.75
2015-04-23,25.7
2015-04-24,24.55
2015-04-27,22.9
2015-04-28,24.0
2015-04-29,23.95
2015-04-30,23.8
2015-05-04,24.7
2015-05-05,24.05
2015-05-06,23.0
2015-05-07,23.0
2015-05-08,24.05
2015-05-11,24.35
2015-05-12,23.3
2015-05-13,23.95
2015-05-14,24.15
2015-05-15,25.55
2015-05-18,26.15
2015-05-19,26.15
2015-05-20,25.75
2015-05-21,25.25
2015-05-22,25.0
2015-05-25,24.75
2015-05-26,25.15
2015-05-27,25.05
2015-05-28,25.35
2015-05-29,25.2
2015-06-01,23.9
2015-06-02,22.9
2015-06-03,20.85
2015-06-04,21.35
2015-06-05,21.35
2015-06-08,20.5
2015-06-09,20.45
2015-06-10,20.65
2015-06-11,21.25
2015-06-12,21.8
2015-06-15,22.0
2015-06-16,21.75
2015-06-17,21.75
2015-06-18,22.45
2015-06-19,22.9
2015-06-22,24.15
2015-06-23,23.55
2015-06-24,22.55
2015-06-25,22.6
2015-06-26,22.0
2015-06-29,21.45
2015-06-30,22.2
2015-07-01,23.15
2015-07-02,22.65
2015-07-03,22.25
2015-07-06,22.4
2015-07-07,22.15
2015-07-08,21.7
2015-07-09,23.1
2015-07-10,23.2
2015-07-13,23.2
2015-07-14,22.7
2015-07-15,22.55
2015-07-16,23.05
2015-07-17,23.2
2015-07-20,23.35
2015-07-21,21.9
2015-07-22,22.05
2015-07-23,21.8
2015-07-24,21.9
2015-07-27,21.4
2015-07-28,20.7
2015-07-29,21.3
2015-07-30,21.9
2015-07-31,21.9
2015-08-03,24.4
2015-08-04,24.4
2015-08-05,27.0
2015-08-06,25.95
2015-08-07,25.15
2015-08-10,24.65
2015-08-11,23.6
2015-08-12,23.95
2015-08-13,24.35
2015-08-14,24.6
2015-08-17,23.7
2015-08-18,23.75
2015-08-19,24.75
2015-08-20,24.95
2015-08-21,24.45
2015-08-24,21.3
2015-08-25,21.85
2015-08-26,21.6
2015-08-27,22.3
2015-08-28,22.1
2015-08-31,22.1
2015-09-01,21.4
2015-09-02,21.45
2015-09-03,22.0
2015-09-04,20.85
2015-09-07,19.85
2015-09-08,20.1
2015-09-09,21.9
2015-09-10,21.7
2015-09-11,22.05
2015-09-14,22.25
2015-09-15,21.3
2015-09-16,21.2
2015-09-18,21.35
2015-09-21,21.65
2015-09-22,20.7
2015-09-23,20.3
2015-09-24,20.4
2015-09-28,20.2
2015-09-29,20.2
2015-09-30,20.85
2015-10-01,21.25
2015-10-05,21.7
2015-10-06,22.25
2015-10-07,22.5
2015-10-08,22.15
2015-10-09,23.9
2015-10-12,23.7
2015-10-13,23.55
2015-10-14,23.85
2015-10-15,24.8
2015-10-16,24.05
2015-10-19,23.85
2015-10-20,24.5
2015-10-21,23.95
2015-10-23,23.1
2015-10-26,23.85
2015-10-27,23.5
2015-10-28,23.3
2015-10-29,24.05
2015-10-30,24.6
2015-11-02,24.3
2015-11-03,23.0
2015-11-04,22.6
2015-11-05,21.65
2015-11-06,21.6
2015-11-09,21.65
2015-11-10,21.45
2015-11-11,22.2
2015-11-13,22.35
2015-11-16,22.2
2015-11-17,21.8
2015-11-18,21.6
2015-11-19,21.7
2015-11-20,22.1
2015-11-23,22.0
2015-11-24,22.15
2015-11-26,21.95
2015-11-27,21.65
2015-11-30,21.7
2015-12-01,22.7
2015-12-02,22.25
2015-12-03,22.25
2015-12-04,22.25
2015-12-07,21.9
2015-12-08,21.35
2015-12-09,20.7
2015-12-10,21.15
2015-12-11,20.85
2015-12-14,21.0
2015-12-15,20.7
2015-12-16,20.5
2015-12-17,21.1
2015-12-18,21.25
2015-12-21,21.3
2015-12-22,21.0
2015-12-23,20.75
2015-12-24,20.85
2015-12-28,21.05
2015-12-29,20.8
2015-12-30,20.75
2015-12-31,20.85
