Date,VESUVIUS
2015-01-01,706.9
2015-01-02,711.35
2015-01-05,715.9
2015-01-06,696.95
2015-01-07,700.2
2015-01-08,705.5
2015-01-09,710.4
2015-01-12,699.05
2015-01-13,701.5
2015-01-14,699.65
2015-01-15,700.0
2015-01-16,696.25
2015-01-19,699.95
2015-01-20,712.0
2015-01-21,702.1
2015-01-22,692.7
2015-01-23,709.85
2015-01-27,711.85
2015-01-28,711.4
2015-01-29,693.2
2015-01-30,718.8
2015-02-02,716.95
2015-02-03,704.85
2015-02-04,704.35
2015-02-05,711.55
2015-02-06,702.6
2015-02-09,690.8
2015-02-10,700.05
2015-02-11,711.7
2015-02-12,710.25
2015-02-13,708.1
2015-02-16,705.9
2015-02-18,700.55
2015-02-19,718.8
2015-02-20,735.75
2015-02-23,748.55
2015-02-24,767.75
2015-02-25,724.6
2015-02-26,692.85
2015-02-27,701.3
2015-02-28,707.15
2015-03-02,710.05
2015-03-03,703.95
2015-03-04,701.0
2015-03-05,700.6
2015-03-09,696.0
2015-03-10,693.05
2015-03-11,714.9
2015-03-12,711.85
2015-03-13,701.3
2015-03-16,705.05
2015-03-17,696.1
2015-03-18,709.65
2015-03-19,702.4
2015-03-20,700.95
2015-03-23,687.9
2015-03-24,686.4
2015-03-25,682.6
2015-03-26,673.05
2015-03-27,674.05
2015-03-30,692.9
2015-03-31,712.9
2015-04-01,715.55
2015-04-06,718.8
2015-04-07,748.35
2015-04-08,746.3
2015-04-09,763.2
2015-04-10,767.1
2015-04-13,794.85
2015-04-15,787.65
2015-04-16,783.2
2015-04-17,756.8
2015-04-20,770.9
2015-04-21,772.35
2015-04-22,796.6
2015-04-23,792.7
2015-04-24,789.7
2015-04-27,738.6
2015-04-28,739.55
2015-04-29,721.05
2015-04-30,737.25
2015-05-04,756.3
2015-05-05,751.4
2015-05-06,714.4
2015-05-07,720.6
2015-05-08,709.45
2015-05-11,721.45
2015-05-12,719.85
2015-05-13,708.4
2015-05-14,710.2
2015-05-15,709.7
2015-05-18,722.4
2015-05-19,729.45
2015-05-20,729.15
2015-05-21,742.4
2015-05-22,743.2
2015-05-25,733.1
2015-05-26,736.35
2015-05-27,731.05
2015-05-28,727.15
2015-05-29,723.5
2015-06-01,701.05
2015-06-02,699.95
2015-06-03,681.65
2015-06-04,669.55
2015-06-05,681.45
2015-06-08,658.9
2015-06-09,661.2
2015-06-10,666.25
2015-06-11,674.2
2015-06-12,684.45
2015-06-15,680.75
2015-06-16,682.1
2015-06-17,686.0
2015-06-18,688.05
2015-06-19,685.85
2015-06-22,692.2
2015-06-23,697.65
2015-06-24,685.6
2015-06-25,694.35
2015-06-26,696.65
2015-06-29,679.9
2015-06-30,692.2
2015-07-01,693.25
2015-07-02,698.0
2015-07-03,685.3
2015-07-06,685.3
2015-07-07,686.2
2015-07-08,693.3
2015-07-09,688.95
2015-07-10,686.85
2015-07-13,692.15
2015-07-14,689.0
2015-07-15,692.15
2015-07-16,698.95
2015-07-17,700.1
2015-07-20,696.8
2015-07-21,685.0
2015-07-22,693.0
2015-07-23,686.5
2015-07-24,684.9
2015-07-27,689.3
2015-07-28,689.8
2015-07-29,728.3
2015-07-30,745.2
2015-07-31,769.75
2015-08-03,762.35
2015-08-04,750.4
2015-08-05,761.65
2015-08-06,755.55
2015-08-07,770.8
2015-08-10,757.55
2015-08-11,746.15
2015-08-12,743.5
2015-08-13,721.05
2015-08-14,734.95
2015-08-17,742.05
2015-08-18,752.35
2015-08-19,745.2
2015-08-20,732.65
2015-08-21,727.3
2015-08-24,670.4
2015-08-25,682.05
2015-08-26,666.95
2015-08-27,692.75
2015-08-28,669.5
2015-08-31,663.1
2015-09-01,645.3
2015-09-02,648.5
2015-09-03,655.55
2015-09-04,664.45
2015-09-07,649.55
2015-09-08,641.9
2015-09-09,646.0
2015-09-10,656.4
2015-09-11,680.65
2015-09-14,684.05
2015-09-15,653.45
2015-09-16,655.25
2015-09-18,665.25
2015-09-21,668.35
2015-09-22,665.0
2015-09-23,674.95
2015-09-24,666.05
2015-09-28,675.5
2015-09-29,664.0
2015-09-30,663.65
2015-10-01,661.95
2015-10-05,673.45
2015-10-06,660.45
2015-10-07,662.6
2015-10-08,675.7
2015-10-09,674.95
2015-10-12,668.8
2015-10-13,663.45
2015-10-14,666.75
2015-10-15,671.0
2015-10-16,670.25
2015-10-19,675.95
2015-10-20,684.1
2015-10-21,714.55
2015-10-23,711.0
2015-10-26,691.6
2015-10-27,693.3
2015-10-28,685.05
2015-10-29,698.6
2015-10-30,703.7
2015-11-02,711.0
2015-11-03,717.7
2015-11-04,725.75
2015-11-05,724.7
2015-11-06,737.1
2015-11-09,763.55
2015-11-10,754.8
2015-11-11,755.45
2015-11-13,746.7
2015-11-16,731.4
2015-11-17,737.5
2015-11-18,723.35
2015-11-19,722.45
2015-11-20,744.5
2015-11-23,750.0
2015-11-24,746.1
2015-11-26,756.95
2015-11-27,751.9
2015-11-30,755.5
2015-12-01,749.8
2015-12-02,751.15
2015-12-03,750.0
2015-12-04,756.75
2015-12-07,764.45
2015-12-08,751.25
2015-12-09,750.0
2015-12-10,753.4
2015-12-11,750.05
2015-12-14,753.85
2015-12-15,752.3
2015-12-16,752.1
2015-12-17,743.5
2015-12-18,754.85
2015-12-21,768.5
2015-12-22,750.9
2015-12-23,769.9
2015-12-24,774.95
2015-12-28,799.65
2015-12-29,834.55
2015-12-30,831.2
2015-12-31,799.35
