Date,CEREBRAINT
2015-01-01,9.45
2015-01-02,9.5
2015-01-05,10.0
2015-01-06,11.25
2015-01-07,13.1
2015-01-08,13.15
2015-01-09,12.5
2015-01-12,13.0
2015-01-13,13.3
2015-01-14,13.3
2015-01-15,13.55
2015-01-16,13.6
2015-01-19,14.05
2015-01-20,14.55
2015-01-21,14.25
2015-01-22,14.15
2015-01-23,14.75
2015-01-27,15.45
2015-01-28,14.95
2015-01-29,15.3
2015-01-30,15.95
2015-02-02,17.15
2015-02-03,18.5
2015-02-04,18.0
2015-02-05,17.5
2015-02-06,16.85
2015-02-09,16.6
2015-02-10,16.5
2015-02-11,17.2
2015-02-12,17.7
2015-02-13,17.5
2015-02-16,17.7
2015-02-18,17.55
2015-02-19,17.35
2015-02-20,17.15
2015-02-23,16.95
2015-02-24,16.55
2015-02-25,15.75
2015-02-26,16.45
2015-02-27,16.85
2015-02-28,16.2
2015-03-02,16.25
2015-03-03,15.5
2015-03-04,15.7
2015-03-05,15.7
2015-03-09,15.5
2015-03-10,15.55
2015-03-11,15.85
2015-03-12,15.6
2015-03-13,16.1
2015-03-16,16.25
2015-03-17,17.75
2015-03-18,17.35
2015-03-19,17.3
2015-03-20,17.3
2015-03-23,16.95
2015-03-24,17.0
2015-03-25,16.5
2015-03-26,15.9
2015-03-27,15.0
2015-03-30,16.35
2015-03-31,15.35
2015-04-01,14.8
2015-04-06,16.0
2015-04-07,15.85
2015-04-08,16.3
2015-04-09,16.3
2015-04-10,15.75
2015-04-13,16.0
2015-04-15,15.6
2015-04-16,15.0
2015-04-17,15.0
2015-04-20,14.45
2015-04-21,14.5
2015-04-22,14.6
2015-04-23,14.1
2015-04-24,14.05
2015-04-27,13.25
2015-04-28,13.8
2015-04-29,13.8
2015-04-30,13.5
2015-05-04,13.85
2015-05-05,14.0
2015-05-06,14.25
2015-05-07,13.95
2015-05-08,14.8
2015-05-11,15.25
2015-05-12,14.8
2015-05-13,14.95
2015-05-14,14.8
2015-05-15,14.5
2015-05-18,14.0
2015-05-19,13.7
2015-05-20,13.9
2015-05-21,12.6
2015-05-22,13.05
2015-05-25,12.6
2015-05-26,12.7
2015-05-27,12.5
2015-05-28,12.95
2015-05-29,12.95
2015-06-01,12.0
2015-06-02,11.8
2015-06-03,11.75
2015-06-04,11.95
2015-06-05,10.85
2015-06-08,10.55
2015-06-09,10.45
2015-06-10,10.2
2015-06-11,9.5
2015-06-12,10.5
2015-06-15,11.05
2015-06-16,10.75
2015-06-17,10.8
2015-06-18,10.9
2015-06-19,11.1
2015-06-22,11.05
2015-06-23,11.1
2015-06-24,10.8
2015-06-25,11.25
2015-06-26,10.5
2015-06-29,10.9
2015-06-30,10.95
2015-07-01,10.8
2015-07-02,10.65
2015-07-03,10.9
2015-07-06,11.9
2015-07-07,11.8
2015-07-08,11.7
2015-07-09,12.2
2015-07-10,12.3
2015-07-13,13.6
2015-07-14,13.45
2015-07-15,13.5
2015-07-16,13.5
2015-07-17,13.65
2015-07-20,13.2
2015-07-21,12.3
2015-07-22,12.7
2015-07-23,12.65
2015-07-24,12.75
2015-07-27,12.7
2015-07-28,14.9
2015-07-29,14.8
2015-07-30,14.75
2015-07-31,13.95
2015-08-03,14.1
2015-08-04,14.45
2015-08-05,14.35
2015-08-06,13.55
2015-08-07,12.75
2015-08-10,12.5
2015-08-11,13.8
2015-08-12,14.15
2015-08-13,14.05
2015-08-14,14.4
2015-08-17,14.15
2015-08-18,14.05
2015-08-19,14.0
2015-08-20,13.7
2015-08-21,13.55
2015-08-24,11.4
2015-08-25,11.55
2015-08-26,12.05
2015-08-27,12.7
2015-08-28,14.2
2015-08-31,14.05
2015-09-01,13.85
2015-09-02,13.95
2015-09-03,14.15
2015-09-04,13.75
2015-09-07,13.7
2015-09-08,13.45
2015-09-09,13.05
2015-09-10,13.2
2015-09-11,13.05
2015-09-14,12.95
2015-09-15,13.1
2015-09-16,13.15
2015-09-18,13.35
2015-09-21,13.2
2015-09-22,13.25
2015-09-23,13.2
2015-09-24,13.2
2015-09-28,12.75
2015-09-29,13.0
2015-09-30,13.0
2015-10-01,12.8
2015-10-05,13.05
2015-10-06,14.3
2015-10-07,13.85
2015-10-08,14.05
2015-10-09,13.8
2015-10-12,16.45
2015-10-13,17.05
2015-10-14,18.1
2015-10-15,16.8
2015-10-16,17.6
2015-10-19,17.8
2015-10-20,17.85
2015-10-21,18.0
2015-10-23,18.75
2015-10-26,19.55
2015-10-27,19.3
2015-10-28,19.25
2015-10-29,19.5
2015-10-30,19.05
2015-11-02,19.05
2015-11-03,19.7
2015-11-04,19.75
2015-11-05,20.2
2015-11-06,20.1
2015-11-09,24.1
2015-11-10,23.55
2015-11-11,24.8
2015-11-13,24.3
2015-11-16,25.15
2015-11-17,24.85
2015-11-18,25.3
2015-11-19,26.7
2015-11-20,26.05
2015-11-23,24.6
2015-11-24,24.8
2015-11-26,23.45
2015-11-27,24.0
2015-11-30,23.95
2015-12-01,24.05
2015-12-02,24.25
2015-12-03,24.05
2015-12-04,23.3
2015-12-07,24.65
2015-12-08,25.05
2015-12-09,23.6
2015-12-10,23.6
2015-12-11,23.1
2015-12-14,27.7
2015-12-15,26.55
2015-12-16,24.0
2015-12-17,23.25
2015-12-18,24.3
2015-12-21,21.55
2015-12-22,22.6
2015-12-23,22.65
2015-12-24,20.6
2015-12-28,20.9
2015-12-29,21.45
2015-12-30,21.2
2015-12-31,21.3
