Date,BANARBEADS
2015-01-01,45.15
2015-01-02,45.65
2015-01-05,45.25
2015-01-06,45.15
2015-01-07,44.85
2015-01-08,45.6
2015-01-09,45.65
2015-01-12,46.5
2015-01-13,45.7
2015-01-14,46.15
2015-01-15,44.25
2015-01-16,43.3
2015-01-19,44.95
2015-01-20,46.8
2015-01-21,45.15
2015-01-22,45.15
2015-01-23,40.65
2015-01-27,38.65
2015-01-28,40.0
2015-01-29,40.2
2015-01-30,42.55
2015-02-02,43.05
2015-02-03,42.95
2015-02-04,44.95
2015-02-05,43.1
2015-02-06,44.2
2015-02-09,43.35
2015-02-10,42.8
2015-02-11,44.95
2015-02-12,43.35
2015-02-13,41.75
2015-02-16,41.2
2015-02-18,40.95
2015-02-19,43.4
2015-02-20,42.35
2015-02-23,41.4
2015-02-24,41.25
2015-02-25,39.85
2015-02-26,39.05
2015-02-27,38.95
2015-03-02,37.75
2015-03-03,37.7
2015-03-04,37.0
2015-03-05,37.25
2015-03-09,39.95
2015-03-10,38.1
2015-03-11,40.0
2015-03-12,39.0
2015-03-13,39.5
2015-03-16,39.15
2015-03-17,37.65
2015-03-18,37.2
2015-03-19,36.3
2015-03-20,36.1
2015-03-23,34.3
2015-03-24,37.95
2015-03-25,33.75
2015-03-26,33.4
2015-03-27,32.5
2015-03-30,32.3
2015-03-31,33.05
2015-04-01,39.25
2015-04-06,39.35
2015-04-07,38.5
2015-04-08,38.0
2015-04-09,37.0
2015-04-10,39.1
2015-04-13,44.7
2015-04-15,44.35
2015-04-16,45.8
2015-04-17,42.55
2015-04-20,40.25
2015-04-21,40.55
2015-04-22,42.5
2015-04-23,44.0
2015-04-24,41.1
2015-04-27,38.65
2015-04-28,39.3
2015-04-29,37.7
2015-04-30,42.75
2015-05-04,42.7
2015-05-05,39.4
2015-05-06,37.9
2015-05-07,39.1
2015-05-08,38.75
2015-05-11,42.0
2015-05-12,38.2
2015-05-13,39.0
2015-05-14,40.0
2015-05-15,40.3
2015-05-18,41.45
2015-05-19,41.1
2015-05-20,41.85
2015-05-21,41.8
2015-05-22,41.95
2015-05-25,41.0
2015-05-26,37.15
2015-05-27,37.65
2015-05-28,35.55
2015-05-29,35.15
2015-06-01,32.35
2015-06-02,33.0
2015-06-03,31.0
2015-06-04,31.65
2015-06-05,30.65
2015-06-08,30.45
2015-06-09,29.8
2015-06-10,30.9
2015-06-11,30.0
2015-06-12,29.0
2015-06-15,29.0
2015-06-16,29.1
2015-06-17,30.6
2015-06-18,29.9
2015-06-19,31.95
2015-06-22,33.55
2015-06-23,32.5
2015-06-24,32.0
2015-06-25,34.1
2015-06-26,35.4
2015-06-29,35.55
2015-06-30,37.35
2015-07-01,36.0
2015-07-02,36.2
2015-07-03,35.35
2015-07-06,35.35
2015-07-07,34.6
2015-07-08,34.0
2015-07-09,35.7
2015-07-10,35.7
2015-07-13,35.0
2015-07-14,34.9
2015-07-15,35.05
2015-07-16,36.15
2015-07-17,36.0
2015-07-20,35.0
2015-07-21,33.8
2015-07-22,36.65
2015-07-24,34.55
2015-07-27,34.6
2015-07-28,33.05
2015-07-29,33.6
2015-07-30,35.05
2015-07-31,34.05
2015-08-03,34.95
2015-08-04,36.5
2015-08-05,34.6
2015-08-06,34.9
2015-08-07,34.25
2015-08-10,34.4
2015-08-11,35.2
2015-08-12,34.1
2015-08-13,33.0
2015-08-14,32.6
2015-08-17,32.1
2015-08-18,33.0
2015-08-19,32.15
2015-08-20,33.0
2015-08-21,32.0
2015-08-24,29.0
2015-08-25,28.75
2015-08-27,29.55
2015-08-28,28.6
2015-08-31,27.1
2015-09-01,28.25
2015-09-02,28.35
2015-09-03,28.7
2015-09-04,28.0
2015-09-07,31.75
2015-09-08,29.35
2015-09-09,29.0
2015-09-10,30.75
2015-09-11,31.25
2015-09-14,29.0
2015-09-15,31.45
2015-09-16,29.3
2015-09-18,28.9
2015-09-21,28.95
2015-09-22,31.3
2015-09-23,29.75
2015-09-24,29.5
2015-09-28,30.0
2015-09-29,30.0
2015-09-30,29.55
2015-10-01,29.95
2015-10-05,29.25
2015-10-06,29.5
2015-10-07,31.9
2015-10-08,32.1
2015-10-09,31.9
2015-10-12,33.0
2015-10-13,32.0
2015-10-15,33.4
2015-10-16,34.05
2015-10-19,33.9
2015-10-20,34.15
2015-10-23,32.9
2015-10-26,32.1
2015-10-29,34.35
2015-10-30,33.9
2015-11-02,32.45
2015-11-04,33.65
2015-11-05,32.55
2015-11-06,30.6
2015-11-09,32.65
2015-11-10,32.8
2015-11-11,33.3
2015-11-13,32.9
2015-11-16,31.5
2015-11-17,32.9
2015-11-18,31.05
2015-11-19,32.9
2015-11-20,39.45
2015-11-23,43.4
2015-11-24,52.05
2015-11-26,57.25
2015-11-27,62.9
2015-11-30,60.9
2015-12-01,60.1
2015-12-02,55.95
2015-12-03,53.5
2015-12-04,51.55
2015-12-07,50.8
2015-12-08,48.2
2015-12-09,45.55
2015-12-10,44.7
2015-12-11,45.5
2015-12-14,43.65
2015-12-15,44.65
2015-12-16,49.1
2015-12-17,54.0
2015-12-18,50.45
2015-12-21,48.9
2015-12-22,48.95
2015-12-23,48.9
2015-12-24,48.65
2015-12-28,49.0
2015-12-29,49.3
2015-12-30,48.85
2015-12-31,48.9
