Date,KIRLOSIND
2015-01-01,574.35
2015-01-02,580.0
2015-01-05,617.95
2015-01-06,601.45
2015-01-07,605.95
2015-01-08,606.75
2015-01-09,617.2
2015-01-12,601.1
2015-01-13,585.35
2015-01-14,578.0
2015-01-15,579.5
2015-01-16,575.05
2015-01-19,576.55
2015-01-20,599.95
2015-01-21,587.0
2015-01-22,585.7
2015-01-23,574.35
2015-01-27,599.0
2015-01-28,587.85
2015-01-29,578.1
2015-01-30,576.55
2015-02-02,558.6
2015-02-03,565.65
2015-02-04,606.55
2015-02-05,587.8
2015-02-06,571.3
2015-02-09,551.65
2015-02-10,550.95
2015-02-11,548.85
2015-02-12,541.8
2015-02-13,579.4
2015-02-16,552.85
2015-02-18,558.75
2015-02-19,548.4
2015-02-20,560.0
2015-02-23,550.0
2015-02-24,551.0
2015-02-25,558.5
2015-02-26,550.35
2015-02-27,547.0
2015-02-28,547.5
2015-03-02,578.9
2015-03-03,547.0
2015-03-04,542.2
2015-03-05,536.9
2015-03-09,549.5
2015-03-10,555.0
2015-03-11,539.4
2015-03-12,541.8
2015-03-13,532.6
2015-03-16,525.0
2015-03-17,551.95
2015-03-18,533.35
2015-03-19,527.5
2015-03-20,520.5
2015-03-23,505.2
2015-03-24,502.0
2015-03-25,515.35
2015-03-26,510.75
2015-03-27,508.65
2015-03-30,511.25
2015-03-31,527.8
2015-04-01,539.3
2015-04-06,540.95
2015-04-07,549.2
2015-04-08,550.05
2015-04-09,525.05
2015-04-10,544.25
2015-04-13,533.65
2015-04-15,537.4
2015-04-16,578.0
2015-04-17,556.95
2015-04-20,550.75
2015-04-21,555.8
2015-04-22,533.05
2015-04-23,524.4
2015-04-24,516.75
2015-04-27,507.15
2015-04-28,522.55
2015-04-29,510.7
2015-04-30,521.95
2015-05-04,537.25
2015-05-05,540.8
2015-05-06,511.25
2015-05-07,535.95
2015-05-08,539.85
2015-05-11,554.85
2015-05-12,560.4
2015-05-13,549.15
2015-05-14,541.6
2015-05-15,547.2
2015-05-18,538.0
2015-05-19,535.85
2015-05-20,573.0
2015-05-21,572.35
2015-05-22,567.05
2015-05-25,566.7
2015-05-26,571.75
2015-05-27,584.05
2015-05-28,582.5
2015-05-29,564.25
2015-06-01,567.75
2015-06-02,553.4
2015-06-03,548.4
2015-06-04,538.9
2015-06-05,540.65
2015-06-08,535.0
2015-06-09,547.25
2015-06-10,553.9
2015-06-11,535.85
2015-06-12,567.8
2015-06-15,540.85
2015-06-16,561.5
2015-06-17,554.65
2015-06-18,571.6
2015-06-19,556.35
2015-06-22,555.05
2015-06-23,574.0
2015-06-24,562.25
2015-06-25,568.25
2015-06-26,569.8
2015-06-29,552.65
2015-06-30,572.65
2015-07-01,578.4
2015-07-02,583.55
2015-07-03,593.2
2015-07-06,600.25
2015-07-07,585.65
2015-07-08,590.0
2015-07-09,599.75
2015-07-10,608.45
2015-07-13,614.0
2015-07-14,606.3
2015-07-15,609.7
2015-07-16,611.6
2015-07-17,625.15
2015-07-20,619.1
2015-07-21,609.75
2015-07-22,610.05
2015-07-23,618.35
2015-07-24,630.9
2015-07-27,658.0
2015-07-28,657.95
2015-07-29,675.15
2015-07-30,665.4
2015-07-31,674.2
2015-08-03,686.0
2015-08-04,710.25
2015-08-05,718.95
2015-08-06,712.0
2015-08-07,747.45
2015-08-10,739.75
2015-08-11,723.5
2015-08-12,719.1
2015-08-13,665.65
2015-08-14,652.8
2015-08-17,680.45
2015-08-18,701.1
2015-08-19,690.3
2015-08-20,664.8
2015-08-21,670.25
2015-08-24,596.15
2015-08-25,608.5
2015-08-26,605.4
2015-08-27,633.85
2015-08-28,610.4
2015-08-31,621.6
2015-09-01,589.5
2015-09-02,593.4
2015-09-03,584.75
2015-09-04,559.45
2015-09-07,546.8
2015-09-08,533.1
2015-09-09,551.5
2015-09-10,563.85
2015-09-11,552.4
2015-09-14,545.35
2015-09-15,544.6
2015-09-16,534.25
2015-09-18,553.15
2015-09-21,562.75
2015-09-22,563.95
2015-09-23,550.1
2015-09-24,560.85
2015-09-28,571.45
2015-09-29,575.7
2015-09-30,580.15
2015-10-01,585.0
2015-10-05,601.0
2015-10-06,615.0
2015-10-07,606.65
2015-10-08,607.5
2015-10-09,597.1
2015-10-12,598.85
2015-10-13,608.6
2015-10-14,596.6
2015-10-15,600.45
2015-10-16,598.85
2015-10-19,599.05
2015-10-20,599.5
2015-10-21,610.0
2015-10-23,596.65
2015-10-26,624.35
2015-10-27,639.9
2015-10-28,605.7
2015-10-29,605.6
2015-10-30,598.25
2015-11-02,600.55
2015-11-03,617.9
2015-11-04,621.55
2015-11-05,599.1
2015-11-06,606.3
2015-11-09,603.25
2015-11-10,622.75
2015-11-11,626.4
2015-11-13,644.35
2015-11-16,634.3
2015-11-17,621.0
2015-11-18,606.1
2015-11-19,621.0
2015-11-20,625.0
2015-11-23,610.0
2015-11-24,634.35
2015-11-26,602.5
2015-11-27,618.3
2015-11-30,617.75
2015-12-01,620.4
2015-12-02,621.8
2015-12-03,621.1
2015-12-04,620.6
2015-12-07,608.35
2015-12-08,608.0
2015-12-09,615.0
2015-12-10,617.2
2015-12-11,622.5
2015-12-14,602.15
2015-12-15,597.9
2015-12-16,598.1
2015-12-17,595.05
2015-12-18,600.25
2015-12-21,616.55
2015-12-22,619.25
2015-12-23,628.5
2015-12-24,629.0
2015-12-28,611.3
2015-12-29,615.15
2015-12-30,630.0
2015-12-31,648.3
