Date,PRATIBHA
2015-01-01,45.1
2015-01-02,45.55
2015-01-05,44.7
2015-01-06,42.35
2015-01-07,41.5
2015-01-08,43.8
2015-01-09,43.4
2015-01-12,42.55
2015-01-13,42.35
2015-01-14,41.8
2015-01-15,42.3
2015-01-16,41.6
2015-01-19,41.85
2015-01-20,42.1
2015-01-21,40.75
2015-01-22,39.7
2015-01-23,37.75
2015-01-27,38.35
2015-01-28,37.05
2015-01-29,38.7
2015-01-30,41.25
2015-02-02,41.9
2015-02-03,41.7
2015-02-04,44.75
2015-02-05,42.15
2015-02-06,42.35
2015-02-09,40.1
2015-02-10,40.5
2015-02-11,41.5
2015-02-12,43.2
2015-02-13,46.45
2015-02-16,43.85
2015-02-18,44.5
2015-02-19,43.55
2015-02-20,43.5
2015-02-23,43.45
2015-02-24,42.55
2015-02-25,43.35
2015-02-26,43.55
2015-02-27,45.35
2015-02-28,43.85
2015-03-02,45.15
2015-03-03,47.15
2015-03-04,47.35
2015-03-05,49.5
2015-03-09,50.15
2015-03-10,49.45
2015-03-11,49.2
2015-03-12,48.0
2015-03-13,47.0
2015-03-16,45.95
2015-03-17,44.85
2015-03-18,44.35
2015-03-19,43.35
2015-03-20,41.45
2015-03-23,40.15
2015-03-24,39.1
2015-03-25,37.9
2015-03-26,39.1
2015-03-27,38.6
2015-03-30,40.5
2015-03-31,41.85
2015-04-01,42.75
2015-04-06,43.9
2015-04-07,43.8
2015-04-08,44.15
2015-04-09,44.4
2015-04-10,44.7
2015-04-13,47.0
2015-04-15,45.75
2015-04-16,44.7
2015-04-17,43.9
2015-04-20,42.35
2015-04-21,42.0
2015-04-22,41.55
2015-04-23,41.25
2015-04-24,39.8
2015-04-27,39.0
2015-04-28,39.45
2015-04-29,39.9
2015-04-30,39.4
2015-05-04,41.45
2015-05-05,40.75
2015-05-06,39.15
2015-05-07,37.95
2015-05-08,38.8
2015-05-11,37.95
2015-05-12,36.55
2015-05-13,36.1
2015-05-14,36.55
2015-05-15,37.65
2015-05-18,37.45
2015-05-19,39.1
2015-05-20,40.4
2015-05-21,39.1
2015-05-22,38.3
2015-05-25,38.35
2015-05-26,38.0
2015-05-27,37.65
2015-05-28,38.4
2015-05-29,39.25
2015-06-01,41.35
2015-06-02,39.95
2015-06-03,37.8
2015-06-04,38.1
2015-06-05,37.2
2015-06-08,36.35
2015-06-09,36.65
2015-06-10,37.3
2015-06-11,36.3
2015-06-12,35.8
2015-06-15,35.4
2015-06-16,35.9
2015-06-17,36.35
2015-06-18,37.25
2015-06-19,36.85
2015-06-22,38.65
2015-06-23,38.8
2015-06-24,37.7
2015-06-25,39.4
2015-06-26,39.3
2015-06-29,38.65
2015-06-30,38.8
2015-07-01,39.55
2015-07-02,39.4
2015-07-03,39.35
2015-07-06,40.1
2015-07-07,40.55
2015-07-08,39.65
2015-07-09,39.45
2015-07-10,39.25
2015-07-13,39.5
2015-07-14,41.9
2015-07-15,41.1
2015-07-16,40.55
2015-07-17,39.95
2015-07-20,40.15
2015-07-21,38.95
2015-07-22,39.45
2015-07-23,40.1
2015-07-24,46.05
2015-07-27,45.65
2015-07-28,46.3
2015-07-29,49.4
2015-07-30,49.35
2015-07-31,47.55
2015-08-03,47.5
2015-08-04,50.85
2015-08-05,53.7
2015-08-06,52.05
2015-08-07,53.45
2015-08-10,53.9
2015-08-11,50.85
2015-08-12,47.45
2015-08-13,44.65
2015-08-14,49.4
2015-08-17,48.15
2015-08-18,48.05
2015-08-19,47.85
2015-08-20,45.85
2015-08-21,44.95
2015-08-24,39.25
2015-08-25,38.7
2015-08-26,39.7
2015-08-27,41.55
2015-08-28,41.05
2015-08-31,41.3
2015-09-01,38.85
2015-09-02,39.4
2015-09-03,39.55
2015-09-04,37.75
2015-09-07,36.25
2015-09-08,33.95
2015-09-09,34.8
2015-09-10,33.85
2015-09-11,34.0
2015-09-14,34.45
2015-09-15,33.9
2015-09-16,33.55
2015-09-18,34.05
2015-09-21,33.7
2015-09-22,34.05
2015-09-23,35.65
2015-09-24,35.6
2015-09-28,35.3
2015-09-29,35.15
2015-09-30,36.9
2015-10-01,37.1
2015-10-05,39.15
2015-10-06,42.3
2015-10-07,42.0
2015-10-08,40.6
2015-10-09,40.85
2015-10-12,40.35
2015-10-13,41.85
2015-10-14,41.75
2015-10-15,42.65
2015-10-16,43.05
2015-10-19,43.5
2015-10-20,43.9
2015-10-21,43.9
2015-10-23,43.95
2015-10-26,41.6
2015-10-27,40.35
2015-10-28,39.7
2015-10-29,39.25
2015-10-30,40.1
2015-11-02,40.0
2015-11-03,40.3
2015-11-04,39.15
2015-11-05,41.0
2015-11-06,39.9
2015-11-09,39.25
2015-11-10,39.5
2015-11-11,39.9
2015-11-13,39.6
2015-11-16,39.65
2015-11-17,40.6
2015-11-18,41.75
2015-11-19,43.05
2015-11-20,41.9
2015-11-23,41.65
2015-11-24,41.75
2015-11-26,44.85
2015-11-27,45.5
2015-11-30,47.05
2015-12-01,45.55
2015-12-02,45.4
2015-12-03,45.1
2015-12-04,44.25
2015-12-07,43.75
2015-12-08,41.4
2015-12-09,40.3
2015-12-10,41.15
2015-12-11,40.25
2015-12-14,41.45
2015-12-15,41.45
2015-12-16,41.6
2015-12-17,42.65
2015-12-18,44.4
2015-12-21,50.2
2015-12-22,47.8
2015-12-23,48.0
2015-12-24,46.9
2015-12-28,47.4
2015-12-29,46.3
2015-12-30,46.4
2015-12-31,45.9
