Date,SHALPAINTS
2015-01-01,153.65
2015-01-02,163.8
2015-01-05,158.45
2015-01-06,156.85
2015-01-07,157.05
2015-01-08,163.8
2015-01-09,162.0
2015-01-12,161.1
2015-01-13,168.25
2015-01-14,170.05
2015-01-15,165.8
2015-01-16,162.5
2015-01-19,162.95
2015-01-20,163.75
2015-01-21,164.25
2015-01-22,164.45
2015-01-23,161.6
2015-01-27,161.5
2015-01-28,162.05
2015-01-29,156.55
2015-01-30,155.15
2015-02-02,150.85
2015-02-03,150.35
2015-02-04,146.3
2015-02-05,143.15
2015-02-06,134.2
2015-02-09,128.8
2015-02-10,129.3
2015-02-11,131.3
2015-02-12,134.0
2015-02-13,134.6
2015-02-16,135.35
2015-02-18,139.55
2015-02-19,140.3
2015-02-20,142.5
2015-02-23,138.9
2015-02-24,139.2
2015-02-25,136.35
2015-02-26,131.4
2015-02-27,139.1
2015-02-28,143.45
2015-03-02,145.8
2015-03-03,144.9
2015-03-04,153.3
2015-03-05,161.3
2015-03-09,165.05
2015-03-10,164.0
2015-03-11,161.3
2015-03-12,159.9
2015-03-13,149.85
2015-03-16,149.45
2015-03-17,149.8
2015-03-18,156.9
2015-03-19,151.95
2015-03-20,147.15
2015-03-23,143.9
2015-03-24,136.8
2015-03-25,134.95
2015-03-26,134.05
2015-03-27,130.85
2015-03-30,136.65
2015-03-31,140.75
2015-04-01,145.35
2015-04-06,147.1
2015-04-07,145.35
2015-04-08,148.3
2015-04-09,144.0
2015-04-10,155.45
2015-04-13,154.9
2015-04-15,152.8
2015-04-16,149.4
2015-04-17,150.2
2015-04-20,142.15
2015-04-21,141.7
2015-04-22,142.15
2015-04-23,146.35
2015-04-24,137.8
2015-04-27,136.5
2015-04-28,138.4
2015-04-29,135.3
2015-04-30,135.85
2015-05-04,137.55
2015-05-05,138.7
2015-05-06,141.45
2015-05-07,132.3
2015-05-08,134.7
2015-05-11,135.75
2015-05-12,133.75
2015-05-13,133.15
2015-05-14,137.7
2015-05-15,137.3
2015-05-18,142.2
2015-05-19,142.1
2015-05-20,147.8
2015-05-21,145.7
2015-05-22,145.3
2015-05-25,145.2
2015-05-26,147.0
2015-05-27,144.25
2015-05-28,144.3
2015-05-29,137.75
2015-06-01,135.55
2015-06-02,129.85
2015-06-03,124.55
2015-06-04,121.25
2015-06-05,123.6
2015-06-08,119.65
2015-06-09,118.45
2015-06-10,120.3
2015-06-11,115.95
2015-06-12,112.35
2015-06-15,111.2
2015-06-16,109.35
2015-06-17,110.25
2015-06-18,114.0
2015-06-19,113.7
2015-06-22,114.9
2015-06-23,116.45
2015-06-24,127.6
2015-06-25,125.65
2015-06-26,123.55
2015-06-29,126.95
2015-06-30,124.05
2015-07-01,125.45
2015-07-02,124.85
2015-07-03,125.45
2015-07-06,127.1
2015-07-07,135.3
2015-07-08,137.6
2015-07-09,138.45
2015-07-10,136.5
2015-07-13,139.4
2015-07-14,138.8
2015-07-15,139.1
2015-07-16,140.3
2015-07-17,136.25
2015-07-20,138.9
2015-07-21,136.3
2015-07-22,135.25
2015-07-23,132.25
2015-07-24,132.55
2015-07-27,128.75
2015-07-28,128.6
2015-07-29,127.15
2015-07-30,128.55
2015-07-31,126.55
2015-08-03,130.75
2015-08-04,134.2
2015-08-05,138.0
2015-08-06,139.75
2015-08-07,138.8
2015-08-10,136.35
2015-08-11,135.2
2015-08-12,131.3
2015-08-13,130.8
2015-08-14,132.95
2015-08-17,133.15
2015-08-18,130.2
2015-08-19,128.85
2015-08-20,128.8
2015-08-21,125.65
2015-08-24,107.2
2015-08-25,110.5
2015-08-26,109.7
2015-08-27,111.25
2015-08-28,109.9
2015-08-31,112.2
2015-09-01,105.6
2015-09-02,103.5
2015-09-03,103.45
2015-09-04,97.9
2015-09-07,97.8
2015-09-08,98.1
2015-09-09,101.8
2015-09-10,100.4
2015-09-11,100.45
2015-09-14,104.25
2015-09-15,102.55
2015-09-16,102.05
2015-09-18,103.5
2015-09-21,102.05
2015-09-22,103.6
2015-09-23,103.1
2015-09-24,103.0
2015-09-28,102.4
2015-09-29,102.1
2015-09-30,102.85
2015-10-01,103.25
2015-10-05,109.2
2015-10-06,110.6
2015-10-07,109.4
2015-10-08,109.15
2015-10-09,110.1
2015-10-12,112.9
2015-10-13,123.0
2015-10-14,122.2
2015-10-15,120.95
2015-10-16,123.35
2015-10-19,122.45
2015-10-20,122.15
2015-10-21,120.95
2015-10-23,120.15
2015-10-26,115.9
2015-10-27,117.65
2015-10-28,117.9
2015-10-29,114.55
2015-10-30,113.4
2015-11-02,111.6
2015-11-03,111.75
2015-11-04,112.75
2015-11-05,113.1
2015-11-06,110.8
2015-11-09,113.1
2015-11-10,120.95
2015-11-11,123.5
2015-11-13,121.0
2015-11-16,118.85
2015-11-17,119.2
2015-11-18,116.55
2015-11-19,135.75
2015-11-20,142.35
2015-11-23,138.65
2015-11-24,136.4
2015-11-26,132.1
2015-11-27,140.4
2015-11-30,146.9
2015-12-01,144.65
2015-12-02,142.35
2015-12-03,145.8
2015-12-04,141.2
2015-12-07,141.2
2015-12-08,140.9
2015-12-09,132.1
2015-12-10,137.7
2015-12-11,133.15
2015-12-14,133.2
2015-12-15,135.85
2015-12-16,138.7
2015-12-17,136.2
2015-12-18,140.35
2015-12-21,141.95
2015-12-22,139.25
2015-12-23,138.8
2015-12-24,139.65
2015-12-28,137.85
2015-12-29,138.0
2015-12-30,139.5
2015-12-31,143.95
