Date,TATAMETALI
2015-01-01,145.65
2015-01-02,148.65
2015-01-05,149.65
2015-01-06,141.1
2015-01-07,139.95
2015-01-08,141.95
2015-01-09,139.4
2015-01-12,140.55
2015-01-13,138.95
2015-01-14,138.45
2015-01-15,138.4
2015-01-16,136.8
2015-01-19,142.45
2015-01-20,142.7
2015-01-21,145.8
2015-01-22,148.5
2015-01-23,135.9
2015-01-27,131.55
2015-01-28,129.7
2015-01-29,130.05
2015-01-30,127.5
2015-02-02,126.8
2015-02-03,128.85
2015-02-04,128.25
2015-02-05,128.0
2015-02-06,122.8
2015-02-09,116.45
2015-02-10,116.75
2015-02-11,120.95
2015-02-12,122.15
2015-02-13,122.3
2015-02-16,127.7
2015-02-18,125.6
2015-02-19,132.7
2015-02-20,128.55
2015-02-23,128.95
2015-02-24,126.9
2015-02-25,127.55
2015-02-26,125.75
2015-02-27,127.0
2015-02-28,124.8
2015-03-02,124.75
2015-03-03,144.55
2015-03-04,137.6
2015-03-05,139.9
2015-03-09,134.45
2015-03-10,133.65
2015-03-11,129.9
2015-03-12,130.85
2015-03-13,126.15
2015-03-16,124.4
2015-03-17,127.45
2015-03-18,126.25
2015-03-19,125.3
2015-03-20,120.25
2015-03-23,118.05
2015-03-24,117.5
2015-03-25,114.85
2015-03-26,110.9
2015-03-27,111.15
2015-03-30,117.05
2015-03-31,119.55
2015-04-01,135.3
2015-04-06,133.2
2015-04-07,130.35
2015-04-08,132.5
2015-04-09,132.55
2015-04-10,132.95
2015-04-13,132.3
2015-04-15,130.95
2015-04-16,131.0
2015-04-17,127.9
2015-04-20,125.75
2015-04-21,122.75
2015-04-22,122.45
2015-04-23,122.95
2015-04-24,117.5
2015-04-27,113.1
2015-04-28,119.75
2015-04-29,120.45
2015-04-30,121.55
2015-05-04,123.1
2015-05-05,126.85
2015-05-06,119.0
2015-05-07,117.0
2015-05-08,117.9
2015-05-11,119.25
2015-05-12,117.2
2015-05-13,117.65
2015-05-14,117.8
2015-05-15,117.5
2015-05-18,117.85
2015-05-19,119.6
2015-05-20,118.5
2015-05-21,117.25
2015-05-22,117.4
2015-05-25,115.55
2015-05-26,114.7
2015-05-27,113.2
2015-05-28,113.15
2015-05-29,113.7
2015-06-01,114.05
2015-06-02,110.75
2015-06-03,106.6
2015-06-04,105.75
2015-06-05,104.5
2015-06-08,102.15
2015-06-09,102.35
2015-06-10,102.2
2015-06-11,99.45
2015-06-12,93.65
2015-06-15,94.3
2015-06-16,94.35
2015-06-17,97.8
2015-06-18,99.85
2015-06-19,107.95
2015-06-22,104.8
2015-06-23,106.25
2015-06-24,104.75
2015-06-25,104.15
2015-06-26,103.8
2015-06-29,103.15
2015-06-30,101.65
2015-07-01,102.6
2015-07-02,102.45
2015-07-03,104.2
2015-07-06,103.3
2015-07-07,104.15
2015-07-08,99.6
2015-07-09,100.0
2015-07-10,99.4
2015-07-13,99.95
2015-07-14,104.05
2015-07-15,104.9
2015-07-16,107.35
2015-07-17,105.5
2015-07-20,106.35
2015-07-21,107.6
2015-07-22,100.85
2015-07-23,100.6
2015-07-24,101.5
2015-07-27,100.05
2015-07-28,99.75
2015-07-29,98.85
2015-07-30,101.05
2015-07-31,100.15
2015-08-03,101.3
2015-08-04,102.1
2015-08-05,116.1
2015-08-06,109.5
2015-08-07,109.4
2015-08-10,111.1
2015-08-11,108.35
2015-08-12,104.1
2015-08-13,101.55
2015-08-14,102.55
2015-08-17,104.65
2015-08-18,111.0
2015-08-19,108.3
2015-08-20,103.45
2015-08-21,102.75
2015-08-24,92.5
2015-08-25,91.65
2015-08-26,94.1
2015-08-27,98.6
2015-08-28,100.05
2015-08-31,99.8
2015-09-01,97.6
2015-09-02,96.85
2015-09-03,97.45
2015-09-04,93.4
2015-09-07,91.85
2015-09-08,92.8
2015-09-09,94.45
2015-09-10,93.15
2015-09-11,93.4
2015-09-14,96.45
2015-09-15,96.3
2015-09-16,102.8
2015-09-18,106.6
2015-09-21,104.2
2015-09-22,101.5
2015-09-23,100.35
2015-09-24,100.6
2015-09-28,98.65
2015-09-29,98.65
2015-09-30,100.2
2015-10-01,98.95
2015-10-05,101.35
2015-10-06,101.5
2015-10-07,102.6
2015-10-08,103.95
2015-10-09,104.55
2015-10-12,105.95
2015-10-13,105.75
2015-10-14,105.65
2015-10-15,107.1
2015-10-16,108.2
2015-10-19,107.6
2015-10-20,105.2
2015-10-21,102.3
2015-10-23,101.45
2015-10-26,101.8
2015-10-27,101.2
2015-10-28,100.65
2015-10-29,98.9
2015-10-30,98.85
2015-11-02,97.45
2015-11-03,97.5
2015-11-04,97.45
2015-11-05,96.6
2015-11-06,94.7
2015-11-09,92.8
2015-11-10,91.8
2015-11-11,93.05
2015-11-13,91.95
2015-11-16,92.65
2015-11-17,92.3
2015-11-18,93.25
2015-11-19,93.35
2015-11-20,93.95
2015-11-23,94.5
2015-11-24,94.25
2015-11-26,94.85
2015-11-27,96.3
2015-11-30,96.7
2015-12-01,100.45
2015-12-02,103.8
2015-12-03,101.75
2015-12-04,101.0
2015-12-07,101.9
2015-12-08,98.15
2015-12-09,95.15
2015-12-10,97.35
2015-12-11,99.5
2015-12-14,100.05
2015-12-15,98.85
2015-12-16,98.35
2015-12-17,101.9
2015-12-18,99.9
2015-12-21,101.6
2015-12-22,101.55
2015-12-23,101.1
2015-12-24,105.2
2015-12-28,103.4
2015-12-29,102.65
2015-12-30,101.8
2015-12-31,101.4
