Date,HDFCMFGETF
2015-01-01,2535.3
2015-01-02,2530.35
2015-01-05,2544.35
2015-01-06,2579.75
2015-01-07,2578.9
2015-01-08,2538.4
2015-01-09,2542.2
2015-01-12,2557.1
2015-01-13,2579.75
2015-01-14,2561.9
2015-01-15,2553.55
2015-01-16,2614.2
2015-01-19,2635.55
2015-01-20,2657.95
2015-01-21,2675.0
2015-01-22,2651.3
2015-01-23,2663.1
2015-01-27,2637.85
2015-01-28,2658.1
2015-01-29,2634.55
2015-01-30,2635.4
2015-02-02,2640.55
2015-02-03,2646.0
2015-02-04,2615.3
2015-02-05,2627.0
2015-02-06,2632.4
2015-02-09,2607.15
2015-02-10,2585.65
2015-02-11,2588.45
2015-02-12,2572.5
2015-02-13,2569.05
2015-02-16,2580.45
2015-02-18,2549.4
2015-02-19,2547.4
2015-02-20,2534.4
2015-02-23,2509.65
2015-02-24,2509.95
2015-02-25,2519.2
2015-02-26,2509.2
2015-02-27,2502.7
2015-02-28,2517.25
2015-03-02,2528.15
2015-03-03,2513.45
2015-03-04,2505.2
2015-03-05,2505.85
2015-03-09,2495.3
2015-03-10,2480.2
2015-03-11,2472.9
2015-03-12,2470.7
2015-03-13,2475.8
2015-03-16,2483.0
2015-03-17,2463.35
2015-03-18,2454.8
2015-03-19,2457.15
2015-03-20,2465.4
2015-03-23,2466.35
2015-03-24,2474.25
2015-03-25,2487.7
2015-03-26,2537.45
2015-03-27,2515.75
2015-03-30,2497.0
2015-03-31,2480.1
2015-04-01,2481.6
2015-04-06,2542.15
2015-04-07,2525.75
2015-04-08,2525.8
2015-04-09,2499.65
2015-04-10,2512.85
2015-04-13,2515.8
2015-04-15,2497.1
2015-04-16,2522.15
2015-04-17,2515.8
2015-04-20,2537.8
2015-04-21,2558.35
2015-04-22,2536.9
2015-04-23,2521.3
2015-04-24,2537.05
2015-04-27,2523.0
2015-04-28,2545.55
2015-04-29,2542.35
2015-04-30,2559.05
2015-05-04,2532.45
2015-05-05,2520.75
2015-05-06,2537.7
2015-05-07,2541.15
2015-05-08,2538.55
2015-05-11,2541.0
2015-05-12,2552.3
2015-05-13,2557.75
2015-05-14,2587.8
2015-05-15,2585.85
2015-05-18,2611.3
2015-05-19,2595.15
2015-05-20,2567.95
2015-05-21,2570.05
2015-05-22,2559.9
2015-05-25,2558.7
2015-05-26,2558.6
2015-05-27,2542.85
2015-05-28,2541.9
2015-05-29,2540.3
2015-06-01,2540.6
2015-06-02,2543.55
2015-06-03,2545.8
2015-06-04,2540.8
2015-06-05,2525.75
2015-06-08,2523.2
2015-06-09,2522.95
2015-06-10,2525.3
2015-06-11,2509.75
2015-06-12,2514.95
2015-06-15,2521.5
2015-06-16,2522.6
2015-06-17,2520.15
2015-06-18,2530.1
2015-06-19,2524.65
2015-06-22,2515.0
2015-06-23,2500.75
2015-06-24,2495.15
2015-06-25,2497.2
2015-06-26,2498.65
2015-06-29,2505.65
2015-06-30,2500.5
2015-07-01,2487.9
2015-07-02,2477.45
2015-07-03,2476.2
2015-07-06,2468.2
2015-07-07,2471.2
2015-07-08,2467.1
2015-07-09,2470.75
2015-07-10,2474.1
2015-07-13,2458.6
2015-07-14,2452.55
2015-07-15,2445.65
2015-07-16,2442.8
2015-07-17,2443.6
