Date,GVKPIL
2015-01-01,9.4
2015-01-02,9.3
2015-01-05,9.1
2015-01-06,8.9
2015-01-07,8.8
2015-01-08,9.2
2015-01-09,9.05
2015-01-12,9.45
2015-01-13,9.2
2015-01-14,9.15
2015-01-15,10.0
2015-01-16,9.8
2015-01-19,10.25
2015-01-20,10.1
2015-01-21,10.15
2015-01-22,9.85
2015-01-23,10.05
2015-01-27,9.8
2015-01-28,9.7
2015-01-29,9.9
2015-01-30,10.6
2015-02-02,11.15
2015-02-03,10.6
2015-02-04,10.45
2015-02-05,9.95
2015-02-06,9.75
2015-02-09,9.5
2015-02-10,9.45
2015-02-11,9.85
2015-02-12,10.3
2015-02-13,9.9
2015-02-16,9.7
2015-02-18,10.55
2015-02-19,10.25
2015-02-20,10.1
2015-02-23,9.95
2015-02-24,9.9
2015-02-25,9.8
2015-02-26,9.7
2015-02-27,10.2
2015-02-28,9.95
2015-03-02,9.9
2015-03-03,9.85
2015-03-04,9.65
2015-03-05,9.55
2015-03-09,9.25
2015-03-10,9.2
2015-03-11,9.25
2015-03-12,9.35
2015-03-13,9.15
2015-03-16,8.9
2015-03-17,8.9
2015-03-18,8.4
2015-03-19,8.5
2015-03-20,8.2
2015-03-23,8.2
2015-03-24,8.0
2015-03-25,7.85
2015-03-26,7.95
2015-03-27,8.0
2015-03-30,8.1
2015-03-31,9.55
2015-04-01,9.6
2015-04-06,9.3
2015-04-07,9.35
2015-04-08,9.4
2015-04-09,9.4
2015-04-10,9.7
2015-04-13,9.65
2015-04-15,9.5
2015-04-16,9.25
2015-04-17,9.2
2015-04-20,8.95
2015-04-21,8.95
2015-04-22,8.9
2015-04-23,8.75
2015-04-24,8.55
2015-04-27,8.25
2015-04-28,8.45
2015-04-29,8.6
2015-04-30,8.55
2015-05-04,8.85
2015-05-05,8.8
2015-05-06,8.5
2015-05-07,8.3
2015-05-08,8.35
2015-05-11,8.4
2015-05-12,8.25
2015-05-13,8.25
2015-05-14,8.2
2015-05-15,8.15
2015-05-18,8.5
2015-05-19,8.35
2015-05-20,8.3
2015-05-21,8.45
2015-05-22,8.35
2015-05-25,8.2
2015-05-26,8.2
2015-05-27,8.15
2015-05-28,8.15
2015-05-29,8.05
2015-06-01,8.1
2015-06-02,8.0
2015-06-03,7.7
2015-06-04,7.55
2015-06-05,7.95
2015-06-08,8.15
2015-06-09,8.3
2015-06-10,8.0
2015-06-11,7.75
2015-06-12,7.75
2015-06-15,7.75
2015-06-16,7.8
2015-06-17,8.1
2015-06-18,8.1
2015-06-19,8.05
2015-06-22,8.4
2015-06-23,8.25
2015-06-24,8.2
2015-06-25,8.25
2015-06-26,9.1
2015-06-29,9.45
2015-06-30,9.3
2015-07-01,9.25
2015-07-02,9.2
2015-07-03,9.0
2015-07-06,9.25
2015-07-07,9.1
2015-07-08,8.85
2015-07-09,8.85
2015-07-10,9.2
2015-07-13,9.05
2015-07-14,9.05
2015-07-15,9.35
2015-07-16,10.15
2015-07-17,9.95
2015-07-20,9.75
2015-07-21,9.2
2015-07-22,9.25
2015-07-23,9.7
2015-07-24,9.9
2015-07-27,9.35
2015-07-28,9.1
2015-07-29,9.2
2015-07-30,9.25
2015-07-31,9.05
2015-08-03,9.25
2015-08-04,9.2
2015-08-05,9.2
2015-08-06,9.3
2015-08-07,9.1
2015-08-10,9.1
2015-08-11,9.0
2015-08-12,8.7
2015-08-13,8.45
2015-08-14,8.75
2015-08-17,8.65
2015-08-18,8.7
2015-08-19,8.9
2015-08-20,8.55
2015-08-21,8.45
2015-08-24,7.75
2015-08-25,7.5
2015-08-26,7.4
2015-08-27,7.45
2015-08-28,7.35
2015-08-31,7.35
2015-09-01,7.1
2015-09-02,6.9
2015-09-03,7.0
2015-09-04,6.9
2015-09-07,7.15
2015-09-08,7.15
2015-09-09,7.1
2015-09-10,6.9
2015-09-11,6.9
2015-09-14,6.95
2015-09-15,6.85
2015-09-16,6.85
2015-09-18,6.9
2015-09-21,7.1
2015-09-22,6.95
2015-09-23,6.9
2015-09-24,6.85
2015-09-28,7.0
2015-09-29,7.05
2015-09-30,7.75
2015-10-01,7.5
2015-10-05,7.95
2015-10-06,7.7
2015-10-07,8.05
2015-10-08,8.15
2015-10-09,7.9
2015-10-12,7.8
2015-10-13,7.75
2015-10-14,7.95
2015-10-15,8.1
2015-10-16,7.9
2015-10-19,8.05
2015-10-20,8.2
2015-10-21,8.05
2015-10-23,8.05
2015-10-26,7.8
2015-10-27,7.95
2015-10-28,8.0
2015-10-29,7.9
2015-10-30,7.95
2015-11-02,7.9
2015-11-03,7.85
2015-11-04,7.75
2015-11-05,7.7
2015-11-06,7.65
2015-11-09,7.55
2015-11-10,7.8
2015-11-11,8.05
2015-11-13,7.95
2015-11-16,8.1
2015-11-17,8.65
2015-11-18,8.9
2015-11-19,9.0
2015-11-20,9.1
2015-11-23,9.1
2015-11-24,9.45
2015-11-26,9.25
2015-11-27,8.95
2015-11-30,9.05
2015-12-01,8.95
2015-12-02,8.95
2015-12-03,9.05
2015-12-04,8.7
2015-12-07,8.7
2015-12-08,8.2
2015-12-09,7.9
2015-12-10,8.05
2015-12-11,7.9
2015-12-14,8.4
2015-12-15,8.1
2015-12-16,8.25
2015-12-17,8.3
2015-12-18,8.3
2015-12-21,8.35
2015-12-22,8.2
2015-12-23,8.2
2015-12-24,8.15
2015-12-28,8.1
2015-12-29,8.1
2015-12-30,8.2
2015-12-31,8.1
