Date,AMBIKCO
2015-01-01,527.5
2015-01-02,526.85
2015-01-05,521.1
2015-01-06,514.85
2015-01-07,520.75
2015-01-08,526.6
2015-01-09,522.7
2015-01-12,520.65
2015-01-13,520.4
2015-01-14,516.45
2015-01-15,519.85
2015-01-16,517.6
2015-01-19,523.45
2015-01-20,530.55
2015-01-21,529.6
2015-01-22,522.75
2015-01-23,539.0
2015-01-27,550.25
2015-01-28,549.95
2015-01-29,539.55
2015-01-30,550.05
2015-02-02,525.25
2015-02-03,523.25
2015-02-04,521.4
2015-02-05,523.55
2015-02-06,524.6
2015-02-09,531.8
2015-02-10,523.95
2015-02-11,524.75
2015-02-12,520.6
2015-02-13,521.0
2015-02-16,527.65
2015-02-18,535.95
2015-02-19,531.5
2015-02-20,527.85
2015-02-23,531.05
2015-02-24,534.9
2015-02-25,523.05
2015-02-26,521.0
2015-02-27,535.55
2015-02-28,535.05
2015-03-02,555.6
2015-03-03,580.9
2015-03-04,599.85
2015-03-05,626.6
2015-03-09,672.6
2015-03-10,700.75
2015-03-11,797.8
2015-03-12,771.55
2015-03-13,744.8
2015-03-16,753.85
2015-03-17,758.15
2015-03-18,749.25
2015-03-19,749.35
2015-03-20,726.85
2015-03-23,703.4
2015-03-24,713.8
2015-03-25,726.4
2015-03-26,731.85
2015-03-27,716.45
2015-03-30,807.0
2015-03-31,783.5
2015-04-01,802.6
2015-04-06,812.8
2015-04-07,811.75
2015-04-08,869.5
2015-04-09,869.95
2015-04-10,908.2
2015-04-13,929.05
2015-04-15,933.5
2015-04-16,916.65
2015-04-17,943.75
2015-04-20,928.3
2015-04-21,909.5
2015-04-22,909.0
2015-04-23,904.25
2015-04-24,874.2
2015-04-27,811.0
2015-04-28,815.65
2015-04-29,836.6
2015-04-30,827.65
2015-05-04,900.55
2015-05-05,870.95
2015-05-06,842.1
2015-05-07,827.7
2015-05-08,843.45
2015-05-11,852.5
2015-05-12,832.4
2015-05-13,832.65
2015-05-14,837.55
2015-05-15,857.35
2015-05-18,881.4
2015-05-19,869.9
2015-05-20,864.35
2015-05-21,869.95
2015-05-22,865.55
2015-05-25,866.65
2015-05-26,863.55
2015-05-27,893.7
2015-05-28,909.5
2015-05-29,921.4
2015-06-01,911.75
2015-06-02,906.7
2015-06-03,883.05
2015-06-04,879.4
2015-06-05,900.0
2015-06-08,939.15
2015-06-09,924.2
2015-06-10,956.8
2015-06-11,949.55
2015-06-12,922.45
2015-06-15,911.5
2015-06-16,901.45
2015-06-17,895.25
2015-06-18,907.95
2015-06-19,952.8
2015-06-22,970.9
2015-06-23,974.25
2015-06-24,984.25
2015-06-25,992.95
2015-06-26,992.0
2015-06-29,1100.75
2015-06-30,1064.9
2015-07-01,1038.75
2015-07-02,995.15
2015-07-03,997.4
2015-07-06,993.05
2015-07-07,992.95
2015-07-08,1004.6
2015-07-09,1024.5
2015-07-10,1011.15
2015-07-13,1019.25
2015-07-14,1023.75
2015-07-15,1054.7
2015-07-16,1060.0
2015-07-17,1065.45
2015-07-20,1049.45
2015-07-21,1019.85
2015-07-22,1012.55
2015-07-23,1010.65
2015-07-24,1029.15
2015-07-27,1007.8
2015-07-28,1010.95
2015-07-29,996.3
2015-07-30,1031.35
2015-07-31,1051.8
2015-08-03,1081.45
2015-08-04,1062.7
2015-08-05,1050.8
2015-08-06,1049.7
2015-08-07,1119.0
2015-08-10,966.65
2015-08-11,950.2
2015-08-12,895.7
2015-08-13,868.5
2015-08-14,874.7
2015-08-17,878.4
2015-08-18,877.4
2015-08-19,864.8
2015-08-20,839.0
2015-08-21,848.1
2015-08-24,783.8
2015-08-25,739.6
2015-08-26,753.3
2015-08-27,756.65
2015-08-28,761.6
2015-08-31,755.45
2015-09-01,734.6
2015-09-02,738.0
2015-09-03,766.0
2015-09-04,734.2
2015-09-07,720.65
2015-09-08,721.85
2015-09-09,729.15
2015-09-10,720.4
2015-09-11,750.3
2015-09-14,819.9
2015-09-15,793.55
2015-09-16,789.4
2015-09-18,820.8
2015-09-21,826.4
2015-09-22,834.6
2015-09-23,828.1
2015-09-24,828.35
2015-09-28,855.45
2015-09-29,849.4
2015-09-30,850.3
2015-10-01,850.25
2015-10-05,852.15
2015-10-06,840.2
2015-10-07,841.5
2015-10-08,865.55
2015-10-09,866.1
2015-10-12,869.1
2015-10-13,925.5
2015-10-14,933.85
2015-10-15,934.9
2015-10-16,887.25
2015-10-19,876.35
2015-10-20,886.2
2015-10-21,902.5
2015-10-23,907.5
2015-10-26,902.45
2015-10-27,896.2
2015-10-28,887.4
2015-10-29,884.7
2015-10-30,858.8
2015-11-02,875.05
2015-11-03,881.75
2015-11-04,876.2
2015-11-05,861.05
2015-11-06,850.55
2015-11-09,837.25
2015-11-10,842.45
2015-11-11,851.4
2015-11-13,839.2
2015-11-16,830.1
2015-11-17,850.8
2015-11-18,849.55
2015-11-19,872.85
2015-11-20,866.25
2015-11-23,876.7
2015-11-24,873.55
2015-11-26,875.0
2015-11-27,867.65
2015-11-30,870.1
2015-12-01,861.85
2015-12-02,859.45
2015-12-03,854.85
2015-12-04,855.05
2015-12-07,851.45
2015-12-08,850.05
2015-12-09,840.0
2015-12-10,817.5
2015-12-11,783.3
2015-12-14,770.0
2015-12-15,816.3
2015-12-16,807.55
2015-12-17,823.1
2015-12-18,800.8
2015-12-21,804.5
2015-12-22,802.7
2015-12-23,813.05
2015-12-24,908.1
2015-12-28,934.5
2015-12-29,909.7
2015-12-30,917.0
2015-12-31,941.5
