Date,TATAMTRDVR
2015-01-01,334.65
2015-01-02,342.25
2015-01-05,344.45
2015-01-06,328.75
2015-01-07,330.65
2015-01-08,340.7
2015-01-09,342.65
2015-01-12,337.4
2015-01-13,334.4
2015-01-14,330.3
2015-01-15,341.85
2015-01-16,339.9
2015-01-19,346.35
2015-01-20,355.0
2015-01-21,360.25
2015-01-22,364.45
2015-01-23,373.75
2015-01-27,380.5
2015-01-28,365.95
2015-01-29,364.15
2015-01-30,363.95
2015-02-02,356.65
2015-02-03,358.3
2015-02-04,355.0
2015-02-05,356.4
2015-02-06,337.35
2015-02-09,329.55
2015-02-10,336.45
2015-02-11,338.9
2015-02-12,338.25
2015-02-13,345.85
2015-02-16,350.6
2015-02-18,350.15
2015-02-19,373.3
2015-02-20,381.65
2015-02-23,372.25
2015-02-24,365.75
2015-02-25,365.75
2015-02-26,350.2
2015-02-27,359.0
2015-02-28,373.7
2015-03-02,369.55
2015-03-03,367.0
2015-03-04,362.6
2015-03-05,354.9
2015-03-09,342.75
2015-03-10,343.7
2015-03-11,339.65
2015-03-12,344.0
2015-03-13,337.6
2015-03-16,338.95
2015-03-17,345.8
2015-03-18,339.9
2015-03-19,336.65
2015-03-20,327.35
2015-03-23,321.5
2015-03-24,312.8
2015-03-25,316.15
2015-03-26,308.75
2015-03-27,316.5
2015-03-30,324.4
2015-03-31,331.55
2015-04-01,338.05
2015-04-06,341.45
2015-04-07,342.95
2015-04-08,345.4
2015-04-09,343.4
2015-04-10,351.1
2015-04-13,354.65
2015-04-15,344.15
2015-04-16,348.9
2015-04-17,340.5
2015-04-20,328.75
2015-04-21,327.65
2015-04-22,328.1
2015-04-23,319.15
2015-04-24,319.95
2015-04-27,315.95
2015-04-28,322.5
2015-04-29,318.45
2015-04-30,310.7
2015-05-04,312.25
2015-05-05,315.75
2015-05-06,304.9
2015-05-07,295.1
2015-05-08,309.35
2015-05-11,322.75
2015-05-12,313.25
2015-05-13,317.85
2015-05-14,315.0
2015-05-15,313.85
2015-05-18,317.35
2015-05-19,313.65
2015-05-20,309.9
2015-05-21,315.85
2015-05-22,315.35
2015-05-25,307.15
2015-05-26,308.4
2015-05-27,297.9
2015-05-28,298.95
2015-05-29,301.05
2015-06-01,290.65
2015-06-02,286.8
2015-06-03,281.85
2015-06-04,282.15
2015-06-05,285.65
2015-06-08,280.1
2015-06-09,281.15
2015-06-10,281.9
2015-06-11,269.65
2015-06-12,266.0
2015-06-15,263.95
2015-06-16,269.0
2015-06-17,268.35
2015-06-18,272.55
2015-06-19,269.45
2015-06-22,273.0
2015-06-23,272.45
2015-06-24,270.25
2015-06-25,265.8
2015-06-26,268.6
2015-06-29,260.6
2015-06-30,260.7
2015-07-01,263.8
2015-07-02,260.05
2015-07-03,259.85
2015-07-06,254.9
2015-07-07,252.45
2015-07-08,239.45
2015-07-09,234.4
2015-07-10,238.55
2015-07-13,241.75
2015-07-14,232.1
2015-07-15,240.5
2015-07-16,236.25
2015-07-17,238.2
2015-07-20,234.9
2015-07-21,234.2
2015-07-22,240.0
2015-07-23,254.5
2015-07-24,245.55
2015-07-27,238.4
2015-07-28,237.0
2015-07-29,241.85
2015-07-30,249.8
2015-07-31,260.05
2015-08-03,261.85
2015-08-04,260.8
2015-08-05,260.35
2015-08-06,263.7
2015-08-07,267.85
2015-08-10,264.35
2015-08-11,249.95
2015-08-12,239.0
2015-08-13,235.25
2015-08-14,244.8
2015-08-17,240.2
2015-08-18,243.55
2015-08-19,247.9
2015-08-20,243.1
2015-08-21,237.3
2015-08-24,219.25
2015-08-25,222.45
2015-08-26,226.1
2015-08-27,240.65
2015-08-28,245.5
2015-08-31,237.75
2015-09-01,223.4
2015-09-02,220.3
2015-09-03,234.95
2015-09-04,223.8
2015-09-07,223.4
2015-09-08,235.05
2015-09-09,239.45
2015-09-10,245.45
2015-09-11,242.35
2015-09-14,248.65
2015-09-15,239.55
2015-09-16,240.5
2015-09-18,236.65
2015-09-21,237.1
2015-09-22,226.85
2015-09-23,222.95
2015-09-24,220.7
2015-09-28,206.85
2015-09-29,212.7
2015-09-30,216.45
2015-10-01,218.6
2015-10-05,233.8
2015-10-06,242.15
2015-10-07,241.9
2015-10-08,242.25
2015-10-09,244.75
2015-10-12,245.9
2015-10-13,245.75
2015-10-14,241.6
2015-10-15,259.55
2015-10-16,260.7
2015-10-19,264.55
2015-10-20,270.05
2015-10-21,269.25
2015-10-23,272.8
2015-10-26,272.65
2015-10-27,269.95
2015-10-28,268.75
2015-10-29,268.8
2015-10-30,260.1
2015-11-02,262.9
2015-11-03,259.65
2015-11-04,268.95
2015-11-05,265.9
2015-11-06,261.9
2015-11-09,270.9
2015-11-10,271.55
2015-11-11,277.5
2015-11-13,290.1
2015-11-16,287.8
2015-11-17,287.25
2015-11-18,290.25
2015-11-19,294.4
2015-11-20,295.95
2015-11-23,296.85
2015-11-24,293.85
2015-11-26,299.75
2015-11-27,299.05
2015-11-30,298.8
2015-12-01,290.6
2015-12-02,286.95
2015-12-03,280.0
2015-12-04,284.95
2015-12-07,280.25
2015-12-08,283.9
2015-12-09,281.1
2015-12-10,284.65
2015-12-11,276.3
2015-12-14,270.65
2015-12-15,281.25
2015-12-16,279.9
2015-12-17,282.75
2015-12-18,278.35
2015-12-21,280.65
2015-12-22,279.1
2015-12-23,281.75
2015-12-24,282.05
2015-12-28,289.05
2015-12-29,288.75
2015-12-30,289.9
2015-12-31,289.35
