Date,GANDHITUBE
2015-01-01,240.05
2015-01-02,241.6
2015-01-05,236.5
2015-01-06,241.75
2015-01-07,238.85
2015-01-08,243.45
2015-01-09,240.0
2015-01-12,253.6
2015-01-13,256.5
2015-01-14,244.25
2015-01-15,242.6
2015-01-16,243.25
2015-01-19,238.8
2015-01-20,259.85
2015-01-21,290.55
2015-01-22,272.6
2015-01-23,269.9
2015-01-27,268.4
2015-01-28,268.1
2015-01-29,271.8
2015-01-30,258.25
2015-02-02,255.5
2015-02-03,258.5
2015-02-04,252.6
2015-02-05,245.1
2015-02-06,235.5
2015-02-09,230.65
2015-02-10,230.25
2015-02-11,230.0
2015-02-12,230.0
2015-02-13,247.05
2015-02-16,245.2
2015-02-18,244.9
2015-02-19,247.55
2015-02-20,251.85
2015-02-23,252.8
2015-02-24,253.7
2015-02-25,256.5
2015-02-26,258.0
2015-02-27,262.85
2015-02-28,265.05
2015-03-02,261.8
2015-03-03,267.1
2015-03-04,257.2
2015-03-05,244.4
2015-03-09,240.1
2015-03-10,241.5
2015-03-11,247.6
2015-03-12,248.65
2015-03-13,251.45
2015-03-16,253.45
2015-03-17,254.4
2015-03-18,270.55
2015-03-19,269.05
2015-03-20,262.55
2015-03-23,259.45
2015-03-24,261.0
2015-03-25,259.55
2015-03-26,252.1
2015-03-27,243.75
2015-03-30,260.15
2015-03-31,253.45
2015-04-01,255.95
2015-04-06,259.8
2015-04-07,265.05
2015-04-08,273.15
2015-04-09,282.35
2015-04-10,279.65
2015-04-13,281.8
2015-04-15,273.2
2015-04-16,277.85
2015-04-17,274.0
2015-04-20,276.55
2015-04-21,276.5
2015-04-22,282.25
2015-04-23,280.9
2015-04-24,274.25
2015-04-27,265.55
2015-04-28,268.2
2015-04-29,269.9
2015-04-30,270.4
2015-05-04,279.45
2015-05-05,282.05
2015-05-06,272.7
2015-05-07,271.7
2015-05-08,279.05
2015-05-11,280.55
2015-05-12,276.65
2015-05-13,277.6
2015-05-14,273.5
2015-05-15,273.0
2015-05-18,275.9
2015-05-19,278.8
2015-05-20,277.65
2015-05-21,295.8
2015-05-22,264.95
2015-05-25,265.2
2015-05-26,266.9
2015-05-27,258.1
2015-05-28,255.45
2015-05-29,249.8
2015-06-01,253.15
2015-06-02,247.55
2015-06-03,233.6
2015-06-04,225.15
2015-06-05,231.5
2015-06-08,234.8
2015-06-09,227.1
2015-06-10,233.15
2015-06-11,239.95
2015-06-12,239.6
2015-06-15,238.45
2015-06-16,238.65
2015-06-17,238.2
2015-06-18,237.55
2015-06-19,244.55
2015-06-22,248.1
2015-06-23,250.0
2015-06-24,244.75
2015-06-25,247.55
2015-06-26,249.05
2015-06-29,249.0
2015-06-30,249.9
2015-07-01,250.0
2015-07-02,253.85
2015-07-03,248.75
2015-07-06,250.0
2015-07-07,251.05
2015-07-08,247.9
2015-07-09,248.7
2015-07-10,244.7
2015-07-13,248.0
2015-07-14,247.6
2015-07-15,252.95
2015-07-16,252.65
2015-07-17,256.0
2015-07-20,255.0
2015-07-21,252.4
2015-07-22,251.0
2015-07-23,255.5
2015-07-24,264.85
2015-07-27,263.0
2015-07-28,263.4
2015-07-29,270.2
2015-07-30,282.35
2015-07-31,279.25
2015-08-03,282.5
2015-08-04,279.65
2015-08-05,272.6
2015-08-06,274.8
2015-08-07,275.05
2015-08-10,277.3
2015-08-11,269.5
2015-08-12,269.35
2015-08-13,266.35
2015-08-14,273.25
2015-08-17,270.05
2015-08-18,270.0
2015-08-19,271.3
2015-08-20,270.2
2015-08-21,271.1
2015-08-24,270.0
2015-08-25,266.8
2015-08-26,260.2
2015-08-27,274.0
2015-08-28,273.85
2015-08-31,269.65
2015-09-01,250.65
2015-09-02,247.1
2015-09-03,249.5
2015-09-04,251.05
2015-09-07,269.3
2015-09-08,259.45
2015-09-09,260.0
2015-09-10,265.95
2015-09-11,269.95
2015-09-14,273.95
2015-09-15,269.0
2015-09-16,268.75
2015-09-18,270.0
2015-09-21,276.1
2015-09-22,279.05
2015-09-23,278.75
2015-09-24,280.85
2015-09-28,286.05
2015-09-29,280.9
2015-09-30,287.95
2015-10-01,285.95
2015-10-05,281.2
2015-10-06,285.9
2015-10-07,282.15
2015-10-08,280.0
2015-10-09,269.0
2015-10-12,268.9
2015-10-13,274.85
2015-10-14,280.0
2015-10-15,279.0
2015-10-16,275.85
2015-10-19,276.65
2015-10-20,278.1
2015-10-21,274.7
2015-10-23,275.0
2015-10-26,274.9
2015-10-27,272.0
2015-10-28,271.55
2015-10-29,271.4
2015-10-30,267.3
2015-11-02,260.75
2015-11-03,247.7
2015-11-04,249.0
2015-11-05,244.0
2015-11-06,241.05
2015-11-09,243.0
2015-11-10,248.4
2015-11-13,247.85
2015-11-16,249.9
2015-11-17,253.2
2015-11-18,244.25
2015-11-19,245.05
2015-11-20,240.45
2015-11-23,246.0
2015-11-24,237.9
2015-11-26,235.85
2015-11-27,239.3
2015-11-30,236.65
2015-12-01,241.75
2015-12-02,237.55
2015-12-03,238.5
2015-12-04,241.95
2015-12-07,237.25
2015-12-08,237.0
2015-12-09,229.25
2015-12-10,226.05
2015-12-11,226.75
2015-12-14,223.2
2015-12-15,224.45
2015-12-16,223.05
2015-12-17,220.6
2015-12-18,229.0
2015-12-21,233.65
2015-12-22,240.2
2015-12-23,244.8
2015-12-24,245.7
2015-12-28,251.2
2015-12-29,247.6
2015-12-30,246.7
2015-12-31,245.9
