Date,DBREALTY
2015-01-01,76.7
2015-01-02,77.4
2015-01-05,76.0
2015-01-06,69.4
2015-01-07,68.75
2015-01-08,69.25
2015-01-09,68.4
2015-01-12,66.95
2015-01-13,65.15
2015-01-14,64.95
2015-01-15,67.65
2015-01-16,67.2
2015-01-19,66.35
2015-01-20,67.1
2015-01-21,72.15
2015-01-22,79.35
2015-01-23,83.7
2015-01-27,83.3
2015-01-28,79.55
2015-01-29,84.9
2015-01-30,90.95
2015-02-02,93.4
2015-02-03,89.45
2015-02-04,94.8
2015-02-05,90.1
2015-02-06,90.9
2015-02-09,86.6
2015-02-10,83.6
2015-02-11,85.05
2015-02-12,86.35
2015-02-13,84.1
2015-02-16,87.7
2015-02-18,85.45
2015-02-19,85.85
2015-02-20,85.6
2015-02-23,81.9
2015-02-24,83.65
2015-02-25,82.4
2015-02-26,79.55
2015-02-27,81.7
2015-02-28,81.95
2015-03-02,79.9
2015-03-03,76.5
2015-03-04,74.05
2015-03-05,70.9
2015-03-09,71.05
2015-03-10,70.65
2015-03-11,70.45
2015-03-12,71.65
2015-03-13,69.05
2015-03-16,67.35
2015-03-17,68.85
2015-03-18,70.05
2015-03-19,68.6
2015-03-20,65.65
2015-03-23,63.4
2015-03-24,63.7
2015-03-25,65.0
2015-03-26,64.15
2015-03-27,64.6
2015-03-30,66.0
2015-03-31,66.8
2015-04-01,66.3
2015-04-06,72.9
2015-04-07,70.25
2015-04-08,71.0
2015-04-09,72.1
2015-04-10,71.25
2015-04-13,71.25
2015-04-15,72.45
2015-04-16,69.7
2015-04-17,68.0
2015-04-20,64.0
2015-04-21,65.65
2015-04-22,65.3
2015-04-23,67.7
2015-04-24,63.4
2015-04-27,59.7
2015-04-28,60.55
2015-04-29,61.5
2015-04-30,63.75
2015-05-04,66.15
2015-05-05,67.1
2015-05-06,65.15
2015-05-07,63.25
2015-05-08,65.65
2015-05-11,66.1
2015-05-12,63.0
2015-05-13,67.25
2015-05-14,66.7
2015-05-15,65.35
2015-05-18,66.1
2015-05-19,68.8
2015-05-20,69.55
2015-05-21,69.5
2015-05-22,69.55
2015-05-25,69.75
2015-05-26,69.95
2015-05-27,66.1
2015-05-28,66.15
2015-05-29,67.45
2015-06-01,67.0
2015-06-02,67.15
2015-06-03,62.65
2015-06-04,62.65
2015-06-05,63.55
2015-06-08,61.75
2015-06-09,62.1
2015-06-10,63.8
2015-06-11,60.95
2015-06-12,59.85
2015-06-15,60.1
2015-06-16,60.35
2015-06-17,61.2
2015-06-18,60.9
2015-06-19,64.95
2015-06-22,66.4
2015-06-23,64.55
2015-06-24,63.1
2015-06-25,62.7
2015-06-26,63.1
2015-06-29,59.05
2015-06-30,59.45
2015-07-01,63.2
2015-07-02,65.7
2015-07-03,65.15
2015-07-06,64.75
2015-07-07,64.5
2015-07-08,63.9
2015-07-09,63.4
2015-07-10,63.2
2015-07-13,63.55
2015-07-14,62.7
2015-07-15,63.9
2015-07-16,64.35
2015-07-17,64.1
2015-07-20,63.85
2015-07-21,60.85
2015-07-22,60.75
2015-07-23,60.85
2015-07-24,60.5
2015-07-27,60.35
2015-07-28,60.6
2015-07-29,60.6
2015-07-30,61.95
2015-07-31,61.85
2015-08-03,64.95
2015-08-04,65.25
2015-08-05,68.3
2015-08-06,66.1
2015-08-07,65.05
2015-08-10,66.4
2015-08-11,62.6
2015-08-12,58.95
2015-08-13,58.15
2015-08-14,60.45
2015-08-17,59.2
2015-08-18,58.9
2015-08-19,57.2
2015-08-20,55.95
2015-08-21,57.8
2015-08-24,50.75
2015-08-25,54.8
2015-08-26,54.3
2015-08-27,56.35
2015-08-28,55.6
2015-08-31,54.9
2015-09-01,53.15
2015-09-02,52.95
2015-09-03,55.15
2015-09-04,52.35
2015-09-07,53.15
2015-09-08,54.15
2015-09-09,55.25
2015-09-10,55.2
2015-09-11,53.55
2015-09-14,53.95
2015-09-15,53.65
2015-09-16,53.35
2015-09-18,54.15
2015-09-21,55.1
2015-09-22,54.1
2015-09-23,55.1
2015-09-24,55.4
2015-09-28,56.9
2015-09-29,58.85
2015-09-30,60.35
2015-10-01,60.2
2015-10-05,59.95
2015-10-06,60.65
2015-10-07,63.25
2015-10-08,63.6
2015-10-09,63.75
2015-10-12,63.0
2015-10-13,70.1
2015-10-14,66.35
2015-10-15,66.3
2015-10-16,65.5
2015-10-19,66.95
2015-10-20,67.4
2015-10-21,65.75
2015-10-23,68.8
2015-10-26,64.65
2015-10-27,63.75
2015-10-28,62.5
2015-10-29,62.9
2015-10-30,61.8
2015-11-02,61.2
2015-11-03,62.0
2015-11-04,61.3
2015-11-05,60.5
2015-11-06,59.6
2015-11-09,60.0
2015-11-10,59.45
2015-11-11,60.85
2015-11-13,59.65
2015-11-16,59.0
2015-11-17,50.15
2015-11-18,54.5
2015-11-19,54.55
2015-11-20,54.1
2015-11-23,53.7
2015-11-24,52.95
2015-11-26,53.6
2015-11-27,53.55
2015-11-30,53.4
2015-12-01,53.3
2015-12-02,54.45
2015-12-03,54.9
2015-12-04,55.0
2015-12-07,56.1
2015-12-08,52.4
2015-12-09,52.7
2015-12-10,53.0
2015-12-11,51.45
2015-12-14,51.85
2015-12-15,51.95
2015-12-16,52.1
2015-12-17,52.6
2015-12-18,52.05
2015-12-21,53.4
2015-12-22,53.75
2015-12-23,53.35
2015-12-24,56.15
2015-12-28,55.6
2015-12-29,54.8
2015-12-30,54.4
2015-12-31,56.2
