Date,PANORAMUNI
2015-01-01,11.65
2015-01-02,11.75
2015-01-05,11.3
2015-01-06,11.4
2015-01-07,11.45
2015-01-08,11.8
2015-01-09,12.0
2015-01-12,11.85
2015-01-13,11.85
2015-01-14,11.9
2015-01-15,11.75
2015-01-16,11.9
2015-01-19,13.2
2015-01-20,12.7
2015-01-21,12.3
2015-01-22,11.85
2015-01-23,11.55
2015-01-27,11.5
2015-01-28,11.7
2015-01-29,11.65
2015-01-30,11.7
2015-02-02,11.4
2015-02-03,11.6
2015-02-04,11.3
2015-02-05,11.35
2015-02-06,11.5
2015-02-09,11.65
2015-02-10,11.25
2015-02-11,11.3
2015-02-12,11.3
2015-02-13,11.45
2015-02-16,11.15
2015-02-18,10.9
2015-02-19,11.05
2015-02-20,11.2
2015-02-23,11.35
2015-02-24,11.5
2015-02-25,13.35
2015-02-26,12.8
2015-02-27,13.15
2015-02-28,12.4
2015-03-02,11.95
2015-03-03,13.0
2015-03-04,12.15
2015-03-05,11.95
2015-03-09,11.9
2015-03-10,11.75
2015-03-11,11.7
2015-03-12,11.65
2015-03-13,11.35
2015-03-16,11.25
2015-03-17,11.25
2015-03-18,11.2
2015-03-19,11.1
2015-03-20,11.1
2015-03-23,10.8
2015-03-24,10.7
2015-03-25,11.05
2015-03-26,10.55
2015-03-27,10.4
2015-03-30,10.55
2015-03-31,10.5
2015-04-01,10.6
2015-04-06,10.8
2015-04-07,11.05
2015-04-08,11.45
2015-04-09,11.1
2015-04-10,11.3
2015-04-13,11.2
2015-04-15,11.15
2015-04-16,11.05
2015-04-17,10.85
2015-04-20,10.5
2015-04-21,10.25
2015-04-22,10.05
2015-04-23,10.15
2015-04-24,10.5
2015-04-27,9.9
2015-04-28,10.2
2015-04-29,9.75
2015-04-30,9.35
2015-05-04,9.05
2015-05-05,8.45
2015-05-06,8.6
2015-05-07,8.7
2015-05-08,8.7
2015-05-11,8.45
2015-05-12,8.15
2015-05-13,8.0
2015-05-14,7.9
2015-05-15,7.6
2015-05-18,7.8
2015-05-19,7.7
2015-05-20,7.85
2015-05-21,9.4
2015-05-22,11.25
2015-05-25,11.05
2015-05-26,10.85
2015-05-27,10.45
2015-05-28,10.25
2015-05-29,10.45
2015-06-01,10.8
2015-06-02,10.6
2015-06-03,9.95
2015-06-04,10.3
2015-06-05,10.15
2015-06-08,10.15
2015-06-09,9.9
2015-06-10,10.0
2015-06-11,9.85
2015-06-12,9.5
2015-06-15,9.6
2015-06-16,9.35
2015-06-17,9.4
2015-06-18,9.65
2015-06-19,9.5
2015-06-22,9.65
2015-06-23,9.95
2015-06-24,10.5
2015-06-25,11.2
2015-06-26,10.5
2015-06-29,10.35
2015-06-30,10.35
2015-07-01,10.7
2015-07-02,10.75
2015-07-03,11.95
2015-07-06,14.3
2015-07-07,16.9
2015-07-08,16.95
2015-07-09,16.1
2015-07-10,14.5
2015-07-13,13.45
2015-07-14,13.35
2015-07-15,12.7
2015-07-16,12.1
2015-07-17,12.7
2015-07-20,13.3
2015-07-21,13.6
2015-07-22,13.65
2015-07-23,13.5
2015-07-24,13.6
2015-07-27,12.95
2015-07-28,12.65
2015-07-29,13.15
2015-07-30,13.8
2015-07-31,14.2
2015-08-03,13.9
2015-08-04,13.75
2015-08-05,14.2
2015-08-06,14.9
2015-08-07,15.55
2015-08-10,15.7
2015-08-11,14.75
2015-08-12,14.55
2015-08-13,14.1
2015-08-14,12.8
2015-08-17,12.4
2015-08-18,12.5
2015-08-19,12.65
2015-08-20,12.95
2015-08-21,12.7
2015-08-24,12.1
2015-08-25,11.55
2015-08-26,11.6
2015-08-27,12.0
2015-08-28,11.75
2015-08-31,11.7
2015-09-01,11.55
2015-09-02,11.0
2015-09-03,11.1
2015-09-04,10.25
2015-09-07,9.9
2015-09-08,10.1
2015-09-09,10.75
2015-09-10,10.9
2015-09-11,10.95
2015-09-14,10.95
2015-09-15,11.1
2015-09-16,12.1
2015-09-18,13.15
2015-09-21,12.7
2015-09-22,12.4
2015-09-23,12.55
2015-09-24,12.45
2015-09-28,12.15
2015-09-29,11.6
2015-09-30,12.0
2015-10-01,11.85
2015-10-05,12.05
2015-10-06,12.5
2015-10-07,12.2
2015-10-08,12.4
2015-10-09,12.7
2015-10-12,13.15
2015-10-13,13.45
2015-10-14,13.0
2015-10-15,13.3
2015-10-16,13.05
2015-10-19,13.6
2015-10-20,13.25
2015-10-21,13.3
2015-10-23,13.35
2015-10-26,13.45
2015-10-27,13.4
2015-10-28,13.35
2015-10-29,13.3
2015-10-30,13.0
2015-11-02,13.3
2015-11-03,13.3
2015-11-04,12.85
2015-11-05,13.05
2015-11-06,11.85
2015-11-09,11.8
2015-11-10,11.45
2015-11-11,12.1
2015-11-13,11.55
2015-11-16,11.25
2015-11-17,12.3
2015-11-18,12.35
2015-11-19,12.1
2015-11-20,11.7
2015-11-23,11.95
2015-11-24,12.05
2015-11-26,12.35
2015-11-27,12.7
2015-11-30,13.0
2015-12-01,12.7
2015-12-02,12.6
2015-12-03,13.2
2015-12-04,13.0
2015-12-07,13.2
2015-12-08,14.9
2015-12-09,14.0
2015-12-10,14.5
2015-12-11,13.5
2015-12-14,14.1
2015-12-15,14.0
2015-12-16,13.95
2015-12-17,15.55
2015-12-18,14.7
2015-12-21,15.85
2015-12-22,15.4
2015-12-23,15.35
2015-12-24,15.65
2015-12-28,15.25
2015-12-29,15.05
2015-12-30,14.65
2015-12-31,16.15
