Date,HOTELEELA
2015-01-01,21.2
2015-01-02,21.35
2015-01-05,22.45
2015-01-06,21.1
2015-01-07,20.65
2015-01-08,20.85
2015-01-09,20.95
2015-01-12,20.8
2015-01-13,20.65
2015-01-14,20.65
2015-01-15,20.85
2015-01-16,20.95
2015-01-19,20.85
2015-01-20,20.9
2015-01-21,21.05
2015-01-22,22.55
2015-01-23,22.65
2015-01-27,22.6
2015-01-28,22.75
2015-01-29,23.0
2015-01-30,22.65
2015-02-02,22.65
2015-02-03,23.0
2015-02-04,23.6
2015-02-05,22.9
2015-02-06,22.25
2015-02-09,21.6
2015-02-10,20.95
2015-02-11,21.15
2015-02-12,21.2
2015-02-13,21.8
2015-02-16,21.15
2015-02-18,21.15
2015-02-19,21.3
2015-02-20,21.6
2015-02-23,21.2
2015-02-24,21.1
2015-02-25,21.15
2015-02-26,21.05
2015-02-27,22.1
2015-02-28,21.6
2015-03-02,21.45
2015-03-03,23.05
2015-03-04,22.1
2015-03-05,21.9
2015-03-09,21.55
2015-03-10,21.8
2015-03-11,21.2
2015-03-12,21.2
2015-03-13,21.25
2015-03-16,20.95
2015-03-17,20.8
2015-03-18,20.15
2015-03-19,19.95
2015-03-20,19.65
2015-03-23,19.85
2015-03-24,19.35
2015-03-25,18.75
2015-03-26,18.15
2015-03-27,17.8
2015-03-30,18.45
2015-03-31,18.65
2015-04-01,19.0
2015-04-06,19.35
2015-04-07,19.2
2015-04-08,19.6
2015-04-09,19.65
2015-04-10,20.3
2015-04-13,20.4
2015-04-15,20.55
2015-04-16,20.1
2015-04-17,19.75
2015-04-20,19.55
2015-04-21,19.3
2015-04-22,18.9
2015-04-23,18.7
2015-04-24,18.6
2015-04-27,18.25
2015-04-28,18.15
2015-04-29,18.25
2015-04-30,18.15
2015-05-04,18.5
2015-05-05,18.6
2015-05-06,18.0
2015-05-07,17.75
2015-05-08,17.95
2015-05-11,18.05
2015-05-12,17.65
2015-05-13,17.65
2015-05-14,17.7
2015-05-15,17.7
2015-05-18,18.0
2015-05-19,17.9
2015-05-20,18.0
2015-05-21,17.75
2015-05-22,19.2
2015-05-25,18.5
2015-05-26,18.25
2015-05-27,18.6
2015-05-28,19.0
2015-05-29,18.2
2015-06-01,17.9
2015-06-02,17.7
2015-06-03,17.15
2015-06-04,17.05
2015-06-05,17.2
2015-06-08,17.5
2015-06-09,17.6
2015-06-10,17.95
2015-06-11,18.5
2015-06-12,19.3
2015-06-15,19.25
2015-06-16,19.05
2015-06-17,19.3
2015-06-18,19.6
2015-06-19,20.15
2015-06-22,20.05
2015-06-23,19.85
2015-06-24,19.55
2015-06-25,19.6
2015-06-26,19.4
2015-06-29,19.0
2015-06-30,18.75
2015-07-01,18.9
2015-07-02,18.85
2015-07-03,18.6
2015-07-06,19.15
2015-07-07,19.15
2015-07-08,18.75
2015-07-09,18.75
2015-07-10,18.9
2015-07-13,19.1
2015-07-14,19.05
2015-07-15,18.95
2015-07-16,18.95
2015-07-17,20.15
2015-07-20,20.8
2015-07-21,20.9
2015-07-22,20.95
2015-07-23,21.1
2015-07-24,20.65
2015-07-27,20.9
2015-07-28,20.95
2015-07-29,20.85
2015-07-30,21.0
2015-07-31,21.65
2015-08-03,21.65
2015-08-04,22.7
2015-08-05,22.2
2015-08-06,22.75
2015-08-07,22.45
2015-08-10,22.05
2015-08-11,22.55
2015-08-12,21.8
2015-08-13,20.3
2015-08-14,20.95
2015-08-17,21.9
2015-08-18,21.7
2015-08-19,21.2
2015-08-20,20.05
2015-08-21,22.4
2015-08-24,19.65
2015-08-25,19.85
2015-08-26,19.6
2015-08-27,19.8
2015-08-28,20.35
2015-08-31,20.15
2015-09-01,19.95
2015-09-02,19.55
2015-09-03,19.55
2015-09-04,18.45
2015-09-07,18.9
2015-09-08,18.65
2015-09-09,19.45
2015-09-10,18.75
2015-09-11,19.65
2015-09-14,21.05
2015-09-15,20.6
2015-09-16,20.3
2015-09-18,21.4
2015-09-21,21.45
2015-09-22,20.15
2015-09-23,20.0
2015-09-24,19.8
2015-09-28,19.75
2015-09-29,19.5
2015-09-30,19.4
2015-10-01,19.4
2015-10-05,19.65
2015-10-06,19.55
2015-10-07,19.8
2015-10-08,19.6
2015-10-09,19.8
2015-10-12,19.65
2015-10-13,19.65
2015-10-14,20.15
2015-10-15,20.3
2015-10-16,20.1
2015-10-19,19.85
2015-10-20,19.9
2015-10-21,19.95
2015-10-23,19.85
2015-10-26,19.6
2015-10-27,19.55
2015-10-28,19.3
2015-10-29,19.85
2015-10-30,19.9
2015-11-02,19.65
2015-11-03,19.55
2015-11-04,19.5
2015-11-05,19.65
2015-11-06,19.65
2015-11-09,19.35
2015-11-10,19.1
2015-11-11,19.4
2015-11-13,19.1
2015-11-16,19.5
2015-11-17,19.35
2015-11-18,19.5
2015-11-19,19.4
2015-11-20,19.15
2015-11-23,19.4
2015-11-24,19.3
2015-11-26,20.3
2015-11-27,20.15
2015-11-30,19.95
2015-12-01,19.85
2015-12-02,22.15
2015-12-03,22.0
2015-12-04,21.05
2015-12-07,20.2
2015-12-08,20.2
2015-12-09,19.3
2015-12-10,19.65
2015-12-11,19.75
2015-12-14,20.1
2015-12-15,21.0
2015-12-16,20.7
2015-12-17,20.6
2015-12-18,20.45
2015-12-21,20.6
2015-12-22,20.7
2015-12-23,20.9
2015-12-24,20.7
2015-12-28,20.95
2015-12-29,20.65
2015-12-30,20.6
2015-12-31,21.25
