Date,ATLASCYCLE
2015-01-01,238.35
2015-01-02,243.65
2015-01-05,241.9
2015-01-06,235.0
2015-01-07,233.9
2015-01-08,236.95
2015-01-09,234.95
2015-01-12,235.0
2015-01-13,235.25
2015-01-14,232.95
2015-01-15,236.2
2015-01-16,239.3
2015-01-19,254.9
2015-01-20,253.95
2015-01-21,243.0
2015-01-22,242.75
2015-01-23,240.05
2015-01-27,238.85
2015-01-28,238.8
2015-01-29,238.15
2015-01-30,236.95
2015-02-02,233.55
2015-02-03,230.05
2015-02-04,223.2
2015-02-05,222.95
2015-02-06,220.3
2015-02-09,217.05
2015-02-10,217.95
2015-02-11,219.5
2015-02-12,229.75
2015-02-13,263.1
2015-02-16,246.2
2015-02-18,250.2
2015-02-19,247.6
2015-02-20,244.15
2015-02-23,244.25
2015-02-24,238.8
2015-02-25,239.3
2015-02-26,243.8
2015-02-27,243.45
2015-02-28,241.45
2015-03-02,240.95
2015-03-03,242.45
2015-03-04,239.4
2015-03-05,236.75
2015-03-09,230.25
2015-03-10,228.3
2015-03-11,223.95
2015-03-12,228.3
2015-03-13,222.65
2015-03-16,223.8
2015-03-17,223.6
2015-03-18,222.8
2015-03-19,221.15
2015-03-20,213.15
2015-03-23,209.7
2015-03-24,206.55
2015-03-25,202.1
2015-03-26,199.45
2015-03-27,196.35
2015-03-30,203.85
2015-03-31,204.85
2015-04-01,208.05
2015-04-06,213.15
2015-04-07,221.15
2015-04-08,218.05
2015-04-09,232.6
2015-04-10,253.3
2015-04-13,247.95
2015-04-15,239.6
2015-04-16,235.5
2015-04-17,237.6
2015-04-20,228.2
2015-04-21,221.1
2015-04-22,222.55
2015-04-23,225.7
2015-04-24,219.45
2015-04-27,214.0
2015-04-28,215.2
2015-04-29,219.0
2015-04-30,214.35
2015-05-04,223.45
2015-05-05,225.1
2015-05-06,219.25
2015-05-07,212.8
2015-05-08,216.75
2015-05-11,219.0
2015-05-12,215.35
2015-05-13,218.95
2015-05-14,219.1
2015-05-15,217.45
2015-05-18,218.55
2015-05-19,220.8
2015-05-20,221.4
2015-05-21,218.45
2015-05-22,217.55
2015-05-25,216.45
2015-05-26,214.6
2015-05-27,217.45
2015-05-28,216.8
2015-05-29,217.55
2015-06-01,216.4
2015-06-02,211.1
2015-06-03,201.05
2015-06-04,199.95
2015-06-05,200.55
2015-06-08,197.3
2015-06-09,197.6
2015-06-10,201.05
2015-06-11,199.55
2015-06-12,198.6
2015-06-15,198.95
2015-06-16,198.0
2015-06-17,200.8
2015-06-18,202.4
2015-06-19,201.8
2015-06-22,211.3
2015-06-23,209.75
2015-06-24,207.55
2015-06-25,205.1
2015-06-26,202.7
2015-06-29,196.85
2015-06-30,200.15
2015-07-01,203.8
2015-07-02,206.3
2015-07-03,210.3
2015-07-06,209.0
2015-07-07,212.5
2015-07-08,205.0
2015-07-09,205.45
2015-07-10,202.75
2015-07-13,206.5
2015-07-14,214.0
2015-07-15,213.65
2015-07-16,219.35
2015-07-17,218.1
2015-07-20,218.0
2015-07-21,215.15
2015-07-22,214.85
2015-07-23,233.65
2015-07-24,224.8
2015-07-27,221.3
2015-07-28,217.25
2015-07-29,215.8
2015-07-30,220.05
2015-07-31,220.3
2015-08-03,221.65
2015-08-04,221.95
2015-08-05,226.2
2015-08-06,224.45
2015-08-07,225.45
2015-08-10,221.2
2015-08-11,216.75
2015-08-12,212.55
2015-08-13,205.9
2015-08-14,205.55
2015-08-17,202.35
2015-08-18,201.35
2015-08-19,202.25
2015-08-20,200.45
2015-08-21,197.2
2015-08-24,179.85
2015-08-25,173.35
2015-08-26,175.2
2015-08-27,179.7
2015-08-28,185.05
2015-08-31,182.5
2015-09-01,176.1
2015-09-02,174.85
2015-09-03,175.1
2015-09-04,166.5
2015-09-07,160.7
2015-09-08,160.65
2015-09-09,166.3
2015-09-10,162.1
2015-09-11,166.75
2015-09-14,166.4
2015-09-15,165.55
2015-09-16,165.0
2015-09-18,190.2
2015-09-21,207.1
2015-09-22,230.45
2015-09-23,223.8
2015-09-24,226.9
2015-09-28,219.5
2015-09-29,211.85
2015-09-30,211.0
2015-10-01,206.45
2015-10-05,215.25
2015-10-06,211.5
2015-10-07,211.35
2015-10-08,208.4
2015-10-09,209.35
2015-10-12,207.5
2015-10-13,211.65
2015-10-14,214.0
2015-10-15,213.95
2015-10-16,210.95
2015-10-19,220.9
2015-10-20,225.65
2015-10-21,225.05
2015-10-23,239.6
2015-10-26,225.65
2015-10-27,226.7
2015-10-28,223.0
2015-10-29,219.95
2015-10-30,213.25
2015-11-02,211.75
2015-11-03,211.45
2015-11-04,210.0
2015-11-05,206.35
2015-11-06,205.0
2015-11-09,208.5
2015-11-10,206.35
2015-11-11,210.05
2015-11-13,203.85
2015-11-16,211.65
2015-11-17,209.6
2015-11-18,205.6
2015-11-19,203.8
2015-11-20,203.2
2015-11-23,202.9
2015-11-24,201.65
2015-11-26,204.55
2015-11-27,203.55
2015-11-30,208.2
2015-12-01,217.2
2015-12-02,213.45
2015-12-03,216.45
2015-12-04,214.2
2015-12-07,212.55
2015-12-08,207.65
2015-12-09,202.5
2015-12-10,204.7
2015-12-11,203.15
2015-12-14,203.9
2015-12-15,204.95
2015-12-16,231.5
2015-12-17,226.0
2015-12-18,220.4
2015-12-21,219.95
2015-12-22,222.7
2015-12-23,222.4
2015-12-24,226.3
2015-12-28,224.05
2015-12-29,222.7
2015-12-30,218.25
2015-12-31,217.95
