Date,ESSELPACK
2015-01-01,131.75
2015-01-02,134.05
2015-01-05,135.0
2015-01-06,122.85
2015-01-07,126.1
2015-01-08,129.45
2015-01-09,127.35
2015-01-12,129.7
2015-01-13,129.55
2015-01-14,130.2
2015-01-15,130.45
2015-01-16,129.85
2015-01-19,127.0
2015-01-20,127.9
2015-01-21,127.4
2015-01-22,131.3
2015-01-23,129.25
2015-01-27,129.35
2015-01-28,128.0
2015-01-29,127.25
2015-01-30,120.5
2015-02-02,118.5
2015-02-03,120.25
2015-02-04,123.6
2015-02-05,122.5
2015-02-06,123.75
2015-02-09,117.55
2015-02-10,117.75
2015-02-11,118.85
2015-02-12,119.8
2015-02-13,120.05
2015-02-16,119.6
2015-02-18,119.45
2015-02-19,121.9
2015-02-20,122.85
2015-02-23,120.8
2015-02-24,118.0
2015-02-25,117.85
2015-02-26,116.65
2015-02-27,118.45
2015-02-28,116.95
2015-03-02,118.25
2015-03-03,120.0
2015-03-04,118.05
2015-03-05,118.4
2015-03-09,117.95
2015-03-10,116.95
2015-03-11,117.4
2015-03-12,117.95
2015-03-13,123.75
2015-03-16,127.85
2015-03-17,128.05
2015-03-18,121.65
2015-03-19,116.45
2015-03-20,116.25
2015-03-23,115.55
2015-03-24,116.6
2015-03-25,119.15
2015-03-26,119.95
2015-03-27,120.25
2015-03-30,123.85
2015-03-31,124.95
2015-04-01,123.0
2015-04-06,121.1
2015-04-07,122.9
2015-04-08,122.9
2015-04-09,124.15
2015-04-10,125.45
2015-04-13,133.25
2015-04-15,131.05
2015-04-16,133.6
2015-04-17,130.65
2015-04-20,125.6
2015-04-21,127.05
2015-04-22,127.05
2015-04-23,127.15
2015-04-24,125.45
2015-04-27,121.15
2015-04-28,124.8
2015-04-29,128.25
2015-04-30,127.55
2015-05-04,130.3
2015-05-05,129.7
2015-05-06,127.0
2015-05-07,125.8
2015-05-08,127.85
2015-05-11,134.65
2015-05-12,132.95
2015-05-13,132.15
2015-05-14,132.75
2015-05-15,135.0
2015-05-18,135.15
2015-05-19,133.75
2015-05-20,132.8
2015-05-21,133.1
2015-05-22,131.2
2015-05-25,131.05
2015-05-26,129.4
2015-05-27,128.9
2015-05-28,129.95
2015-05-29,129.95
2015-06-01,130.0
2015-06-02,130.1
2015-06-03,125.1
2015-06-04,124.65
2015-06-05,125.85
2015-06-08,122.7
2015-06-09,123.2
2015-06-10,125.0
2015-06-11,122.15
2015-06-12,122.8
2015-06-15,125.1
2015-06-16,126.55
2015-06-17,126.5
2015-06-18,126.55
2015-06-19,128.0
2015-06-22,129.3
2015-06-23,129.4
2015-06-24,129.95
2015-06-25,130.0
2015-06-26,129.15
2015-06-29,126.95
2015-06-30,130.05
2015-07-01,132.2
2015-07-02,131.95
2015-07-03,132.2
2015-07-06,132.0
2015-07-07,132.85
2015-07-08,131.95
2015-07-09,134.15
2015-07-10,134.2
2015-07-13,141.2
2015-07-14,147.15
2015-07-15,143.6
2015-07-16,148.9
2015-07-17,150.65
2015-07-20,154.9
2015-07-21,150.25
2015-07-22,152.45
2015-07-23,150.7
2015-07-24,149.75
2015-07-27,147.45
2015-07-28,150.0
2015-07-29,150.55
2015-07-30,155.85
2015-07-31,154.85
2015-08-03,153.75
2015-08-04,160.5
2015-08-05,163.9
2015-08-06,160.05
2015-08-07,156.7
2015-08-10,158.75
2015-08-11,159.4
2015-08-12,158.2
2015-08-13,158.2
2015-08-14,160.85
2015-08-17,166.75
2015-08-18,163.65
2015-08-19,161.6
2015-08-20,157.05
2015-08-21,157.9
2015-08-24,138.65
2015-08-25,144.75
2015-08-26,141.95
2015-08-27,148.05
2015-08-28,150.1
2015-08-31,149.5
2015-09-01,150.2
2015-09-02,149.6
2015-09-03,155.0
2015-09-04,151.8
2015-09-07,149.25
2015-09-08,147.0
2015-09-09,149.5
2015-09-10,148.35
2015-09-11,147.3
2015-09-14,148.0
2015-09-15,152.25
2015-09-16,150.15
2015-09-18,151.25
2015-09-21,152.6
2015-09-22,150.7
2015-09-23,153.05
2015-09-24,151.85
2015-09-28,148.0
2015-09-29,149.7
2015-09-30,152.15
2015-10-01,153.5
2015-10-05,158.05
2015-10-06,164.55
2015-10-07,163.65
2015-10-08,165.05
2015-10-09,163.75
2015-10-12,160.3
2015-10-13,161.85
2015-10-14,162.15
2015-10-15,162.05
2015-10-16,161.8
2015-10-19,161.15
2015-10-20,160.9
2015-10-21,161.9
2015-10-23,161.1
2015-10-26,160.7
2015-10-27,160.35
2015-10-28,161.0
2015-10-29,160.0
2015-10-30,158.9
2015-11-02,158.25
2015-11-03,157.35
2015-11-04,163.4
2015-11-05,160.4
2015-11-06,158.25
2015-11-09,159.65
2015-11-10,159.15
2015-11-11,159.65
2015-11-13,160.4
2015-11-16,159.0
2015-11-17,159.8
2015-11-18,160.6
2015-11-19,159.05
2015-11-20,160.5
2015-11-23,160.25
2015-11-24,158.95
2015-11-26,157.15
2015-11-27,158.55
2015-11-30,160.0
2015-12-01,158.1
2015-12-02,157.3
2015-12-03,154.7
2015-12-04,152.95
2015-12-07,154.9
2015-12-08,152.9
2015-12-09,151.5
2015-12-10,156.75
2015-12-11,156.45
2015-12-14,160.0
2015-12-15,157.9
2015-12-16,155.1
2015-12-17,160.4
2015-12-18,159.35
2015-12-21,161.65
2015-12-22,161.25
2015-12-23,159.85
2015-12-24,161.2
2015-12-28,168.0
2015-12-29,170.65
2015-12-30,167.55
2015-12-31,169.05
